# CK2TITLE;EU4TAG;EU4FILE;Comment

# CK2+ Start. Must go at the top to prioritize over lower entries
d_slovakia;SLO;Nyitra;Slovakia Duchy

# British Isles

e_britannia;GBR;Great Britain;Great Britain
k_england;ENG;England;England Kingdom
k_ireland;IRE;Ireland;Ireland Kingdom
k_scotland;SCO;Scotland;Scotland Kingdom
k_wales;WLS;Wales;Wales Kingdom
d_cornwall;CRN;Cornwall;Cornwall Duchy
c_cornwall;CRN;Cornwall;Cornwall County
d_northumberland;NOL;Northumberland;Northumberland Duchy
c_northumberland;NOL;Northumberland;Northumberland County
d_connacht;CNN;Clanricarde;Clanricarde Duchy
d_leinster;LEI;Leinster;Leinster Duchy
d_munster;MNS;Munster;Munster Duchy
c_tyrone;TYR;Tyrone;Tyrone County
c_connacht;CNN;Clanricarde;Clanricarde County
c_leinster;LEI;Leinster;Leinster County
d_meath;MTH;Meath;Meath Duchy
d_ulster;ULS;Ulster;Ulster Duchy
c_ulster;ULS;Ulster;Ulster County
c_desmond;DMS;Desmond;Desmond County
c_kildare;KID;Kildare;Kildare County
d_moray;HSC;Highlands;Highlands Duchy

# Eastern Europe

k_lithuania;LIT;Lithuania;Lithuania Kingdom
k_poland;POL;Poland;Poland Kingdom
d_krakow;KRA;Krakow;Krakow Duchy
c_krakowskie;KRA;Krakow;Krakow County
d_mazovia;MAZ;Mazovia;Mazovia Duchy
d_prussia;PRU;Prussia;Prussia Duchy
d_courland;KUR;Courland;Kurland Duchy
d_teutonic_order;TEU;Teutonic Order;Teutonic Order
c_danzig;DNZ;Danzig;Danzig County
c_zemigalians;RIG;Riga;Riga County
k_ruthenia;UKR;Ukraine;Ruthenia Kingdom
d_kiev;KIE;Kiev;Kiev Duchy
c_kiev;KIE;Kiev;Kiev County
d_chernigov;CHR;Chernigov;Chernigov Duchy
c_chernigov;CHR;Chernigov;Chernigov County
c_achaia;ACH;Principality of Achaia;Achaia County
k_dacia;WAL;Wallachia;Wallachia Kingdom
d_moldau;MOL;Moldavia;Moldau Duchy
d_lithuanians;LIT;Lithuania;Lithuania Duchy
c_kurs;KUR;Courland;Kurland County
d_esthonia;EST;Estonia;Estonia Duchy
d_livonia;LVA;Livonia;Livonia Duchy

# France

e_france;FRA;France;Francia Empire
k_france;FRA;France;France Kingdom
k_brittany;BRI;Brittany;Brittany Kingdom
d_brittany;BRI;Brittany;Brittany Duchy
d_alsace;ALS;Alsace;Alsace Duchy
c_armagnac;AMG;Armangnac;Armangnac County
d_auvergne;AUV;Auvergne;Auvergne Duchy
c_auvergne;AUV;Auvergne;Auvergne County
d_gascogne;GUY;Gascony;Gascony Duchy
k_burgundy;BUR;Burgundy;Burgundy Kingdom
d_burgundy;BUR;Burgundy;Burgundy Duchy
d_champagne;CHP;Champagne;Champagne Duchy
c_corsica;COR;Corsica;Corsica County
d_dauphine;DAU;Dauphine;Dauphine Duchy
c_foix;FOI;Foix;Foix County
c_nevers;NEV;Nevers;Nevers County
d_normandy;NRM;Normandy;Normandy Duchy
d_orleans;ORL;Orleans;Orleans Duchy
c_orleans;ORL;Orleans;Orleans County
d_provence;PRO;Provence;Provence Duchy
c_provence;PRO;Provence;Provence County
d_toulouse;TOU;Toulouse;Toulouse Duchy
c_toulouse;TOU;Toulouse;Toulouse County
d_berry;BER;Berry;Berry Duchy
c_venaissin;AVI;Avignon;Venaissin County
d_bourbon;BOU;Bourbonnais;Bourbonnais Duchy
c_bourbon;BOU;Bourbonnais;Bourbonnais County
c_boulogne;PIC;Picardy;Picardy County

# HRE

c_anhalt;ANH;Anhalt;Anhalt County
d_baden;BAD;Baden;Baden Duchy
c_baden;BAD;Baden;Baden County
k_bavaria;BAV;Bavaria;Bavaria Kingdom
d_bavaria;BAV;Bavaria;Bavaria Duchy
k_bohemia;BOH;Bohemia;Bohemia Kingdom
d_bohemia;BOH;Bohemia;Bohemia Duchy
d_moravia;MVA;Moravia;Moravia Duchy
d_brandenburg;BRA;Brandenburg;Brandenburg Duchy
c_brandenburg;BRA;Brandenburg;Brandenburg County
c_bremen;BRE;Bremen;Bremen County
d_brunswick;BRU;Brunswick;Brunswick Duchy
k_germany;GER;Germany;Germany Kingdom
d_osterreich;HAB;Austria;Austria Duchy
c_hamburg;HAM;Hamburg;Hamburg County
e_hre;HLR;Holy Roman Empire;Holy Roman Empire
c_lorraine;LOR;Lorraine;Lorraine County
c_luneburg;LUN;Luneburg;Luneburg County
c_mainz;MAI;Mainz;Mainz County
d_meissen;MEI;Meissen;Meissen Duchy
c_meissen;MEI;Meissen;Meissen County
c_mecklemburg;MKL;Mecklenburg;Mecklenburg County
c_munster;MUN;Munster;Munster County
c_oldenburg;OLD;Oldenburg;Oldenburg County
k_pomerania;POM;Pommern;Pommerania Kingdom
d_pommerania;POM;Pommern;Pommerania Duchy
d_saxony;SAX;Saxony;Saxony Duchy
d_silesia;SIL;Silesia;Silesia Duchy
c_salzburg;SLZ;Salzburg;Salzburg County
d_thuringia;THU;Thuringia;Thuringia Duchy
c_thuringen;THU;Thuringia;Thuringia County
d_tyrol;TIR;Tyrol;Tirol Duchy
c_tirol;TIR;Tyrol;Tirol County
c_trier;TRI;Trier;Trier County
c_ulm;ULM;Ulm;Ulm County
c_wurzburg;WBG;Wurzburg;Wurzburg County
c_wurttemberg;WUR;Wurttemberg;Wurttemberg County
d_koln;KOL;Cologne;Koln Duchy
c_koln;KOL;Cologne;Koln County
c_braunschweig;BRU;Brunswick;Brunswick County
c_osterreich;HAB;Austria;Austria County
d_mecklemburg;MKL;Mecklenburg;Mecklenburg Duchy
c_kleve;KLE;Kleves;Kleve County
c_ostfriesland;EFR;East Frisia;Ostfriesland County
d_swiss;SWI;Switzerland;Switzerland
c_nassau;NSA;Nassau;Nassau County
c_kempten;AUG;Augsburg;Augsburg County
c_celle;HAN;Hannover;Hannover County
c_nurnberg;NUM;Nuremberg;Nuremberg County

# Spain

k_aragon;ARA;Aragon;Aragon Kingdom
d_aragon;ARA;Aragon;Aragon Duchy
k_castille;CAS;Castile;Castile Kingdom
d_castilla;CAS;Castile;Castile Duchy
d_granada;GRA;Granada;Granada Duchy
c_granada;GRA;Granada;Granada County
k_navarra;NAV;Navarra;Navarra Kingdom
d_navarra;NAV;Navarra;Navarra Duchy
c_navarra;NAV;Navarra;Navarra County
k_portugal;POR;Portugal;Portugal Kingdom
e_spain;SPA;Spain;Spain Empire
k_spanish_galicia;GAL;Galicia;Galicia Kingdom
d_galicia;GAL;Galicia;Galicia Duchy
k_leon;LON;Leon;León Kingdom
d_leon;LON;Leon;León Duchy
c_leon;LON;Leon;León County
k_andalusia;ADU;Andalusia;Andalusia Kingdom
d_barcelona;CAT;Catalunya;Catalunya Duchy
c_barcelona;CAT;Catalunya;Catalunya County

# Italy

c_aquileia;AQU;Aquileia;Aquileia County
d_ferrara;FER;Ferrara;Ferrara Duchy
c_ferrara;FER;Ferrara;Ferrara County
k_genoa;GEN;Genoa;Genoa Kingdom
d_genoa;GEN;Genoa;Genoa Duchy
e_italy;ITA;Italy;Italy Empire
k_italy;ITA;Italy;Italy Kingdom
c_mantua;MAN;Mantua;Mantua County
d_modena;MOD;Modena;Modena Duchy
c_modena;MOD;Modena;Modena County
k_naples;NAP;Naples;Naples Kingdom
k_papal_state;PAP;Papal;Papal State Kingdom
c_parma;PAR;Parma;Parma County
k_pisa;PIS;Pisa;Pisa Kingdom
d_pisa;PIS;Pisa;Pisa Duchy
c_pisa;PIS;Pisa;Pisa Pisa
d_sardinia;SAR;Sardinia;Sardinia Duchy
d_savoie;SAV;Savoy;Savoy Duchy
k_sicily;SIC;Sicily;Sicily Kingdom
d_sicily;SIC;Sicily;Sicily Duchy
c_siena;SIE;Siena;Siena County
d_toscana;TUS;Tuscany;Tuscany Duchy
c_urbino;URB;Urbino;Urbino County
k_venice;VEN;Venice;Venice Kingdom
d_venice;VEN;Venice;Venice Duchy
c_venezia;VEN;Venice;Venice County
c_genoa;GEN;Genoa;Genoa County
c_savoie;SAV;Savoy;Savoy County
d_milano;MLO;Milan;Milan
c_monferrato;MFA;Montferrat;Monferrato County
c_lucca;LUC;Lucca;Lucca County
c_malta;JAI;Malta;Malta County
c_firenze;LAN;Florence;Florence County

# Low Countries

d_brabant;BRB;Brabant;Brabant Duchy
c_brabant;BRB;Brabant;Brabant County
d_flanders;FLA;Flanders;Flanders Duchy
d_gelre;GEL;Gelre;Gelre Duchy
c_gelre;GEL;Gelre;Gelre County
c_hainaut;HAI;Hainaut;Hainaut County
d_holland;HOL;Holland;Holland Duchy
c_holland;HOL;Holland;Holland County
c_liege;LIE;Liege;Liege County
d_luxembourg;LUX;Luxembourgh;Luxembourg Duchy
c_luxembourg;LUX;Luxembourgh;Luxembourg County
c_frisia;FRI;Friesland;Friesland County

# Russia

k_armenia;ARM;Armenia;Armenia Kingdom
d_armenia;ARM;Armenia;Armenia Duchy
d_crimea;CRI;Crimea;Crimea Duchy
c_crimea;CRI;Crimea;Crimea Duchy
k_georgia;GEO;Georgia;Georgia Kingdom
e_golden_horde;GLH;Golden Horde;Golden Horde Empire
d_moskva;MOS;Muscowy;Muscowy Duchy
c_moskva;MOS;Muscowy;Muscowy County
d_novgorod;NOV;Novgorod;Novgorod Duchy
c_novgorod;NOV;Novgorod;Novgorod County
c_pskov;PSK;Pskov;Pskov County
e_russia;RUS;Russia;Russia Empire
d_ryazan;RYA;Ryazan;Ryazan Duchy
c_ryazan;RYA;Ryazan;Ryazan Ryazan
d_tver;TVE;Tver;Tver Duchy
c_tver;TVE;Tver;Tver County
d_yaroslavl;YAR;Yaroslavl;Yaroslavl Duchy
c_yaroslavl;YAR;Yaroslavl;Yaroslavl County
d_polotsk;PLT;Polotsk;Polotsk Duchy
c_polotsk;PLT;Polotsk;Polotsk County
k_perm;PRM;Perm;Perm Kingdom
d_perm;PRM;Perm;Perm Duchy
c_perm;PRM;Perm;Perm County
c_lukomorie;ZAZ;Zaporozhie;Zaporozhie County
c_theodosia;FEO;Theodoro;Theodoro County
c_bashkirs;BSH;Bashkiria;Bashkiria County
d_volhynia;VOL;Volyn;Volyn Duchy
c_mozhaysk;OKA;Oka;Oka County
d_beloozero;BLO;Beloozero;Beloozero Duchy
c_beloozero;BLO;Beloozero;Beloozero County  
d_rostov;RSO;Rostov;Rostov Duchy
c_rostov;RSO;Rostov;Rostov County

# Arabia

d_oman;OMA;Oman;Oman Duchy
c_hijaz;HED;The Hedjaz;Hedjaz County
c_al_hasa;ALH;Haasa;Haasa County
k_arabia;ARB;Arabia;Arabia Kingdom
c_hormuz;ORM;Ormuz;Hormuz County
c_hajr;NAJ;Najd;Najd County
d_sanaa;ADE;Aden;Aden Duchy

# Asia Minor

k_aydin;AYD;Aydin;Aydin Kingdom
k_candar;CND;Candar;Candar Kingdom
k_mesopotamia;IRQ;Iraq;Iraq Kingdom
d_mesopotamia;IRQ;Iraq;Iraq Duchy
c_mesopotamia;IRQ;Iraq;Iraq County
k_karaman;KAR;Karaman;Karaman Kingdom
k_syria;SYR;Syria;Syria Kingdom
d_syria;SYR;Syria;Syria Duchy
c_syria;SYR;Syria;Syria County
k_trebizond;TRE;Trebizond;Trebizond Kingdom
d_trebizond;TRE;Trebizond;Trebizond Duchy
k_saruhan;SRU;Saruhan;Saruhan Kingdom
k_mentese;MEN;Mentese;Mentese Kingdom
c_imeretia;IME;Imereti;Imereti County
c_shirvan;SRV;Shirvan;Shirvan County
k_eretnid;ERE;Eretna;Eretna Kingdom

# Maghreb
d_mamluks;MAM;Mameluks;Burgi (Mamluks)
d_fes;FEZ;Fez;Fez Duchy
c_fes;FEZ;Fez;Fez County
d_tripolitania;TRP;Tripoli;Tripoli Duchy
c_tripolitana;TRP;Tripoli;Tripoli County
d_alger;ALG;Algiers;Algiers Duchy
d_marrakech;MOR;Morocco;Morocco Duchy
k_egypt;EGY;Egypt;Egypt Kingdom
d_tunis;TUN;Tunisia;Tunis Duchy
c_tunis;TUN;Tunisia;Tunis County
c_al_djazair;ALG;Algiers;Algiers County
d_kabylia;KBA;Kabylia;Kabylia Duchy
c_mzab;MZB;Mzab;Mzab County
d_tlemcen;TLC;Tlemcen;Tlemcen Duchy
c_tlemcen;TLC;Tlemcen;Tlemcen County
d_mazandaran;TAB;Tabarestan;Tabarestan Duchy
c_tabaristan;TAB;Tabarestan;Tabarestan County
k_germiyan;GRM;Germiyan;Germiyan Kingdom

# Central Asia

k_khiva;KHI;Khiva;Khiva Kingdom
d_khiva;KHI;Khiva;Khiva Duchy
c_khiva;KHI;Khiva;Khiva County
d_sibir;SIB;Sibir;Sibir Duchy
c_sibir;SIB;Sibir;Sibir County
c_kazakh;KZH;Khazak Horde;Kazakh County
c_bukhara;BUK;Bukhara;Bukhara County
c_qazan;KAZ;Kazan;Qazan County
e_chagatai;CHG;Chagatai Khanate;Chagatai Khanate

# Persia

d_khorasan;KHO;Khorasan;Khorasan Duchy
c_tus;KHO;Khorasan;Khorasan County
e_persia;PER;Persia;Persia Empire
k_persia;PER;Persia;Persia Kingdom
e_timurids;TIM;Timurid Empire;Timurid Empire

# Americas

e_mexikha;AZT;Aztec Empire;Aztec Empire


# Africa

e_mali;MAL;Mali;Mali Empire
k_mali;MAL;Mali;Mali Kingdom
d_mali;MAL;Mali;Mali Duchy
c_mali;MAL;Mali;Mali County
e_abyssinia;ETH;Ethiopia;Ethiopia Empire
k_abyssinia;ETH;Ethiopia;Ethiopia Kingdom
d_sennar;ALO;Alodia;Alodia Duchy
c_alodia;ALO;Alodia;Alodia County
c_makuria;MAK;Makuria;Makuria County
d_songhay;SON;Songhai;Songhay Duchy
d_afar;AFA;Afar;Afar Duchy
c_harer;HAR;Harar;Harar County
d_timbuktu;TMB;Timbuktu;Timbuktu Duchy
c_timbuktu;TMB;Timbuktu;Timbuktu County
d_semien;BTI;Semien;Semien Duchy
c_semien;BTI;Semien;Semien County
d_damot;DAM;Damot;Damot Duchy
c_damot;DAM;Damot;Damot County

# Mongols

e_mongol_empire;KHA;MongolKhanate;Mongol Khanate
k_mongolia;KHA;MongolKhanate;Mongol Khanate

# India

e_bengal;BNG;Bengal;Bengal Empire
k_bengal;BNG;Bengal;Bengal Kingdom
k_orissa;ORI;Orissa;Orissa Kingdom
k_lanka;CEY;Ceylon;Lanka Kingdom
d_lanka;CEY;Ceylon;Lanka Duchy
k_gujarat;GUJ;Gujarat;Gujarat Kingdom
k_malwa;MLW;Malwa;Malwa Kingdom
k_sindh;SND;Sind;Sindh Kingdom
k_delhi;DLH;Delhi;Delhi Kingdom
k_gondwana;GDW;Gondwana;Gondwana Kingdom
d_jangladesh;JAN;Jangaldesh;Jangaldesh Kingdom
e_india;BHA;Bharat;Bharat Empire
k_afghanistan;AFG;Afghanistan;Afghanistan Kingdom
k_baluchistan;BAL;Baluchistan;Baluchistan Kingdom
d_baluchistan;BAL;Baluchistan;Baluchistan Duchy
c_delhi;DLH;Delhi;Delhi County
k_punjab;PUN;Punjab;Punjab Kingdom
k_karnata;KRK;Carnatic;Karnata Kingdom
c_gwalior;GWA;Gwalior;Gwalior County
c_jaunpur;JNP;Jaunpur;Jaunpur County
c_venadu;VND;Venad;Venadu County
c_kasmira;KSH;Kashmir;Kasmira County
d_vidharba;BRR;Berar;Berar Duchy
e_deccan;DEC;Deccan;Deccan Empire
c_madurai;MAD;Madurai;Madurai County
d_multan;MUL;Multan;Multan Duchy
c_multan;MUL;Multan;Multan County
d_jharkand;NGP;Jharkhand;Jharkhand Duchy
c_jharkand;NGP;Jharkhand;Jharkhand County
c_maldives;DGL;Maldives;Maldives County
k_andhra;YOR;Andhra;Andhra Kingdom

#Tibet
e_tibet;TIB;Tibet;Tibet Empire 
k_guge;GUG;Guge;Guge Kingdom
d_lhasa;UTS;Utsang;Lhasa Duchy
d_bhutan;BHU;Bhutan;Bhutan Duchy
d_kham;KAM;Mdokhams;Kham Duchy
k_kashmir;KSH;Kashmir;Kashmir Kingdom
d_kashmir;KSH;Kashmir;Kashmir Duchy
c_kangra;KGR;Kangra;Kangra County
c_garhwal;GHR;Garhwal;Garhwal County
k_nepal;NPL;Nepal;Nepal Kingdom

# Additional

c_lubeck;HSA;Hansa;Hanseatic League
c_bar;BAR;Bar;Bar County
d_smolensk;SMO;Smolensk;Smolensk Duchy
c_smolensk;SMO;Smolensk;Smolensk County
c_nizhny_novgorod;NZH;Nizhny Novgorod;Nizhny Novgorod County
k_jerusalem;KOJ;Jerusalem;Jerusalem Kingdom
d_jerusalem;KOJ;Jerusalem;Jerusalem Duchy
c_jerusalem;KOJ;Jerusalem;Jerusalem County
d_jomsvikings;JOM;Jomsvikings;Jomsvikings Special Case
d_hashshashin;HAH;Hashshashin;Hashshashin Special Case
e_roman_empire;ROM;RomanEmpire;Roman Empire Special Case
k_israel;ISR;Israel;Kingdom of Israel Special Case
d_knights_templar;TEM;KnightsTemplar;Knights Templar Special Case
c_yarkand;KAS;Yarkand;Yarkand County
e_china_west_governor;MNG;Ming;Ming

;ALE;Alencon;Alencon exists in EU4, not CK2
;UTR;Utrecht;Utrecht exists in EU4, not CK2
;HES;Hessen;Hessen exists in EU4, not CK2
;AAC;Aachen;Aachen exists in EU4, not CK2
;PAL;Palatinate;Palatinate exists in EU4, not CK2
;ANS;Ansbach;Ansbach exists in EU4, not CK2
;MAG;Magdeburg;Magdeburg exists in EU4, not CK2
;LAU;Lauenburg;Lauenburg exists in EU4, not CK2
;STY;Styria;Styria exists in EU4, not CK2
;MOE;Morea;Morea exists in EU4, not CK2
;NOG;Nogai;Nogai exists in EU4, not CK2
;AST;Astrakhan;Astrakhan exists in EU4, not CK2
;MUG;Mughal;Mughal exists in EU4, not CK2
