#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
allowed_to_serve_holy_order;Allowed to Join Order;Autorisé à l'ordre de jointure;Dem Orden beitreten dürfen;;Mascotas a unirse a orden;;;;;;;;;x
EVTDESC_ancrel_1195;Dear [Root.GetTitledFirstName], due to [From.GetTitledFirstName]'s untimely death the Aonach Tailteann unfortunately has been cancelled.\n\nSigned, \n[Root.Liege.GetTitledFirstName];Cher [Root.GetTitledFirstName], en raison de la mort inattendue de [From.GetTitledFirstName], l'Aonach Tailteann a malheureusement été annulé.\n\nSigné, \n[Root.Liege.GetTitledFirstName];Lieber [Root.GetTitledFirstName], aufgrund des vorzeitigen Todes von [From.GetTitledFirstName] wurde der Aonach Tailteann leider abgesagt.\n\nGezeichnet, \n[Root.Liege.GetTitledFirstName];;Querido [Root.GetTitledFirstName], lamento informarte que la Aonach Tailteann queda suspedido debido a la prematura muerte de [From.GetTitledFirstName].\n\nFirma, \n[Root.Liege.GetTitledFirstName];;;;;;;;;x
EVTOPTA_ancrel_1195;And I had so looked forward to this!;Oh non, j'avais tellement hâte d'assister à cet Aonach !;Und ich hatte mich so darauf gefreut!;;¡Tan ansiosamente había esperado esto!;;;;;;;;;x
EVTDESC_ancrel_1196;While the bards sing songs for the dead, you are offered a small votive figurine of wood to put in the bonfire, to whom shall you dedicate it? ;Alors que les bardes chantent la vie des défunts, vous êtes offert une petite figurine en bois, à qui la dédié vous ?;Während die Barden Lieder für die Toten singen, wird Euch eine kleine Votivfigur aus Holz angeboten, die Ihr ins Feuer legen könnt. ;;Has decidido encargar y levantar una gran piedra rúnica para que contemplen las generaciones futuras. ¿Qué debería tallarse en ella?;;;;;;;;;x
EVTOPTA_ancrel_1196;It shall burn in memory of [Root.Father.GetTitledFirstName], my departed father.;Elle brulera à la mémoire de [Root.Father.GetTitledFirstName], mon défunt père.;Sie soll im Gedenken an [Root.Father.GetTitledFirstName], meinen verstorbenen Vater, brennen.;;Debe alzarse en memoria de [Root.Father.GetTitledFirstName], mi difunto padre.;;;;;;;;;x
EVTOPTB_ancrel_1196;It shall burn in memory of [Root.Mother.GetTitledFirstName], my beloved mother.;Elle brulera à la mémoire de [Root.Mother.GetTitledFirstName], ma défunte mère.;Es soll im Gedenken an [Root.Mother.GetTitledFirstName], meine geliebte Mutter, brennen.;;Debe alzarse en memoria de [Root.Mother.GetTitledFirstName], mi querida madre.;;;;;;;;;x
honor_dead_tailteann;You wrap the votive offering in cloth that belonged to the deceased.Vous envelopez la figurine à l'intérieur d'un tissu appartenant au défunt;;Sie wickeln die Votivgabe in ein Tuch, das dem Verstorbenen gehörte.Vous envelopez la figurine à l'intérieur d'un tissu appartenant au défunt;;;;;;;;;;;x
EVTNAME_ancrel_1197;In Memory of [Root.Father.GetFirstName];En mémoire de [Root.Father.GetFirstName];In Erinnerung an [Root.Father.GetFirstName];;En memoria de [Root.Father.GetFirstName];;;;;;;;;x
EVTDESC_ancrel_1197;The great bonfire has been lit and it is now time for the offerings. You squeeze the figurine in your hand and think of your father \n\nYou throw the offering in the fire, content in the knowledge that your father's soul is safe with [From.Religion.GetRandomGodName].;;Das große Lagerfeuer ist entzündet und es ist nun Zeit für die Opfergaben. Du drückst die Figur in deiner Hand und denkst an deinen Vater \n\n Du wirfst die Opfergabe ins Feuer, zufrieden mit dem Wissen, dass die Seele deines Vaters bei [From.Religion.GetRandomGodName] sicher ist.;;;;;;;;;;;x
EVTOPTA_ancrel_1197;The fire was hot;Elle est parfaite !;Das Feuer war heiß;;¡Es perfecto!;;;;;;;;;x
EVTNAME_ancrel_1198;In Memory of [Root.Mother.GetFirstName];En mémoire de [Root.Mother.GetFirstName];Im Gedenken an [Root.Mother.GetFirstName];;En memoria de [Root.Mother.GetFirstName];;;;;;;;;x
EVTDESC_ancrel_1198;The great bonfire has been lit and it is now time for the offerings. You squeeze the figurine in your hand and think of your mother. \n\nYou throw the offering in the fire, content in the knowledge that your mother's soul is safe with [From.Religion.GetRandomGodName].;;Das große Feuer wurde entzündet und es ist nun Zeit für die Opfergaben. Du drückst das Figürchen in deiner Hand und denkst an deine Mutter. \n\nDu wirfst die Opfergabe ins Feuer, zufrieden mit dem Wissen, dass die Seele deiner Mutter bei [From.Religion.GetRandomGodName] in Sicherheit ist.;;;;;;;;;;;x
EVTOPTA_ancrel_1198;The fire was hot;Elle est parfaite !;Das Feuer war heiß;;¡Es perfecto!;;;;;;;;;x
EVTDESC_ancrel_1199;In the fiery light of the mighty bonfire, the bards sing while various offerings are made for the deceased. Tomorrow, the Ollamh will spend the day distributing new laws for the people. The content of these laws will greatly influence how your reign is viewed.;Dans la lumière ardente du grand feu, les bardes continus de chanter les exploits des défunts alors que plusieurs hommes et femmes font des offrandes pour leurs défunts. Demain, l'ollamh passera la journée à proclamer les nouvelles lois pour le peuple.;Im feurigen Licht des mächtigen Lagerfeuers singen die Barden, während verschiedene Opfergaben für die Verstorbenen dargebracht werden. Morgen wird der Ollamh den Tag damit verbringen, neue Gesetze für das Volk zu verteilen. Der Inhalt dieser Gesetze wird großen Einfluss darauf haben, wie deine Herrschaft gesehen wird.;;;;;;;;;;;x
EVTOPTA_ancrel_1199;I will favor the nobles;;Ich werde die Adligen begünstigen;;;;;;;;;;;x
EVTOPTB_ancrel_1199;I will favor the bards and the druids;;Ich werde die Barden und die Druiden begünstigen;;;;;;;;;;;x
EVTOPTC_ancrel_1199;I will favor the merchants;;Ich werde die Kaufleute bevorzugen;;;;;;;;;;;x
EVTOPTD_ancrel_1199;I will treat everyone equally;;Ich werde alle gleich behandeln;;;;;;;;;;;x
EVTOPTE_ancrel_1199;I will favor the crown;;Ich werde die Krone bevorzugen;;;;;;;;;;;x
EVTOPTF_ancrel_1199;I will favor the fianna;;Ich werde die Fianna bevorzugen;;;;;;;;;;;x
EVTOPTG_ancrel_1199;I will favor the birds!;;Ich werde die Vögel begünstigen!;;;;;;;;;;;x
EVTDESC_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The noble families will get expanded rights in the...""\nThe new laws seem heavily biased towards the warrior castes.";;"Der Ollamh hat, unterstützt von anderen Mitgliedern der Bardenkaste, die neuen Gesetze verkündet, die die Herrschaft von [From.GetTitledFirstName]'s kennzeichnen werden. ""Per königlichem Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze umzusetzen: Die adligen Familien erhalten erweiterte Rechte in der...""\nDie neuen Gesetze scheinen die Kriegerkaste stark zu begünstigen.";;;;;;;;;;;x
EVTDESCB_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The noble Druids and Filidh will have the right to ...""\nThe new laws seem heavily biased towards the druidic castes.";;"Der Ollamh, unterstützt von anderen Mitgliedern der Bardenkaste, hat die neuen Gesetze erlassen, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze einzuführen: Die edlen Druiden und Filidh werden das Recht haben, ...""\nDie neuen Gesetze scheinen die druidischen Kasten stark zu begünstigen.";;;;;;;;;;;x
EVTDESCC_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: Trade is of the utmost importance and thus...""\nThe new laws seem heavily biased towards the merchant castes.";;"Der Ollamh hat mit Unterstützung anderer Mitglieder der Bardenkaste die neuen Gesetze verkündet, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze zu erlassen: Der Handel ist von größter Bedeutung und daher...""\nDie neuen Gesetze scheinen stark auf die Handelskaste ausgerichtet zu sein.";;;;;;;;;;;x
EVTDESCD_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: In the interest of the common good, every free man of the realm will...""\nThe new laws seem to treat everyone fairly.";;"Der Ollamh, unterstützt von anderen Mitgliedern der Bardenkaste, hat die neuen Gesetze erlassen, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze zu erlassen: Im Interesse des Gemeinwohls wird jeder freie Mann des Reiches...""\nDie neuen Gesetze scheinen alle gerecht zu behandeln.";;;;;;;;;;;x
EVTDESCE_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: For the Gaels to be great, their King must be great as well...""\nThe new laws seem to favor centralization of the crowns powers.";;"Der Ollamh hat mit Unterstützung anderer Mitglieder der Bardenkaste die neuen Gesetze verkündet, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze zu erlassen: Wenn die Gälen groß sein sollen, muss auch ihr König groß sein...""\nDie neuen Gesetze scheinen die Zentralisierung der Macht der Krone zu begünstigen.";;;;;;;;;;;x
EVTDESCF_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The free men of the Fianna are the most valorous warriors of the realm, thus their...""\nThe new laws seem heavily biased towards the roaming Fianna.";;"Der Ollamh hat mit Unterstützung anderer Mitglieder der Bardenkaste die neuen Gesetze verkündet, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze in Kraft zu setzen: Die freien Männer der Fianna sind die tapfersten Krieger des Reiches, daher sind ihre...""\nDie neuen Gesetze scheinen die umherziehenden Fianna stark zu begünstigen.";;;;;;;;;;;x
EVTDESCG_ancrel_1200;"The Ollamh, aided by other members of the bardic caste, has given out the new laws that will mark [From.GetTitledFirstName]'s reign. ""By royal decree, I, [From.GetTitledFirstName], have decided to implement the following laws: The wondrous kings and queens of the heavens, those feathery angels from above, will have pecking rights on...""\nThe new laws seem to be strangely focused on the birds.";;"Der Ollamh hat mit Unterstützung anderer Mitglieder der Bardenkaste die neuen Gesetze verkündet, die die Herrschaft von [From.GetTitledFirstName] kennzeichnen werden. ""Durch königlichen Erlass habe ich, [From.GetTitledFirstName], beschlossen, die folgenden Gesetze zu erlassen: Die wundersamen Könige und Königinnen des Himmels, diese gefiederten Engel von oben, werden das Recht haben, an...""\nDie neuen Gesetze scheinen sich seltsamerweise auf die Vögel zu konzentrieren.";;;;;;;;;;;x
EVTOPTA_ancrel_1200;Very Well;;Sehr gut;;;;;;;;;;;x
EVTOPTB_ancrel_1200;How strange;;Wie seltsam;;;;;;;;;;;x
EVTOPTA_ancrel_1201;My will be made;;Mein Wille wird gemacht;;;;;;;;;;;x
EVTDESC_ancrel_1214;Victory is mine, I triumphed in in every athletic contest there is, proving once and for all that I am the champion.;;Der Sieg ist mein, ich habe jeden sportlichen Wettkampf gewonnen und ein für alle Mal bewiesen, dass ich der Champion bin.;;;;;;;;;;;x
EVTOPTA_ancrel_1214;Victorious;Victoire !;Siegreich;;¡Victoria!;;;;;;;;;x
EVTDESC_ancrel_1215;[From.GetTitledName] has been crowned the most skillful athlete in the land.;;[From.GetTitledName] wurde zum geschicktesten Athleten des Landes gekrönt.;;;;;;;;;;;x
EVTOPTA_ancrel_1215;[From.GetSheHeCap] truly deserves it!;C'est amplement mérité !;[From.GetSheHeCap] hat es wahrlich verdient!;;¡[From.GetSheHeCap] de verdad se lo merece!;;;;;;;;;x
EVTDESC_ancrel_1216;Victory is mine, I triumphed over all my foes, proving once and for all that I am a champion.;;Der Sieg ist mein, ich habe alle meine Feinde besiegt und ein für alle Mal bewiesen, dass ich ein Champion bin.;;;;;;;;;;;x
EVTOPTA_ancrel_1216;Victorious;Victoire !;Siegreich;;¡Victoria!;;;;;;;;;x
EVTDESC_ancrel_1217;[From.GetTitledName] has been crowned the most skillful fighter in the land.;;[From.GetTitledName] wurde zum geschicktesten Kämpfer des Landes gekrönt.;;;;;;;;;;;x
EVTOPTA_ancrel_1217;[From.GetSheHeCap] truly deserves it!;C'est amplement mérité !;[From.GetSheHeCap] hat es wahrlich verdient!;;¡[From.GetSheHeCap] de verdad se lo merece!;;;;;;;;;x
EVTDESC_ancrel_1218;The judges have decided, my creation is the most intricate and beautiful piece of craftmanship the judges have ever seen, proving once and for all that I am a master craftsman.;;Die Richter haben entschieden, dass meine Kreation das komplizierteste und schönste Stück Handwerkskunst ist, das die Richter je gesehen haben, was ein für alle Mal beweist, dass ich ein Meister des Handwerks bin.;;;;;;;;;;;x
EVTOPTA_ancrel_1218;Victorious;Victoire !;Siegreich;;¡Victoria!;;;;;;;;;x
EVTDESC_ancrel_1219;[From.GetTitledName] has been crowned the most skillful craftsman in the land.;;[From.GetTitledName] ist zum geschicktesten Handwerker des Landes gekrönt worden.;;;;;;;;;;;x
EVTOPTA_ancrel_1219;[From.GetSheHeCap] truly deserves it!;C'est amplement mérité !;[From.GetSheHeCap] hat es wahrlich verdient!;;¡[From.GetSheHeCap] de verdad se lo merece!;;;;;;;;;x
EVTDESC_ancrel_1220;The Aonach Tailteann is over and now it is time to bask in the glory.;L'Aonach Tailteann est terminé et l’heure est venue d’en récolter les fruits.;Der Aonach Tailteann ist vorbei, und nun ist es an der Zeit, sich im Ruhm zu sonnen.;;El torneo ha acabado y ha llegado el momento de saborear la gloria.;;;;;;;;;x
EVTOPTA_ancrel_1220;A glorious event;Un événement glorieux;Ein glorreiches Ereignis;;Un evento glorioso.;;;;;;;;;x
EVTDESC_ancrel_1221;My liege! Your guest [From.GetTitledName] has tragically been killed during the games!;Mon Seigneur ! [From.GetTitledName] est mort tragiquement lors des jeux !;Mein Lehnsherr! Euer Gast [From.GetTitledName] ist auf tragische Weise während der Spiele ums Leben gekommen!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente asesinado durante el torneo!;;;;;;;;;x
EVTOPTA_ancrel_1221;Most unfortunate;Quelle malchance;Sehr bedauerlich;;El más desafortunado;;;;;;;;;x
EVTOPTB_ancrel_1221;Don't bother me with such details!;Passez sur les détails futiles !;Belästigt mich nicht mit solchen Details!;;¡No me moleste con tales detalles!;;;;;;;;;x
EVTDESC_ancrel_1222;My liege! Your guest [From.GetTitledName] has tragically been maimed during the games!;Mon Seigneur ! [From.GetTitledName] a été gravement blessé lors des jeux !;Mein Lehnsherr! Euer Gast [From.GetTitledName] wurde während der Spiele auf tragische Weise verstümmelt!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente mutilado durante el torneo!;;;;;;;;;x
EVTDESC_ancrel_1223;My liege! Your guest [From.GetTitledName] has tragically been wounded during the games!;Mon Seigneur ! [From.GetTitledName] a été blessé lors des jeux !;Mein Lehnsherr! Euer Gast [From.GetTitledName] ist während der Spiele auf tragische Weise verwundet worden!;;¡Mi señor! ¡Su huésped [From.GetTitledName] ha sido trágicamente herido durante el torneo!;;;;;;;;;x
EVTDESC_ancrel_1224;The Tailteann Games end and although I may not have won any of the events my prowess did not go unnoticed.;Le tournoi se termine et même si je n’ai remporté aucune des mêlées, mes prouesses ont été remarquées.;Die Spiele von Tailteann sind zu Ende, und auch wenn ich keines der Ereignisse gewonnen habe, ist mein Können nicht unbemerkt geblieben.;;El torneo ha acabado y, aunque no haya ganado ningún combate, mis proezas no han pasado desapercibidas.;;;;;;;;;x
EVTOPTA_ancrel_1224;But of course;Mais, bien sûr !;Aber natürlich;;Claro que sí.;;;;;;;;;x
EVTDESC_ancrel_1225;The Tailteann Games end and I have shown time and time again that my skill in arms, even if I did not win I still covered myself in glory.;Le tournoi se termine et j’ai prouvé que je savais manier les armes. Certes, je n’ai pas gagné, mais la gloire était malgré tout au rendez-vous.;Die Spiele von Tailteann gehen zu Ende, und ich habe immer wieder bewiesen, dass meine Waffenkünste, auch wenn ich nicht gewonnen habe, mich dennoch mit Ruhm bedeckt haben.;;El torneo ha acabado y he demostrado una y otra vez mis gloriosas habilidades en la batalla. Aunque no haya ganado, me he cubierto de gloria.;;;;;;;;;x
EVTOPTA_ancrel_1225;Glory to me;Gloire à moi !;Ruhm für mich;;Que la gloria me acompañe.;;;;;;;;;x
EVTDESC_ancrel_1226;The Tailteann Games end and it was a terrible moment, but it was one time only. I still hear their laughter.;Le tournoi se termine et il a été terrible. J’entends encore leurs rires.;Die Tailteann Spiele enden und es war ein schrecklicher Moment, aber es war nur ein einziges Mal. Ich höre immer noch ihr Lachen.;;El torneo ha acabado y ha sido horrible, menos mal que no se volverá a repetir. Aún me parece oír las risas.;;;;;;;;;x
EVTOPTA_ancrel_1226;It was shameful;Quelle honte !;Es war beschämend;;Fue vergonzoso.;;;;;;;;;x
EVTDESC_ancrel_1227;The Tailteann Games end and I was a total disgrace. Personally I blame my team, but people did not see it that way.;Le tournoi se termine et j’ai perdu chacune des manches. Pour moi, c’est de la faute de mon écuyer, mais les autres ne semblent pas de cet avis.;Die Tailteann Games enden, und ich war eine totale Schande. Ich persönlich gebe meinem Team die Schuld, aber die Leute haben das nicht so gesehen.;;El torneo ha acabado y me eliminaron en los primeros combates. Yo creo que la culpa es de mi escudero, pero la gente no lo vio así.;;;;;;;;;x
EVTOPTA_ancrel_1227;I know they snigger behind my back.;Je sais qu’ils rient derrière mon dos.;Ich weiß, dass sie hinter meinem Rücken kichern.;;Sé bien que se ríen a mis espaldas.;;;;;;;;;x
EVTDESC_ancrel_1228;The Tailteann Games end and although I did not win I felt many lessons were learnt.;Le tournoi se termine et même si je n’ai pas gagné, il m’a beaucoup appris.;Die Tailteann Games enden, und obwohl ich nicht gewonnen habe, hatte ich das Gefühl, dass ich viele Lektionen gelernt habe.;;El torneo ha acabado y, aunque no he ganado, creo que he aprendido mucho.;;;;;;;;;x
EVTOPTA_ancrel_1228;It was worthwhile.;Le jeu en valait la chandelle.;Das war es wert.;;Mereció la pena.;;;;;;;;;x
EVTDESC_ancrel_1229;The Tailteann Games end and my tactics were poor, people doubt my abilities now.;Le tournoi se termine. Mes tactiques se sont révélées médiocres et les gens doutent de mes capacités maintenant.;Die Tailteann Games enden und meine Taktik war schlecht, die Leute zweifeln jetzt an meinen Fähigkeiten.;;El torneo ha acabado y mi estrategia fue deficiente. Ahora dudan de mis habilidades.;;;;;;;;;x
EVTOPTA_ancrel_1229;Oh Dear;Oh, là là !;Oh je;;Madre mía.;;;;;;;;;x
EVTDESC_ancrel_1230;I felt my armor was strong and my training was first rate. Sadly it failed and I felt the icy chill as the steel carved into my flesh. My eyes grew heavy and sight grew dim.;Je pensais que mon armure était solide et mon entraînement de tour premier ordre. Malheureusement, ce n’était pas le cas et j’ai senti l’acier me déchirer la chair. J'avais les yeux lourds et ma vue s’est voilée.;Ich hatte das Gefühl, dass meine Rüstung stark war und mein Training erstklassig war. Leider versagte sie, und ich spürte die eisige Kälte, als sich der Stahl in mein Fleisch bohrte. Meine Augen wurden schwer und die Sicht wurde trüb.;;Mi armadura era fuerte y mi entrenamiento había sido de primera. Pero, por desgracia, algo falló cuando sentí el frío helado del acero abriéndose en la piel. Los ojos se me cerraban y la vista se oscurecía.;;;;;;;;;x
EVTOPTA_ancrel_1230;Then I died;Puis, j’ai succombé.;Dann starb ich;;En ese momento, morí.;;;;;;;;;x
EVTDESC_ancrel_1231;The fight was going well when the mace came crashing down upon me, I managed to block it but my shield shatter under the force of the blow. The next swing came crashing down and the darkness overtook me.;La mêlée se présentait bien avant que la masse ne s’abatte sur moi. J’ai réussi à la bloquer, mais mon bouclier n’y a pas résisté. Le coup suivant a eu raison de moi et j’ai plongé dans l’obscurité.;Der Kampf lief gut, als der Streitkolben auf mich niederprasselte. Ich konnte ihn abwehren, aber mein Schild zerbrach unter der Wucht des Schlags. Der nächste Schlag krachte nieder und die Dunkelheit holte mich ein.;;El combate iba bien hasta que aquella maza cayó sobre mí. Pude cubrirme, pero mi escudo quedó hecho añicos ante la fuerza del golpe. Entonces, recibí el siguiente mazazo y todo se volvió oscuro.;;;;;;;;;x
EVTOPTA_ancrel_1231;When I awoke I was maimed.;À mon réveil, j’étais estropié(e).;Als ich erwachte, war ich verstümmelt.;; Al despertar, vi mi cuerpo lisiado.;;;;;;;;;x
EVTDESC_ancrel_1232;I thought I was a better fighter than my opponent, but he came upon me and I parried the first thrust. The follow up was too quick for me and a jolt of pain shot through my body. ;J’ai cherché un adversaire digne de mon nom lors de la mêlée. J’ai réussi à esquiver sa première attaque, mais la seconde a été trop rapide et la souffrance a envahi mon corps. ;Ich dachte, ich sei ein besserer Kämpfer als mein Gegner, aber er kam auf mich zu, und ich parierte den ersten Hieb. Der nächste war zu schnell für mich und ein Schmerz schoss durch meinen Körper. ;;Yo que buscaba un rival digno para combatir... pero cuando este vino hacia mí, esquivé el primer ataque. Ya el siguiente fue demasiado rápido, y una oleada de dolor se me extendió por el cuerpo. ;;;;;;;;;x
EVTOPTA_ancrel_1232;The Wound, the  wound.;Blessé(e), blessé(e).;Die Wunde, die Wunde.;;La herida, esa herida.;;;;;;;;;x
EVTDESC_ancrel_1233;I advanced forth to meet my opponent, but when I saw him my bowels suddenly loosened and guts turned to water. My foe looked on me in disgust.;Nous nous jetâmes dans la mêlée, mais je vis nos ennemis et mes tripes se retournèrent soudainement. Tous mes camarades me regardèrent avec dégoût.;Ich rückte vor, um meinen Gegner zu treffen, aber als ich ihn sah, lockerten sich plötzlich meine Eingeweide und die Eingeweide wurden zu Wasser. Mein Feind sah mich angewidert an.;;Avanzamos adelante en el cuerpo a cuerpo, pero entonces vi a nuestros enemigos y de repente me flojearon las piernas y se me hicieron las tripas agua. Todos mis camaradas me miraron disgustados.;;;;;;;;;x
EVTOPTA_ancrel_1233;My cheeks burned in shame.;Mes joues étaient rouges de honte.;Meine Wangen brannten vor Scham.;;Estaba rojo de la vergüenza.;;;;;;;;;x
EVTDESC_ancrel_1234;The fight was fought and I went boldly forth, while my opponent stood back I charged forth headless of my own safety.;La mêlée suivait son cours, je progressais et, alors que mon adversaire reculait, j’ai chargé sans penser à ma propre sécurité.;Der Kampf wurde ausgetragen, und ich ging kühn vorwärts, während mein Gegner zurückwich, stürmte ich kopflos auf meine eigene Sicherheit zu.;;Luchamos y avancé con valentía. Mientras otros retrocedían, yo cargaba hacia adelante poniendo en riesgo mi vida.;;;;;;;;;x
EVTOPTA_ancrel_1234;They were all in awe with my manliness.;Ils étaient tous impressionnés par ma virilité.;Alle waren voller Ehrfurcht vor meiner Männlichkeit.;;Todos estaban impresionados con mi hombría.;;;;;;;;;x
EVTDESC_ancrel_1235;People felt my leadership skills were poor, some even called me misguided.  Then the tide of the game turned  and in the sweat of the pursuit my voice rose above the others and my direction  turned the tide.;Les gens critiquaient mes qualités de chef, certains me croyaient même malavisé. Puis le cours de la mêlée s’est inversé et, en pleine bataille, ma voix s’est élevée au-dessus des autres pour donner des ordres décisifs.;Die Leute hielten meine Führungsqualitäten für mangelhaft, einige nannten mich sogar fehlgeleitet.  Dann wendete sich das Blatt, und im Schweiße meines Angesichts erhob sich meine Stimme über die anderen, und meine Führung wendete das Blatt.;;Todos vieron que mis dotes de líder eran deficientes, alguno incluso me dijo que andaba perdido.  Pero entonces, en el fragor de la batalla mi voz se alzó sobre la de los demás y mis órdenes cambiaron el rumbo del combate.;;;;;;;;;x
