#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CHRISTIAN;;;;;;;;;;;;;;;
follows_correct_religion;Follows the correct religion;;Folgt der richtigen Religion;;;
tp_holy_site_mount_athos_desc;A monastery on the slopes of the holy Mount Athos.;;Ein Kloster an den Hängen des heiligen Berges Athos.;;;
#PAGAN;;;;;;;;;;;;;;;
tp_holy_site_sacred_grove;Sacred Grove;;Heiliger Hain;;;
##BALTIC;;;;;;;;;;;;;;;
tp_holy_site_dieva_sanctuary;Dievas's Sanctuary;;Das Heiligtum des Dievas;;;
tp_holy_site_dieva_sanctuary_desc;A sanctuary dedicated to Dievas, holy to the Baltic faiths.;;Ein Heiligtum, das dem für die baltischen Religionen heiligen Dievas gewidmet ist.;;;
tp_holy_site_gabija_temple;Temple of Gabija;;Gabija-Tempel;;;
tp_holy_site_gabija_temple_desc;A temple dedicated to the Baltic fire Goddess Gabija. Holy to the Baltic faiths. An eternal bonfire burns in its center.;;Ein Tempel, der der baltischen Feuergöttin Gabija geweiht ist. Heilig für die baltischen Religionen. In seinem Zentrum brennt ein ewiges Lagerfeuer.;;;
tp_holy_site_laima_grove;Shrine at Laima's Grove;;Heiligtum in Laimas Hain;;;
tp_holy_site_laima_grove_desc;A shrine within a grove dedicated to the Baltic Goddess Laima. Holy to the Baltic faiths.;;Ein der baltischen Göttin Laima geweihter Schrein in einem Hain. Heilig für die baltischen Religionen.;;;
tp_holy_site_perkunas_forest;Shrine in Perkunas's Forest;;Schrein im Wald von Perkunas;;;
tp_holy_site_perkunas_forest_desc;A shrine, deep in the forest dedicated to the Baltic God Perkunas. Holy to the Baltic faiths.;;Ein Schrein tief im Wald, der dem baltischen Gott Perkunas geweiht ist. Heilig für die baltischen Religionen.;;;
tp_holy_site_romuva_temple;Romuva Temple;;Romuva-Tempel;;;
tp_holy_site_romuva_temple_desc;A temple, holy to the Baltic faiths, dedicated to Patrimpas, Perkunas, and Patulas;;Ein den baltischen Religionen heiliger Tempel, der Patrimpas, Perkunas und Patulas geweiht ist.;;;
##CELTIC;;;;;;;;;;;;;;;
tp_holy_site_bryn_gwyn_stones;The Bryn Gwyn Stones;;Die Bryn Gwyn-Steine;;;
tp_holy_site_bryn_gwyn_stones_desc;A circle of eight standing stones, aligned to the Summer and Winter solstices, holy to the Celtic faiths.;;Ein Kreis aus acht stehenden Steinen, die auf die Sommer- und Wintersonnenwende ausgerichtet und den keltischen Religionen heilig sind.;;;
tp_holy_site_callanish_stones;The Callanish Stones;;Die Callanish-Steine;;;
tp_holy_site_callanish_stones_desc;A cruciform pattern of standing stones, holy to the Celtic faiths.;;Ein kreuzförmiges Muster aus stehenden Steinen, die den keltischen Religionen heilig sind.;;;
tp_holy_site_carnac_stones;The Carnac Stones;;Die Carnac-Steine;;;
tp_holy_site_carnac_stones_desc;A dense collection of standing stones, holy to the Celtic faiths.;;Eine dichte Ansammlung stehender Steine, die den keltischen Religionen heilig sind.;;;
tp_holy_site_lia_fail;Lia Fáil;;Lia Fáil;;;
tp_holy_site_lia_fail_desc;The Stone of Destiny. Coronation stone of the High Kings of Ireland and holy to the Celtic faiths.;;Der Stein des Schicksals. Krönungsstein der irischen Hochkönige und den keltischen Religionen heilig.;;;
tp_holy_site_stonehenge;Stonehenge;;Stonehenge;;;
tp_holy_site_stonehenge_desc;A ring of standing stones, built in time immemorial and holy to the Celtic faiths.;;Ein Ring stehender Steine, der vor langer Zeit errichtet wurde und den keltischen Religionen heilig ist.;;;
##GERMANIC;;;;;;;;;;;;;;;
tp_holy_site_irminsul;Irminsul;;Irminsul;;;
tp_holy_site_irminsul_desc;A shrine at the base of a large tree holy to the Nordic and Continental Germanic faiths. Said to be the Earthly representation of the World Tree upon which the Allfather sacrificed himself to himself.;;Ein Schrein am Fuß eines großen Baumes, der den nordischen und kontinentalgermanischen Religionen heilig ist. Er soll die irdische Darstellung des Weltenbaums sein, auf dem sich der Allvater selbst opferte.;;;
###CONTINENTAL GERMAN;;;;;;;;;;;;;;;
tp_holy_site_nerthus_glade;Shrine at Nerthus's Glade;;Heiligtum auf der Lichtung von Nerthus;;;
tp_holy_site_nerthus_glade_desc;A shrine said to be inhabited by the Germanic Goddess Nerthus. The site is holy to the Continental Germanic faiths.;;Ein Schrein, der von der germanischen Göttin Nerthus bewohnt sein soll. Der Ort ist den kontinentalen germanischen Religionen heilig.;;;
tp_holy_site_grove_nehalennia;Shrine at Nehalennia's Grove;;Schrein im Hain der Nehalennia;;;
tp_holy_site_grove_nehalennia_desc;A shrine within the holy grove of Nehalennia said to be home to the Goddess. The site is holy to the Continental Germanic faiths.;;Ein Schrein im heiligen Hain von Nehalennia, in dem die Göttin zu Hause sein soll. Der Ort ist den kontinentalgermanischen Religionen heilig.;;;
tp_holy_site_thunaer_oak;Thunær's Oak;;Thunærs Eiche;;;
tp_holy_site_thunaer_oak_desc;A shrine at the base of large tree holy to the Continental Germanic faiths. Said to be the home to the God Thunær;;Ein Schrein am Fuße eines großen Baumes, der den kontinentalgermanischen Religionen heilig ist. Es heißt, dass hier der Gott Thunær zu Hause ist.;;;
tp_holy_site_wayland_smith;Wayland's Smithy;;Wayland's Schmiede;;;
tp_holy_site_wayland_smith_desc;A stone structure said to be the home and forge of the Continental Germanic God Wayland. Travelers who leave offerings here are said to have their horses shod by an invisible smith.;;Ein steinernes Bauwerk, das als Heim und Schmiede des kontinentalgermanischen Gottes Wayland gilt. Reisende, die hier Opfergaben hinterlassen, sollen ihre Pferde von einem unsichtbaren Schmied beschlagen lassen.;;;
###NORSE;;;;;;;;;;;;;;;
tp_holy_site_frey_temple;Frey's Temple;;Frey's Tempel;;;
tp_holy_site_frey_temple_desc;A large temple said to have been founded and once inhabited by the Nordic God Frey. As such it is holy to the Nordic faiths.;;Ein großer Tempel, der angeblich vom nordischen Gott Frey gegründet und einst bewohnt wurde. Als solcher ist er den nordischen Religionen heilig.;;;
tp_holy_site_njorthr_glade;Shrine at Njörðr's Glade;;Schrein auf der Lichtung von Njörðr;;;
tp_holy_site_njorthr_glade_desc;A shrine said to be inhabited by the Norse God Njörðr. The site is holy to the Nordic faiths.;;Ein Schrein, der vom nordischen Gott Njörðr bewohnt sein soll. Der Ort ist den nordischen Religionen heilig.;;;
tp_holy_site_thor_temple;Thor's Temple;;Thors Tempel;;;
tp_holy_site_thor_temple_desc;A large temple, said to have been founded and once inhabited by the Nordic God Thor. As such it is holy to the Nordic faiths.;;Ein großer Tempel, der von dem nordischen Gott Thor gegründet und bewohnt worden sein soll. Als solcher ist er den nordischen Religionen heilig.;;;
tp_holy_site_waterfall_of_gods;Shrine at Goðafoss Waterfall;;Schrein am Goðafoss-Wasserfall;;;
tp_holy_site_waterfall_of_gods_desc;A shrine overlooking the Goðafoss Waterfall, where Þorgeir Ljósvetningagoði threw his idols of the Old Gods upon declaring that Iceland would convert to Christianity while still allowing the worship of the Nordic Gods in secret. This place is now holy to the Nordic faiths.;;Ein Schrein mit Blick auf den Goðafoss-Wasserfall, in den Þorgeir Ljósvetningagoði seine Götzenbilder der alten Götter warf, als er verkündete, dass Island zum Christentum konvertieren würde, während er die Verehrung der nordischen Götter im Geheimen weiterhin zuließ. Dieser Ort ist heute den nordischen Religionen heilig.;;;
