#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTULTIMATUMNO;I will not be blackmailed;;Ich lasse mich nicht erpressen;;;;;;;;;;;x
EVTDESC_Plus_325;This was not a just act!;;Das war kein gerechter Akt!;;;;;;;;;;;x
EVTOPTA_Plus_325;Oh well;;Nun gut;;;;;;;;;;;x
EVTDESC_Plus_326;I have reclaimed the Byzantine Empire for the Orthodox faith. The title of Augustus is rightfully mine.;;Ich habe das Byzantinische Reich für den orthodoxen Glauben zurückerobert. Der Titel des Augustus ist rechtmäßig mein.;;;;;;;;;;;x
EVTOPTA_Plus_326;Glorious day!;;Ein glorreicher Tag!;;;;;;;;;;;x
EVTDESC_Plus_334;The province of [converted_province.GetName] has finally seen the light, with the majority of its inhabitants at last accepting your culture. This should make your realm easier to manage and better unify your people.;;Die Provinz [converted_province.GetName] hat endlich das Licht der Welt erblickt, und die Mehrheit ihrer Bewohner hat endlich Eure Kultur angenommen. Das sollte die Verwaltung Eures Reiches erleichtern und Euer Volk besser vereinen.;;;;;;;;;;;x
EVTDESC_Plus_336;Those who have gone into hiding have been sent a message to return.;;Diejenigen, die untergetaucht sind, wurden aufgefordert, zurückzukehren.;;;;;;;;;;;x
EVTDESC_Plus_361;One of the startup flags has gone missing!;;Eine der Startflaggen ist verschwunden!;;;;;;;;;;;x
EVTDESC_Plus_600;I have assembled the lords and ladies of the [changed_title.GetFullName] to vote on my proposed Succession Law change.;;Ich habe die Lords und Ladies des [changed_title.GetFullName] versammelt, um über die von mir vorgeschlagene Änderung des Erbrechts abzustimmen.;;;;;;;;;;;x
EVTDESC_Plus_601;I have decided to institute the Gavelkind Succession Law in the [changed_title.GetFullName]. All that is needed is the support of yourself and my other loyal vassals.\n\nSincerely,\n[From.GetTitledName];;Ich habe beschlossen, das Gavelkind-Erbrecht in der [changed_title.GetFullName] einzuführen. Alles, was dazu nötig ist, ist die Unterstützung von Euch und meinen anderen treuen Vasallen.\n\nAufrichtig, \n[From.GetTitledName];;;;;;;;;;;x
EVTOPTA_Plus_601;Approve;;Genehmigen Sie;;;;;;;;;;;x
EVTOPTB_Plus_601;Ignore;;Ignorieren;;;;;;;;;;;x
EVTDESC_Plus_602;I have decided to institute the Primogeniture Succession Law in the [changed_title.GetFullName]. All that is needed is the support of yourself and my other loyal vassals.\n\nSincerely,\n[From.GetTitledName];;Ich habe beschlossen, das Primogenitur-Erbrecht im [changed_title.GetFullName] einzuführen. Alles, was dazu nötig ist, ist die Unterstützung von Euch und meinen anderen loyalen Vasallen.;;;;;;;;;;;x
EVTDESC_Plus_603;I have decided to institute the Seniority Succession Law in the [changed_title.GetFullName]. All that is needed is the support of yourself and my other loyal vassals.\n\nSincerely,\n[From.GetTitledName];;Ich habe beschlossen, das Senioritätsnachfolgegesetz in der [changed_title.GetFullName] einzuführen. Alles, was dazu nötig ist, ist die Unterstützung von Euch und meinen anderen loyalen Vasallen.;;;;;;;;;;;x
EVTDESC_Plus_605;[From.GetTitledFirstName] has made a change to the [emf_succ_title.GetFullName]'s succession laws... a change which has ensured that not only are you no longer the heir, you are no longer even considered a contender for succession.;;[From.GetTitledFirstName] hat eine Änderung der Erbschaftsgesetze des [emf_succ_title.GetFullName] vorgenommen... eine Änderung, die dafür gesorgt hat, dass Ihr nicht nur nicht mehr der Erbe seid, sondern nicht einmal mehr als Anwärter auf die Nachfolge angesehen werdet.;;;;;;;;;;;x
EVTOPTA_Plus_605;So be it!;;So soll es sein!;;;;;;;;;;;x
EVTOPTB_Plus_605;How dare [From.GetSheHe]! This is an outrage!;;Wie kann [From.GetSheHe] es wagen! Das ist eine Unverschämtheit!;;;;;;;;;;;x
EVTDESC_Plus_606;[From.GetTitledFirstName] has made a change to the [emf_succ_title.GetFullName]'s succession laws... a change which has ensured that you are no longer [From.GetHerHis] primary heir, even though you are still considered a candidate for succession.;;[From.GetTitledFirstName] hat die Erbschaftsgesetze von [emf_succ_title.GetFullName] geändert... eine Änderung, die dafür gesorgt hat, dass Ihr nicht mehr [From.GetHerHis] Haupterbe seid, obwohl Ihr immer noch als Anwärter auf die Nachfolge gilt.;;;;;;;;;;;x
EVTDESC_Plus_607;[From.GetTitledFirstName] has made a change to the [emf_succ_title.GetFullName]'s succession laws... a change which has ensured you are no longer considered a candidate for succession.;;[From.GetTitledFirstName] hat eine Änderung der [emf_succ_title.GetFullName]-Nachfolgegesetze vorgenommen... eine Änderung, die dafür gesorgt hat, dass Sie nicht länger als Kandidat für die Nachfolge angesehen werden.;;;;;;;;;;;x
EVTDESC_Plus_608;[From.GetTitledFirstName] has made a change to the [emf_succ_title.GetFullName]'s succession laws... a change which has elevated me to the status of [From.GetHerHis] primary heir. Be careful of the jealous eyes now cast your way.;;[From.GetTitledFirstName] hat eine Änderung an den Erbgesetzen von [emf_succ_title.GetFullName] vorgenommen... eine Änderung, die mich in den Status des Haupterben von [From.GetHerHis] erhoben hat. Nehmt Euch vor den eifersüchtigen Blicken in Acht, die nun auf Euch gerichtet sind.;;;;;;;;;;;x
EVTDESC_Plus_609;[From.GetTitledFirstName] has made a change to the [emf_succ_title.GetFullName]'s succession laws... a change which, while it has not made me [From.GetHerHis] heir, has put me in the immediate line for succession.;;[From.GetTitledFirstName] hat eine Änderung an den Erbschaftsgesetzen von [emf_succ_title.GetFullName] vorgenommen... eine Änderung, die mich zwar nicht zum Erben von [From.GetHerHis] gemacht hat, mich aber in die unmittelbare Erbfolge einreiht.;;;;;;;;;;;x
EVTDESC_Plus_610;The results of the vote on my proposed Succession Law change in the [FromFrom.GetFullName] are in.;;Die Ergebnisse der Abstimmung über die von mir vorgeschlagene Änderung des Erbrechts in der [FromFrom.GetFullName] sind da.;;;;;;;;;;;x
EVTOPTA_Plus_610;The proposal was approved;;Der Vorschlag wurde angenommen;;;;;;;;;;;x
EVTOPTB_Plus_610;The proposal was rejected;;Der Vorschlag wurde abgelehnt;;;;;;;;;;;x
EVTDESC_Plus_611;The Succession Law change proposed by [From.GetTitledName] was approved.;;Die von [From.GetTitledName] vorgeschlagene Erbrechtsänderung wurde angenommen.;;;;;;;;;;;x
EVTDESC_Plus_612;The Succession Law change proposed by [From.GetTitledName] was rejected.;;Die von [From.GetTitledName] vorgeschlagene Erbrechtsänderung wurde abgelehnt.;;;;;;;;;;;x
EVTDESCA_Plus_613;With my assumption of my distant [GetFromFromRelation]'s throne in the [From.GetFullBaseName], there are already those calling me the first of a new House.;;Mit meiner Übernahme des Throns meines entfernten [GetFromFromRelation] in der [From.GetFullBaseName] gibt es bereits diejenigen, die mich den ersten eines neuen Hauses nennen.;;;;;;;;;;;x
EVTDESCB_Plus_613;With my violent seizure of my [GetFromFromRelation]'s throne in the [From.GetFullBaseName], there are already those calling me the first of a new House.;;Mit meiner gewaltsamen Ergreifung des Throns meiner [GetFromFromRelation] in der [From.GetFullBaseName] gibt es bereits diejenigen, die mich den Ersten eines neuen Hauses nennen.;;;;;;;;;;;x
EVTOPTA_Plus_613;Yes, establish a new dynasty in [From.GetBaseName];;Ja, gründet eine neue Dynastie in [From.GetBaseName];;;;;;;;;;;x
EVTOPTB_Plus_613;No, emphasize our ties to House [FromFrom.GetOnlyDynastyName];;Nein, betont unsere Verbindungen zum Haus [FromFrom.GetOnlyDynastyName];;;;;;;;;;;x
EVTDESC_Plus_614;[From.GetTitledName] has taken the throne in the [From.GetFullBaseName] and established the [From.GetOnlyDynastyName] dynasty as a cadet branch of the [FromFromFrom.GetOnlyDynastyName] dynasty.;;[From.GetTitledName] hat den Thron im [From.GetFullBaseName]bestiegen und die Dynastie [From.GetOnlyDynastyName] als Kadettenzweig der Dynastie [FromFrom.GetOnlyDynastyName] gegründet.;;;;;;;;;;;x
EVTDESC_Plus_615;I have decided to institute the Tanistry Succession Law in the [changed_title.GetFullName]. All that is needed is the support of yourself and my other loyal vassals.\n\nSincerely,\n[From.GetTitledName];;Ich habe beschlossen, das Tanistry-Nachfolgegesetz im [changed_title.GetFullName] einzuführen. Alles, was dazu nötig ist, ist die Unterstützung von Euch und meinen anderen loyalen Vasallen.;;;;;;;;;;;x
EVTDESC_Plus_616;I have decided to institute the Feudal Elective Succession Law in the [changed_title.GetFullName]. All that is needed is the support of yourself and my other loyal vassals.\n\nSincerely,\n[From.GetTitledName];;Ich habe beschlossen, das feudale Wahlerbrecht im [changed_title.GetFullName] einzuführen. Alles, was ich dazu benötige, ist die Unterstützung von Euch und meinen anderen treuen Vasallen.\n\nMit freundlichen Grüßen,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus.1454;This decision allows you to play a completely different game. By proceeding you will be able to generate a completely random world with the option of ancient religions, or standard religions. You will even be able to decide if everyone starts as a count, duke or king. Please keep in mind that if this is a multiplayer game only the host should do these options.;;Diese Entscheidung ermöglicht es Ihnen, ein völlig anderes Spiel zu spielen. Indem du fortfährst, kannst du eine völlig zufällige Welt mit der Option von alten Religionen oder Standardreligionen erzeugen. Sie können sogar entscheiden, ob jeder als Graf, Herzog oder König beginnt. Bitte denken Sie daran, dass bei einem Multiplayer-Spiel nur der Gastgeber diese Einstellungen vornehmen sollte.;;;;;;;;;;;x
EVTOPTA_Plus.1454;Sounds intriguing;;Klingt faszinierend;;;;;;;;;;;x
EVTOPTB_Plus.1454;What nonsense;;Welcher Unsinn;;;;;;;;;;;x
EVTDESC_Plus.1455;Would you like to use standard religions, or ancient religions (such as Kemetic, Celtic etc)?\nThe game will appear to be frozen and non-responsive after picking this choice, this is normal and you must simply wait. A lot of messages will also appear afterwards, just hold the enter key to get rid of them easily.;;Möchten Sie Standardreligionen oder alte Religionen (wie kemetische, keltische usw.) verwenden?\nDas Spiel wird nach der Auswahl dieser Option eingefroren erscheinen und nicht mehr reagieren, das ist normal und Sie müssen einfach warten. Es werden auch viele Meldungen erscheinen, halten Sie einfach die Eingabetaste gedrückt, um sie loszuwerden.;;;;;;;;;;;x
EVTOPTA_Plus.1455;Standard Religions;;Standard-Religionen;;;;;;;;;;;x
EVTOPTB_Plus.1455;Ancient Religions;;Antike Religionen;;;;;;;;;;;x
EVTOPTC_Plus.1455;Nevermind;;Unwichtig;;;;;;;;;;;x
EVTDESC_Plus.1456;What tier would you like all independent rulers to be?\n\nAs last time, the game will appear frozen and unresponsive, this is normal just wait it out.;;Welchen Rang sollen alle unabhängigen Herrscher haben? Wie beim letzten Mal wird das Spiel eingefroren und reagiert nicht mehr, das ist normal, warte einfach ab.;;;;;;;;;;;x
EVTOPTA_Plus.1456;Counts;;Grafen;;;;;;;;;;;x
EVTOPTB_Plus.1456;Dukes;;Herzöge;;;;;;;;;;;x
EVTOPTC_Plus.1456;Kings;;Könige;;;;;;;;;;;x
EVTDESC_Plus.1457;The map is now almost done being generated. \n\nPlease run the game at speed 1 for one day, then pause. Once the game has caught up you may finally play. It is highly suggested that you afterwards save your game in case issues arise.;;Die Karte ist nun fast fertig generiert. \n\nBitte lasst das Spiel einen Tag lang mit Geschwindigkeit 1 laufen und pausiert dann. Sobald das Spiel aufgeholt hat, können Sie endlich spielen. Es wird dringend empfohlen, das Spiel anschließend zu speichern, falls Probleme auftreten sollten.;;;;;;;;;;;x
EVTOPTA_Plus.1457;Onto a brave new world!;;Auf in eine mutige neue Welt!;;;;;;;;;;;x
EVTDESC_Plus_3101;News has arrived that a new island in the far north-west has been discovered, by a viking of the name 'Naddoddur'. The claims of this viking have even been confirmed by a second by the name of 'Garðarr Svávarsson'. The name 'Iceland' has begun to come in use for this new island.;;"Es ist die Nachricht eingetroffen, dass eine neue Insel im äußersten Nordwesten entdeckt worden ist, und zwar von einem Wikinger namens 'Naddoddur'. Die Behauptungen dieses Wikingers wurden sogar von einem zweiten mit dem Namen ""Garðarr Svávarsson"" bestätigt. Der Name ""Island"" hat sich für diese neue Insel eingebürgert.";;;;;;;;;;;x
EVTOPTA_Plus_3101;Interesting;;Interessant;;;;;;;;;;;x
EVTDESC_Plus_3102;Further news of this 'Iceland' has arrived. It would seem vikings, unhappy with the current state of their homeland, have begun earnest attempts at settling the land there. Word is that, despite the name, it is a rather hospitable and fertile island.;;"Weitere Nachrichten über dieses ""Island"" sind eingetroffen. Es scheint, dass Wikinger, die mit dem Zustand ihrer Heimat unzufrieden sind, ernsthafte Versuche unternommen haben, das Land zu besiedeln. Es heißt, dass es sich trotz des Namens um eine recht gastfreundliche und fruchtbare Insel handelt.";;;;;;;;;;;x
EVTOPTA_Plus_3102;What a tale!;;Was für ein Märchen!;;;;;;;;;;;x
EVTDESC_Plus_3103;Even more news from Iceland. It would seem the settlement of the island is finally complete and a gathering of its inhabitants was held, called the 'Alþingi' to discuss matters of the island. It was held at the Lögberg, or Law Rock. It would seem the island now has the beginnings of a proper realm.;;"Noch mehr Nachrichten aus Island. Wie es scheint, ist die Besiedlung der Insel endlich abgeschlossen, und es wurde eine Versammlung der Einwohner abgehalten, die so genannte ""Alþingi"", um die Angelegenheiten der Insel zu besprechen. Die Versammlung fand auf dem Lögberg, dem Gesetzesfelsen, statt. Es scheint, dass die Insel nun die Anfänge eines richtigen Reiches hat.";;;;;;;;;;;x
EVTOPTA_Plus_3103;They've come a long way;;Sie haben einen langen Weg hinter sich;;;;;;;;;;;x
EVTDESC_Plus_2701;This event will allow you to replace the religions of the entire world with pagan equivalents. It will leave the currently existing political entities in place.;;Dieses Ereignis wird es Ihnen ermöglichen, die Religionen der ganzen Welt durch heidnische Äquivalente zu ersetzen. Die derzeit bestehenden politischen Gebilde bleiben bestehen.;;;;;;;;;;;x
EVTOPTA_Plus_2701;Let it be so;;So soll es sein;;;;;;;;;;;x
EVTDESC_Plus_2703;This decision allows you to start the game with the closest approximation possible to vanilla's ahistorical de Jure empires.\nPlease note that depending on the bookmark chosen and the kingdoms present there-in results may vary slightly.;;Diese Entscheidung ermöglicht es euch, das Spiel mit der größtmöglichen Annäherung an die ahistorischen de Jure-Imperien von Vanilla zu beginnen. Bitte beachtet, dass die Ergebnisse je nach gewähltem Lesezeichen und den darin enthaltenen Königreichen leicht variieren können.;;;;;;;;;;;x
EVTOPTA_Plus_2703;Sounds Good;;Klingt gut;;;;;;;;;;;x
EVTDESC_Plus_2705;Under normal circumstances the Aztecs have a very minor chance of appearing in CK2+ with their DLC enabled.\nBy using this setup option however they become just as likely to appear as in vanilla CK2.;;Unter normalen Umständen ist die Wahrscheinlichkeit, dass die Azteken in CK2+ mit aktiviertem DLC auftauchen, sehr gering.\nDurch die Verwendung dieser Einstellungsoption ist die Wahrscheinlichkeit, dass sie auftauchen, jedoch genauso hoch wie in Vanilla CK2.;;;;;;;;;;;x
EVTDESC_Plus_2706;Much time has passed since you started your campaign and the year 1453 has finally arrived.\nNormally this would be the end of the game however if you wish you may continue playing as much as you want. Perhaps there is just a little bit more you wanted to do?;;Es ist viel Zeit vergangen, seit du deine Kampagne begonnen hast, und das Jahr 1453 ist endlich gekommen.\nNormalerweise wäre dies das Ende des Spiels, aber wenn du willst, kannst du so lange weiterspielen, wie du willst. Vielleicht wollt ihr ja noch ein bisschen mehr tun?;;;;;;;;;;;x
EVTOPTA_Plus_2706;Just a bit longer!;;Nur ein bisschen länger!;;;;;;;;;;;x
EVTDESCA_Plus_2707;Normally when you start a game of CK2+ at 1000 or later the German culture is split apart. By using this customization option you will revert all German sub-cultures, like Bavarian, Swabian, Franconian etc, back to one unified German culture.\nThis cannot be undone once this option has been chosen.;;Wenn Sie ein Spiel von CK2+ bei 1000 oder später beginnen, wird die deutsche Kultur normalerweise aufgeteilt. Mit dieser Anpassungsoption werden alle deutschen Subkulturen, wie z.B. die bayerische, schwäbische, fränkische usw., wieder zu einer einheitlichen deutschen Kultur zusammengeführt.;;;;;;;;;;;x
EVTDESCB_Plus_2707;Normally when you start a game of CK2+ before 1000 the German culture will eventually split apart over time. By using this customization option you will prevent all German sub-cultures, like Bavarian, Swabian, Franconian etc, from splitting off of.\nThis cannot be undone once this option has been chosen.;;Wenn Sie ein Spiel von CK2+ vor 1000 beginnen, wird sich die deutsche Kultur im Laufe der Zeit aufspalten. Mit dieser Anpassungsoption verhindern Sie, dass sich alle deutschen Subkulturen, wie z.B. die bayerische, schwäbische, fränkische usw., abspalten.\nDies kann nicht rückgängig gemacht werden, sobald diese Option gewählt wurde.;;;;;;;;;;;x
EVTDESC_Plus_2709;This decision locks all realms, where possible, to be completely gender equal in all ways. It also prevents adjusting away from laws that would break this balance. Please note some titles cannot be changed due to hardcoded limitations.;;Diese Entscheidung sorgt dafür, dass alle Reiche, soweit möglich, in jeder Hinsicht vollständig geschlechtergleich sind. Sie verhindert auch, dass Gesetze angepasst werden, die dieses Gleichgewicht stören würden. Bitte beachten Sie, dass einige Titel aufgrund von hart kodierten Beschränkungen nicht geändert werden können.;;;;;;;;;;;x
EVTDESC_Plus_2711;This decision will prevent religious heads from calling Crusades/Jihad, for a certain period of time. Here you can select for how long do you want to delay the Crusades/Jihad. Please note, that if the religious head dies, he will be able to start the Crusade/Jihad earlier;;Diese Entscheidung verhindert, dass religiöse Oberhäupter für eine bestimmte Zeit zum Kreuzzug/Dschihad aufrufen. Hier können Sie auswählen, wie lange Sie die Kreuzzüge/den Dschihad verzögern möchten. Wenn das religiöse Oberhaupt stirbt, kann es den Kreuzzug/Dschihad früher beginnen;;;;;;;;;;;x
EVTOPTA_Plus_2711;1 year;;1 Jahr;;;;;;;;;;;x
EVTOPTB_Plus_2711;3 years;;3 Jahre;;;;;;;;;;;x
EVTOPTC_Plus_2711;5 years;;5 Jahre;;;;;;;;;;;x
EVTNAME_Plus_2260;Constantinople Overrun;;Konstantinopel überrannt;;;;;;;;;;;x
EVTDESC_Plus_2260;After years of religious conflict in Byzantium, it seems heretics have prevailed against Greek Rite Chalcedonians. Heretic [current_patriarch.GetTitledName] now completely controls the Church in the east and is fully supported by the Greek Emperor. Now, it is no longer possible to avert the coming schism, and it is thought to be only a matter of time before the division becomes official.;;Nach jahrelangen religiösen Konflikten in Byzanz scheinen die Häretiker gegen die Chalkedonier des griechischen Ritus gesiegt zu haben. Der Häretiker [current_patriarch.GetTitledName] kontrolliert nun die Kirche im Osten vollständig und wird vom griechischen Kaiser voll unterstützt. Jetzt ist es nicht mehr möglich, das kommende Schisma abzuwenden, und es ist wohl nur noch eine Frage der Zeit, bis die Spaltung offiziell wird.;;;;;;;;;;;x
EVTOPTA_Plus_2260;There's nothing we can do about it;;Wir können nichts dagegen tun;;;;;;;;;;;x
EVTOPTB_Plus_2260;Cursed heretics!;;Verfluchte Ketzer!;;;;;;;;;;;x
EVTOPTC_Plus_2260;I suppose we shall have to wait and see;;Wir müssen wohl abwarten und sehen.;;;;;;;;;;;x
EVTOPTD_Plus_2260;This is none of our concern;;Das geht uns nichts an;;;;;;;;;;;x
EVTDESC_Plus_3390;[Root.GetBestName] has deserves a proper reward for his loyalty to the Empire.;;[Root.GetBestName] hat eine angemessene Belohnung für seine Treue zum Reich verdient.;;;;;;;;;;;x
EVTOPTA_Plus_3390;I will grant him a landed title!;;Ich werde ihm einen Landtitel verleihen!;;;;;;;;;;;x
EVTOPTB_Plus_3390;A titular title is more appropriate.;;Ein Titular-Titel ist angemessener.;;;;;;;;;;;x
EVTDESC_PLUS_311;It would seem one of your trade posts has fallen in complete disrepair and had to be abandoned. This disrepair was caused by your lack of of advancement in 'Trade Practices' compared to the number of trade posts you held.;;"Wie es scheint, ist einer Eurer Handelsposten völlig baufällig geworden und musste aufgegeben werden. Dieser Verfall wurde dadurch verursacht, dass Ihr im Vergleich zu der Anzahl Eurer Handelsposten keine Fortschritte in den ""Handelspraktiken"" gemacht habt.";;;;;;;;;;;x
