#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_Plus_2751;The Invasion of Neustria;;Die Invasion von Neustria;;;;;;;;;;;x
EVTDESC_Plus_2755;My [Root.GetLordLady],\nI am not a fool. You will win this war in time, but I have a better solution: I offer my soldiers and my loyalty. I will bend the knee as your vassal and accept your [Root.Religion.GetName] faith as my own, if you will but spare my life and that of my court.\n\nSigned,\n[From.GetBestName];;Meine [Root.GetLordLady],\nich bin kein Narr. Ihr werdet diesen Krieg mit der Zeit gewinnen, aber ich habe eine bessere Lösung: Ich biete Euch meine Soldaten und meine Loyalität an. Ich werde als Euer Vasall das Knie beugen und Euren [Root.Religion.GetName] Glauben als meinen eigenen annehmen, wenn Ihr nur mein Leben und das meines Hofes verschont.;;;;;;;;;;;x
EVTDESC_Plus_2755_prisoner;My [Root.GetLordLady],\nI am your prisoner, and you may do with me what you wish -- but I offer you a better solution: my soldiers and my loyalty. I will bend the knee as your vassal and accept your [Root.Religion.GetName] faith as my own, if you will but spare my life and that of my court.\n\nSigned,\n[From.GetBestName];;Meine [Root.GetLordLady],\nIch bin Euer Gefangener, und Ihr könnt mit mir machen, was Ihr wollt - aber ich biete Euch eine bessere Lösung: meine Soldaten und meine Loyalität. Ich werde als Euer Vasall das Knie beugen und Euren [Root.Religion.GetName] Glauben als meinen eigenen annehmen, wenn Ihr nur mein Leben und das meines Hofes verschont.;;;;;;;;;;;x
EVTOPTA_Plus_2755;If he bends the knee, he may live;;Wenn er das Knie beugt, kann er leben.;;;;;;;;;;;x
EVTOPTB_Plus_2755;No -- the war continues;;Nein - der Krieg geht weiter;;;;;;;;;;;x
EVTNAME_Plus_2756;[Root.GetFirstName] Surrenders;;[From.GetFirstName] Ergibt sich;;;;;;;;;;;x
EVTDESC_Plus_2756;Facing an ignominious loss in his war against the Christians, [Root.GetTitledName] has bent the knee to [From.GetTitledName] and converted to the Christian faith. In truth, there are many who say the Norsemen of [Root.PrimaryTitle.GetName] have already taken on the language and customs of the Franks, and that this embracing of a new culture and liege was simply making official what was already in truth.;;Angesichts einer schmachvollen Niederlage in seinem Krieg gegen die Christen hat [Root.GetTitledName] das Knie vor [From.GetTitledName] gebeugt und ist zum christlichen Glauben übergetreten. In Wahrheit gibt es viele, die sagen, dass die Nordmänner von [Root.PrimaryTitle.GetName] bereits die Sprache und die Gebräuche der Franken übernommen haben und dass diese Annahme einer neuen Kultur und eines neuen Lehnsherrn lediglich das offiziell gemacht hat, was bereits der Wahrheit entsprach.;;;;;;;;;;;x
EVTOPTA_Plus_2756;So be it;;So sei es;;;;;;;;;;;x
EVTOPTB_Plus_2756;So long as he is loyal, I am pleased;;Solange er loyal ist, bin ich zufrieden.;;;;;;;;;;;x
EVTDESC_Plus_2757;There shall be no peace so long as you remain squatting on land where you do not belong.\n\nSigned,\n[From.GetBestName];;Es wird keinen Frieden geben, solange du auf einem Land hockst, das dir nicht gehört.\n\nUnterschrieben,\n[From.GetBestName];;;;;;;;;;;x
EVTDESC_Plus_2758;Now that you have converted, you are finally free to marry Poppa -- a consort captured at Bayeaux, and who you have been speaking with on matters of Christ for some time. Additionally, she has now born you a son and heir!;;Jetzt, da du dich bekehrt hast, kannst du endlich Poppa heiraten - eine Gefangene aus Bayeaux, mit der du schon seit einiger Zeit über Christus gesprochen hast. Außerdem hat sie dir jetzt einen Sohn und Erben geboren!;;;;;;;;;;;x

DEFENDER_KNEELS;§Y[This.GetBestName]§! will convert to the [Root.Religion.GetName] and become your vassal;;§Y[This.GetBestName]§! wird zur [Root.Religion.GetName] konvertieren und Euer Lehnsmann werden;;;;;;;;;;;x
OFFER_TO_KNEEL;Offer to become [This.GetTitledFirstNameNoRegnal]'s vassal and accept [This.GetHerHis] faith;;Biete an, [This.GetTitledFirstNameNoRegnal]'s Vasall zu werden und [This.GetHerHis] Glauben anzunehmen;;;;;;;;;;;x
