#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#PATRICIANS
baron_cuman;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x;;
baron_female_hellenic_pagan;Eques;Eques;Eques;;Eques;;;;;;;;;x
baron_female_jewish_group;Nagidah;Nagidah;Nagidah;;Nagidah;;;;;;;;;x
baron_female_polish;Lady;Dame;Frau;;Señora;;;;;;;;;x
baron_female_roman;Domina;Domina;Domina;;Domina;;;;;;;;;x
baron_female_saxon;Lady;Dame;Frau;;Señora;;;;;;;;;x
baron_hellenic_pagan;Eques;Eques;Eques;;Eques;;;;;;;;;x
baron_iranian;Argbadh;Argbadh;Argbadh;;Argbadh;;;;;;;;;x;;
baron_jewish_group;Nagid;Nagid;Nagid;;Nagid;;;;;;;;;x
baron_khazar;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x;;
baron_mongol;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x;;
baron_pecheneg;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x;;
baron_polish;Castellan;Châtelain;Kastellan;;Castellán;;;;;;;;;;;x
baron_roman;Eques;Eques;Eques;;Eques;;;;;;;;;x
baron_saxon;Thegn;Thegn;Thegn;;Thegn;;;;;;;;;x
baron_somali;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x;;
baron_south_slavic;Boyar;Boyard;Bojare;;Boyardo;;;;;;;;;x
baron_title_ruler_consort_female_aten_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
baron_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
baron_title_ruler_consort_female_jewish_group;Nagidah;Nagidah;Nagidah;;Nagidah;;;;;;;;;
baron_title_ruler_consort_jewish_group;Nagid;Nagid;Nagid;;Nagid;;;;;;;;;x
baron_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x;;
baron_west_african;Ton-Tigui;Ton-Tigui;Ton-Tigui;;Ton-Tigui;;;;;;;;;x
city_baron_female_jewish_group;Sar;Sar;Sar;;Sar;;;;;;;;;x
city_baron_hellenic_pagan;Prefect;Préfet;Bürgermeister;;Prefecto;;;;;;;;;x
city_baron_jewish_group;Sar;Sar;Sar;;Sar;;;;;;;;;x
city_baron_norse;Alderman;Alderman;Alderman;;Alderman;;;;;;;;;x
city_baron_norse_pagan;Alderman;Alderman;Alderman;;Alderman;;;;;;;;;x
city_baron_norse_pagan_reformed;Alderman;Alderman;Alderman;;Alderman;;;;;;;;;x
city_baron_pagan_group;Village Elder;Village Elder;Village Elder;;Village Elder;;;;;;;;;x
city_baron_roman;Praefectus;Praefectus;Praefectus;;Praefectus;;;;;;;;;x
city_baron_saxon;Reeve;Reeve;Reeve;;Reeve;;;;;;;;;x
city_baron_west_african;Dougou-Tigui;Dougou-Tigui;Dougou-Tigui;;Dougou-Tigui;;;;;;;;;x
city_baron_zoroastrian_group;Dihqan;Dihqan;Dihqan;;Dihqan;;;;;;;;;x
temple_baron_celtic_pagan;Druid;Druide;Druid;;Druid;;;;;;;;;x
temple_baron_celtic_pagan_reformed;Druid;Druide;Druid;;Druid;;;;;;;;;x
temple_baron_egyptian_pagan;Local Cult Leader;Dirigeant du Culte Local;Local Cult Leader;;Local Cult Leader;;;;;;;;;x
temple_baron_promethean_pagan;Philosophos;Philosophos;Philosophos;;Philosophos;;;;;;;;;x
temple_baron_titan_pagan;Priest;Priest;Priest;;Priest;;;;;;;;;x
temple_baron_female_promethean_pagan;Philosophoia;Philosophoia;Philosophoia;;Philosophoia;;;;;;;;;x
temple_baron_female_german_pagan;Priestess;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;x;;
temple_baron_female_jewish_group;Rabbi;Rabbi;Rabbi;;Rabbi;;;;;;;;;x;;
temple_baron_female_norse_pagan;Gydja;Gydja;Gydja;;Gydja;;;;;;;;;x
temple_baron_female_norse_pagan_reformed;Gydja;Gydja;Gydja;;Gydja;;;;;;;;;x
temple_baron_german_pagan;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x;;
temple_baron_jewish_group;Rabbi;Rabbi;Rabbi;;Rabbi;;;;;;;;;x;;
temple_baron_mandaean;Tarmid;Tarmid;Tarmid;;Tarmid;;;;;;;;x;;
temple_baron_manichean;Bishop;Bishop;Bishop;;Bishop;;;;;;;;x;;
temple_baron_norse_pagan;Godi;Godi;Godi;;Godi;;;;;;;;;x
temple_baron_norse_pagan_reformed;Godi;Godi;Godi;;Godi;;;;;;;;;x
temple_baron_othodox;Eparch;Éparque;Eparchen;;Eparca;;;;;;;;;x
temple_baron_west_african_pagan;Priest;Prêtre;Priester;;Sacerdote;;;;;;;;;x;;
temple_baron_yazidi;Sheikh;Sheikh;Sheikh;;Sheikh;;;;;;;;x;;
temple_baron_zoroastrian;Herbad;Herbad;Herbad;;Herbad;;;;;;;;x
temple_baron_zoroastrian;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x;;
tribal_baron;Elder;Aîné;Ältester;;Élder;;;;;;;;;x
tribal_baron_celtic;Prif;Prif;Prif;;Prif;;;;;;;;;x
#COUNTS
city_count_east_african;Mekonnen;Mekonnen;Mekonnen;;Mekonnen;;;;;;;;;x
city_count_east_slavic;Posadnik;Posadnik;Posadnik;;Posadnik;;;;;;;;;x
city_count_female_jewish_group;Parnas;Parnas;Parnas;;Parnas;;;;;;;;;x
city_count_hellenic_pagan;Lord Prefect;Seigneur-Préfet;Oberbürgermeister;;Gran Prefecto;;;;;;;;;x
city_count_italian;Podesta;Podesta;Podesta;;Podesta;;;;;;;;;x
city_count_jewish_group;Parnas;Parnas;Parnas;;Parnas;;;;;;;;;x
city_count_north_germanic;Lagman;Lagman;Lagman;;Lagman;;;;;;;;;x
city_count_roman;Praefectus Urbanus;Praefectus Urbanus;Praefectus Urbanus;;Praefectus Urbanus;;;;;;;;;x
city_count_saxon;Shire-Reeve;Shire-Reeve;Auenland-Reeve;;Comarca-Reeve;;;;;;;;;x
city_count_scottish;Lord Provost;Seigneur Prévôt;Herr Propst;;Señor Preboste;;;;;;;;;
city_count_west_african;Kafo-Tigui;Kafo-Tigui;Kafo-Tigui;;Kafo-Tigui;;;;;;;;;x
city_count_west_germanic;High-Reeve;Haut-Reeve;Hoher-Reeve;;Alta Reeve;;;;;;;;;x
count_aten_pagan;Irypat;Irypat;Irypat;;Irypat;;;;;;;;;x;;
count_east_slavic;Grand Boyar;Grand-Boyard;Großen Bojare;;Gran Boyardo;;;;;;;;;x
count_egyptian_pagan;Irypat;Irypat;Irypat;;Irypat;;;;;;;;;x;;
count_english;Earl;Earl;Earl;;Earl;;;;;;;;;x
count_female_english;Countess;Comtesse;Gräfin;;Condesa;;;;;;;;;x
count_female_hellenic_pagan;Legata;Legata;Legata;;Legata;;;;;;;;;x;;
count_female_jewish_group;Shiltanah;Shiltanah;Shiltanah;;Shiltanah;;;;;;;;;x;;
count_female_north_germanic;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_female_roman;Legata;Legata;Legata;;Legata;;;;;;;;;x
count_female_saxon;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_female_west_african;Farina;Farina;Farina;;Farina;;;;;;;;;x
count_hellenic_pagan;Legatus;Legatus;Legatus;;Legatus;;;;;;;;;x;;
count_iranian;Marzban;Marzban;Marzban;;Marzban;;;;;;;;;x;;
count_jewish_group;Shilton;Shilton;Shilton;;Shilton;;;;;;;;;x;;
count_north_germanic;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_pictish;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_roman;Legatus;Legatus;Legatus;;Legatus;;;;;;;;;x
count_saxon;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_scottish;Thane;Thane;Thane;;Thane;;;;;;;;;x
count_somali;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x;;
count_south_slavic;Grand Boyar;Grand-Boyard;Großen Bojare;;Gran Boyardo;;;;;;;;;x
count_title_ruler_consort_female_aten_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
count_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
count_title_ruler_consort_female_jewish_group;Shiltanah;Shiltanah;Shiltanah;;Shiltanah;;;;;;;;;;;
count_title_ruler_consort_jewish_group;Shilton;Shilton;Shilton;;Shilton;;;;;;;;;x;;
count_turkish;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x;;
count_west_african;Farin;Farin;Farin;;Farin;;;;;;;;;x
temple_count_apostolic;Archbishop;Archbishop;Archbishop;;Archbishop;;;;;;;;x;;
temple_count_bogomilist;Disciple;Disciple;Disciple;;Disciple;;;;;;;;x;;
temple_count_celtic_pagan;Druid;Druide;Druid;;Druid;;;;;;;;;x
temple_count_celtic_pagan_reformed;Druid;Druide;Druid;;Druid;;;;;;;;;x
temple_count_egyptian_pagan;Priest;Prêtre;Priest;;Priest;;;;;;;;;x
temple_count_promethean_pagan;Ypsilós Philosophos;Ypsilós Philosophos;Ypsilós Philosophos;;Ypsilós Philosophos;;;;;;;;;x
temple_count_female_promethean_pagan;Ypsilós Philosophoia;;;;;;;;;;;;;x
temple_count_female_jewish_group;Maran;Maran;Maran;;Maran;;;;;;;;;x;;
temple_count_female_pagan_group;High Priestess;High Priestess;High Priestess;;High Priestess;;;;;;;;;x;;
temple_count_jewish_group;Maran;Maran;Maran;;Maran;;;;;;;;;x;;
temple_count_mandaean;Tarmidana;Tarmidana;Tarmidana;;Tarmidana;;;;;;;;x;;
temple_count_manichean;High Bishop;High Bishop;High Bishop;;High Bishop;;;;;;;;x;;
temple_count_orthodox;Metropolitan;Métropolitain;Metropolit;;Metropolitano;;;;;;;;;x
temple_count_pagan_group;High Priest;Grand-prêtre;Hohepriester;;Sumo sacerdote;;;;;;;;;x;;
temple_count_yazidi;Sheikh;Sheikh;Sheikh;;Sheikh;;;;;;;;x;;
temple_count_zoroastrian;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x
tribal_count;Chief;Chef;Häuptling;;Mandatario;;;;;;;;;x;;
tribal_count_female;Chieftess;Cheftaine;Stammesführerin;;Jefa;;;;;;;;;x
tribal_count_female_north_germanic;Thane;Thane;Thane;;Thane;;;;;;;;;x
tribal_count_north_germanic;Thane;Thane;Thane;;Thane;;;;;;;;;x
#DUKES
city_duke_baltic;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
city_duke_bulgarian;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
city_duke_byzantine;Archon;Archonte;Archonte;;Archonte;;;;;;;;;x
city_duke_celtic;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duke_central_germanic;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_east_african;Liqat;Liqat;Liqat;;Liqat;;;;;;;;;x
city_duke_female_jewish_group;Shofet;Shofet;Shofet;;Shofet;;;;;;;;;x
city_duke_finno_ugric;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_hellenic_pagan;Proconsul;Proconsul;Prokonsul;;Procónsul;;;;;;;;;x
city_duke_italian;Doge;Doge;Doge;;Doge;;;;;;;;;x
city_duke_jewish_group;Shofet;Shofet;Shofet;;Shofet;;;;;;;;;x
city_duke_magyar;Rector;Recteur;Rektor;;Rectorado;;;;;;;;;x
city_duke_muslim;Hakim;Hakim;Hakim;;Hakim;;;;;;;;;x
city_duke_norman;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_norse;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
city_duke_north_germanic;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_prussian;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_roman;Proconsul;Proconsul;Proconsul;;Proconsul;;;;;;;;;x
city_duke_romanian;Voivode;Voivode;Woiwode;;Voivode;;;;;;;;;x
city_duke_south_slavic;Rector;Recteur;Rektor;;Rectorado;;;;;;;;;x
city_duke_ugric_baltic;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
city_duke_west_african;Dyamani-Tigui;Dyamani-Tigui;Dyamani-Tigui;;Dyamani-Tigui;;;;;;;;;x
city_duke_west_germanic;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
city_duke_west_slavic;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
city_female_duke_celtic;Princess;Princesse;Fürstin;;Princesa;;;;;;;;;x
duke_armenian;Melik;Melik;Melik;;Melik;;;;;;x
duke_aten_pagan;Nomarch;Nomarque;Nomarch;;Nomarch;;;;;;;;;x
duke_celtic_pagan;Rí;Rí;Rí;;Rí;;;;;;;;;x
duke_celtic_pagan_reformed;Rí;Rí;Rí;;Rí;;;;;;;;;x
duke_east_african;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
duke_east_slavic;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
duke_egyptian_pagan;Nomarch;Nomarque;Nomarch;;Nomarch;;;;;;;;;x
duke_female_armenian;Melika;Melika;Melika;;Melika;;;;;;;x
duke_female_celtic_pagan;Banríon;Banríon;Banríon;;Banríon;;;;;;;;;x
duke_female_celtic_pagan_reformed;Banríon;Banríon;Banríon;;Banríon;;;;;;;;;x
duke_female_east_african;Princess;Princesse;Fürstin;;Princesa;;;;;;;;;x
duke_female_east_slavic;Princess;Princesse;Fürstin;;Princesa;;;;;;;;;x
duke_female_hellenic_pagan;Legata Augusti;Legata Augusti;Legata Augusti;;Legata Augusti;;;;;;;;;x;;
duke_female_jewish_group;Alufa;Alufa;Alufa;;Alufa;;;;;;;;;x;;
duke_female_magyar;Banna;Banna;Banna;;Banna;;;;;;;;;x
duke_female_norse;Jarlinna;Jarlinna;Jarlina;;Jarlina;;;;;;;;;x
duke_female_pecheneg;High Chieftess;Grande Cheftaine;Großhäuptling;;Alto mandatario;;;;;;;;;x;;
duke_female_roman;Legata Augusti;Legata Augusti;Legata Augusti;;Legata Augusti;;;;;;;;;x
duke_female_russian;Knyaginya;Knyaginya;Knyaginya;;Knyaginya;;;;;;;x;;;;
duke_female_saxon;Lady;Dame;Frau;;Señora;;;;;;;;;x
duke_female_scottish;Mormaer;Mormaer;Mormaer;;Mormaer;;;;;;;;;x;;
duke_female_somali;Emira;Émira;Emirin;;Emira;;;;;;;;;x;;
duke_female_south_slavic;Banna;Banna;Banna;;Banna;;;;;;;;;x
duke_female_welsh;Princess;Princesse;Fürstin;;Princesa;;;;;;;;;x
duke_greek;Doux;Doux;Doux;;Duque;;;;;;;;;x;;
duke_hellenic_pagan;Legatus Augusti;Legatus Augusti;Legatus Augusti;;Legatus Augusti;;;;;;;;;x;;
duke_iranian;Satrap;Satrape;Satrap;;Sátrapa;;;;;;;;;x;;
duke_jewish_group;Aluf;Aluf;Aluf;;Aluf;;;;;;;;;x;;
duke_magyar;Ban;Ban;Ban;;Ban;;;;;;;;;x
duke_norse;Jarl;Jarl;Jarl;;Jarl;;;;;;;;x
duke_roman;Legatus Augusti;Legatus Augusti;Legatus Augusti;;Legatus Augusti;;;;;;;;;x
duke_russian;Knyaz;Knyaz;Knyaz;;Knyaz;;;;;;;x;;;;
duke_saxon;Eorl;Eorl;Eorl;;Eorl;;;;;;;;;x
duke_scottish;Mormaer;Mormaer;Mormaer;;Mormaer;;;;;;;;;;;;;;;;;;x
duke_somali;Emir;Émir;Emir;;Emir;;;;;;;;;x;;
duke_south_slavic;Ban;Ban;Ban;;Ban;;;;;;;;;x
duke_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
duke_title_ruler_consort_female_jewish_group;Alufa;Alufa;Alufa;;Alufa;;;;;;;;;;;
duke_title_ruler_consort_jewish_group;Aluf;Aluf;Aluf;;Aluf;;;;;;;;;x;;
duke_turkish;Beylerbey;Beylerbey;Beylerbey;;Beylerbey;;;;;;;;;x;;
duke_welsh;Prince;Prince;Prinz;;Príncipe;;;;;;;;;x
temple_duke_apostolic;Primate;Primate;Primate;;Primate;;;;;;;;x;;
temple_duke_bogomilist;Apostle;Apostle;Apostle;;Apostle;;;;;;;;x;;
temple_duke_female_norse_pagan;Hofgyðja;Hofgyðja;Hofgyðja;;Hofgyðja;;;;;;;;;x
temple_duke_female_norse_pagan_reformed;Hofgyðja;Hofgyðja;Hofgyðja;;Hofgyðja;;;;;;;;;x
temple_duke_promethean_pagan;Megálos Philosophos;Megálos Philosophos;Megálos Philosophos;;Megálos Philosophos;;;;;;;;;x
temple_duke_female_promethean_pagan;Megálos Philosophoia;Megálos Philosophoia;Megálos Philosophoia;;Megálos Philosophoia;;;;;;;;;x
temple_duke_mandaean;Ganzib;Ganzib;Ganzib;;Ganzib;;;;;;;;x;;
temple_duke_manichean;Disciple;Disciple;Disciple;;Disciple;;;;;;;;x;;
temple_duke_norse_pagan;Hofgoði;Hofgoði;Hofgoði;;Hofgoði;;;;;;;;;x
temple_duke_norse_pagan_reformed;Hofgoði;Hofgoði;Hofgoði;;Hofgoði;;;;;;;;;x
temple_duke_orthodox;Exarch;Exarque;Exarchen;;Exarca;;;;;;;;;x
temple_duke_yazidi;Grand Sheikh;Grand Sheikh;Grand Sheikh;;Grand Sheikh;;;;;;;;x;;
temple_duke_zoroastrian;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x
tribal_duke;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x;;
tribal_duke_celtic;Rí;Rí;Rí;;Rí;;;;;;;;x
tribal_duke_female;High Chieftess;Grande Cheftaine;Großhäuptling;;Alto mandatario;;;;;;;;;x;;
tribal_duke_female_celtic;Banríon;Banríon;Banríon;;Banríon;;;;;;;;;x
tribal_duke_female_north_germanic;Jarlinna;Jarlinna;Jarlina;;Jarlina;;;;;;;;;x
tribal_duke_north_germanic;Jarl;Jarl;Jarl;;Jarl;;;;;;;;;x
#KINGS
city_king_baltic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_breton;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_king_bulgarian;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_byzantine;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_king_celtic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_central_germanic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_east_african;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_east_slavic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_female_jewish_group;Nesi;Nesi;Nesi;;Nesi;;;;;;;;;x;;
city_king_finno_ugric;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_greek;Grand Archon;Grand Archonte;Grand Archon;;Grand Archon;;;;;;;;;x;;
city_king_iberian;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_king_italian;Serene Doge;Doge Sérénissime;Gelassene Doge;;Doge Serenísima;;;;;;;;;x
city_king_jewish_group;Nesi;Nesi;Nesi;;Nesi;;;;;;;;;x;;
city_king_latin;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_king_magyar;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_muslim;Malik;Malik;Malik;;Malik;;;;;;;;;x
city_king_norman;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_norse;Grand Prince;Grand Prince;Großtyrann;;Gran Príncipe;;;;;;;;;x
city_king_north_germanic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_roman;Consul;Consul;Consul;;Consul;;;;;;;;;x
city_king_south_slavic;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_king_west_african;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x
city_king_west_germanic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_king_west_slavic;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
king_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x;;
king_aten_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_bulgarian;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x;;
king_celtic_pagan;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
king_celtic_pagan_reformed;Ard Rí;Ard Rí;Ard Rí;;Ard Rí;;;;;;;;;x
king_east_slavic;Grand Prince;Grand Prince;Großtyrann;Grand Prince;;;;;;;;;x
king_egyptian_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x;;
king_female_aten_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_female_bulgarian;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x;;
king_female_celtic_pagan;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x
king_female_celtic_pagan_reformed;Ard Banríon;Ard Banríon;Ard Banríon;;Ard Banríon;;;;;;;;;x
king_female_east_slavic;Grand Princess;Grande Princesse;Großfürstin;;Gran Princesa;;;;;;;;;x
king_female_egyptian_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
king_female_iranian;Banebshen;Banebshen;Banebshen;;Banebshen;;;;;;;;;x;;
king_female_jewish;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;x;;
king_female_jewish_group;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;x;;
king_female_roman;Regina;Regina;Regina;;Regina;;;;;;;;;x
king_female_russian;Velikaya Knyaginya;Tsarine;Velikaya Knyaginya;;Velikaya Knyaginya;;;;;;;x;;;;
king_female_serbian;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x;;
king_female_south_slavic;Despotess;Dame Despote;Frau Despot;;Señora Déspota;;;;;;;;;x
king_greek;Despot;Despote;Despot;;Déspota;;;;;;;;;x;;
king_iranian;Shah;Shah;Schah;;Shah;;;;;;;;;x;;
king_jewish;Melech;Melech;Melech;;Melech;;;;;;;;;x;;
king_jewish_group;Melech;Melech;Melech;;Melech;;;;;;;;;x;;
king_roman;Rex;Rex;Rex;;Rex;;;;;;;;;x
king_serbian;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x;;
king_somali;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x;;
king_somali_female;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x;;
king_south_slavic;Despot;Despote;Despot;;Déspota;;;;;;;;;x
king_title_ruler_consort_female_aten_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
king_title_ruler_consort_female_egyptian_pagan;Mistress of the House;Maistresse de la Maison;Mistress of the House;;Mistress of the House;;;;;;;;;x
king_title_ruler_consort_female_jewish;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;x;;
king_title_ruler_consort_female_jewish_group;Malcah;Malcah;Malcah;;Malcah;;;;;;;;;;;
king_title_ruler_consort_jewish;Melech;Melech;Melech;;Melech;;;;;;;;;x;;
king_title_ruler_consort_jewish_group;Melech;Melech;Melech;;Melech;;;;;;;;;x;;
king_turkish;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x;;
temple_king_apostolic;Patriarch;Patriarch;Patriarch;;Patriarch;;;;;;;;x;;
temple_king_bogomilist;King-Apostle;King-Apostle;King-Apostle;;King-Apostle;;;;;;;;x;;
temple_king_celtic_pagan;Archdruid;Archidruide;Archdruid;;Archdruid;;;;;;;;;x
temple_king_celtic_pagan_reformed;Archdruid;Archidruide;Archdruid;;Archdruid;;;;;;;;;x
temple_king_egyptian_pagan;Pharaoh;Pharaon;Pharaoh;;Pharaoh;;;;;;;;;x
