#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CHANCELLOR
city_job_chancellor;Ambassador;Ambassadeur;Botschafter;;Embajador;;;;;;;;;x
job_marshal_west_african;Farari;Farari;Farari;;Farari;;;;;;;;;x
#SPIRITUAL
city_job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;;;;;;;;;x;;
city_job_spiritual_christian;Court Chaplain;Chapelain de la Cour;Hofprediger;;Capellán;;;;;;;;;x;;
city_job_spiritual_hellenic_pagan;Augur;Augure;Augur;;Augur;;;;;;;;;
city_job_spiritual_muslim;Court Imam;Imam;Hof-Imam;;Imán de la corte;;;;;;;;;x;;
city_job_spiritual_orthodox;Ecclesiarch;Sacristain;Ekklesiarch;;Eclesiarca;;;;;;;;;x;;
city_job_spiritual_female_pagan_group;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x;;
city_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;;;;;;;;;x;;
city_job_spiritual_shiite;Court Mullah;Mollah;Hof-Mullah;;Mulá de la corte;;;;;;;;;x;;
city_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x;;
job_spiritual_aten_pagan;Xroj;Xroj;Xroj;;Xroj;;;;;;;;;x;;
job_spiritual_christian;Court Chaplain;Chapelain de la Cour;Hofprediger;;Capellán;;;;;;;;;x;;
job_spiritual_egyptian_pagan;Xroj;Xroj;Xroj;;Xroj;;;;;;;;;x;;
job_spiritual_hellenic_pagan;Augur;Augure;Augur;;Augur;;;;;;;;;
job_spiritual_female_pagan_group;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x;;
job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;;;;;;;;;x;;
job_spiritual_zoroastrian_group;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x;;
nomadic_job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;;;;;;;;;x;;
nomadic_job_spiritual_christian;Chaplain;Chapelain;Prediger;;Capellán;;;;;;;;;x;;
nomadic_job_spiritual_muslim;Court Imam;Imam;Hof-Imam;;Imán de la corte;;;;;;;;;x;;
nomadic_job_spiritual_female_pagan_group;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x;;
nomadic_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;;;;;;;;;x;;
nomadic_job_spiritual_shiite;Court Mullah;Mollah;Hof-Mullah;;Mulá de la corte;;;;;;;;;x;;
nomadic_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x;;
tribal_job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;;;;;;;;;x;;
tribal_job_spiritual_christian;Chaplain;Chapelain;Prediger;;Capellán;;;;;;;;;x;;
tribal_job_spiritual_muslim;Court Imam;Imam;Hof-Imam;;Imán de la corte;;;;;;;;;x;;
tribal_job_spiritual_female_pagan_group;Seeress;Voyante;Seherin;;Vidente;;;;;;;;;x;;
tribal_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;;;;;;;;;x;;
tribal_job_spiritual_shiite;Court Mullah;Mollah;Hof-Mullah;;Mulá de la corte;;;;;;;;;x;;
tribal_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x;;
#SPYMASTER
city_job_spymaster_aztec;Tillancalqui;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x;;
city_job_spymaster_greek;Mystikos;Mystikos;Mystikos;;Mystikos;;;;;;;;;x
job_spymaster_zoroastrian;Spasaka;Spasaka;Spasaka;;Spasaka;;;;;;;;;x;;
#TREASURER
city_job_treasurer_aztec;Petlacalcatl;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x;;
city_job_treasurer_greek;Sakellarios;Sakellarios;Sakellarios;;Sakellarios;;;;;;;;;x
city_job_treasurer_hellenic_pagan;Quaestor;Quaestor;Quaestor;;Quaestor;;;;;;;;;;;
city_job_treasurer_zoroastrian_group;Darik-Pat;Darik-Pat;Darik-Pat;;Darik-Pat;;;;;;;;;x;;
job_treasurer_aten_pagan;Pruj-Hdoj;Pruj-Hdoj;Pruj-Hdoj;;Pruj-Hdoj;;;;;;;;;x;;
job_treasurer_egyptian_pagan;Pruj-Hdoj;Pruj-Hdoj;Pruj-Hdoj;;Pruj-Hdoj;;;;;;;;;x;;
job_treasurer_hellenic_pagan;Quaestor;Quaestor;Quaestor;;Quaestor;;;;;;;;;;;
job_treasurer_zoroastrian_group;Ho Tokhshan Bod;Ho Tokhshan Bod;Ho Tokhshan Bod;;Ho Tokhshan Bod;;;;;;;;;x;;
