#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#### TOOLTIPS;;;;;;;;;;;;;;x
no_other_laws_passed;No other laws in this group have been passed.\n;;Es wurden keine weiteren Gesetze dieser Gruppe verabschiedet.\n;;;x
emf_laws_ctt_republic_unlocked;Crown authority has been unlocked for merchant republics (customization decision)\n;;Kronenautorität wurde für Handelsrepubliken freigeschaltet (Anpassungsentscheidung)\n;;;x
emf_laws_ctt_no_crown_law_title;§Y[This.GetFullName]§! has no crown law title affecting it.\n;;§Y[This.GetFullName]§! hat keinen Kronentitel, der ihn betrifft.\n;;;x
emf_laws_ctt_limited_ca_plus_raw;Has at least §YLimited Crown Authority§!\n;;Hat mindestens §YLimitierte Kronenautorität§!\n;;;x
emf_laws_ctt_medium_ca_plus_raw;Has at least §YMedium Crown Authority§!\n;;Hat mindestens §YMittlere Kronenautorität§!\n;;;x
emf_laws_ctt_high_ca_plus_raw;Has at least §YHigh Crown Authority§!\n;;Hat mindestens §YHohe Kronenautorität§!\n;;;x
emf_laws_ctt_gender_eq_enabled;Full Gender Equality is enabled (scenario customization decision)\n;;Vollständige Gleichstellung der Geschlechter ist aktiviert (Entscheidung zur Anpassung des Szenarios)\n;;;x
#### LAWS;;;;;;;;;;;;;;x
mr_crown_authority_2;Medium Crown Authority;;Mittlere Kronautorität;;;x
mr_crown_authority_3;High Crown Authority;;Hohe Kronautorität;;;x
mr_crown_authority_4;Absolute Crown Authority;;Absolute Kronautorität;;;x
king_peace;The King's Peace;;Der Frieden des Königs;;La Paz del Rey;x
king_peace_desc;The King's Peace dictates who vassals can declare war upon.;;Der Königsfrieden bestimmt, wem die Vasallen den Krieg erklären können.;;La Paz del Rey dicta a quién pueden declarar la guerra tus vasallos.;x
king_peace_0;No King's Peace;;Kein Königsfrieden;;Sin Paz del Rey;x
king_peace_0_option;None;;Keine;;Ninguna;x
king_peace_0_desc;The King's Peace dictates who vassals can declare war upon. At this level they will be able to declare war upon anyone as long as they have a valid casus belli.;;Der Frieden des Königs bestimmt, wem Vasallen den Krieg erklären können. Auf dieser Stufe können sie jedem den Krieg erklären, solange sie einen gültigen casus belli haben.;;La Paz del Rey dicta a quién pueden declarar la guerra tus vasallos. A este nivel tus vasallos pueden declarar la guerra a cualquiera con un casus belli válido.;x
king_peace_1;Internal King's Peace;;Interner Königsfrieden;;Paz del Rey limitada;x
king_peace_1_option;Internal;;Intern;;Limitada;x
king_peace_1_desc;The King's Peace dictates who vassals can declare war upon. At this level they will not be able to declare war upon other vassals unless they're rebelling against them.;;Der Königsfrieden legt fest, wem Vasallen den Krieg erklären können. Auf dieser Stufe können sie anderen Vasallen nicht den Krieg erklären, es sei denn, diese rebellieren gegen sie.;;La Paz del Rey dicta a quién pueden declarar la guerra tus vasallos. A este nivel tus vasallos no pueden declarar la guerra a otros vasallos del reino a menos que sean vasallos suyos en rebelión.;x
king_peace_2;Complete King's Peace;;Vollständiger Königsfrieden;;Paz del Rey;x
king_peace_2_option;Total;;Gesamt;;Total;x
king_peace_2_desc;The King's Peace dictates who vassals can declare war upon. At this level they will not be able to declare war upon anyone unless they're rebelling against them.;;Der Frieden des Königs bestimmt, wem Vasallen den Krieg erklären können. Auf dieser Stufe können sie niemandem den Krieg erklären, es sei denn, dieser rebelliert gegen sie.;;La Paz del Rey dicta a quién pueden declarar la guerra tus vasallos. A este nivel tus vasallos sólo pueden declarar la guerra a vasallos suyos en rebelión.;x
revokation;Title Revocation;;Titelentzug;;Revocación de títulos;x
revokation_desc;Title Revocation decides if characters can revoke their vassals' titles.;;Der Titelentzug entscheidet, ob Charaktere ihren Vasallen den Titel entziehen können.;;Revocación de títulos dicta si los señores pueden revocar los títulos de sus vasallos.;x
revokation_0;No Title Revocation;;Kein Titelentzug;;Revocación de títulos prohibida;x
revokation_0_option;Banned;;Verboten;;Prohibida;x
revokation_0_desc;Title Revocation decides if characters can revoke their vassals' titles. At this level revocation is not possible.;;Titelentzug entscheidet darüber, ob Charaktere ihren Vasallen den Titel entziehen können. Auf dieser Stufe ist der Widerruf nicht möglich.;;Revocación de títulos dicta si los señores pueden revocar los títulos de sus vasallos. A este nivel no es posible.;x
revokation_1;Title Revocation Allowed;;Titelentzug Erlaubt;;Revocación de títulos permitida;x
revokation_1_option;Allowed;;Erlaubt;;Permitida;x
revokation_1_desc;Title Revocation decides if characters can revoke their vassals' titles. At this level revocation is possible but will give a major opinion penalty with all vassals unless you have a valid reason.;;Titelentzug entscheidet darüber, ob Charaktere ihren Vasallen den Titel entziehen können. Auf dieser Stufe ist der Widerruf möglich, führt aber bei allen Vasallen zu einem erheblichen Meinungsabzug, es sei denn, du hast einen triftigen Grund.;;Revocación de títulos dicta si los señores pueden revocar los títulos de sus vasallos. A este nivel es posible, pero con un impacto en la opinión de todos tus vasallos, a menos que tengas una razón válida.;x
revokation_2;Free Infidel Revocation;;Freier Titelwiderruf für Ungläubige;;Revocación de títulos a infieles;x
revokation_2_option;Infidels;;Ungläubige;;Infieles;x
revokation_2_desc;Title Revocation decides if characters can revoke their vassals' titles. At this level revocation is possible but will give a major opinion penalty with all vassals unless you have a valid reason. At this level being an infidel or heretic is considered a valid reason.;;Titelentzug entscheidet, ob Charaktere ihren Vasallen den Titel entziehen können. Auf dieser Stufe ist der Widerruf möglich, führt aber bei allen Vasallen zu einem erheblichen Meinungsabzug, es sei denn, du hast einen triftigen Grund. Auf dieser Stufe gilt es als triftiger Grund, ein Ungläubiger oder Ketzer zu sein.;;Revocación de títulos dicta si los señores pueden revocar los títulos de sus vasallos. A este nivel es posible, pero con un impacto en la opinión de todos tus vasallos, a menos que tengas una razón válida. Ser infiel o hereje es considerado una razón válida.;x
inheritance;External Inheritance;;Externe Vererbung;;Herencias al exterior;x
inheritance_desc;External Inheritance controls whether characters outside the realm can inherit.;;Externe Vererbung regelt, ob Charaktere außerhalb des Reiches erben können.;;Herencias al exterior controla si los personajes extranjeros pueden heredar títulos del reino.;x
inheritance_0;External Inheritance Allowed;;Externe Vererbung Erlaubt;;Herencias al exterior permitidas;x
inheritance_0_option;Yes;;Ja;;Sí;x
inheritance_0_desc;External Inheritance controls whether characters outside the realm can inherit. At this level they're able to inherit realm titles.;;Externe Vererbung regelt, ob Charaktere außerhalb des Reiches erben können. Auf dieser Stufe können sie Reichstitel erben.;;Herencias al exterior controla si los personajes extranjeros pueden heredar títulos del reino. En este nivel está permitido.;x
inheritance_1;External Inheritance Disabled;;Externe Vererbung nicht erlaubt;;Herencias al exterior prohibidas;x
inheritance_1_option;No;;Nein;;No;x
inheritance_1_desc;External Inheritance controls whether characters outside the realm can inherit. At this level they're unable to inherit realm titles.;;Externe Vererbung regelt, ob Charaktere außerhalb des Reiches erben können. Auf dieser Stufe können sie keine Reichstitel erben.;;Herencias al exterior controla si los personajes extranjeros pueden heredar títulos del reino. En este nivel no está permitido.;x
### Focus/Obligations Laws;;;;;;;;;;;;;;x
feudal_focus;Feudal Focus;;Feudaler Fokus;;Enfoque a la nobleza;x
feudal_focus_desc;Feudal Focus changes the composition of their obligations to you.;;Der Feudalfokus verändert die Zusammensetzung der Verpflichtungen, die sie Ihnen gegenüber haben.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti.;x
feudal_focus_0;Highly Levy Oriented Feudal Focus;;Hochgradig abgabenorientierter Feudalfokus;;Enfoque a la nobleza muy orientado a levas;x
feudal_focus_0_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;Der Feudalfokus verändert die Zusammensetzung ihrer Verpflichtungen dir gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Steuern zugunsten von Abgaben verzichten.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas todos los impuestos a cambio de un máximo de levas.;x
feudal_focus_1;Moderately Levy Oriented Feudal Focus;;Mäßig abgabenorientierter Feudalfokus;;Enfoque a la nobleza orientado a levas;x
feudal_focus_1_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;Der Feudalfokus verändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in gewissem Umfang auf Steuern um der Abgaben willen verzichten.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas muchos impuestos a cambio de más levas.;x
feudal_focus_2;Balanced Feudal Focus;;Ausgeglichener Feudalfokus;;Enfoque a la nobleza equilibrado;x
feudal_focus_2_desc;Feudal Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;Der Feudalfokus verändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie sich nicht auf einen bestimmten Bereich konzentrieren.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti. En este nivel no te enfocas en nada concreto.;x
feudal_focus_3;Moderately Tax Oriented Feudal Focus;;Mäßig steuerorientierter Feudalfokus;;Enfoque a la nobleza orientado a impuestos;x
feudal_focus_3_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;Der Feudalfokus verändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie bis zu einem gewissen Grad auf Abgaben um der Steuern willen verzichten.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges menos levas a cambio de más impuestos.;x
feudal_focus_4;Highly Tax Oriented Feudal Focus;;Hochgradig steuerorientierter Feudalfokus;;Enfoque a la nobleza muy orientado a impuestos;x
feudal_focus_4_desc;Feudal Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;Der feudale Fokus verändert die Zusammensetzung der Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Abgaben um der Steuern willen verzichten.;;El enfoque a la nobleza permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges unas levas mínimas a cambio de altos impuestos.;x
feudal_obligations;Feudal Obligations;;Feudale Verpflichtungen;;Deber de noble;x
feudal_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;Die Verpflichtungen legen fest, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, wodurch sich sowohl Steuern als auch Abgaben erhöhen.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles.;x
feudal_obligations_0;Minimal Feudal Obligations;;Minimale Feudalverpflichtungen;;Deber de noble mínimo;x
feudal_obligations_0_option;Min;;Minimum;;Min--;x
feudal_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen nichts über das hinaus geben, was der Schieberegler vorgibt.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel no darán más de lo que exija el nivel de autoridad real.;x
feudal_obligations_1;Low Feudal Obligations;;Niedrige Feudalverpflichtungen;;Deber de noble reducido;x
feudal_obligations_1_option;Low;;Niedrig;;Min-;x
feudal_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe leisten sie etwas mehr, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán poco más de lo que exija el nivel de autoridad real.;x
feudal_obligations_2;Medium Feudal Obligations;;Mittlere Feudalverpflichtungen;;Deber de noble medio;x
feudal_obligations_2_option;Medium;;Mittel;;Med;x
feudal_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen einen moderaten Betrag mehr liefern, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán una cantidad mayor de lo que exija el nivel de autoridad real.;x
feudal_obligations_3;High Feudal Obligations;;Hohe Feudalverpflichtungen;;Deber de noble aumentado;x
feudal_obligations_3_option;High;;Hoch;;Max+;x
feudal_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen wesentlich mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel darán mucho más de lo que exija el nivel de autoridad real.;x
feudal_obligations_4;Harsh Feudal Obligations;;Harte Feudalverpflichtungen;;Deber de noble máximo;x
feudal_obligations_4_option;Harsh;;Hart;;Max++;x
feudal_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art für dich leisten müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen sehr viel mehr geben, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos nobles. En este nivel deben entregar lo máximo que puedan dar.;x
city_focus;Burgher Focus;;Bürger Fokus;;Enfoque a los alcaldes;x
city_focus_desc;Burgher Focus changes the composition of their obligations to you.;;Bürger-Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti.;x
city_focus_0;Highly Levy Oriented Burgher Focus;;Hochgradig abgabenorientierter Bürgerfokus;;Enfoque a los alcaldes muy orientado a levas;x
city_focus_0_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;Der Bürger-Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Steuern zugunsten von Abgaben verzichten.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas todos los impuestos a cambio de un máximo de levas.;x
city_focus_1;Moderately Levy Oriented Burgher Focus;;Mäßig abgabenorientierter Bürgerfokus ;;Enfoque a los alcaldes orientado a levas;x
city_focus_1_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;Bürgerfokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in gewissem Umfang auf Steuern zugunsten von Abgaben verzichten.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas muchos impuestos a cambio de más levas.;x
city_focus_2;Balanced Burgher Focus;;Ausgeglichener Fokus des Bürgers;;Enfoque a los alcaldes equilibrado;x
city_focus_2_desc;Burgher Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;Der Fokus des Bürgers ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie sich nicht auf einen Bereich konzentrieren.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti. En este nivel no te enfocas en nada concreto.;x
city_focus_3;Moderately Tax Oriented Burgher Focus;;Mäßig steuerorientierter Fokus des Bürgers;;Enfoque a los alcaldes orientado a impuestos;x
city_focus_3_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;Der Fokus des Bürgers ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie bis zu einem gewissen Grad auf Abgaben zugunsten der Steuer verzichten.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges menos levas a cambio de más impuestos.;x
city_focus_4;Highly Tax Oriented Burgher Focus;;Stark steuerorientierter Fokus des Bürgers;;Enfoque a los alcaldes muy orientado a impuestos;x
city_focus_4_desc;Burgher Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;Burgher Focus ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Abgaben um der Steuern willen verzichten.;;El enfoque a los alcaldes permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges unas levas mínimas a cambio de altos impuestos.;x
city_obligations;Burgher Obligations;;Bürger Verpflichtungen;;Deber de alcalde;x
city_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen gegenüber zu leisten haben, und erhöhen sowohl die Steuern als auch die Abgaben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los alcaldes vasallos.;x
city_obligations_0;Minimal Burgher Obligations;;Minimale Bürgerverpflichtungen;;Deber de alcalde mínimo;x
city_obligations_0_option;Min;;Minimal;;Min--;x
city_obligations_0_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will not provide you anything beyond what the slider dictates.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art Ihnen zur Verfügung stellen müssen, wobei sowohl Steuern als auch Abgaben erhöht werden. Auf dieser Stufe werden sie Ihnen nichts über das hinaus geben, was der Schieberegler vorgibt.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los alcaldes vasallos. En este nivel no darán más de lo que exija el nivel de autoridad real.;x
city_obligations_1;Low Burgher Obligations;;Niedrige Burgherrenverpflichtungen;;Deber de alcalde reducido;x
city_obligations_1_option;Low;;Niedrig;;Min-;x
city_obligations_1_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a bit more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art für dich leisten müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe leisten sie etwas mehr, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar losalcaldes vasallos. En este nivel darán poco más de lo que exija el nivel de autoridad real.;x
city_obligations_2;Medium Burgher Obligations;;Mittlere Verpflichtungen eines Bürgers;;Deber de alcalde medio;x
city_obligations_2_option;Medium;;Mittel;;Med;x
city_obligations_2_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a moderate amount more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen einen moderaten Betrag mehr liefern, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los alcaldes vasallos. En este nivel darán una cantidad mayor de lo que exija el nivel de autoridad real.;x
city_obligations_3;High Burgher Obligations;;Hohe Bürgerverpflichtungen;;Deber de alcalde aumentado;x
city_obligations_3_option;High;;Hoch;;Max+;x
city_obligations_3_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you a lot more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieses Typs an dich abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen viel mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los alcaldes vasallos. En este nivel darán mucho más de lo que exija el nivel de autoridad real.;x
city_obligations_4;Harsh Burgher Obligations;;Harte Bürgerpflichten;;Deber de alcalde máximo;x
city_obligations_4_option;Harsh;;Hartes;;Max++;x
city_obligations_4_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies. At this level they will provide you much more than what the sliders dictate.;;Die Verpflichtungen bestimmen, wie viel deine Vasallen dieser Art an dich abliefern müssen, und erhöhen sowohl die Steuern als auch die Abgaben. Auf dieser Stufe werden sie Ihnen sehr viel mehr bieten, als die Schieberegler vorgeben.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los alcaldes vasallos. En este nivel deben entregar lo máximo que puedan dar.;x
temple_focus;Clergy Focus;;Klerus-Fokus;;Enfoque al clero;x
temple_focus_desc;Clergy Focus changes the composition of their obligations to you.;;Klerus-Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti.;x
temple_focus_0;Highly Levy Oriented Clergy Focus;;Hochgradig abgabenorientierter Klerus-Fokus;;Enfoque al clero muy orientado a levas;x
temple_focus_0_desc;Clergy Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to a major extent.;;Klerus-Fokus ändert die Zusammensetzung ihrer Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Steuern zugunsten von Abgaben verzichten.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas todos los impuestos a cambio de un máximo de levas.;x
temple_focus_1;Moderately Levy Oriented Clergy Focus;;Mäßig abgabenorientierter Klerus Fokus;;Enfoque al clero orientado a levas;x
temple_focus_1_desc;Clergy Focus changes the composition of their obligations to you. At this level you would be forgoing tax for the sake of levies to some extent.;;Klerus-Fokus ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in gewissem Umfang auf Steuern zugunsten von Abgaben verzichten.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti. En este nivel perdonas muchos impuestos a cambio de más levas.;x
temple_focus_2;Balanced Clergy Focus;;Ausgewogener Kleriker-Fokus;;Enfoque al clero equilibrado;x
temple_focus_2_desc;Clergy Focus changes the composition of their obligations to you. At this level  you would not be focusing on any area.;;Der Klerus-Fokus verändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie sich nicht auf einen Bereich konzentrieren.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti. En este nivel no te enfocas en nada concreto.;x
temple_focus_3;Moderately Tax Oriented Clergy Focus;;Mäßig steuerorientierter Klerus-Fokus;;Enfoque al clero orientado a impuestos;x
temple_focus_3_desc;Clergy Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to some extent.;;Der Klerus-Fokus verändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie bis zu einem gewissen Grad auf Abgaben verzichten, um der Steuern willen.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges menos levas a cambio de más impuestos.;x
temple_focus_4;Highly Tax Oriented Clergy Focus;;Hochgradig steuerorientierter Klerus-Fokus;;Enfoque al clero muy orientado a impuestos;x
temple_focus_4_desc;Clergy Focus changes the composition of their obligations to you. At this level you would be forgoing levies for the sake of tax to a major extent.;;Klerus-Fokus ändert die Zusammensetzung seiner Verpflichtungen Ihnen gegenüber. Auf dieser Stufe würden Sie in hohem Maße auf Abgaben um der Steuern willen verzichten.;;El enfoque al clero permite cambiar el tipo de sus obligaciones hacia ti. En este nivel exiges unas levas mínimas a cambio de altos impuestos.;x
temple_obligations;Clergy Obligations;;Verpflichtungen des Klerus;;Deber de clero;x
temple_obligations_desc;Obligations determine how much your vassals of that type have to provide to you, increasing both tax and levies.;;Die Verpflichtungen bestimmen, wie viel Ihre Vasallen dieser Art an Sie abliefern müssen, was sowohl die Steuern als auch die Abgaben erhöht.;;Estas obligaciones determinan la cantidad de impuestos y tropas que deben dar los vasallos del clero.;x
temple_obligations_0;Minimal Clergy Obligations;;Minimale Verpflichtungen des Klerus;;Deber de clero mínimo;x
temple_obligations_0_option;Min;;Minimum;;Min--;x
