#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_1852;§YImperial Decadence§! in the [Root.PrimaryTitle.GetFullName] is now §R[Root.PrimaryTitle.imperial_decadence.GetValue]§!;;§YImperiale Dekadenz§! im [Root.PrimaryTitle.GetFullName] ist jetzt §R[Root.PrimaryTitle.GetFullName]§!;;;x
EVTDESC_Plus_1858A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by [Root.GetTitledFirstNameNoRegnal]'s slothful nature. [Root.GetSheHe] can rarely be found at court, they say, and [Root.GetHerHis] councilors are largely left to run the empire on their own. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über [Root.GetTitledFirstNameNoRegnal]'s Faulheit. [Root.GetSheHe] sei nur noch selten am Hof anzutreffen, und die [Root.GetHerHis]-Räte seien weitgehend auf sich allein gestellt, um das Reich zu führen. Das, so sagen sie, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1858B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by the slothful nature of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. [Root.Regent.GetSheHe] can rarely be found at court, they say, and the [Root.PrimaryTitle.GetRulerTitle]'s councilors are largely left to run the empire on their own. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die Trägheit von [Root.Regent.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. [Root.Regent.GetSheHe] sei nur selten bei Hofe anzutreffen, und die Ratsmitglieder von [Root.PrimaryTitle.GetRulerTitle] seien weitgehend auf sich allein gestellt, um das Reich zu führen. Das, so sagen sie, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1859A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by [Root.GetTitledFirstNameNoRegnal]'s hedonistic nature. The tales coming out of [Root.Capital.GetName] are scandalous, and there are all too many tales of how [Root.GetTitledFirstNameNoRegnal] favors every potential conquest that crosses [Root.GetHerHis] eye. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über [Root.GetTitledFirstNameNoRegnal]'s hedonistische Art. Die Geschichten, die aus [Root.Capital.GetName] kommen, sind skandalös, und es gibt nur allzu viele Geschichten darüber, wie [Root.GetTitledFirstNameNoRegnal] jede potenzielle Eroberung begünstigt, die [Root.GetHerHis] ins Auge fällt. Das, so sagt man, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1859B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by the hedonistic nature of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. The tales coming out of [Root.Capital.GetName] are scandalous, and there are all too many tales of how [Root.Regent.GetTitledFirstNameNoRegnal] favors every potential conquest that crosses [Root.Regent.GetHerHis] eye. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die hedonistische Art von [Root.GetTitledFirstNameNoRegnal]'s Regent, [Root.Regent.GetTitledFirstNameNoRegnal]. Die Geschichten, die aus [Root.Capital.GetName] kommen, sind skandalös, und es gibt nur allzu viele Geschichten darüber, wie [Root.Regent.GetTitledFirstNameNoRegnal] jede potenzielle Eroberung begünstigt, die [Root.Regent.GetHerHis] Auge kreuzt. Dies, so heißt es, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1860A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by [Root.GetTitledFirstNameNoRegnal]'s cruel nature. There are stories circulating of how [Root.GetSheHe] entertains [Root.GetHerHim]self in the dungeons, and the heads mounted atop spikes outside [Root.Capital.GetName]'s gates have cast a pall across the entire empire.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über [Root.GetTitledFirstNameNoRegnal]'s grausame Art. Es kursieren Geschichten darüber, wie [Root.GetSheHe] [Root.GetHerHim] selbst in den Kerkern unterhält, und die auf Spießen montierten Köpfe vor den Toren von [Root.Capital.GetName] haben das ganze Reich in Aufruhr versetzt.;;;x
EVTDESC_Plus_1860B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly alarmed by the cruel nature of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. There are stories circulating of how [Root.Regent.GetSheHe] entertains [Root.Regent.GetHerHim]self in the dungeons, and the heads mounted atop spikes outside [Root.Capital.GetName]'s gates have cast a pall across the entire empire.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend beunruhigt über die grausame Art von [Root.Regent.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. Es kursieren Geschichten darüber, wie [Root.Regent.GetSheHe] [Root.Regent.GetHerHim] selbst in den Kerkern unterhält, und die auf Spießen montierten Köpfe vor den Toren von [Root.Capital.GetName] haben das ganze Reich in Aufruhr versetzt.;;;x
EVTDESC_Plus_1861A;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased by [Root.GetTitledFirstNameNoRegnal]'s cleverness in ruling the empire. [Root.GetHerHis] commands have been unusual, but in the end they almost always prove to be the correct path. Many lords have begun to rely utterly on [Root.GetHerHis] judgement, a fact that bodes well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind erfreut über [Root.GetTitledFirstNameNoRegnal]'s Klugheit, das Reich zu regieren. Die Befehle von [Root.GetHerHis] sind zwar ungewöhnlich, aber am Ende erweisen sie sich fast immer als der richtige Weg. Viele Fürsten haben begonnen, sich voll und ganz auf das Urteil von [Root.GetHerHis] zu verlassen, eine Tatsache, die für die Zukunft von [Root.PrimaryTitle.GetName] Gutes verheißt.;;;x
EVTDESC_Plus_1861B;Rulers throughout the [Root.PrimaryTitle.GetFullName] are pleased by the cleverness of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. [Root.Regent.GetHerHis] commands have been unusual, but in the end they almost always prove to be the correct path. Indeed, many lords have begun to rely utterly on [Root.Regent.GetHerHis] judgement.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind von der Klugheit des Regenten von [Root.Regent.GetTitledFirstNameNoRegnal] begeistert. Die Befehle von [Root.Regent.GetHerHis] sind zwar ungewöhnlich, aber am Ende erweisen sie sich fast immer als der richtige Weg. In der Tat haben viele Fürsten begonnen, sich voll und ganz auf [Root.Regent.GetHerHis] Urteil zu verlassen.;;;x
EVTDESC_Plus_1862A;Rulers throughout the [Root.PrimaryTitle.GetFullName] are slowly becoming more and more disaffected by what they deem to be [Root.GetTitledFirstNameNoRegnal]'s lack of ability to rule. They call [Root.GetHerHis] judgements simplistic and poorly thought out, and indeed they often seem to lead to poor ends. Many of them elect to by-pass the [Root.PrimaryTitle.GetRulerTitle] entirely and go to [Root.GetHerHis] councilors, instead.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] werden langsam immer unzufriedener mit dem, was sie als [Root.GetTitledFirstNameNoRegnal]'s mangelnde Fähigkeit zu regieren empfinden. Sie bezeichnen die Urteile von [Root.GetHerHis] als vereinfachend und schlecht durchdacht, und in der Tat scheinen sie oft zu schlechten Ergebnissen zu führen. Viele von ihnen entscheiden sich dafür, den [Root.PrimaryTitle.GetRulerTitle] ganz zu umgehen und sich stattdessen an [Root.GetHerHis] Ratsmitglieder zu wenden.;;;x
EVTDESC_Plus_1862B;Rulers throughout the [Root.PrimaryTitle.GetFullName] are slowly becoming more and more disaffected by the poor rulership of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. They call [Root.Regent.GetHerHis] judgements simplistic and poorly thought out, and indeed they often seem to lead to poor ends. Many of them elect to by-pass the Regent entirely and go to the [Root.PrimaryTitle.GetRulerTitle]'s councilors, instead.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] werden langsam immer unzufriedener mit der schlechten Herrschaft von [Root.Regent.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. Sie bezeichnen die Urteile von [Root.Regent.GetHerHis] als einfältig und schlecht durchdacht, und in der Tat scheinen sie oft zu schlechten Ergebnissen zu führen. Viele von ihnen entscheiden sich dafür, den Regenten ganz zu umgehen und sich stattdessen an die Ratsmitglieder des [Root.PrimaryTitle.GetRulerTitle] zu wenden.;;;x
EVTDESC_Plus_1863;As [Root.GetTitledFirstNameNoRegnal] lies in [Root.GetHerHis] bed, largely unaware of what goes on throughout [Root.GetHerHis] empire, there is growing concern over what this means for the future of [Root.PrimaryTitle.GetName]. [Root.Regent.GetTitledFirstNameNoRegnal] rules in the [Root.PrimaryTitle.GetRulerTitle]'s name, but already there are more and more signs that [Root.Regent.GetHerHis] commands are being disregarded.;;Während [Root.GetTitledFirstNameNoRegnal] in [Root.GetHerHis] Bett liegt, weitgehend ahnungslos, was in [Root.GetHerHis] Reich vor sich geht, wächst die Sorge darüber, was dies für die Zukunft von [Root.PrimaryTitle.GetName] bedeutet. [Root.Regent.GetTitledFirstNameNoRegnal] regiert im Namen von [Root.PrimaryTitle.GetRulerTitle], aber es gibt bereits immer mehr Anzeichen dafür, dass die Befehle von [Root.Regent.GetHerHis] missachtet werden.;;;x
EVTDESC_Plus_1864A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by [Root.GetTitledFirstNameNoRegnal]'s drunkenness. While some find the tales of [Root.GetHerHis] antics amusing, far more are alarmed at the state [Root.GetSheHe] has often been in at court, and how this has led to a number of bizarre decisions. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die Trunkenheit von [Root.GetTitledFirstNameNoRegnal]. Während einige die Geschichten über [Root.GetHerHis] Possen amüsant finden, sind weitaus mehr beunruhigt über den Zustand, in dem sich [Root.GetSheHe] oft vor Gericht befand, und wie dies zu einer Reihe von bizarren Entscheidungen geführt hat. Das, so sagen sie, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1864B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly angered by the drunkenness of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. While some find the tales of [Root.Regent.GetHerHis] antics amusing, far more are alarmed at the state [Root.Regent.GetSheHe] has often been in at court, and how this has led to a number of bizarre decisions as of late.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend verärgert über die Trunkenheit von [Root.Regent.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. Während einige die Geschichten über [Root.Regent.GetHerHis] Possen amüsant finden, sind weitaus mehr beunruhigt über den Zustand, in dem sich [Root.Regent.GetSheHe] bei Hofe oft befindet, und wie dies in letzter Zeit zu einer Reihe von bizarren Entscheidungen geführt hat.;;;x
EVTDESC_Plus_1865A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly alarmed by [Root.GetTitledFirstNameNoRegnal]'s bizarre behavior. While some consider [Root.GetHerHim] merely eccentric, the tales coming out of [Root.Capital.GetName] are frequent and wild -- and some of them are even true. This, they say, does not bode well for [Root.PrimaryTitle.GetName]'s future.;;Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend über das bizarre Verhalten von [Root.GetTitledFirstNameNoRegnal] beunruhigt. Während einige [Root.GetHerHim] lediglich für exzentrisch halten, sind die Geschichten, die aus [Root.Capital.GetName] kommen, häufig und wild - und einige von ihnen sind sogar wahr. Dies, so heißt es, verheißt nichts Gutes für die Zukunft von [Root.PrimaryTitle.GetName].;;;x
EVTDESC_Plus_1865B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly alarmed by the bizarre behavior of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. While some consider [Root.Regent.GetHerHim] merely eccentric, the tales coming out of [Root.Capital.GetName] are frequent and wild -- and some of them are even true.;;Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend beunruhigt über das bizarre Verhalten von [Root.Regent.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. Während einige [Root.Regent.GetHerHim] lediglich für exzentrisch halten, sind die Geschichten, die aus [Root.Capital.GetName] kommen, häufig und wild - und einige von ihnen sind sogar wahr.;;;x
EVTDESC_Plus_1866A;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly alarmed by [Root.GetTitledFirstNameNoRegnal]'s strange behavior. The bouts of rage, the speaking in tongues, the erratic rulings in the imperial court -- there are some who whisper that [Root.GetSheHe] may be possessed by [Root.Religion.GetRandomEvilGodName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind durch das seltsame Verhalten von [Root.GetTitledFirstNameNoRegnal] zunehmend beunruhigt. Die Wutausbrüche, das Sprechen in Zungen, die unberechenbaren Entscheidungen am kaiserlichen Hof - einige flüstern, dass [Root.GetSheHe] von [Root.Religion.GetRandomEvilGodName] besessen sein könnte.;;;x
EVTDESC_Plus_1866B;Rulers throughout the [Root.PrimaryTitle.GetFullName] have become increasingly alarmed by the strange behavior of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. The bouts of rage, the speaking in tongues, the erratic rulings in the imperial court -- there are some who whisper that [Root.Regent.GetSheHe] may be possessed by [Root.Religion.GetRandomEvilGodName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend beunruhigt über das seltsame Verhalten von [Root.GetTitledFirstNameNoRegnal], dem Regenten von [Root.Regent.GetTitledFirstNameNoRegnal]. Die Wutausbrüche, das Sprechen in Zungen, die unberechenbaren Entscheidungen am kaiserlichen Hof - einige flüstern, dass [From.Regent.GetSheHe] von [Root.Religion.GetRandomEvilGodName] besessen sein könnte.;;;x
EVTDESC_Plus_1867A;Rulers throughout the [Root.PrimaryTitle.GetFullName] are becoming increasingly concerned by [Root.GetTitledFirstNameNoRegnal]'s strange melancholy. They say [Root.GetSheHe] often stays away from court, and even when [Root.GetSheHe] is present, it is rarely with any interest. The [Root.PrimaryTitle.GetRulerTitle]'s mood has cast a pall over all of [Root.PrimaryTitle.GetName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend besorgt über [Root.GetTitledFirstNameNoRegnal]'s seltsame Melancholie. Es heißt, [Root.GetSheHe] bleibe dem Hof oft fern, und selbst wenn [Root.GetSheHe] anwesend sei, zeige er selten Interesse. Die Stimmung des [Root.PrimaryTitle.GetRulerTitle] hat sich auf ganz [Root.PrimaryTitle.GetName] niedergeschlagen.;;;x
EVTDESC_Plus_1867B;Rulers throughout the [Root.PrimaryTitle.GetFullName] are becoming increasingly concerned by the strange melancholy of [Root.GetTitledFirstNameNoRegnal]'s regent, [Root.Regent.GetTitledFirstNameNoRegnal]. They say [Root.Regent.GetSheHe] often stays away from court, and even when [Root.Regent.GetSheHe] is present, it is rarely with any interest. The Regent's mood has cast a pall over all of [Root.PrimaryTitle.GetName].;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend besorgt über die seltsame Melancholie des Regenten von [Root.Regent.GetTitledFirstNameNoRegnal], [Root.Regent.GetTitledFirstNameNoRegnal]. Es heißt, dass [From.GetSheHe] dem Hof oft fernbleibt, und selbst wenn [From.GetSheHe] anwesend ist, ist er selten interessiert. Die Laune des Regenten hat sich auf [Root.PrimaryTitle.GetName] niedergeschlagen.;;;x
EVTDESC_Plus_1868;As [Root.GetTitledFirstNameNoRegnal]'s imprisonment continues, the effect of [Root.GetHerHis] prolonged absence are beginning to be felt throughout the [Root.PrimaryTitle.GetFullName]. [Root.Regent.GetTitledFirstNameNoRegnal] rules in the [Root.PrimaryTitle.GetRulerTitle]'s name, but many lords are beginning to disregard [Root.Regent.GetHerHis] commands as time wears on.;;Während die Inhaftierung von [Root.GetTitledFirstNameNoRegnal] andauert, werden die Auswirkungen von [Root.GetHerHis] längerer Abwesenheit im gesamten [Root.PrimaryTitle.GetFullName] spürbar. [Root.Regent.GetTitledFirstNameNoRegnal] regiert im Namen von [Root.PrimaryTitle.GetRulerTitle], aber viele Lords beginnen mit der Zeit, die Befehle von [Root.Regent.GetHerHis] zu missachten.;;;x
EVTDESC_Plus_1869;Rulers throughout the [Root.PrimaryTitle.GetFullName] are increasingly pleased with the [Root.PrimaryTitle.GetRulerTitle]'s [Root.job_treasurer.GetJobTitle], [Root.job_treasurer.GetTitledFirstNameNoRegnal]. They say [Root.job_treasurer.GetSheHe] has made many decisions which will only benefit the empire, and little in the way of graft or corruption escapes [Root.job_treasurer.GetHerHis] notice.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend zufrieden mit dem [Root.job_treasurer.GetJobTitle], dem [Root.job_treasurer.GetTitledFirstNameNoRegnal]. Es heißt, dass [Root.job_treasurer.GetSheHe] viele Entscheidungen getroffen hat, die nur dem Reich zugute kommen, und dass [Root.job_treasurer.GetHerHis] kaum etwas an Bestechung oder Korruption entgeht.;;;x
EVTDESC_Plus_1870;Rulers throughout the [Root.PrimaryTitle.GetFullName] are becoming increasingly displeased with the performance of [Root.PrimaryTitle.GetRulerTitle]'s [Root.job_treasurer.GetJobTitle], [Root.job_treasurer.GetTitledFirstNameNoRegnal]. [Root.job_treasurer.GetSheHe] knows little of financial matters, they say, and both graft and corruption run rampant in the imperial bureaucracy under [Root.job_treasurer.GetHerHis] watch.;;Die Herrscher im gesamten [Root.PrimaryTitle.GetFullName] sind zunehmend unzufrieden mit der Leistung von [Root.job_treasurer.GetJobTitle], [Root.job_treasurer.GetTitledFirstNameNoRegnal]. [Root.job_treasurer.GetSheHe] versteht wenig von Finanzangelegenheiten, heißt es, und in der kaiserlichen Bürokratie unter [Root.job_treasurer.GetHerHis] grassieren sowohl Bestechung als auch Korruption.;;;x
EVTDESC_Plus_1871;Which empire should I give to my vassal?;;Welches Reich soll ich meinem Vasallen geben?;;;x
EVTOPTA_Plus_1871;[From.GetSheHeCap] can have my old empire;;[From.GetSheHeCap] kann mein altes Reich haben;;;x
EVTOPTB_Plus_1871;My second empire is a better choice;;Mein zweites Reich ist die bessere Wahl;;;x
