#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
Sviatopolk;Sviatopolk;;;;;x
Vladimir;Vladimir;;Wladimir;;;x
Yaropolk;Yaropolk;;Jaropolk;;;x
Iziaslav;Iziaslav;;;;;x
Mstislav;Mstislav;;;;;x
Vasiliy;Vasiliy;;Wassiliy;;;x
Vysheslav;Vysheslav;;Wysheslaw;;;x
Bonifacio;Bonifacio;;;;;x
Adalberto;Adalberto;;;;;x
Corrado;Corrado;;;;;x
Enrico;Enrico;;;;;x
Vittore;Vittore;;;;;x
Emmanuele;Emmanuele;;;;;x
Afonso;Afonso;;;;;x
Dinis;Dinis;;;;;x
Joao;João;;;;;x
Duarte;Duarte;;;;;x
Henrique;Henrique;;;;;x
Ashot;Ashot;;;;;x
Smbat;Smbat;;;;;x
Gagik;Gagik;;;;;x
Gosdantin;Gosdantin;;;;;x
Abas;Abas;;;;;x
Roupen;Roupen;;;;;x
Thoros;Thoros;;;;;x
Levon;Levon;;;;;x
Hethum;Hethum;;;;;x
Bagrat;Bagrat;;;;;x
Giorgi;Giorgi;;;;;x
Davit;Davit;;;;;x
Demetre;Demetre;;;;;x
Vakhtang;Vakhtang;;;;;x
Konstantine;Konstantine;;Konstantin;;;x
Aleksandre;Aleksandre;;;;;x
Tamar;Tamar;;;;;x
Rusudan;Rusudan;;;;;x
Mindaugas;Mindaugas;;;;;x
Butigeidis;Butigeidis;;;;;x
Vytenis;Vytenis;;;;;x
Jogaila;Jogaila;;;;;x
Vytautas;Vytautas;;;;;x
Teresa;Teresa;;;;;x
Joana;Joana;;;;;x
Blanka;Blanka;;;;;x
Toda;Toda;;;;;x
Llywelyn;Llywelyn;;;;;x
Owain;Owain;;;;;x
Bleddyn;Bleddyn;;;;;x
Gruffydd;Gruffydd;;;;;x
Rhodri;Rhodri;;;;;x
Hywel;Hywel;;;;;x
Donyerth;Donyerth;;;;;x
Cadoc;Cadoc;;;;;x
Conan;Conan;;;;;x
Alan;Alan;;;;;x
Margrethe;Margrethe;;;;;x
Zoe;Zoe;;;;;x
Theodora;Theodora;;;;;x
Constance;Constance;;Konstanz;;;x
Roger;Roger;;;;;x
Tancred;Tancred;;;;;x
Urraca;Urraca;;;;;x
Petronila;Petronila;;;;;x
Berenguela;Berenguela;;;;;x
Ingebjorg;Ingebjørg;;;;;x
Margrete;Margrete;;;;;x
Dariush;Dariush;;;;;x
Khashayar;Khashayar;;;;;x
Artakhashayar;Artakhashayar;;;;;x
Arsaces;Aršak;;Arshak;;;x
Ardeshir;Ardeshir;;;;;x
Shapur;Shapur;;;;;x
Hormizd;Hormizd;;;;;x
Bahram;Bahram;;;;;x
Narse;Narse;;;;;x
Yazdegerd;Yazdegerd;;;;;x
Piroz;Piroz;;;;;x
Kavadh;Kavadh;;;;;x
Anushiruvan;Anushiruvan;;;;;x
