#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# base_birth_events.txt
EVTOPTD301;Isn't [From.GetSheHe] adorable?;;Ist [From.GetSheHe] nicht hinreißend?;;;x
EVTDESC936;Try as you might, your efforts to expand the network of spies throughout [Root.Liege.PrimaryTitle.GetName] has met with nothing but problems, as of late. One of your most important contacts in [Root.Liege.Capital.GetName] just turned up dead, and two others are missing. This will require you to redouble your efforts.;;So sehr Sie sich auch bemühen, Ihre Bemühungen, das Spionagenetz in [Root.Liege.PrimaryTitle.GetName] zu erweitern, sind in letzter Zeit auf nichts als Probleme gestoßen. Einer Ihrer wichtigsten Kontakte in [Root.Liege.Capital.GetName] ist tot, und zwei weitere sind verschwunden. Deshalb müssen Sie Ihre Bemühungen verdoppeln.;;;x
# base_job_marshal_events.txt
EVTDESC944;You have been sent into [Root.Location.GetName] by [Root.Liege.GetTitledFirstNameNoRegnal] to calm the peasantry when your patrol happens across a group of angry rabble. They seem hesitant to engage with a group of armed soldiers on horseback, but perhaps this is a good opportunity to teach them a lesson?;;Ihr wurdet von [Root.Location.GetName] nach [Root.Liege.GetTitledFirstNameNoRegnal] geschickt, um die Bauern zu beruhigen, als Eure Patrouille auf eine Gruppe von wütendem Gesindel stieß. Sie scheinen zu zögern, sich mit einer Gruppe bewaffneter, berittener Soldaten anzulegen, aber vielleicht ist dies eine gute Gelegenheit, ihnen eine Lektion zu erteilen?;;;x
EVTOPTA944;They shall be an example to their fellows;;Sie sollen ein Beispiel für ihre Kameraden sein;;;x
EVTOPTB944;They are but commoners -- let them be;;Sie sind nur einfache Leute - lasst sie sein.;;;x
EVTDESC20381;My liege, I implore you to send me to another province! The nitwits of [From.Location.GetName] have already cost me an arm, I don't want to lose any more limbs just because they don't know the back from the front of an arrow!\n\nYour humble Marshal,\n[From.GetTitledName];M[Root.GetHerHis][Root.GetLordLady], \nJe vous supplie de m'envoyer dans une autre province ! À cause de ces abrutis [From.Location.GetName], j'ai déj perdu un bras et j'ai peur de perdre l'autre, car ils sont incapables de reconnaître la pointe d'une flèche !\n\nVotre humble maréchal,\n[From.GetTitledName];Mein Herr, ich flehe Euch an, schickt mich in eine andere Provinz! Die Schwachköpfe von [From.Location.GetName] haben mich bereits einen Arm gekostet, ich will nicht noch mehr Gliedmaßen verlieren, nur weil sie einen Pfeil nicht von der Vorderseite unterscheiden können!\n\nIhr bescheidener Marschall,\n[From.GetTitledName];;¡Mi señor, le suplico que me envíe a otra provincia! ¡Ya me ha costado un brazo instruir a estos cretinos de [From.Location.GetName], no voy a perder más miembros porque no sepan distinguir cuál es la parte trasera y delantera de una flecha!\n\nSu humilde mariscal,\n[From.GetTitledName];x
# base_job_flavour_events.txt
EVTDESC75111;A prominent subject has petitioned me for justice: His daughter had supposedly been beaten by Marshal [From.GetTitledFirstName] while [From.GetSheHe] was their guest and the father is requesting compensation.;;Ein prominenter Untertan hat mich um Gerechtigkeit gebeten: Seine Tochter soll von Marschall [From.GetTitledFirstName] geschlagen worden sein, während [From.GetSheHe] bei ihnen zu Gast war, und der Vater bittet um Entschädigung.;;;x
EVTDESC75070;A province in my demesne is riddled with disease! I need to send Steward [Root.job_treasurer.GetTitledFirstName] there, [Root.job_treasurer.GetSheHe] will surely know what to do.;La maladie frappe une de mes provinces ! Je dois y envoyer l'Intendant [Root.job_treasurer.GetTitledFirstName] qui, nul doute, prendra les mesures qui s'imposent.;Eine Provinz in meinem Herrschaftsgebiet ist von Seuchen heimgesucht! Ich muss Verwalter [Root.job_treasurer.GetTitledFirstName] dorthin schicken, [Root.job_treasurer.GetSheHe] wird sicher wissen, was zu tun ist.;;¡La enfermedad ha invadido una de mis provincias! Necesito enviar al [This.GetTreasurerName] [Root.job_treasurer.GetTitledFirstName], [Root.job_treasurer.GetSheHe] sabrá lo que hacer.;x
EVTTOOLTIP75071;Steward [This.GetTitledFirstName] is sent to the province riddled with disease;L'intendant [This.GetTitledFirstName] a été envoyé dans la province frappé par la maladie.;Verwalter [This.GetTitledFirstName] wird in die Provinz geschickt, die von Krankheiten befallen ist;;Se ha enviado al [This.GetTreasurerName] [This.GetTitledFirstName] a la provincia infestada de enfermedad.;x
# base_traits_effects_events.txt
EVTOPTC3013;Praise the man for a fantastic feast!;;Gelobt sei der Mann für ein fantastisches Festmahl!;;;x
EVTOPTD3013;I don't really need to bloat his ego more.;;Ich muss sein Ego nicht noch mehr aufblähen.;;;x
EVTOPTC3026;Not much left to do but enjoy it.;;Es bleibt nicht viel zu tun, außer es zu genießen.;;;x
EVTDESC3084;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;;Die Tugend der Nächstenliebe hochzuhalten bedeutet, Unrecht geduldig zu ertragen. Es gibt einige Leute, die mich persönlich nicht mögen und mir Unglück wünschen, aber ich vergebe ihnen.;;;x
EVTOPTB3646;There are too many things I need to get done, my [From.GetLordLady];J'ai beaucoup trop de choses faire, M[From.GetHerHis][From.GetLordLady].;Es gibt zu viele Dinge, die ich erledigen muss, meine [From.GetLordLady];;Tengo demasiadas cosas que hacer, mi [From.GetLordLady];x
EVTTOOLTIP3204;[This.GetTitledFirstName] will learn of our grace.;[This.GetTitledFirstName] aura vent de votre grâce.;[This.GetTitledFirstName] wird von unserer Gnade erfahren.;;[This.GetTitledFirstName] aprenderá de nuestra gracia.;x
EVTTOOLTIP3206;[This.GetTitledFirstName] will hear of our invitation.;aura connaissance de notre invitation.;[This.GetTitledFirstName] wird von unserer Einladung hören.;;Se enterará de nuestra invitación.;x
EVTTOOLTIP3207;[This.GetTitledFirstName] is delighted.;[This.GetTitledFirstName] éprouve de la joie.;[This.GetTitledFirstName] ist erfreut.;; [This.GetTitledFirstName]está encantado.;x
EVTTOOLTIP3208;[This.GetTitledFirstName] is disappointed in you.;[This.GetTitledFirstName] éprouve de la déception.;[This.GetTitledFirstName] ist enttäuscht von Ihnen.;;[This.GetTitledFirstName] está decepcionado contigo.;x
# base_health_events.txt
EVTDESC6081;The old wound has finally healed....;;Die alte Wunde ist endlich verheilt....;;;x
EVTOPTA6081;...leaving a pretty grotesque scar behind.;;...und hat eine ziemlich groteske Narbe zurückgelassen.;;;x
EVTOPTB6081;...and you can't even see the scar.;;...und du kannst die Narbe nicht einmal sehen.;;;x
# base_plot_events.csv
EVTOPTC7255;Reveal the truth to all that will listen.;;Enthülle die Wahrheit vor allen, die zuhören wollen.;;;x
EVTOPTB7504;Has [From.GetSheHe] gone insane?;;Ist [From.GetSheHe] wahnsinnig geworden?;;;x
EVTOPTB7511;Never! It will be war!;;Niemals! Es wird Krieg sein!;;;x
# base_crusade_events.txt
EVTDESC8405;To the Noble [Root.GetTitledFirstName],\nI am concerned that you have not yet heeded my call to arms against the infidels. I hope that this is a mere oversight on your behalf. and expect that you will rally to the cause of [Root.Religion.GetHighGodName] soon.\n\n[From.GetTitledName];;An den Edlen [Root.GetTitledFirstName],\nIch bin besorgt, dass Ihr meinem Aufruf zu den Waffen gegen die Ungläubigen noch nicht gefolgt seid. Ich hoffe, dass dies nur ein Versehen von Euch ist, und erwarte, dass Ihr Euch bald für die Sache von [Root.Religion.GetHighGodName] einsetzt.\n\n[From.GetTitledName];;;x
EVTOPTA8405;Your crusade does not concern me;;Ihr Kreuzzug geht mich nichts an;;;x
EVTDESC8420;I am shocked to see that my liege, [Root.Liege.GetTitledName], has not yet answered the [Root.RelHead.PrimaryTitle.GetRulerTitle]'s call for a [Root.Religion.GetCrusadeName].;;Ich bin schockiert, dass mein Lehnsherr, [Root.Liege.GetTitledName], noch nicht auf die Aufforderung des [Root.RelHead.PrimaryTitle.GetRulerTitle] zu einem [Root.Religion.GetCrusadeName] geantwortet hat.;;;x
EVTDESC8425;My liege,\nI am concerned that you have not yet heeded the [From.RelHead.PrimaryTitle.GetRulerTitle]'s call to arms for the [From.Religion.GetCrusadeName]. I pray that you plan to rally the armies of [Root.PrimaryTitle.GetName] for this holy cause in the near future.\n\nYour loyal subject, \n[From.GetTitledName];;Mein Lehnsherr,\nIch bin besorgt, dass Ihr dem Aufruf des [From.RelHead.PrimaryTitle.GetRulerTitle] zu den Waffen für den [From.Religion.GetCrusadeName] noch nicht gefolgt seid. Ich bete, dass Ihr plant, die Armeen von [Root.PrimaryTitle.GetName] in naher Zukunft für diese heilige Sache zu versammeln.\n\nEuer treuer Untertan, \n[From.GetTitledName];;;x
EVTDESC8440;The [Root.RelHead.PrimaryTitle.GetRulerTitle] has finally called for a [Root.Religion.GetCrusadeName] and many of us are eager to fight. But my liege, [Root.Liege.GetTitledName], has not yet rallied the armies of [Root.Liege.PrimaryTitle.GetName].;;Der [Root.RelHead.PrimaryTitle.GetRulerTitle] hat endlich zu einem [Root.Religion.GetCrusadeName] aufgerufen, und viele von uns sind begierig zu kämpfen. Aber mein Lehnsherr, [Root.Liege.GetTitledName], hat noch nicht die Armeen von [Root.Liege.PrimaryTitle.GetName] versammelt.;;;x
EVTDESC8445;My liege,\nMany of us are eager to join the [From.RelHead.GetCrusadeName] and fight for the glory of [From.Religion.GetHighGodName]. So it is with concern I notice that you have yet to answer the [From.RelHead.PrimaryTitle.GetRulerTitle]'s call to arms. I assume that you plan to rally the armies of [Root.PrimaryTitle.GetName] in the near future.\n\nYour loyal subject, \n[From.GetTitledName];;Mein Lehnsherr,\nviele von uns sind begierig darauf, sich dem [From.RelHead.GetCrusadeName] anzuschließen und für den Ruhm von [From.Religion.GetHighGodName] zu kämpfen. Daher stelle ich mit Besorgnis fest, dass Ihr dem Ruf des [From.RelHead.PrimaryTitle.GetRulerTitle] zu den Waffen noch nicht gefolgt seid. Ich nehme an, dass Ihr plant, die Armeen von [Root.PrimaryTitle.GetName] in naher Zukunft zu versammeln.\n\nEuer treuer Untertan, \n[From.GetTitledName];;;x
# base_religious_events.txt
EVTDESC39201;Your righteous struggle against [From.Religion.GetHighGodName]'s enemies has not gone unnoticed. I have dispatched a [From.PrimaryTitle.GetAdjective] emissary with what I hope are sufficient funds to assist you.;;Euer rechtschaffener Kampf gegen die Feinde von [From.Religion.GetHighGodName] ist nicht unbemerkt geblieben. Ich habe einen [From.PrimaryTitle.GetAdjective]-Abgesandten mit hoffentlich ausreichenden Mitteln entsandt, um Euch zu unterstützen.;;;x
EVTOPTA39220;Ask for help;;Bittet um Hilfe;;;x
EVTTOOLTIP39221;The [This.PrimaryTitle.GetRulerTitle] will read my desperate plea...;;Der [This.PrimaryTitle.GetRulerTitle] wird mein verzweifeltes Flehen lesen...;;;x
EVTOPTA39221;This cannot be abided!;;Das kann nicht hingenommen werden!;;;x
EVTDESC39222;We have caught [From.GetTitledFirstNameNoRegnal] attempting to smuggle out a letter to the [rightful_rel_head.PrimaryTitle.GetRulerTitle], where [From.GetSheHe] asks for intervention on [From.GetHerHis] behalf.;;Wir haben [From.GetTitledFirstNameNoRegnal] dabei erwischt, wie er versucht hat, einen Brief an den [rightful_rel_head.PrimaryTitle.GetRulerTitle] herauszuschmuggeln, in dem [From.GetSheHe] um Intervention für [From.GetHerHis] bittet.;;;x
EVTOPTA39222;Slit [From.GetHerHis] throat!;;Schlitzt [From.GetHerHis] die Kehle auf!;;;x
EVTOPTA39223;I can't keep a [From.GetManWoman] of [From.Religion.GetHighGodName] imprisoned.;;Ich kann eine [From.GetManWoman] von [From.Religion.GetHighGodName] nicht gefangen halten.;;;x
EVTOPTB39223;[From.GetSheHeCap] will remain where [From.GetSheHe] is;;[From.GetSheHeCap] wird bleiben, wo [From.GetSheHe] ist;;;x
EVTDESC39226;A letter has arrived from the [rightful_rel_head.PrimaryTitle.GetRulerTitle]. [rightful_rel_head.GetSheHeCap] demands we release [From.GetTitledFirstNameNoRegnal] from our prison and submit to the will of [From.Religion.GetHighGodName].;;Ein Brief ist eingetroffen vom [rightful_rel_head.PrimaryTitle.GetRulerTitle]. [rightful_rel_head.GetSheHeCap] verlangt, dass wir [From.GetTitledFirstNameNoRegnal] aus unserem Gefängnis entlassen und uns dem Willen von [From.Religion.GetHighGodName] unterwerfen.;;;x
EVTOPTA39226;In [Root.Religion.GetHighGodName]'s name, let it be done;;Im Namen von [Root.Religion.GetHighGodName], möge es geschehen;;;x
EVTOPTB39226;I am the [Root.PrimaryTitle.GetRulerTitle], not [rightful_rel_head.GetHerHim]!;;Ich bin der [Root.PrimaryTitle.GetRulerTitle], nicht [rightful_rel_head.GetHerHim]!;;;x
EVTDESC39241;An emissary from [From.GetTitledFirstName] has arrived in our court. According to the emissary, the [From.PrimaryTitle.GetRulerTitle] is concerned about our employment of heathens as advisors, and has asked me to remove them from their position.;;Ein Abgesandter von [From.GetTitledFirstName] ist an unserem Hof eingetroffen. Dem Abgesandten zufolge ist der [From.PrimaryTitle.GetRulerTitle] über unsere Beschäftigung von Heiden als Berater besorgt und hat mich gebeten, sie aus ihrer Position zu entfernen.;;;x
EVTDESC39253;The [From.PrimaryTitle.GetRulerTitle] has agreed to lift the excommunication against me!;;Der [From.PrimaryTitle.GetRulerTitle] hat zugestimmt, die Exkommunikation gegen mich aufzuheben!;;;x
EVTDESC39254;The [From.PrimaryTitle.GetRulerTitle] has refused to lift the excommunication against me.;;Der [From.PrimaryTitle.GetRulerTitle] hat sich geweigert, die Exkommunikation gegen mich aufzuheben.;;;x
EVTOPTA39254;Ill news...;;Schlechte Nachrichten...;;;x
EVTDESC39441;I am most concerned that you allow heretics as your advisors. They should immediately be removed from their position.;;Ich bin sehr besorgt darüber, dass Ihr Ketzer als Eure Berater zulasst. Sie sollten sofort aus ihrer Position entfernt werden.;;;x
EVTNAME39651;Pagan Lord Converted;;Heidnischer Herr konvertiert;;;x
EVTNAME39652;Pagan Courtier Converted;;Heidnischer Höfling konvertiert;;;x
EVTNAME39653;Rival Missionary;;Rivalisierender Missionar;;;x
will_get_claim;Will receive claim on random border province.\n;;Wird Anspruch auf eine beliebige Grenzprovinz erheben.;;;x
EVTDESC39000_B;The [Root.Religion.GetName] faith has spread into the province of [Root.GetName]!;;Der Glaube von [Root.Religion.GetName] hat sich in der Provinz [Root.GetName] ausgebreitet!;;;x
EVTDESC39400_B;The [From.Religion.GetName] faith has spread into the province of [From.GetName]!;;Der Glaube von [From.Religion.GetName] hat sich in der Provinz [From.GetName] ausgebreitet!;;;x
EVTDESC39600;[From.GetTitledFirstName], a [From.Religion.GetName] preacher in the service of [From.Liege.GetBestName], has arrived in [From.Location.GetName] to spread the gospel of their foreign religion. [From.GetSheHeCap] has little regard for our old faith, declaring it sinful, and has explained in detail the horrors we shall suffer in the afterlife unless we mend our ways.;;[From.GetTitledFirstName], ein [From.Religion.GetName]-Prediger im Dienste von [From.Liege.GetBestName], ist in [From.Location.GetName] angekommen, um das Evangelium ihrer fremden Religion zu verbreiten. [From.GetSheHeCap] hat wenig Achtung vor unserem alten Glauben, erklärt ihn für sündhaft und hat uns im Detail die Schrecken erklärt, die wir im Jenseits erleiden werden, wenn wir uns nicht bessern.;;;x
EVTOPTA39600;We do not tolerate [From.GetHerHis] kind here;;Wir dulden [From.GetHerHis] Art hier nicht;;;x
EVTOPTB39600;I wish to know more of this '[From.Religion.GetHighGodName]';;Ich möchte mehr über diesen '[From.Religion.GetHighGodName]' erfahren;;;x
EVTOPTC39600;Send [From.GetHerHim] back to [From.GetHerHis] [From.Liege.PrimaryTitle.GetRulerTitle];;Schickt [From.GetHerHim] zurück zu [From.GetHerHis] [From.Liege.PrimaryTitle.GetRulerTitle];;;x
EVTOPTA39602;Enough of this -- banish the preacher!;;Genug davon - verbannt den Prediger!;;;x
EVTDESC39604;My liege,\nI have arrived safely in [From.Location.GetName] and [FromFrom.GetTitledFirstNameNoRegnal] has given me permission to remain and spread the true faith. May [From.Religion.GetHighGodName] grant me the strength to endure the heathen ways of these savages...\n\nSigned,\n[From.GetTitledName];;Mein Herr, \nIch bin sicher in [From.Location.GetName] angekommen und [FromFrom.GetTitledFirstNameNoRegnal] hat mir die Erlaubnis gegeben, zu bleiben und den wahren Glauben zu verbreiten. Möge [From.Religion.GetHighGodName] mir die Kraft geben, die heidnischen Sitten dieser Wilden zu ertragen...\n\nGezeichnet,\n[From.GetTitledName];;;x
EVTDESC39607_can_stay;My liege,\nI bring bad news. Although I seemed to be making progress in encouraging [FromFrom.GetTitledFirstNameNoRegnal] to abandon [From.GetHerHis] heathen ways, [FromFrom.GetSheHe] had a sudden change of heart and now I have been banished from [FromFrom.PrimaryTitle.GetName]. I am willing to remain in secret, and preach to the people, though there is considerable risk if I am discovered.\n\nSigned,\n[From.GetTitledName];;Mein Lehnsherr,\nich bringe schlechte Nachrichten. Obwohl ich Fortschritte dabei zu machen schien, [FromFrom.GetTitledFirstNameNoRegnal] zu ermutigen, [From.GetHerHis] heidnische Lebensweise aufzugeben, hatte [FromFrom.GetSheHe] einen plötzlichen Sinneswandel, und nun wurde ich aus [FromFrom.PrimaryTitle.GetName] verbannt. Ich bin bereit, im Verborgenen zu bleiben und dem Volk zu predigen, auch wenn es ein erhebliches Risiko darstellt, wenn ich entdeckt werde.\n\nGezeichnet,\n[From.GetTitledName];;;x
