#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
RETTYPE_CUL_Ep3;Mameluke Infantry;Infanterie Mamelouk;Mamelucken-Infanterie;;;x
RETTYPE_CUL_Et1;Ethiopian Pikemen;Piquiers éthiopiens;Äthiopische Pikeniere;;;x
RETTYPE_CUL_Et2;Pike and Bow;Piquiers et archers;Pike und Bogen;;;x
RETTYPE_CUL_Et3;East African Skirmishers;Escarmouche est-africaine;Ostafrikanische Plänkler;;;x
RETTYPE_CUL_Fr1;French Knights;Chevaliers Français;Französische Ritter;;;x
RETTYPE_CUL_Fr2;French Sergeants;Sergents Français;Französische Sergeanten;;;x
RETTYPE_CUL_Fr3;Men-at-Arms;Hommes d'Armes;Waffenknechte;;;x
RETTYPE_CUL_G1;German Knights;Chevaliers Allemands;Deutsche Ritter;;;x
RETTYPE_CUL_G2;Swiss Pikemen;Piquiers Suisses;Schweizer Pikeniere;;;x
RETTYPE_CUL_G3;Men-at-Arms;Hommes d'Armes;Bewaffnete Männer;;;x
RETTYPE_CUL_Ge1;Noble Caucasus;Nobles Caucasiens;Edler Kaukasus;;;x
RETTYPE_CUL_Ge2;Heavy Caucasus Infantry;Infanterie Lourde Caucasienne;Schwere Kaukasus-Infanterie;;;x
RETTYPE_CUL_Ge3;Caucasus Skirmishers;Tirailleurs Caucasiens;Kaukasische Plänkler;;;x
RETTYPE_CUL_Hu1;Magyar Horse Archers;Archers Cheval Magyar;Magyarische Pferdebogenschützen;;;x
RETTYPE_CUL_Hu2;Hungarian Skirmishers;Tirailleurs Hongrois;Ungarische Plänkler;;;x
RETTYPE_CUL_Hu3;Light Magyar;Magyar;Leichte Magyaren;;;x
RETTYPE_CUL_Ib1;Noble Cavalry;Cavalerie noble;Edle Kavallerie;;;x
RETTYPE_CUL_Ib2;Heavy Caballero;Caballeros lourds;Schwerer Caballero;;;x
RETTYPE_CUL_Ib3;Light Caballero;Caballeros légère;Leichter Caballero;;;x
RETTYPE_CUL_Ir1;Gallowglass;Gallóglaigh;;;;x
RETTYPE_CUL_Ir2;Kern;;;;;x
RETTYPE_CUL_Ir3;Levy;Levée;;;;x
RETTYPE_CUL_It1;Heavy City Militia;Milice urbaine lourde;Schwere Stadtmiliz;;;x
RETTYPE_CUL_It2;Light City Militia;Milice urbaine légère;Leichte Stadtmiliz;;;x
RETTYPE_CUL_It3;Pike and Crossbow Militia;Milice de Piquiers et d'Arbalétriers;Hecht- und Armbrustmiliz;;;x
RETTYPE_CUL_Lv1;Heavy Levantine;Infanterie Lourde Levantine;Schwere Levantiner;;;x
RETTYPE_CUL_Lv2;Levantine Skirmishers;Tirailleurs Levantins;Levantinische Plänkler;;;x
RETTYPE_CUL_Lv3;Light Levantine Infantry;Infanterie Légère Levantine;Leichte levantinische Infanterie;;;x
RETTYPE_CUL_Ma1;Pike and Cavalry;Piquiers et cavaliers;Pikeniere und Kavallerie;;;x
RETTYPE_CUL_Ma2;Pikemen and Archers;Piquiers et archers;Pikeniere und Bogenschützen;;;x
RETTYPE_CUL_Ma3;Maghreb Skirmisher;Escarmouche maghrébine;Maghrebinische Plänkler;;;x
RETTYPE_CUL_N1;Heavy Housecarl;Huscarls lourds;Schwere Hauskarawane;;;x
RETTYPE_CUL_N2;Light Housecarl;Huscarls légers;Leichte Hauskarls;;;x
RETTYPE_CUL_N3;Fyrd;;;;;x
RETTYPE_CUL_Out1;Western Knights;Chevaliers Occidentaux;Westliche Ritter;;;x
RETTYPE_CUL_Out2;Crusaders;Croisés;Kreuzfahrer;;;x
RETTYPE_CUL_Out3;Peasant Crusaders;Paysans Croisés;Bauern-Kreuzritter;;;x
RETTYPE_CUL_P1;Polish Knights;Chevaliers polonais;Polnische Ritter;;;x
RETTYPE_CUL_P2;Mixed Polish;Unité polonaise mixte;Gemischte Polen;;;x
RETTYPE_CUL_P3;Polish Infantry;Infanterie polonaise;Polnische Infanterie;;;x
RETTYPE_CUL_R1;Heavy Durzniha;Durzinhas lourds;Schwere Durzniha;;;x
RETTYPE_CUL_R2;Steppe Durzniha;Durzinhas des steppes;Steppen-Durzniha;;;x
RETTYPE_CUL_R3;Light Durzniha;Durzinhas légers;Leichte Durzniha;;;x
RETTYPE_CUL_Sc1;Heavy Schiltron;Schiltron lourd;Schwere Schiltron;;;x
RETTYPE_CUL_Sc2;Light Schiltron;Schiltron léger;Leichte Schiltron;;;x
RETTYPE_CUL_Sc3;Schiltron Skirmishers;Schiltron d'escarmouche;Schiltron Plänkler;;;x
RETTYPE_CUL_Sic1;Sicilian Nobles;Nobles Siciliens;Sizilianische Adlige;;;x
RETTYPE_CUL_Sic2;Sicilian Skirmishers;Tirailleurs Siciliens;Sizilianische Plänkler;;;x
RETTYPE_CUL_Sic3;Light Sicilian;Infanterie Légère Sicilienne;Leichte Sizilianer;;;x
RETTYPE_CUL_Sl1;Gusar Cavalry;Cavalerie Gusar;Gusar-Kavallerie;;;x
RETTYPE_CUL_Sl2;Gusar and Archers;Gusars et archers;Gusar und Bogenschützen;;;x
RETTYPE_CUL_Sl3;Light Serbian;Unité serbe légère;Leichte serbische;;;x
RETTYPE_CUL_Wa1;West African Nobles;Nobles ouest-africains;Westafrikanische Adlige;;;x
RETTYPE_CUL_Wa2;West African Bowmen;Archers ouest-africains;Westafrikanische Bogenschützen;;;x
RETTYPE_CUL_Wa3;West African Infantry;Infanterie ouest-africaine;Westafrikanische Infanterie;;;x
RETTYPE_CUL_JEWISH1;Jewish Heavy Infantry;;Jüdische schwere Infanterie;;;x
RETTYPE_CUL_JEWISH2;Jewish Skirmishers;;Jüdische Plänkler;;;x
RETTYPE_CUL_JEWISH3;Jewish Infantry;;Jüdische Infanterie;;;x
RETTYPE_CUL_INDIAN1;Indian War Elephants;;Indische Kriegselefanten;;;x
RETTYPE_CUL_INDIAN2;Indian Swordsmen;;Indische Schwertkämpfer;;;x
RETTYPE_CUL_INDIAN3;Indian Skirmishers;;Indische Plänkler;;;x
RETTYPE_CUL_NUBIAN1;Nubian Skirmishers;;Nubische Plänkler;;;x
RETTYPE_CUL_NUBIAN2;Nubian Spearmen;;Nubische Speerträger;;;x
RETTYPE_CUL_NUBIAN3;Nubian Infantry;;Nubische Infanterie;;;x
RETTYPE_CUL_afghan_1;Afghani Skirmishers;;Afghanische Plänkler;;;x
RETTYPE_CUL_afghan_2;Afghani Infantry;;Afghanische Infanterie;;;x
RETTYPE_CUL_afghan_3;Afghani Cavalry;;Afghanische Kavallerie;;;x
RETTYPE_CUL_HAN1;Nubing;;Nubier;;;x
RETTYPE_CUL_HAN2;Mixed Han;;Gemischte Han;;;x
RETTYPE_CUL_HAN3;Han Skirmishers;;Han Plänkler;;;x
RETTYPE_CUL_TIBET1;Himalayan Mountaineer;Alpiniste himalayen;Himalaya-Bergsteiger;;Montañero del Himalaya;x
RETTYPE_CUL_TIBET2;Light Mountaineer;;Leichtes Bergvolk;;;x
RETTYPE_CUL_TIBET3;Tibetan Bowmen;;Tibetische Bogenschützen;;;x
RETTYPE_CUL_CAf1;Mixed Savanna Cavalry;;Gemischte Savannen-Kavallerie;;;x
RETTYPE_CUL_CAf2;Harassing Savanna Cavalry;;Belästigende Savannen-Kavallerie;;;x
RETTYPE_CUL_CAf3;Savanna Cavalry Swarm;;Savannen-Kavallerie-Schwarm;;;x
