#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
CANNOT_SING;You are too shy to sing, and remain silent.\n;;Du bist zu schüchtern, um zu singen, und bleibst stumm.\n;;;x
EVTDESC_GoPagan_200;You find yourself touring an impoverished province, when word reaches you of a band of ruffians terrorizing local farmers. You remember Zarathustra preaching not only to live righteously but to actively fight evil whenever one can.;;Sie reisen durch eine verarmte Provinz, als Sie von einer Bande von Raufbolden erfahren, die die örtlichen Bauern terrorisiert. Du erinnerst dich an Zarathustra, der predigt, nicht nur rechtschaffen zu leben, sondern auch das Böse aktiv zu bekämpfen, wann immer man kann.;;;x
EVTOPTA_GoPagan_200;Hunt them down yourself;;Jage sie selbst;;;x
EVTOPTB_GoPagan_200;Send a squad of your guards;;Schicken Sie einen Trupp Ihrer Wachen;;;x
EVTOPTC_GoPagan_200;Let the locals handle it themselves;;Lasst die Einheimischen die Sache selbst erledigen;;;x
EVTDESC_GoPagan_201;A petition came today from your Muslim vassals to help them rebuild their mosque destroyed in a recent fire. Will you choose the path of tolerance chosen by many of the famous Zoroastrian Shahs of old, or will you ignore those not following the teachings of Zarathustra?;;Heute kam eine Petition von Euren muslimischen Vasallen mit der Bitte, ihnen beim Wiederaufbau ihrer Moschee zu helfen, die vor kurzem durch ein Feuer zerstört wurde. Werdet Ihr den Weg der Toleranz wählen, den viele der berühmten zoroastrischen Schahs der Vergangenheit eingeschlagen haben, oder werdet Ihr diejenigen ignorieren, die nicht den Lehren Zarathustras folgen?;;;x
EVTOPTA_GoPagan_201;Help them;;Ihnen helfen;;;x
EVTOPTB_GoPagan_201;Ignore their plight;;Ihre Notlage ignorieren;;;x
EVTDESC_GoPagan_202;Today I partake in Sedreh Pushi, an ancient initiation ritual. From this day on I will be a proud member of the Zoroastrian flock;;Heute nehme ich an Sedreh Pushi teil, einem alten Initiationsritual. Von diesem Tag an werde ich ein stolzes Mitglied der zoroastrischen Herde sein.;;;x
EVTOPTA_GoPagan_202;Ask my father for advice;;Frag meinen Vater um Rat;;;x
EVTDESC_GoPagan_203;Today your child, [From.GetTitledFirstName], partakes in a Sedreh Pushi, an initiation ceremony. [From.GetSheHeCap] will don a shirt (Sudreh), girdle (Kushti), and a covering for the head and begin a new life as a member of the Zoroastrian flock. You can use this opportunity to teach [From.GetHerHim] something about your faith.;;Heute nimmt dein Kind, [From.GetTitledFirstName], an einem Sedreh Pushi, einer Initiationszeremonie, teil. [From.GetSheHeCap] wird ein Hemd (Sudreh), einen Gürtel (Kushti) und eine Kopfbedeckung anlegen und ein neues Leben als Mitglied der zoroastrischen Herde beginnen. Du kannst diese Gelegenheit nutzen, um [From.GetHerHim] etwas über deinen Glauben zu lehren.;;;x
EVTOPTA_GoPagan_203;Talk to [From.GetHerHim] about Asha, righteousness;;Sprecht mit [From.GetHerHim] über Asha, Rechtschaffenheit;;;x
EVTOPTB_GoPagan_203;Talk to [From.GetHerHim] about Khshatr, divine power;;Sprich mit [From.GetHerHim] über Khshatr, göttliche Kraft;;;x
EVTOPTC_GoPagan_203;Talk to [From.GetHerHim] about Armaiti, devotion;;Sprich mit [From.GetHerHim] über Armaiti, Hingabe;;;x
EVTOPTD_GoPagan_203;Talk to [From.GetHerHim] about Vohu Manah, holy spirit;;Sprich mit [From.GetHerHim] über Vohu Manah, heiliger Geist;;;x
EVTOPTE_GoPagan_203;I have nothing to teach [From.GetHerHim];;Ich habe [From.GetHerHim] nichts zu lehren;;;x
EVTDESC_GoPagan_205;You have decided to rebuild the capital of the ancient Persian empire, albeit in a slightly new location. You commission quarries to deliver large amounts of marble and gather masons from around the realm to build it. How ambitious should this project be?;;Ihr habt beschlossen, die Hauptstadt des alten persischen Reiches wieder aufzubauen, wenn auch an einem etwas anderen Ort. Du beauftragst Steinbrüche, große Mengen Marmor zu liefern, und versammelst Steinmetze aus dem ganzen Reich, um sie zu bauen. Wie ehrgeizig soll dieses Projekt sein?;;;x
EVTOPTC_GoPagan_205;Make it even greater than it was!;;Machen Sie es noch größer als es war!;;;x
EVTNAME_GoPagan_206;Persepolis Rebuilt!;;Persepolis wiederaufgebaut!;;;x
EVTDESC_GoPagan_206;The new city is almost complete. What do you want to work on as a great project to complete the city? You can rebuild the ancient library to further our scholars' work, you can reconstruct the irrigation system to allow you to support more troops, or you can rebuild the Gate of all nations to dazzle the emissaries from the peoples you subjugated.;;Die neue Stadt ist fast fertig. Was möchtest du als großes Projekt in Angriff nehmen, um die Stadt zu vollenden? Du kannst die antike Bibliothek wieder aufbauen, um die Arbeit unserer Gelehrten zu fördern, du kannst das Bewässerungssystem wieder aufbauen, um mehr Truppen zu versorgen, oder du kannst das Tor aller Völker wieder aufbauen, um die Abgesandten der Völker, die du unterworfen hast, zu blenden.;;;x
EVTOPTA_GoPagan_206;Rebuild the library.;;Baue die Bibliothek wieder auf.;;;x
EVTOPTB_GoPagan_206;Reconstruct the irrigation system.;;Bauen Sie das Bewässerungssystem wieder auf.;;;x
EVTOPTC_GoPagan_206;Rebuild the Gate of All Nations.;;Baue das Tor aller Völker wieder auf.;;;x
EVTNAME_GoPagan_207;New Persepolis;;Neues Persepolis;;;x
EVTDESC_GoPagan_207;The task is complete. New Persepolis has been erected.;;Die Aufgabe ist erfüllt. Das neue Persepolis ist erbaut worden.;;;x
EVTOPTA_GoPagan_207;Our Empire will never fall again and the world will bathe in our splendor.;;Unser Reich wird nie wieder fallen und die Welt wird in unserem Glanz baden.;;;x
EVTNAME_GoPagan_210;Persepolis is restored!;;Persepolis ist wiederhergestellt!;;;x
EVTDESC_GoPagan_210;The splendor of Persepolis has been restored many centuries after the destruction of the original in around 330 BC by Alexander the Great. In a new location, New Persepolis seeks to be the beacon of renewed hope at the heart of a new Persian Empire. Already many Persians are seeking to expand the borders of their reborn realm even further.;;Die Pracht von Persepolis wurde viele Jahrhunderte nach der Zerstörung des Originals um 330 v. Chr. durch Alexander den Großen wiederhergestellt. An einem neuen Standort soll das neue Persepolis ein Leuchtfeuer der Hoffnung im Herzen eines neuen persischen Reiches sein. Schon jetzt sind viele Perser bestrebt, die Grenzen ihres wiedergeborenen Reiches noch weiter auszudehnen.;;;x
EVTOPTA_GoPagan_210;Worrisome...;;Besorgniserregend...;;;x
EVTNAME_GoPagan_215;Immortal Once More;;Noch einmal unsterblich;;;x
EVTDESC_GoPagan_215;With the formation of the Persian kingdom, an old terror returns to the world. The Zhayedan (or, as they are more commonly known, Immortals) seek once again to strike fear into the hearts of the enemies of the Persians, as they did in centuries past when they numbered ten thousand strong. These elite units are comparable to the Greek cataphracts of their time and are equipped with only the finest of equipment and horses. Truly they are a force worthy of the world's attention.;;Mit der Gründung des persischen Königreichs kehrt ein alter Schrecken in die Welt zurück. Die Zhayedan (oder, wie sie besser bekannt sind, die Unsterblichen) versuchen erneut, die Herzen der Feinde der Perser in Angst und Schrecken zu versetzen, wie sie es in vergangenen Jahrhunderten taten, als sie zehntausend Mann stark waren. Diese Eliteeinheiten sind mit den griechischen Kataphrakten ihrer Zeit vergleichbar und nur mit den besten Ausrüstungen und Pferden ausgestattet. Sie sind in der Tat eine Streitmacht, die die Aufmerksamkeit der Welt verdient.;;;x
EVTNAME_GoPagan_216;A New Persian Empire;;Ein neues persisches Reich;;;x
EVTDESC_GoPagan_216;With the reformation of the Persian Empire and the growing of its borders, the Shahanshah has decided that a second force of Zhayedan elites will be required. It would be a grave mistake to underestimate the power of this resurgent Persian Empire, as no one can doubt their legitimacy at this point. But in what direction will their ambitions drive them?;;Mit der Reformierung des Persischen Reiches und der Ausweitung seiner Grenzen hat der Schahansha beschlossen, dass eine zweite Streitmacht aus zhayedanischen Eliten benötigt wird. Es wäre ein schwerwiegender Fehler, die Macht dieses wiedererstarkten persischen Reiches zu unterschätzen, denn an seiner Legitimität kann zum jetzigen Zeitpunkt niemand zweifeln. Aber in welche Richtung werden ihre Ambitionen sie treiben?;;;x
EVTNAME_GoPagan_220;The Great Sacrifice;;Das große Opfer;;;x
EVTDESC_GoPagan_220;You feel the time is right to make a great sacrifice to one of the divinities of Zoroastrianism. As you begin to plan the event, you realize that you haven't even decided on which divinity to sacrifice to. After some deliberation you decide to make a great sacrifice...;;Sie spüren, dass die Zeit reif ist für ein großes Opfer an eine der Gottheiten des Zoroastrismus. Als du anfängst, das Ereignis zu planen, stellst du fest, dass du dich noch nicht einmal für eine Gottheit entschieden hast, der du opfern willst. Nach reiflicher Überlegung beschließt ihr, ein großes Opfer zu bringen...;;;x
EVTOPTA_GoPagan_220;... to Mithra, a divinity associated with war.;;...an Mithra, eine Gottheit, die mit dem Krieg verbunden ist.;;;x
EVTOPTB_GoPagan_220;... to Parendi, a divinity associated with riches.;;... Parendi, einer Gottheit, die mit Reichtum verbunden ist.;;;x
EVTOPTC_GoPagan_220;... to Chisti, a divinity associated with wisdom.;;... an Chisti, eine Gottheit, die mit Weisheit verbunden ist.;;;x
EVTOPTD_GoPagan_220;... to none of them. It was a silly idea after all.;;... zu keiner von ihnen. Es war schließlich eine dumme Idee.;;;x
EVTNAME_GoPagan_225;The Cleansing Ritual;;Das Säuberungsritual;;;x
EVTDESC_GoPagan_225;You approach a set of 6 holes about two feet deep for the ritual. The closest three are filled with gomez (consecrated bull's urine, an effective ancient sanitizer). The furthest three are filled with water. There is a holy fire on the far end and you come to the realization that the priests are waiting for you to begin the ritual. As you recite Yasna 49 with the priests and approach the first gomez filled hole.;;Ihr nähert euch für das Ritual einer Reihe von 6 Löchern, die etwa zwei Fuß tief sind. Die drei nächstgelegenen sind mit Gomez gefüllt (geweihter Stierurin, ein wirksames antikes Reinigungsmittel). Die drei am weitesten entfernten sind mit Wasser gefüllt. Am hinteren Ende befindet sich ein heiliges Feuer, und Sie stellen fest, dass die Priester darauf warten, dass Sie mit dem Ritual beginnen. Während Sie mit den Priestern Yasna 49 rezitieren, nähern Sie sich dem ersten mit Gomez gefüllten Loch.;;;x
EVTOPTA_GoPagan_225;I praise Thee, O Mazda Ahura, in my hymns and expect enjoying what Thou deemest the best.;;Ich preise Dich, o Mazda Ahura, in meinen Hymnen und erwarte, das zu genießen, was Du für das Beste hältst.;;;x
EVTNAME_GoPagan_226;Choosing the Shekhinah;;Die Wahl der Shekhinah;;;x
EVTDESC_GoPagan_226;The Manichaeans believed there were five 'Shekhinah', which are the elements where the Divine dwells. Each Manichaean can choose an element upon which to focus, and once chosen that focus cannot be changed.;;Die Manichäer glaubten, dass es fünf "Shekhinah" gibt, das sind die Elemente, in denen das Göttliche wohnt. Jeder Manichäer kann ein Element wählen, auf das er sich konzentrieren will, und wenn er sich einmal entschieden hat, kann dieser Fokus nicht mehr geändert werden.;;;x
EVTOPTA_GoPagan_226;I will focus upon Hauna, or Reason;;Ich werde mich auf Hauna, oder Vernunft, konzentrieren;;;x
EVTOPTB_GoPagan_226;I will focus upon Madda, or Mind;;Ich werde mich auf Madda, oder Geist, konzentrieren;;;x
EVTOPTC_GoPagan_226;I will focus upon Reyana, or Intelligence;;Ich werde mich auf Reyana, oder Intelligenz, konzentrieren.;;;x
EVTOPTD_GoPagan_226;There are other Shekhinah to consider...;;Es gibt noch andere Shekhinah zu berücksichtigen...;;;x
EVTOPTA_GoPagan_227;I will focus upon Mahibta, or Thought;;Ich werde mich auf Mahibta, oder Gedanken, konzentrieren;;;x
EVTOPTB_GoPagan_227;I will focus upon Tarita, or Understanding;;Ich werde mich auf Tarita oder Verstehen konzentrieren;;;x
EVTNAME_GoPagan_228;The New Archegos;;Der neue Archegos;;;x
EVTDESC_GoPagan_228;After the Manichaean Archegos was murdered by the Caliph in Baghdad, many thought that was the end of the religion as an organized church. But like a phoenix rising from its ashes, [new_manichaean_leader.GetTitledName] has been proclaimed the new Archegos by [Root.GetTitledName], with the Manichaean faith having enough power now to make him no mere charlatan.;;Nachdem der manichäische Archegos vom Kalifen in Bagdad ermordet worden war, dachten viele, das sei das Ende der Religion als organisierte Kirche. Doch wie ein Phönix aus der Asche wurde [new_manichaean_leader.GetTitledName] von [Root.GetTitledName] zum neuen Archegos ausgerufen, wobei der manichäische Glaube nun genug Macht hat, um ihn nicht als bloßen Scharlatan erscheinen zu lassen.;;;x
EVTOPTA_GoPagan_228;A glorious day!;;Ein glorreicher Tag!;;;x
EVTOPTB_GoPagan_228;And so the heresy grows more powerful...;;Und so wird die Ketzerei immer mächtiger...;;;x
EVTNAME_GoPagan_229;The Army of Light;;Die Armee des Lichts;;;x
EVTDESC_GoPagan_229;The growing power of the Manichaeans can no longer be denied. With the aid of [Root.GetTitledName], a group of fanatics, peasants, and madmen have now banded together to create their own army, to smite heathens and infidels and to protect the righteous. They call themselves the Army of Light, and their holy mission is to fight for the cause of good -- in the eyes of the Manichaeans -- and drive darkness out of the world.;;Die wachsende Macht der Manichäer lässt sich nicht länger leugnen. Mit Hilfe von [Root.GetTitledName] hat sich nun eine Gruppe von Fanatikern, Bauern und Verrückten zusammengetan, um ihre eigene Armee zu gründen, um Heiden und Ungläubige zu vernichten und die Gerechten zu schützen. Sie nennen sich die Armee des Lichts, und ihre heilige Mission ist es, für die Sache des Guten - in den Augen der Manichäer - zu kämpfen und die Dunkelheit aus der Welt zu vertreiben.;;;x
EVTOPTA_GoPagan_229;A glorious day!;;Ein glorreicher Tag!;;;x
EVTDESC_GoPagan_231;My [Root.GetLordLady], this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Manichaean Church. Rest assured that you will be rewarded in the afterlife, if not on Earth!\nYours in faith,\n\n[From.GetTitledFirstNameNoRegnal];;Meine [Root.GetLordLady], diese äußerst großzügige Spende wird nicht vergessen werden. Ihr habt meine Freundschaft und auch die der Manichäischen Kirche. Seid versichert, dass Ihr im Jenseits belohnt werdet, wenn auch nicht auf der Erde!\n Euer Glaube,\n\n[From.GetTitledFirstNameNoRegnal];;;x
EVTDESC_GoPagan_233;My [Root.GetLordLady], this antagonism is completely unwarranted! The Army of Light serves [Root.Religion.GetHighGodName], but, one has to wonder, do you?\n\nWith anger and sadness,\n\n[From.GetTitledFirstNameNoRegnal];;Meine [Root.GetLordLady], diese Feindseligkeit ist völlig ungerechtfertigt! Die Armee des Lichts dient [Root.Religion.GetHighGodName], aber man muss sich fragen, ob Ihr das auch tut?\n\n[From.GetTitledFirstNameNoRegnal] mit Zorn und Traurigkeit;;;x
EVTDESC_GoPagan_234;Religious leaders from the province of Baghdad are complaining about the prevalence of Manichaean worshippers. 'It is horrible that you can not walk down a street in Baghdad without tripping over half a dozen Manichaeans. Why should we let these infidels continue to live while they tempt others away from the true faith?' They are asking that something be done, lest this become an even greater problem in the years to come.;;Religionsführer aus der Provinz Bagdad beklagen sich über das Überhandnehmen manichäischer Anbeter. Es ist schrecklich, dass man in Bagdad nicht eine Straße entlanggehen kann, ohne über ein halbes Dutzend Manichäer zu stolpern. Warum sollten wir diese Ungläubigen weiterleben lassen, während sie andere vom wahren Glauben abbringen? Sie fordern, dass etwas unternommen wird, damit dies in den kommenden Jahren nicht zu einem noch größeren Problem wird.;;;x
EVTOPTA_GoPagan_234;We shall crush the Archegos and his followers;;Wir werden den Archegos und seine Anhänger vernichten;;;x
EVTOPTB_GoPagan_234;No, I will not attack the innocent;;Nein, ich werde die Unschuldigen nicht angreifen;;;x
EVTNAME_GoPagan_235;Manichaeans Slaughtered;;Manichäer abgeschlachtet;;;x
EVTDESC_GoPagan_235;The province of Baghdad was once the center of the Manichaean faith, home to [manichaean_leader.GetTitledName] who is their leader. After complaints by [Root.Religion.GetName] worshippers, [Root.GetTitledFirstNameNoRegnal] has begun a slaughter of all Manichaeans in the region -- beginning with [manichaean_leader.GetTitledFirstNameNoRegnal] and so ravaging the population that the scholar Ibn al-Nadim reports only finding five remaining in the entire city after the pogrom was finished. The Manicheaean position of Archegos now lies empty, and looks to remain so.;;Die Provinz Bagdad war einst das Zentrum des manichäischen Glaubens, die Heimat von [manichaean_leader.GetTitledName], der ihr Anführer ist. Nach Beschwerden von [Root.Religion.GetName]-Anhängern hat [Root.GetTitledFirstNameNoRegnal] ein Gemetzel an allen Manichäern in der Region begonnen - angefangen mit [manichaean_leader.GetTitledFirstNameNoRegnal] und die Bevölkerung so verwüstet, dass der Gelehrte Ibn al-Nadim berichtet, dass nach dem Pogrom nur noch fünf Menschen in der gesamten Stadt übrig waren. Die manichäische Stellung von Archegos liegt nun leer und wird es wohl auch bleiben.;;;x
EVTOPTA_GoPagan_235;An outrage!;;Ein Skandal!;;;x
EVTOPTB_GoPagan_235;So must it be;;So muss es sein;;;x
EVTDESC_GoPagan_236;After the battle is over, your soldiers hail the victory as a great triumph of the Army of Light over your foes, in service to the Army of Darkness.;;Nachdem die Schlacht vorüber ist, bejubeln deine Soldaten den Sieg als großen Triumph der Armee des Lichts über deine Feinde, im Dienste der Armee der Finsternis.;;;x
EVTOPTA_GoPagan_236;[Root.Religion.GetRandomGodName] watches over us!;;[Root.Religion.GetRandomGodName] wacht über uns!;;;x
EVTDESC_GoPagan_237;After the battle is over, your soldiers curse the defeat as a great triumph of the Army of Darkness over the Army of Light, and shiver in their sleep.;;Nach dem Ende der Schlacht verfluchen deine Soldaten die Niederlage als großen Triumph der Armee der Finsternis über die Armee des Lichts und zittern im Schlaf.;;;x
EVTOPTA_GoPagan_237;It is the work of [Root.Religion.GetRandomEvilGodName]!;;Das ist das Werk von [Root.Religion.GetRandomEvilGodName]!;;;x
EVTDESC_GoPagan_238;You have begun preparations for the Bema Feast, to celebrate the life and death of the Prophet Mani. You send out messengers with invitations to your vassals, expecting all to come and honor [Root.Religion.GetRandomGodName].;;Ihr habt mit den Vorbereitungen für das Bema-Fest begonnen, um das Leben und den Tod des Propheten Mani zu feiern. Du schickst Boten mit Einladungen an deine Vasallen und erwartest, dass alle kommen und [Root.Religion.GetRandomGodName] ehren.;;;x
EVTOPTA_GoPagan_238;This year it will be very special!;;Dieses Jahr wird es etwas ganz Besonderes sein!;;;x
EVTDESC_GoPagan_239;Dear vassal,\nI hereby invite you to attend the celebration of the Bema Feast at [From.Capital.GetName].\n\nYour Liege,\n[From.GetTitledName];;Lieber Vasall,\nhiermit lade ich dich ein, an der Feier des Bema-Festes in [From.Capital.GetName] teilzunehmen.\n\nDein Lehnsherr,\n[From.GetTitledName];;;x
EVTOPTA_GoPagan_239;Of course I will go!;;Natürlich werde ich hingehen!;;;x
EVTOPTB_GoPagan_239;No, I will not attend;;Nein, ich werde nicht teilnehmen.;;;x
EVTDESC_GoPagan_240;My [Root.GetLordLady],\nAlas, I will not be able to attend the Bema Feast. I will offer thanks to Mani in a much more humble affair at [From.Capital.GetName], but I do appreciate your invitation.\n\nWith sincerity,\n[From.GetTitledName];;Meine [Root.GetLordLady],\nAlso, ich werde nicht in der Lage sein, am Bema-Fest teilzunehmen. Ich werde Mani in einer viel bescheideneren Angelegenheit bei [From.Capital.GetName] danken, aber ich weiß Eure Einladung sehr zu schätzen.\n\nMit Aufrichtigkeit,\n[From.GetTitledName];;;x
EVTOPTA_GoPagan_240;The nerve!;;So eine Frechheit!;;;x
EVTDESC_GoPagan_241;Guests have arrived from villages throughout the realm, to celebrate the Bema Feast in [Root.Capital.GetName]. The festivities are almost ready to begin!;;Aus allen Dörfern des Reiches sind Gäste eingetroffen, um das Bema-Fest in [Root.Capital.GetName] zu feiern. Die Festivitäten können bald beginnen!;;;x
EVTDESC_GoPagan_242;Guests have arrived from villages throughout [Liege.PrimaryTitle.GetName], to celebrate the Bema Feast in [Liege.Capital.GetName]. [Liege.GetTitledFirstNameNoRegnal] greets you at the entrance to [Liege.GetHerHis] estate, and it seems the festivities are almost ready to begin!;;Aus den Dörfern in [Liege.PrimaryTitle.GetName] sind Gäste eingetroffen, um das Bema-Fest in [Liege.Capital.GetName] zu feiern. [Liege.GetTitledFirstNameNoRegnal] begrüßt Euch am Eingang des Anwesens von [Liege.GetHerHis], und es scheint, dass die Festlichkeiten bald beginnen können!;;;x
EVTDESC_GoPagan_243;The Bema Feast is over for now. Another celebration of Light to drive back the Darkness.;;Das Bema-Fest ist vorerst vorbei. Ein weiteres Fest des Lichts, um die Dunkelheit zu vertreiben.;;;x
EVTDESC_GoPagan_246;It is customary to fast in religious reflection before the start of the Bema Feast. Will you take part in this tradition?;;Es ist Brauch, vor dem Beginn des Bema-Festes in religiöser Besinnung zu fasten. Werden Sie sich an dieser Tradition beteiligen?;;;x
EVTOPTA_GoPagan_246;I will fast for a week;;Ich werde eine Woche lang fasten;;;x
EVTOPTB_GoPagan_246;I will fast for the next three days;;Ich werde die nächsten drei Tage fasten;;;x
EVTOPTC_GoPagan_246;Go without food? Perish the thought!;;Ohne Essen gehen? Vergiss es!;;;x
EVTNAME_GoPagan_247;The Singing of Hymns;;Das Singen von Hymnen;;;x
EVTDESC_GoPagan_247;The Bema Feast starts with the singing of various hymns that celebrate the return of spring, the life and death of the Prophet Mani, and the battles the Forces of Light have won over the Armies of Darkness. All those gathered raise their voices to the gods, a chorus of faith and beauty that touches the soul.;;Das Bema-Fest beginnt mit dem Singen verschiedener Hymnen, die die Rückkehr des Frühlings, das Leben und den Tod des Propheten Mani und die Schlachten, die die Mächte des Lichts gegen die Armeen der Dunkelheit gewonnen haben, feiern. Alle Versammelten erheben ihre Stimmen zu den Göttern, ein Chor des Glaubens und der Schönheit, der die Seele berührt.;;;x
EVTOPTA_GoPagan_247;This is my favorite part;;Dies ist mein Lieblingsteil;;;x
EVTNAME_GoPagan_250;The Feast of the Elect;;Das Fest der Auserwählten;;;x
EVTDESC_GoPagan_250;Only the Elect -- those who are devoted to the Manichaean faith -- are invited to take part in a ritual meal, which both symbolizes the life of Mani and the theology of the Manichaeans. To take part is a great honor.;;Nur die Auserwählten - diejenigen, die sich dem manichäischen Glauben verschrieben haben - sind eingeladen, an einem rituellen Mahl teilzunehmen, das sowohl das Leben von Mani als auch die Theologie der Manichäer symbolisiert. Daran teilzunehmen ist eine große Ehre.;;;x
EVTOPTA_GoPagan_250;Honor and Glory!;;Ehre und Ruhm!;;;x
EVTNAME_GoPagan_251;The Presentation of the Arzhang;;Die Präsentation des Arzhangs;;;x
EVTDESC_GoPagan_251;The Arzhang, or Picture Book, is a work painted by Mani himself, which depicts the Manichaean theology in simple terms, so that even the uneducated can read and understand the faith. The book rests on the bema until the feast is over, after which a priest recites sermons from it and absolves the sins of those attending.;;Der Arzhang oder das Bilderbuch ist ein von Mani selbst gemaltes Werk, das die manichäische Theologie in einfachen Worten darstellt, so dass auch ungebildete Menschen den Glauben lesen und verstehen können. Das Buch liegt bis zum Ende des Festes auf dem Bema, woraufhin ein Priester daraus Predigten vorträgt und die Anwesenden von ihren Sünden freispricht.;;;x
EVTOPTA_GoPagan_251;Praise be to [Root.Religion.GetRandomGodName]!;;Gepriesen sei [Root.Religion.GetRandomGodName]!;;;x
EVTNAME_GoPagan_257;The Persian Uprising;;Der persische Aufstand;;;x
EVTDESC_GoPagan_257;It is said that the Abbasids would never have been able to seize the caliphate without the aid of the great Persian general, Abu Muslim, who in the end was rewarded for his service with death -- executed on the order of Caliph Al-Mansur. Resentment for this perceived betrayal has long simmered as resentment among the Persian people, resentment which has now broken out in open rebellion. A peasant leader by the name of Babak, aided by his capable wife Banu, an effective general and archer in her own right, has risen up to free his nation from the unjust rule of [Root.GetTitledFirstNameNoRegnal]...and has already attracted a massive following, enough to present a real threat to the [Root.PrimaryTitle.GetFullName].;;Es heißt, dass die Abbasiden ohne die Hilfe des großen persischen Generals Abu Muslim niemals in der Lage gewesen wären, das Kalifat an sich zu reißen, der schließlich für seine Dienste mit dem Tod belohnt wurde - hingerichtet auf Befehl des Kalifen Al-Mansur. Der Groll über diesen vermeintlichen Verrat schwelt seit langem im persischen Volk, ein Groll, der sich nun in einer offenen Rebellion entlädt. Ein Bauernführer namens Babak, unterstützt von seiner fähigen Frau Banu, die selbst eine gute Generalin und Bogenschützin ist, hat sich erhoben, um sein Volk von der ungerechten Herrschaft von [Root.GetTitledFirstNameNoRegnal] zu befreien... und hat bereits eine große Anhängerschaft angezogen, die eine echte Bedrohung für [Root.PrimaryTitle.GetFullName] darstellt.;;;x
EVTOPTA_GoPagan_257;This is an outrage!;;Das ist ein Skandal!;;;x
EVTOPTB_GoPagan_257;It's about time!;;Es ist höchste Zeit!;;;x
EVTNAME_GoPagan_258;The Mazdaki Priesthood;;Die Mazdaki-Priesterschaft;;;x
EVTDESC_GoPagan_258;Although the Prophet Mazdak always railed against the corruption of the Zoroastrian Priesthood, and his followers have never had an official structure to speak of, now that the faith has risen to such prominence under [Root.GetTitledName] it seems the time has come to give it to them. With [new_mazdaki_leader.GetTitledFirstNameNoRegnal] chosen as the new [new_mazdaki_leader.PrimaryTitle.GetRulerTitle] of the [new_mazdaki_leader.PrimaryTitle.GetFullName], the Mazdaki faith has entered a new era, with a priesthood rivalling that of the Zoroastrians from which they once stemmed...and have, perhaps, now exceeded.;;Obwohl der Prophet Mazdak immer gegen die Korruption der zoroastrischen Priesterschaft gewettert hat und seine Anhänger nie über eine nennenswerte offizielle Struktur verfügten, scheint nun, da der Glaube unter [Root.GetTitledName] zu solcher Prominenz aufgestiegen ist, die Zeit gekommen zu sein, ihnen diese zu geben. Mit [new_mazdaki_leader.GetTitledFirstNameNoRegnal], der zum neuen [new_mazdaki_leader.PrimaryTitle.GetRulerTitle] des [new_mazdaki_leader.PrimaryTitle.GetFullName] gewählt wurde, ist der Mazdaki-Glaube in eine neue Ära eingetreten, mit einer Priesterschaft, die mit der der Zoroastrier konkurriert, von denen sie einst abstammten... und die sie nun vielleicht übertroffen haben.;;;x
EVTOPTA_GoPagan_258;A glorious day!;;Ein glorreicher Tag!;;;x
