#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
faction_prosperity_desc;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Any member being appointed as Steward\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- The liege's Steward not belonging to their faction\n- The liege having negative Wealth or being in debt;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Any member being appointed as Steward\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- The liege's Steward not belonging to their faction\n- The liege having negative Wealth or being in debt;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Any member being appointed as Steward\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- The liege's Steward not belonging to their faction\n- The liege having negative Wealth or being in debt;;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Any member being appointed as Steward\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- The liege's Steward not belonging to their faction\n- The liege having negative Wealth or being in debt;;;;;;;;;x
faction_prosperity_short;Prosperity;Prosperity;Prosperity;;Prosperity;;;;;;;;;x
faction_prosperity_title;Prosperity Faction;Prosperity Faction;Prosperity Faction;;Prosperity Faction;;;;;;;;;x
faction_religious_short;[From.Religion.GetName];[From.Religion.GetName];[From.Religion.GetName];;[From.Religion.GetName];;;;;;;;;x
faction_religious_title;[From.Religion.GetName] Faction;[From.Religion.GetName] Faction;[From.Religion.GetName] Faction;;[From.Religion.GetName] Faction;;;;;;;;;x
faction_religious_desc;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;;;;;;;;;x
faction_separatist_desc;Separatists are radicals that cannot be bargained with. They will settle for nothing less than complete independence.;Les séparatistes sont si radicaulx qu'on ne peult point négocier avec eulx. Ils n'accepteront rien de moins que l'indépendance complète.;Separatisten sind Radikale, die man nicht verhandeln werden kann. Sie werden für nichts weniger als vollständige Unabhängigkeit zu begleichen.;;Separatists are radicals that cannot be bargained with. They will settle for nothing less than complete independence.;;;;;;;;;x
faction_separatist_short;Separatist;Indépendantiste;Separatisten;;Separatist;;;;;;;;;x
faction_separatist_title;Separatists;Indépendantistes;Separatistsen;;Separatists;;;;;;;;;x
faction_separatist_war;Declare Separatist War;Déclarer une Guerre d'Indépendance;Erkläre Separatistenkrieg;;Declare Separatist War;;;;;;;;;x
faction_separatist_war_desc;Declare war on [Root.Liege.GetTitledFirstName] for the independence of the Separatist movement.;Déclarer une guerre à [Root.Liege.GetTitledFirstName] pour l'indépendance du mouvement séparatiste.;Krieg an [Root.Liege.GetTitledFirstName] erklären für die Unabhängigkeit der Separatistenbewegung.;;Declare war on [Root.Liege.GetTitledFirstName] for the independence of the Separatist movement.;;;;;;;;;x
faction_tradition_desc;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Any member being appointed as Lord Spiritual\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- The liege's Lord Spiritual not belonging to their faction\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Any member being appointed as Lord Spiritual\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- The liege's Lord Spiritual not belonging to their faction\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Any member being appointed as Lord Spiritual\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- The liege's Lord Spiritual not belonging to their faction\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Any member being appointed as Lord Spiritual\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- The liege's Lord Spiritual not belonging to their faction\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;;;;;;;;;x
faction_tradition_short;Tradition;Tradition;Tradition;;Tradition;;;;;;;;;x
faction_tradition_title;Tradition Faction;Tradition Faction;Tradition Faction;;Tradition Faction;;;;;;;;;x
faction_court_mood_angry;Court Faction: Rebellious;Court Faction: Rebellious;Court Faction: Rebellious;;Court Faction: Rebellious;;;;;;;;;x
faction_court_mood_angry_desc;This character is a member of the Court faction, which is openly hostile to its liege.;This character is a member of the Court faction, which is openly hostile to its liege.;This character is a member of the Court faction, which is openly hostile to its liege.;;This character is a member of the Court faction, which is openly hostile to its liege.;;;;;;;;;x
faction_court_mood_content;Court Faction: Content;Court Faction: Content;Court Faction: Content;;Court Faction: Content;;;;;;;;;x
faction_court_mood_content_desc;This character is a member of the Court faction, which is content with its liege.;This character is a member of the Court faction, which is content with its liege.;This character is a member of the Court faction, which is content with its liege.;;This character is a member of the Court faction, which is content with its liege.;;;;;;;;;x
faction_court_mood_happy;Court Faction: Happy;Court Faction: Happy;Court Faction: Happy;;Court Faction: Happy;;;;;;;;;x
faction_court_mood_happy_desc;This character is a member of the Court faction, which is pleased with its liege.;This character is a member of the Court faction, which is pleased with its liege.;This character is a member of the Court faction, which is pleased with its liege.;;This character is a member of the Court faction, which is pleased with its liege.;;;;;;;;;x
faction_court_mood_unhappy;Court Faction: Unhappy;Court Faction: Unhappy;Court Faction: Unhappy;;Court Faction: Unhappy;;;;;;;;;x
faction_court_mood_unhappy_desc;This character is a member of the Court faction, which is unhappy with its liege.;This character is a member of the Court faction, which is unhappy with its liege.;This character is a member of the Court faction, which is unhappy with its liege.;;This character is a member of the Court faction, which is unhappy with its liege.;;;;;;;;;x
faction_prosperity_mood_angry;Prosperity Faction: Rebellious;Prosperity Faction: Rebellious;Prosperity Faction: Rebellious;;Prosperity Faction: Rebellious;;;;;;;;;x
faction_prosperity_mood_angry_desc;This character is a member of the Prosperity faction, which is openly hostile to its liege.;This character is a member of the Prosperity faction, which is openly hostile to its liege.;This character is a member of the Prosperity faction, which is openly hostile to its liege.;;This character is a member of the Prosperity faction, which is openly hostile to its liege.;;;;;;;;;x
faction_prosperity_mood_content;Prosperity Faction: Content;Prosperity Faction: Content;Prosperity Faction: Content;;Prosperity Faction: Content;;;;;;;;;x
faction_prosperity_mood_content_desc;This character is a member of the Prosperity faction, which is content with its liege.;This character is a member of the Prosperity faction, which is content with its liege.;This character is a member of the Prosperity faction, which is content with its liege.;;This character is a member of the Prosperity faction, which is content with its liege.;;;;;;;;;x
faction_prosperity_mood_happy;Prosperity Faction: Happy;Prosperity Faction: Happy;Prosperity Faction: Happy;;Prosperity Faction: Happy;;;;;;;;;x
faction_prosperity_mood_happy_desc;This character is a member of the Prosperity faction, which is pleased with its liege.;This character is a member of the Prosperity faction, which is pleased with its liege.;This character is a member of the Prosperity faction, which is pleased with its liege.;;This character is a member of the Prosperity faction, which is pleased with its liege.;;;;;;;;;x
faction_prosperity_mood_unhappy;Prosperity Faction: Unhappy;Prosperity Faction: Unhappy;Prosperity Faction: Unhappy;;Prosperity Faction: Unhappy;;;;;;;;;x
faction_prosperity_mood_unhappy_desc;This character is a member of the Prosperity faction, which is unhappy with its liege.;This character is a member of the Prosperity faction, which is unhappy with its liege.;This character is a member of the Prosperity faction, which is unhappy with its liege.;;This character is a member of the Prosperity faction, which is unhappy with its liege.;;;;;;;;;x
faction_glory_mood_angry;Glory Faction: Rebellious;Glory Faction: Rebellious;Glory Faction: Rebellious;;Glory Faction: Rebellious;;;;;;;;;x
faction_glory_mood_angry_desc;This character is a member of the Glory faction, which is openly hostile to its liege.;This character is a member of the Glory faction, which is openly hostile to its liege.;This character is a member of the Glory faction, which is openly hostile to its liege.;;This character is a member of the Glory faction, which is openly hostile to its liege.;;;;;;;;;x
faction_glory_mood_content;Glory Faction: Content;Glory Faction: Content;Glory Faction: Content;;Glory Faction: Content;;;;;;;;;x
faction_glory_mood_content_desc;This character is a member of the Glory faction, which is content with its liege.;This character is a member of the Glory faction, which is content with its liege.;This character is a member of the Glory faction, which is content with its liege.;;This character is a member of the Glory faction, which is content with its liege.;;;;;;;;;x
faction_glory_mood_happy;Glory Faction: Happy;Glory Faction: Happy;Glory Faction: Happy;;Glory Faction: Happy;;;;;;;;;x
faction_glory_mood_happy_desc;This character is a member of the Glory faction, which is pleased with its liege.;This character is a member of the Glory faction, which is pleased with its liege.;This character is a member of the Glory faction, which is pleased with its liege.;;This character is a member of the Glory faction, which is pleased with its liege.;;;;;;;;;x
faction_glory_mood_unhappy;Glory Faction: Unhappy;Glory Faction: Unhappy;Glory Faction: Unhappy;;Glory Faction: Unhappy;;;;;;;;;x
faction_glory_mood_unhappy_desc;This character is a member of the Glory faction, which is unhappy with its liege.;This character is a member of the Glory faction, which is unhappy with its liege.;This character is a member of the Glory faction, which is unhappy with its liege.;;This character is a member of the Glory faction, which is unhappy with its liege.;;;;;;;;;x
faction_tradition_mood_angry;Tradition Faction: Rebellious;Tradition Faction: Rebellious;Tradition Faction: Rebellious;;Tradition Faction: Rebellious;;;;;;;;;x
faction_tradition_mood_angry_desc;This character is a member of the Tradition faction, which is openly hostile to its liege.;This character is a member of the Tradition faction, which is openly hostile to its liege.;This character is a member of the Tradition faction, which is openly hostile to its liege.;;This character is a member of the Tradition faction, which is openly hostile to its liege.;;;;;;;;;x
faction_tradition_mood_content;Tradition Faction: Content;Tradition Faction: Content;Tradition Faction: Content;;Tradition Faction: Content;;;;;;;;;x
faction_tradition_mood_content_desc;This character is a member of the Tradition faction, which is content with its liege.;This character is a member of the Tradition faction, which is content with its liege.;This character is a member of the Tradition faction, which is content with its liege.;;This character is a member of the Tradition faction, which is content with its liege.;;;;;;;;;x
faction_tradition_mood_happy;Tradition Faction: Happy;Tradition Faction: Happy;Tradition Faction: Happy;;Tradition Faction: Happy;;;;;;;;;x
faction_tradition_mood_happy_desc;This character is a member of the Tradition faction, which is pleased with its liege.;This character is a member of the Tradition faction, which is pleased with its liege.;This character is a member of the Tradition faction, which is pleased with its liege.;;This character is a member of the Tradition faction, which is pleased with its liege.;;;;;;;;;x
faction_tradition_mood_unhappy;Tradition Faction: Unhappy;Tradition Faction: Unhappy;Tradition Faction: Unhappy;;Tradition Faction: Unhappy;;;;;;;;;x
faction_tradition_mood_unhappy_desc;This character is a member of the Tradition faction, which is unhappy with its liege.;This character is a member of the Tradition faction, which is unhappy with its liege.;This character is a member of the Tradition faction, which is unhappy with its liege.;;This character is a member of the Tradition faction, which is unhappy with its liege.;;;;;;;;;x
loyalist;Loyalist;Loyaliste;Loyalist;;Loyalist;;;;;;;;;x
loyalist_desc;This character supports the loyalist side in the civil war.;Ce personnage aide les loyalistes dans la guerre civile;Diese Person steht zu den Loyalisten in diesem Bürgerkrieg.;;This character supports the loyalist side in the civil war.;;;;;;;;;x
neutral;Neutral;Neutral;Neutral;;Neutral;;;;;;;;;x
neutral_desc;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;;;;;;;;;x
rebel;Rebel;Rebelle;Rebell;;Rebel;;;;;;;;;x
rebel_desc;This character supports the rebel side in the civil war.;Ce personnage aide les rebelles dans la guerre civile;Diese Person steht zu den Rebellen in diesem Bürgerkrieg.;;This character supports the rebel side in the civil war.;;;;;;;;;x
#
# FACTION MODIFIERS
#
attempted_poach_faction;Tried to Poach from my Faction;Tried to Poach from my Faction;Tried to Poach from my Faction;;Tried to Poach from my Faction;;;;;;;;;x
bad_speech;Bad Speech;Mauvais orateur;Bad Speech;;Bad Speech;;;;;;;;;x
convinced_to_support_liege;Convinced to Support Liege;Convinced to Support Liege;Convinced to Support Liege;;Convinced to Support Liege;;;;;;;;;x
faction_agree_liege;Agree on Faction's Stance Towards Liege;Agree on Faction's Stance Towards Liege;Agree on Faction's Stance Towards Liege;;Agree on Faction's Stance Towards Liege;;;;;;;;;x
faction_approve_CA;Faction Approves of Crown Authority;Faction Approves of Crown Authority;Faction Approves of Crown Authority;;Faction Approves of Crown Authority;;;;;;;;;x
faction_approve_council;Faction Approves of Council;Faction Approves of Council;Faction Approves of Council;;Faction Approves of Council;;;;;;;;;x
faction_approve_council_term;Faction Approves of Council Terms;Faction Approves of Council Terms;Faction Approves of Council Terms;;Faction Approves of Council Terms;;;;;;;;;x
faction_approve_levy_privilege;Faction Approves of Levy Privilege;Faction Approves of Levy Privilege;Faction Approves of Levy Privilege;;Faction Approves of Levy Privilege;;;;;;;;;x
faction_approve_obligations;Faction Approves of Obligations;Faction Approves of Obligations;Faction Approves of Obligations;;Faction Approves of Obligations;;;;;;;;;x
faction_approve_peace;Faction Approves of Peace;Faction Approves of Peace;Faction Approves of Peace;;Faction Approves of Peace;;;;;;;;;x
faction_approve_piety;Faction Approves of Piety;Faction Approves of Piety;Faction Approves of Piety;;Faction Approves of Piety;;;;;;;;;x
faction_approve_prestige;Faction Approves of Prestige;Faction Approves of Prestige;Faction Approves of Prestige;;Faction Approves of Prestige;;;;;;;;;x
faction_approve_tax_privilege;Faction Approves of Tax Privilege;Faction Approves of Tax Privilege;Faction Approves of Tax Privilege;;Faction Approves of Tax Privilege;;;;;;;;;x
faction_approve_title_grant;Faction Pleased by Title Grant;Faction Pleased by Title Grant;Faction Pleased by Title Grant;;Faction Pleased by Title Grant;;;;;;;;;x
faction_approve_TO;Faction Approves of Tribal Organization;Faction Approves of Tribal Organization;Faction Approves of Tribal Organization;;Faction Approves of Tribal Organization;;;;;;;;;x
faction_approve_wealth;Faction Approves of Wealth;Faction Approves of Wealth;Faction Approves of Wealth;;Faction Approves of Wealth;;;;;;;;;x
faction_court_bonus;Court Faction Support;Soutien de la Faction Courtisane;Hofsplittergruppe Unterstützung;;Court Faction Support;;;;;;;;;x
faction_court_bonus_desc;This liege has been rewarded by their vassals from the Court Faction.;This liege has been rewarded by their vassals from the Court Faction.;This liege has been rewarded by their vassals from the Court Faction.;;This liege has been rewarded by their vassals from the Court Faction.;;;;;;;;;x
faction_disagree_liege;Disagree on Faction's Stance Towards Liege;Disagree on Faction's Stance Towards Liege;Disagree on Faction's Stance Towards Liege;;Disagree on Faction's Stance Towards Liege;;;;;;;;;x
faction_disapprove_CA;Faction Disapproves of Crown Authority;Faction Disapproves of Crown Authority;Faction Disapproves of Crown Authority;;Faction Disapproves of Crown Authority;;;;;;;;;x
faction_disapprove_council;Faction Disapproves of Council;Faction Disapproves of Council;Faction Disapproves of Council;;Faction Disapproves of Council;;;;;;;;;x
faction_disapprove_debt;Faction Disapproves of Debt;Faction Disapproves of Debt;Faction Disapproves of Debt;;Faction Disapproves of Debt;;;;;;;;;x
faction_disapprove_decadence;Faction Disapproves of Decadence;Faction Disapproves of Decadence;Faction Disapproves of Decadence;;Faction Disapproves of Decadence;;;;;;;;;x
faction_disapprove_levy_privilege;Faction Disapproves of Levy Privilege;Faction Disapproves of Levy Privilege;Faction Disapproves of Levy Privilege;;Faction Disapproves of Levy Privilege;;;;;;;;;x
faction_disapprove_obligations;Faction Disapproves of Obligations;Faction Disapproves of Obligations;Faction Disapproves of Obligations;;Faction Disapproves of Obligations;;;;;;;;;x
faction_disapprove_peace;Faction Disapproves of Peace;Faction Disapproves of Peace;Faction Disapproves of Peace;;Faction Disapproves of Peace;;;;;;;;;x
faction_disapprove_piety;Faction Disapproves of Impiety;Faction Disapproves of Impiety;Faction Disapproves of Impiety;;Faction Disapproves of Impiety;;;;;;;;;x
faction_disapprove_prestige;Faction Disapproves of Prestige;Faction Disapproves of Prestige;Faction Disapproves of Prestige;;Faction Disapproves of Prestige;;;;;;;;;x
faction_disapprove_tax_privilege;Faction Disapproves of Tax Privilege;Faction Disapproves of Tax Privilege;Faction Disapproves of Tax Privilege;;Faction Disapproves of Tax Privilege;;;;;;;;;x
faction_disapprove_title_grant;Upset Over Title Grant;Upset Over Title Grant;Upset Over Title Grant;;Upset Over Title Grant;;;;;;;;;x
faction_disapprove_TO;Faction Disapproves of Tribal Organization;Faction Disapproves of Tribal Organization;Faction Disapproves of Tribal Organization;;Faction Disapproves of Tribal Organization;;;;;;;;;x
faction_displeased;Faction Angered;Faction Angered;Faction Angered;;Faction Angered;;;;;;;;;x
faction_pleased;Faction Pleased;Faction Pleased;Faction Pleased;;Faction Pleased;;;;;;;;;x
faction_prosperity_bonus;Prosperity Faction Support;Prosperity Faction Support;Prosperity Faction Support;;Prosperity Faction Support;;;;;;;;;x
faction_prosperity_bonus_desc;This liege has been rewarded by their vassals from the Prosperity Faction.;This liege has been rewarded by their vassals from the Prosperity Faction.;This liege has been rewarded by their vassals from the Prosperity Faction.;;This liege has been rewarded by their vassals from the Prosperity Faction.;;;;;;;;;x
good_speech;Good Speech;Bon orateur;Good Speech;;Good Speech;;;;;;;;;x
great_speech;Great Speech;Grand orateur;Great Speech;;Great Speech;;;;;;;;;x
made_ultimatum;Faction Ultimatum;Faction Ultimatum;Faction Ultimatum;;Faction Ultimatum;;;;;;;;;x
okay_speech;Fair Speech;Orateur moyen;Fair Speech;;Fair Speech;;;;;;;;;x
opinion_civil_war_loser;Loser in Civil War;Perdant de la guerre civile;Unterlegener im Bürgerkrieg;;Loser in Civil War;;;;;;;;;x
opinion_civil_war_neutral;Was Neutral in Civil War;Was Neutral in Civil War;Was Neutral in Civil War;;Was Neutral in Civil War;;;;;;;;;x
opinion_civil_war_supporter;Was Supporter in Civil War;Was Supporter in Civil War;Was Supporter in Civil War;;Was Supporter in Civil War;;;;;;;;;x
opinion_dispute;Dispute;Dispute;Dispute;;Dispute;;;;;;;;;x
opinion_opposed_in_meeting;Opposed me in a vote;S'est opposé à moi dans un vote;Opposed me in a vote;;Opposed me in a vote;;;;;;;;;x
opinion_rebuffed_recruitment;Rebuffed Recruitment Attempt;Rebuffed Recruitment Attempt;Rebuffed Recruitment Attempt;;Rebuffed Recruitment Attempt;;;;;;;;;x
opinion_supported_in_meeting;Supported me in a vote;M'a soutenu dans un vote;Supported me in a vote;;Supported me in a vote;;;;;;;;;x
overthrew_me;Overthrew Me;;;;;;;;;;;;;x
overthrown_ruler;Overthrown Ruler;;;;;;;;;;;;;x
pf_lcut_ruler;Tracking for Potential Liege Change;;;;;;;;;;;;;x
pf_loyal_to_me;Supporting Me During Civil War;Supporting Me During Civil War;Supporting Me During Civil War;;Supporting Me During Civil War;;;;;;;;;x
pf_loyal_toward;Supporting During Civil War;Supporting During Civil War;Supporting During Civil War;;Supporting During Civil War;;;;;;;;;x
pf_neutral_to_me;Did Not Support Me During Civil War;Did Not Support Me During Civil War;Did Not Support Me During Civil War;;Did Not Support Me During Civil War;;;;;;;;;x
pf_neutral_toward;Remained Neutral During Civil War;Remained Neutral During Civil War;Remained Neutral During Civil War;;Remained Neutral During Civil War;;;;;;;;;x
pleasant_meeting;Pleasant Meeting;Pleasant Meeting;Pleasant Meeting;;Pleasant Meeting;;;;;;;;;x
poached_faction_member;Poached Member of my Faction;Poached Member of my Faction;Poached Member of my Faction;;Poached Member of my Faction;;;;;;;;;x
rallied_against_liege;Rallied Against Liege;Rallied Against Liege;Rallied Against Liege;;Rallied Against Liege;;;;;;;;;x
revolting_against;Civil War;Guerre civile;Bürgerkrieg;;Civil War;;;;;;;;;x
revolting_against_me;Civil War;Guerre civile;Bürgerkrieg;;Civil War;;;;;;;;;x
