#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
###############################################################################;;;;;;;;;;;;;;x;
#BARONY FEUDAL;;;;;;;;;;;;;;x;
barony_of_coptic;Fortress of;Forteresse de;Festung von;;Fortaleza de;
imperial_barony_of_polish;Castellany of;Châtellenie de;Kastellanei von;;Castellanía de;
imperial_barony_of_anglo_saxon;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_somali;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
imperial_barony_of_maghrebi;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
imperial_barony_of_amazigh;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
imperial_barony_of_south_slavic;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;
imperial_barony_of_welsh;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_west_african;Horon of;Horon de;Horon von;;Horon de;
###############################################################################;;;;;;;;;;;;;;x;
#BARONY ALMULK;;;;;;;;;;;;;;x;
almulk_barony;Barony;;Baronie;;;
almulk_barony_of;Barony of;Baronnie de;Baronie von;;Baronía de;
almulk_barony_of_bulgar;Taishi of;Taishi de;Taishi von;;Taishi de;
almulk_barony_of_central_germanic;Burgraviate of;Burgraviat de;Burggrafschaft von;;Burgraviato de;
almulk_barony_of_cuman;Taishi of;Taishi de;Taishi von;;Taishi de;
almulk_barony_of_east_slavic;Castle of;Château de;Burg von;;Castillo de;
almulk_barony_of_finnish;Castle of;Château de;Burg von;;Castillo de;
almulk_barony_of_iberian;Castle of;Château de;Burg von;;Castillo de;
almulk_barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;
almulk_barony_of_israelite;Migdal of;Migdal de;Migdal von;;Migdal of;
almulk_barony_of_jewish_group;Migdal of;Migdal de;Migdal von;;Migdal of;
almulk_barony_of_khazar;Taishi of;Taishi de;Taishi von;;Taishi de;
almulk_barony_of_sami;Castle of;Château de;Burg von;;Castillo de;
almulk_barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;
almulk_barony_of_north_germanic;Castle of;Château de;Schloss von;;Castillo de;
almulk_barony_of_pecheneg;Taishi of;Taishi de;Taishi von;;Taishi de;
almulk_barony_of_polish;Castellany of;Châtellenie de;Kastellanie von;;Castellanía de;
almulk_barony_of_anglo_saxon;Castle of;Château de;Schloss von;;Castillo de;
almulk_barony_of_somali;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
almulk_barony_of_maghrebi;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
almulk_barony_of_amazigh;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
almulk_barony_of_south_slavic;Castle of;Château de;Schloss von;;Castillo de;
almulk_barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;
almulk_barony_of_welsh;Castle of;Château de;Schloss von;;Castillo de;
almulk_barony_of_west_african;Horon of;Horon de;Horon von;;Horon de;
###############################################################################;;;;;;;;;;;;;;x;
#BARONY TEMPLE;;;;;;;;;;;;;;x;
temple_barony_of_chalcedonian_byzantine;Eparchy of;Éparchie de;Eparchie von;;Eparquía de;
temple_barony_of_celtic_pagan;Cysegr of;Cysegr de;Cysegr von;;Cysegr de;
temple_barony_of_celtic_pagan_reformed;Cysegr of;Cysegr de;Cysegr von;;Cysegr de;
temple_barony_of_druze;Khalwat of;Khalwat of;Khalwat von;;Khalwat of;
temple_barony_of_egyptian_pagan;Shrine of;Sanctuaire de;Heiligtum von;;Shrine of;
temple_barony_of_hellenic_pagan_group;Temple of;Temple de;Tempel von;;Templo de;
temple_barony_of_promethean_pagan;Academy of;Academy of;Akademie von;;Academy of;
temple_barony_of_jewish_group;Synagogue of;Synagogue de;Synagoge von;;Synagogue de;
temple_barony_of_mandaean;Mandi of;Mandi of;Mandi von;;Mandi of;
temple_barony_of_manichaean;Bishopric of;Bishopric of;Bischofssitz von;;Bishopric of;
temple_barony_of_orthodox;Eparchy of;Éparchie de;Eparchie von;;Eparquía de;
temple_barony_of_pagan_group;Temple of;Temple de;Tempel von;;Templo de;
temple_barony_of_yazidi;Sheikhdom of;Sheikhdom of;Scheichtum von;;Sheikhdom of;
temple_barony_of_zoroastrian;Atashkada of;Atashkada de;Ataschkada der;;Atashkada de;
temple_barony_chalcedonian_byzantine;Eparchy;Éparchie;Eparchie;;Eparquía;
temple_barony_celtic_pagan;Cysegr;Cysegr;Cysegr;;Cysegr;
temple_barony_celtic_pagan_reformed;Cysegr;Cysegr;Cysegr;;Cysegr;
temple_barony_druze;Khalwat;Khalwat;Khalwat;;Khalwat;
temple_barony_egyptian_pagan;Shrine;Sanctuaire;Heiligtum;;Shrine;
temple_barony_hellenic_pagan_group;Temple;Temple;Tempel;;Templo;
temple_barony_promethean_pagan;Academy;Academy;Akademie;;Academy;
temple_barony_jewish_group;Synagogue;Synagogue;Synagoge;;Synagogue;
temple_barony_mandaean;Mandi;Mandi;Mandi;;Mandi;
temple_barony_manichaean;Bishopric;Bishopric;Bistum;;Bishopric;
temple_barony_orthodox;Eparchy;Éparchie;Eparchie;;Eparquía;
temple_barony_pagan_group;Temple;Temple;Tempel;;Templo;
temple_barony_yazidi;Sheikhdom;Sheikhdom;Scheichtum;;Sheikhdom;
temple_barony_zoroastrian;Atashkada;Atashkada;Ataschkada;;Atashkada;
###############################################################################;;;;;;;;;;;;;;x;
#BARONY TRIBAL;;;;;;;;;;;;;;x;
TRIBAL_NAME_PROV;Village of $PROV$;;Dorf von $PROV$;;;x
TRIBAL_NAME_PROV_CLAN;Village of $PROV$;;Dorf von $PROV$;;;x
#the two above bother me. They SHOULD work like the below but for some reason paradox made them work weird.;;;;;;;;;;;;;;x;
#tribal_barony_of;Village of;;Dorf von;;;;;;;;;;;;x
#tribal_barony;Village;;Dorf;;;;;;;;;;;;x
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY CITY;;;;;;;;;;;;;;x;
city_county_of_central_germanic;Free City of;Ville Libre de;Freie Reichsstadt von;;Ciudad Libre del Jeque;
city_county_of_israelite;Nafa of;Nafa de;Nafa von;;Nafa of;
city_county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;
city_county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque;
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY FEUDAL;;;;;;;;;;;;;;x;
county_of_coptic;Pagarchy of;Pagarchy de;Pagarchie von; Pagarchy de;;
county_of_east_slavic;Grand Boyardom of;Grand Boyardome de;Großherzogtum von;;Gran Boyardomo de;
county_of_english;Earldom of;Earldom de;Grafschaft von;;Earldom de;
county_of_iranian;Marzpanate of;Marzpanat de;Marzpanat von;;Marzpanate de;
county_of_israelite;Nafa of;Nafa de;Nafa von;;Nafa of;
county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;
county_of_north_germanic;Thanage of;Thanage de;Thanage von;;Thanago de;
county_of_pictish;Thanage of;Thanage de;Thanage von;;Thanago de;
county_of_anglo_saxon;Shire of;Comté de;Auenland von;;Comarca de;
county_of_scottish;Thanage of;Thanage de;Thanage von;;Thanago de;
county_of_somali;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
county_of_amazigh;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
county_of_maghrebi;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
county_of_bulgarian;Boyardom of;Boyardome de;Bojedom von;;Boyardomo de;
county_of_south_slavic;County of;Comté de;Grafschaft von;;Condado de;
county_of_turkish;Beylik of;Beylik de;Beylik von;;Beylicato de;
county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque de;
county_coptic;Pagarchy;Pagarchy;Pagarchie;;Pagarchy;
county_east_slavic;Grand Boyardom;Grand Boyardome;Großherzogtum;;Gran Boyardomo;
county_english;Earldom;Earldom;Grafschaft;;Earldom;
county_iranian;Marzpanate;Marzpanat;Marzpanat;;Marzpanate;
county_israelite;Nafa;Nafa;Nafa;;Nafa;
county_jewish_group;Nafa;Nafa;Nafa;;Nafa;
county_north_germanic;Thanage;Thanage;Thanage;;Thanago;
county_pictish;Thanage;Thanage;Thanage;;Thanago;
county_anglo_saxon;Shire;Comté;Auenland;;Comarca;
county_scottish;Thanage;Thanage;Thanage;;Thanago;
county_somali;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
county_amazigh;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
county_maghrebi;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
county_bulgarian;Boyardom;Boyardome;Boyardom;;Boyardomo;
county_south_slavic;County;Comté;Landkreis;;Condado;
county_turkish;Beylik;Beylik;Beylik;;Beylicato;
county_west_african;Kafu;Kafu;Kafu;;Kaful Jeque;
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY IMPERIAL;;;;;;;;;;;;;;x;
imperial_county_of;County of;Comté de;Grafschaft von;;Condado de;
imperial_county_of_east_slavic;Grand Boyardom of;Grand Boyardome de;Großherzogtum von;;Gran Boyardomo de;
imperial_county_of_english;Earldom of;Earldom de;Grafschaft von;;Earldom de;
imperial_county_of_iranian;Marzpanate of;Marzpanat de;Marzpanat von;;Marzpanate de;
imperial_county_of_israelite;Nafa of;Nafa de;Nafa von;;Nafa of;
imperial_county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;
imperial_county_of_north_germanic;Thanage of;Thanage de;Thanage von;;Thanago de;
imperial_county_of_pictish;Thanage of;Thanage de;Thanage von;;Thanago de;
imperial_county_of_anglo_saxon;Shire of;Comté de;Auenland von;;Comarca de;
imperial_county_of_scottish;Thanage of;Thanage de;Thanage von;;Thanago de;
imperial_county_of_somali;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
imperial_county_of_amazigh;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
imperial_county_of_maghrebi;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
imperial_county_of_bulgarian;Boyardom of;Boyardome de;Bojedom von;;Boyardomo de;
imperial_county_of_south_slavic;County of;Comté de;Grafschaft von;;Condado de;
imperial_county_of_turkish;Beylik of;Beylik de;Beylik von;;Beylicato de;
imperial_county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque de;
imperial_county_east_slavic;Grand Boyardom;Grand Boyardome;Großherzogtum;;Gran Boyardomo;
imperial_county_english;Earldom;Earldom;Grafschaft;;Earldom;
imperial_county_iranian;Marzpanate;Marzpanat;Marzpanate;;Marzpanate;
imperial_county_israelite;Nafa;Nafa;Nafa;;Nafa;
imperial_county_jewish_group;Nafa;Nafa;Nafa;;Nafa;
imperial_county_north_germanic;Thanage;Thanage;Thanage;;Thanago;
imperial_county_pictish;Thanage;Thanage;Thanage;;Thanago;
imperial_county_anglo_saxon;Shire;Comté;Auenland;;Comarca;
imperial_county_scottish;Thanage;Thanage;Thanage;;Thanago;
imperial_county_somali;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
imperial_county_amazigh;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
imperial_county_maghrebi;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
imperial_county_bulgarian;Boyardom;Boyardome;Boyardom;;Boyardomo;
imperial_county_south_slavic;County;Comté;Landkreis;;Condado;
imperial_county_turkish;Beylik;Beylik;Beylik;;Beylicato;
imperial_county_west_african;Kafu;Kafu;Kafu;;Kaful Jeque;
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY ALMULK;;;;;;;;;;;;;;x;
almulk_county;County;;Grafschaft;;;
almulk_county_of;County of;Comté de;Grafschaft von;;Condado de;
almulk_county_of_east_slavic;Grand Boyardom of;Grand Boyardome de;Großherzogtum von;;Gran Boyardomo de;
almulk_county_of_english;Earldom of;Earldom de;Grafschaft von;;Earldom de;
almulk_county_of_iranian;Marzpanate of;Marzpanat de;Marzpanat von;;Marzpanate de;
almulk_county_of_israelite;Nafa of;Nafa de;Nafa von;;Nafa of;
almulk_county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;
almulk_county_of_north_germanic;Thanage of;Thanage de;Thanage von;;Thanago de;
almulk_county_of_pictish;Thanage of;Thanage de;Thanage von;;Thanago de;
almulk_county_of_anglo_saxon;Shire of;Comté de;Auenland von;;Comarca de;
almulk_county_of_scottish;Thanage of;Thanage de;Thanage von;;Thanago de;
almulk_county_of_somali;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
almulk_county_of_amazigh;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
almulk_county_of_maghrebi;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;
almulk_county_of_bulgarian;Boyardom of;Boyardome de;Bojedom von;;Boyardomo de;
almulk_county_of_south_slavic;County of;Comté de;Grafschaft von;;Condado de;
almulk_county_of_turkish;Beylik of;Beylik de;Beylik von;;Beylicato de;
almulk_county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque de;
almulk_county_east_slavic;Grand Boyardom;Grand Boyardome;Großherzogtum;;Gran Boyardomo;
almulk_county_english;Earldom;Earldom;Grafschaft;;Earldom;
almulk_county_iranian;Marzpanate;Marzpanat;Marzpanate;;Marzpanate;
almulk_county_israelite;Nafa;Nafa;Nafa;;Nafa;
almulk_county_jewish_group;Nafa;Nafa;Nafa;;Nafa;
almulk_county_north_germanic;Thanage;Thanage;Thanage;;Thanago;
almulk_county_pictish;Thanage;Thanage;Thanage;;Thanago;
almulk_county_anglo_saxon;Shire;Comté;Auenland;;Comarca;
almulk_county_scottish;Thanage;Thanage;Thanage;;Thanago;
almulk_county_somali;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
almulk_county_amazigh;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
almulk_county_maghrebi;Sheikhdom;Cheikat;Scheichtum;;Dominiol Jeque;
almulk_county_bulgarian;Boyardom;Boyardome;Boyardom;;Boyardomo;
almulk_county_south_slavic;County;Comté;Landkreis;;Condado;
almulk_county_turkish;Beylik;Beylik;Beylik;;Beylicato;
almulk_county_west_african;Kafu;Kafu;Kafu;;Kaful Jeque;
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY TEMPLE;;;;;;;;;;;;;;x;
temple_county_of_apostolic;Archbishopric of;Archbishopric of;Erzbistum von;;Archbishopric of;
temple_county_of_chalcedonian_byzantine;Metropolite of;Métropolite de;Metropolit von;;Metropolita de;
temple_county_of_druze;Khalwat of;Khalwat of;Khalwat von;;Khalwat of;
temple_county_of_german_pagan;Thiad of;Thiad de;Thiad von;;Thiad de;
temple_county_of_hellenic_pagan_group;Pontificate of;Pontificat de;Pontifikat von;;Pontificate of;
temple_county_of_promethean_pagan;High Academy of;High Academy of;Hohen Akademie von;;High Academy of;
temple_county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;
temple_county_of_orthodox;Metropolite of;Métropolite de;Metropoliten von;;Metropolita de;
temple_county_of_pagan_group;Temple of;Temple de;Tempels von;;Temple of;
temple_county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del jeque de;
temple_county_of_yazidi;Sheikhdom of;Sheikhdom of;Scheichtum von;;Sheikhdom of;
temple_county_of_zoroastrian;Atash i-Adaran of;Atash i-Adaran de;Atasch i-Adaran von;;Atash i-Adaran del jeque de;
temple_county_zoroastrian;Atash i-Adaran;Atash i-Adaran;Atasch i-Adaran;;Atash i-Adaran;
###############################################################################;;;;;;;;;;;;;;x;
#COUNTY TRIBAL;;;;;;;;;;;;;;x;
tribal_county_of;Chiefdom of;Chefferie de;Häuptlingstum von;;Cacicazgo de;
tribal_county_of_north_germanic;Thanage of;Thanage de;Thanage von;;Thanago de;
tribal_county;Chiefdom;Chefferie;Häuptlingstum;;Cacicazgo;
tribal_county_north_germanic;Thanage;Thanage;Thanage;;Thanago;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY CITY;;;;;;;;;;;;;;x;
city_duchy_of_icelandic;Commonwealth of;Communauté des;Commonwealth von;;Comunidad de;
city_duchy_of_israelite;Mahoz of;Mahoz de;Mahoz von;;Mahoz of;
city_duchy_of_jewish_group;Mahoz of;Mahoz de;Mahoz von;;Mahoz of;
city_duchy_icelandic;Commonwealth;Communauté;Commonwealth;;Comunidad;
city_duchy_israelite;Mahoz;;Mahoz;;;x
city_duchy_jewish_group;Mahoz;;Mahoz;;;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY FEUDAL;;;;;;;;;;;;;;x;
duchy_of_armenian;Melikdom of;Melikdome de;Melikdom von;;Meliko de;
duchy_of_coptic;Nomarchy;Nomarquie;Nomarchien;;Nomarchy;
duchy_of_cuman;High Chiefdom of;Grande chefferie de;Hochfürstentum von;;Alto Cacicazgo de;
duchy_of_east_african;Principality of;Principality of;Fürstentum von;;Principality of;
duchy_of_icelandic;Jarldom of;Jarldome de;Jarldom von;;Jarldom de;
duchy_of_iranian;Satrapy of;Satrapie de;Satrapie von;;Satrapía de;
duchy_of_israelite;Mahoz of;Mahoz de;Mahoz von;;Mahoz of;
duchy_of_jewish_group;Mahoz of;Mahoz de;Mahoz von;;Mahoz of;
duchy_of_khazar;High Chiefdom of;Grande chefferie de;Hochfürstentum von;;Alto Cacicazgo de;
duchy_of_magyar;Banate of;Banate de;Banat von;;Banate de;
duchy_of_mongol;High Chiefdom of;Grande chefferie de;Hochfürstentum von;;Alto Cacicazgo de;
duchy_of_norse_pagan;Jarldom of;Jarldom de;Jarldom von;;Jarldom de;
duchy_of_norse_pagan_reformed;Jarldom of;Jarldom de;Jarldom von;;Jarldom de;
duchy_of_russian;Principality of;Principauté de;Fürstentum von;;Principality of;
duchy_of_anglo_saxon;Eorldom of;Eorldom de;Eorldom von;;Eorldom de;
duchy_of_scottish;Mormaerdom of;Mormaerdome de;Mormaerdom von;;Mormaerdomo de;
duchy_of_somali;Emirate of;Émirat de;Emirat von;;Emirato de;
duchy_of_amazigh;Emirate of;Émirat de;Emirat von;;Emirato de;
duchy_of_maghrebi;Emirate of;Émirat de;Emirat von;;Emirato de;
duchy_of_bulgarian;Grand Boyardom of;Grand Boyardome de;Großherzogtum von;;Gran Boyardomo de;
duchy_of_south_slavic;Duchy of;Duché de;Herzogtum von;;Ducado de;
duchy_of_turkish;Beylerbeylik of;Beylerbeylik de;Beylerbeylik von;;Beylicato de Beylicatos de;
duchy_turkish;Beylerbeylik;;Beylerbeylik;;;
duchy_of_welsh;Principality of;Principauté de;Fürstentum von;;Principado de;
duchy_armenian;Melikdom;Melikdome;Melikdom;;Meliko;
duchy_coptic;Nomarchy;Nomarquie;Nomarchat;;Nomarchy;
duchy_cuman;High Chiefdom;Grande chefferie;Hohes Häuptlingstum;;Alto Cacicazgo;
duchy_east_african;Principality;Principality;Fürstentum;;Principality;
duchy_icelandic;Jarldom;Jarldome;Jarldom;;Jarldom;
duchy_iranian;Satrapy;Satrapie;Satrapie;;Satrapía;
duchy_israelite;Mahoz;Mahoz;Mahoz;;Mahoz;
duchy_jewish_group;Mahoz;Mahoz;Mahoz;;Mahoz;
duchy_khazar;High Chiefdom;Grande chefferie;Hohes Häuptlingstum;;Alto Cacicazgo;
duchy_magyar;Banate;Banate;Banate;;Banate;
duchy_mongol;High Chiefdom;Grande chefferie;Hohes Häuptlingstum;;Alto Cacicazgo;
duchy_norse_pagan;Jarldom;Jarldom;Jarldom;;Jarldom;
duchy_norse_pagan_reformed;Jarldom;Jarldom;Jarldom;;Jarldom;
duchy_russian;Principality;Principauté;Fürstentum;;Principality;
duchy_anglo_saxon;Eorldom;Eorldom;Eorldom;;Eorldom;
duchy_scottish;Mormaerdom;Mormaerdome;Mormaerdom;;Mormaerdomo;
duchy_somali;Emirate;Émirat;Emirat;;Emirato;
duchy_amazigh;Emirate;Émirat;Emirat;;Emirato;
duchy_maghrebi;Emirate;Émirat;Emirat;;Emirato;
duchy_bulgarian;Grand Boyardom;Grand Boyardome;Großherzogtum;;Gran Boyardomo;
duchy_south_slavic;Duchy;Duché;Herzogtum;;Ducado;
duchy_welsh;Principality;Principauté;Fürstentum;;Principado;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY TEMPLE;;;;;;;;;;;;;;x;
temple_duchy_of_apostolic;Primacy of;Primacy of;Primat von;;Primacy of;
temple_duchy_of_chalcedonian_byzantine;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;
temple_duchy_of_druze;Grand Khalwat of;Grand Khalwat of;Groß-Khalwat von;;Grand Khalwat of;
temple_duchy_of_egyptian_pagan;Grand Temple of;Grand Temple de;Großtempel von;;Grand Temple of;
temple_duchy_of_german_pagan;Theod of;Theod de;Theod von;;Theod de;
temple_duchy_of_hellenic_pagan_group;Grand Pontificate of;Grand Pontificat de;Großpontifikat von;;Grand Pontificate of;
temple_duchy_of_promethean_pagan;Grand Academy;Tribu de;Großer Akademie;;Tribu de;
temple_duchy_of_jewish_group;Mahoz of;Mahoz de;Mahoz von;;Mahoz of;
temple_duchy_of_orthodox;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;
temple_duchy_of_yazidi;Grand Sheikhdom of;Grand Sheikhdom of;Großscheichtum von;;Grand Sheikhdom of;
temple_duchy_of_zoroastrian;Atash i-Vahram of;Atash i-Vahram de;Atasch i-Vahram von;;Atash i-Vahram de;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY TRIBAL;;;;;;;;;;;;;;x;
tribal_duchy_of;High Chiefdom of;Grande chefferie de;Hochfürstentum von;;Alto Cacicazgo de;
tribal_duchy_of_celtic;Túath of;Túath de;Túath von;;Túath de;
tribal_duchy_of_icelandic;Commonwealth of;Communauté des;Commonwealth von;;Comunidad de;
tribal_duchy_of_north_germanic;Jarldom of;Jarldom de;Jarldom von;;Jarldom de;
tribal_duchy;High Chiefdom;Grande chefferie;Hochfürstentum;;Alto Cacicazgo;
tribal_duchy_celtic;Túath;Túath;Túath;;Túath;
tribal_duchy_icelandic;Commonwealth;Communauté;Commonwealth;;Comunidad;
tribal_duchy_north_germanic;Jarldom;Jarldom;Jarldom;;Jarldom;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY ALMULK;;;;;;;;;;;;;;x;
almulk_duchy_of_turkish;Pashalik of;;Paschalik von;;;
almulk_duchy_of_amazigh;Emirate of;Émirat de;Emirat von;;Emirato de;
almulk_duchy_of_maghrebi;Emirate of;Émirat de;Emirat von;;Emirato de;
almulk_duchy_of;Minor Emirate of;Émirat de;Kleines Emirat von;;Emirato de;
almulk_duchy_turkish;Pashalik;;Paschalik;;;
almulk_duchy_amazigh;Emirate;Émirat;Emirat;;Emirato;
almulk_duchy_maghrebi;Emirate;Émirat;Emirat;;Emirato;
almulk_duchy;Minor Emirate;;Kleines Emirat;;;
###############################################################################;;;;;;;;;;;;;;x;
#DUCHY IMPERIAL;;;;;;;;;;;;;;x;
imperial_duchy_of;Minor Viceroyalty of;Vice-royauté mineure de;Kleines Vizekönigreich von;;Pequeño Virreinato de;
imperial_duchy_of_byzantine;Theme of;Thème de;Thema von;;Tema de;
imperial_duchy;Minor Viceroyalty;Vice-royauté mineure de;Kleines Vizekönigreich;;Pequeño Virreinato de;
imperial_duchy_byzantine;Theme;Thème;Thema;;Tema;
###############################################################################;;;;;;;;;;;;;;x;
#KINGDOM CITY;;;;;;;;;;;;;;x;
city_kingdom_of_baltic;Federation of;Fédération de;Föderation von;;Federación de;
city_kingdom_of_bulgarian;Grand Republic of;Grande République de;Große Republik von;;Gran República de;
city_kingdom_of_celtic;Federation of;Fédération de;Föderation von;;Federación de;
city_kingdom_of_central_germanic;Federation of;Fédération de;Föderation von;;Federación de;
city_kingdom_of_finno_ugric;Federation of;Fédération de;Föderation der;;Federación de;
city_kingdom_of_italian_group;Serene Republic of;République Sérénissime de;Serene Republik von;;Serenísima República de;
city_kingdom_of_israelite;Medina of;Médina de;Medina von;;Medina of;
city_kingdom_of_jewish_group;Medina of;Médina de;Medina von;;Medina of;
city_kingdom_of_magyar;Federation of;Fédération de;Föderation von;;Federación de;
city_kingdom_of_muslim;Malikate of;Malikat de;Malikate von;;Malikato de;
city_kingdom_of_norman;Federation of;Fédération de;Föderation von;;Federación de;
city_kingdom_of_north_germanic;Federation of;Fédération de;Föderation von;;Federación de;
