#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexios Komnenos de Trébizonde;Alexios Komnenos von Trebizond;;Alexios Komnenos de Trebisonda;;;;;;;;;x
BM_ARWA_DESC;Arwa al-Sulayhi, greatest of the al-Sulayhi rulers of Yemen. This woman took de facto control of Yemen at the early age of 18, as the de jure ruler, her husband, was paralyzed and bedridden. She would go on to become the first woman to be bestowed the title of Hujja (symbolizing her as the closest representation of God’s will). She remained in power until her death in 1138 leaving four children behind.;Arwa al-Sulayhi, greatest of the al-Sulayhi rulers of Yemen. This woman took de facto control of Yemen at the early age of 18, as the de jure ruler, her husband, was paralyzed and bedridden. She would go on to become the first woman to be bestowed the title of Hujja (symbolizing her as the closest representation of God’s will). She remained in power until her death in 1138 leaving four children behind.;Arwa al-Sulayhi, die größte der al-Sulayhi-Herrscherinnen des Jemen. Diese Frau übernahm im Alter von 18 Jahren de facto die Herrschaft über den Jemen, da ihr Ehemann, der de jure Herrscher war, gelähmt und bettlägerig war. Sie war die erste Frau, der der Titel Hujja verliehen wurde (als Symbol dafür, dass sie den Willen Gottes am besten repräsentiert). Sie blieb bis zu ihrem Tod im Jahr 1138 an der Macht und hinterließ vier Kinder.;;Esta mujer tomó el control de facto de Yemen a una temprana edad de 18. El gobernante legítimo, su marido, fue paralizado y dejado permanentemente postrado en la cama. Ella seguiría su camino y convertiría en la primer mujer en obtener el título de Hujja (símbolo de cercanía a la voluntad de Dios). Permaneció en el poder hasta su muerte en 1138, dejando 4 hijos.;;;;;;;;;x
BM_CASTILLE;The Union of Castille and León;L'union de Castille et de León;Die Vereinigung von Kastilien und León;;La unión de Castilla y León;;;;;;;;;x
BM_CASTILLE_DESC;Through the untimely death of his brothers, Sancho of Castille has come to inherit his family's divided kingdoms of Galicia and León. Although the crown of Galicia has been declared defunct, Sancho has chosen to retain León and rule it in personal union alongside Castille, crowning himself the Emperor of León-Castilla. With northern Iberia united against the Islamic threat to the south there is greater hope for a Catholic peninsula than before, but nothing is certain. Personal unions can be broken, and Muslims can unite against a common threat just as their Catholic brethren have.;Through the untimely death of his brothers, Sancho of Castille has come to inherit his family's divided kingdoms of Galicia and León. Although the crown of Galicia has been declared defunct, Sancho has chosen to retain León and rule it in personal union alongside Castille, crowning himself the Emperor of León-Castilla. With northern Iberia united against the Islamic threat to the south there is greater hope for a Catholic peninsula than before, but nothing is certain. Personal unions can be broken, and Muslims can unite against a common threat just as their Catholic brethren have.;Durch den frühen Tod seiner Brüder erbte Sancho von Kastilien die von seiner Familie geteilten Königreiche Galicien und León. Obwohl die Krone von Galicien für ungültig erklärt wurde, hat Sancho beschlossen, León zu behalten und in Personalunion mit Kastilien zu regieren, indem er sich zum Kaiser von León-Castilla krönt. Da der Norden Iberiens gegen die islamische Bedrohung im Süden geeint ist, besteht mehr Hoffnung auf eine katholische Halbinsel als zuvor, aber nichts ist sicher. Persönliche Bindungen können gebrochen werden, und die Muslime können sich gegen eine gemeinsame Bedrohung zusammenschließen, so wie es ihre katholischen Brüder getan haben.;;Mediante la desafortunada muerte de sus hermanos, Sancho de Castilla heredó los reinos divididos de Galicia y León pertenecientes a su familia. Más allá de que la corona de Galicia había quedado extinta, Sancho decidió mantener la corona de León y gobernarla mediante unión personal con Castilla, coronándose a sí mismo Emperador de León-Castilla. Con el noreste de la península Ibérica unida en contra de la amenaza Islámica hacia el sur, hay grandes esperanzas para los católicos. Sin embargo, nada es seguro. Uniones personales pueden ser deshechas y los musulmanes pueden unirse contra la amenaza cristiana;;;;;;;;;x
BM_EDGE_OF_KNIFE;The Edge of the Knife;Sur le fil du razoir;Die Klinge des Messers;;El Filo del Cuchillo;;;;;;;;;x
BM_EDGE_OF_KNIFE_DESC;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of Castille-León barely holding on to the north of España, and the Kingdom of Aragón-Navarra and the Duchy of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenos have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Duchy of Armenia Minor. Iberia or Anatolia, Castille or Byzantium: will the heathens succeed in breaking the iron walls of Christianity and finally breech the interior of Europe?;The Western World stands upon the edge of a knife. In Iberia, the Almoravid Sultanate is nearing total victory, with Alfonso of Castille-León barely holding on to the north of España, and the Kingdom of Aragón-Navarra and the Duchy of Barcelona barely surviving at the French border. Across the Mediterranean, although the Komnenos have taken the throne and fight valiantly against the Turk, Sultan Kilij Arslan holds much of Anatolia under his grasp, and looks with greedy eyes toward the independent Duchy of Armenia Minor. Iberia or Anatolia, Castille or Byzantium: will the heathens succeed in breaking the iron walls of Christianity and finally breech the interior of Europe?;Die westliche Welt steht am Rande eines Messers. In Iberien steht das Sultanat der Almoraviden kurz vor dem totalen Sieg, während Alfonso von Kastilien-León den Norden Spaniens nur knapp halten kann und das Königreich Aragón-Navarra und das Herzogtum Barcelona an der französischen Grenze nur knapp überleben. Auf der anderen Seite des Mittelmeers haben die Komnenen zwar den Thron bestiegen und kämpfen tapfer gegen die Türken, aber Sultan Kilij Arslan hat einen Großteil Anatoliens in seiner Gewalt und blickt mit gierigen Augen auf das unabhängige Herzogtum Kleinarmenien. Iberien oder Anatolien, Kastilien oder Byzanz: Wird es den Heiden gelingen, die eisernen Mauern des Christentums zu durchbrechen und schließlich in das Innere Europas vorzudringen?;;El mundo occidental se encuentra al borde del filo del cuchillo. En Iberia, el Sultanato Almorávida se encuentra cerca de su victoria total, con Alfonso de Castilla-León apenas aguantando al norte de España y el reino de Aragón-Navarra y el Ducado de Barcelona acorralados en la frontera francesa. Al otro lado del mediterráneo, aunque los Komnenos tomaron el control del trono y lucharon valientemente contra los turcos, el Sultan Kilij Arslan mantiene bajo su control gran parte de Anatolia y su próximo objetivo es el ducado independiente de Armenia Menor. Iberia o Anatolia, Castilla o Bizancio: Podrán los infieles romper las murallas de hierro de la Cristianidad y finalmente invadir el interior de Europa?;;;;;;;;;x
BM_FRACTURE;The Fall of Rûm;La chute du sultanat de Roum;Der Fall von Rûm;;La caída de Rûm;;;;;;;;;x
BM_FRACTURE_DESC;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rûm has collapsed. In its place a half-dozen Sultans have risen, all claiming to be Rûm's true successor. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other lords and lands have interest in the east, not to mention Naples and the still-warring Dukes in Greece, but regardless of if it is desired, this is one man's time. A great nation must rise from the ashes of Rûm--or Byzantium--and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rûm has collapsed. In its place a half-dozen Sultans have risen, all claiming to be Rûm's true successor. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other lords and lands have interest in the east, not to mention Naples and the still-warring Dukes in Greece, but regardless of if it is desired, this is one man's time. A great nation must rise from the ashes of Rûm--or Byzantium--and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;Geplagt von den Mongolen im Osten und der Dekadenz im Inneren ist das Sultanat von Rûm zusammengebrochen. An seiner Stelle hat sich ein halbes Dutzend Sultane erhoben, die alle behaupten, die wahren Nachfolger Rûms zu sein. Das Byzantinische Reich hat mit Mühe und Not Konstantinopel zurückerobert, aber es ist fraglich, ob es in der Lage ist, mehr als das zu tun. Viele andere Fürsten und Länder haben Interesse am Osten, ganz zu schweigen von Neapel und den sich noch immer bekriegenden Herzögen in Griechenland, aber unabhängig davon, ob es gewünscht wird, ist dies die Zeit eines Mannes. Aus der Asche von Rûm - oder Byzanz - muss sich eine große Nation erheben, und wem es gelingt, die ungleichen Völker der Ägäis zu vereinen, der wird Macht genug haben, um den Gateguard Europas, Ungarn, herauszufordern.;;Plagada por los Mongoles al este y en plena decadencia, el Sultanato de Rûm ha colapsado. En su lugar, media docena de Sultanes se han hecho con el poder, todos reclamando sus derechos como legítimos sucesores de Rûm. El Imperio Bizantino, apenas en pie, ha recuperado Constantinopla, pero su fuerza para seguir avanzando está en duda. Hay muchos señores con intereses en el este, sin mencionar a Nápoles y los Duques Beligerantes de Grecia. Este es el momento de un hombre. Una gran nación debe resurgir de las cenizas de Rûm o Bizancio, quien sea que pueda unificar los reinos y pueblos dispersados tendrá el poder necesario para desafiar la potencia Europea en la retaguardia, Hungría;;;;;;;;;x
BM_GH;The Golden Horde Converts!;La Horde d'or se converti!;Die Goldene Horde bekehrt sich!;;La Horda de Oro se convierte!;;;;;;;;;x
BM_GH_DESC;The Khan of the Golden Horde has converted to Sunni Islam!;The Khan of the Golden Horde has converted to Sunni Islam!;Der Khan der Goldenen Horde ist zum sunnitischen Islam übergetreten!;;El Khan de la Horda de Oro se convierte al Islam!;;;;;;;;;x
BM_HABSBURG;The Habsburgs;Les Habsbourgs;Die Habsburger;;Los Habsburgo;;;;;;;;;x
BM_HABSBURG_DESC;Rudolf von Habsburg, current Holy Roman Emperor, has put down Ottokar II of Bohemia, his only rival for the Imperial throne. With Ottokar's defeat much of his lands have defaulted back to the crown, including the duchy of Österreich, which Rudolf has entrusted to his son, Albricht. Although the succession is secure and a new age has begun with the Habsburg control of Österreich, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control that Frederick II held it with, and has even begun expanding, conquering much of the coast of Greece and even the Duchy of Provence. Inspired by the succession crisis and Sicily's success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire's control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;Rudolf von Habsburg, current Holy Roman Emperor, has put down Ottokar II of Bohemia, his only rival for the Imperial throne. With Ottokar's defeat much of his lands have defaulted back to the crown, including the duchy of Österreich, which Rudolf has entrusted to his son, Albricht. Although the succession is secure and a new age has begun with the Habsburg control of Österreich, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control that Frederick II held it with, and has even begun expanding, conquering much of the coast of Greece and even the Duchy of Provence. Inspired by the succession crisis and Sicily's success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire's control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;Rudolf von Habsburg, der derzeitige Kaiser des Heiligen Römischen Reiches, hat Ottokar II. von Böhmen, seinen einzigen Rivalen um den Kaiserthron, niedergeschlagen. Mit Ottokars Niederlage sind viele seiner Ländereien an die Krone zurückgefallen, darunter auch das Herzogtum Österreich, das Rudolf seinem Sohn Albricht anvertraut hat. Obwohl die Nachfolge gesichert ist und mit der habsburgischen Herrschaft über Österreich ein neues Zeitalter begonnen hat, ist im Reich nicht alles in Ordnung. Das Königreich Sizilien ist aus der festen Kontrolle Friedrichs II. ausgebrochen und hat sogar begonnen zu expandieren, indem es große Teile der griechischen Küste und sogar das Herzogtum Provence erobert hat. Angeregt durch die Erbfolgekrise und den Erfolg Siziliens haben viele Kleinstaaten Norditaliens ihre Unabhängigkeit erklärt. Die Geschichte bezeichnet die Habsburger als eines der erfolgreichsten Häuser des Mittelalters, doch nun droht ihnen der Zusammenbruch der kaiserlichen Kontrolle über die italienische Halbinsel. Halten Sie den Zusammenbruch auf, zum Ruhm des Hauses Habsburg!;;Rodolfo de Habsburgo, actual Emperador del Sacro Imperio Romano, ha vencido a Ottokar II de Bohemia, su único rival al trono Imperial. Con la derrota de  Ottokar, gran parte de sus tierras han sido devueltas a la corona, incluido el ducado de Austria, el cual Rodolfo ha confiado a su hijo, Alberto. La sucesión ha sido asegurada y una nueva era ha empezado con el control de Austria por los Habsburgo, sin embargo no todo en el imperio está en orden. El Reino de Sicilia se ha perdido del firme control que Federico II había tenido, y ha empezado a expandirse, conquistando gran parte de la costa de Grecia e incluso el Ducado de Provenza. Inspirado por la crisis sucesoria y el éxito siciliano, muchos pequeños estados del norte de Italia han declarado la indepencia. La historia llama a los Habsburgos una de las más grandiosas dinastías de la edad media, pero ahora se enfrentan al colapso del Sacro Imperio Romano. Detenerlo es tu deber, por la gloria de la casa de Habsburgo!;;;;;;;;;x
BM_HUNGARY;Hungary-Croatia;La Hongrie-Croatie;Ungarn-Kroatien;;Hungría-Croacia;;;;;;;;;x
BM_HUNGARY_DESC;The death of the Ilyena Árpád, the childless Queen of Croatia, passes her Kingdom on to her brother László, King of Hungary. The union of Hungary-Croatia brings strength to the Magyars, but will László and this new-formed Baltic union be able to stand the test of time? Elsewhere in the world, Yusuf Almoravid, Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest--and if possible, reverse--the conquests that the kingdom of León-Castille has managed against the Muslims of Iberia.;The death of the Ilyena Árpád, the childless Queen of Croatia, passes her Kingdom on to her brother László, King of Hungary. The union of Hungary-Croatia brings strength to the Magyars, but will László and this new-formed Baltic union be able to stand the test of time? Elsewhere in the world, Yusuf Almoravid, Sultan of Mauretania, has begun uniting the peoples of North Africa and southern Iberia. He seeks to contest--and if possible, reverse--the conquests that the kingdom of León-Castille has managed against the Muslims of Iberia.;Nach dem Tod von Ilyena Árpád, der kinderlosen Königin von Kroatien, geht ihr Königreich auf ihren Bruder László, den König von Ungarn, über. Der Zusammenschluss von Ungarn und Kroatien stärkt die Magyaren, aber werden László und die neu geschaffene baltische Union die Zeit überdauern können? Anderswo in der Welt hat Yusuf Almoravid, Sultan von Mauretanien, damit begonnen, die Völker Nordafrikas und der südlichen Iberischen Halbinsel zu vereinen. Er versucht, die Eroberungen des Königreichs León-Castille gegen die Muslime Iberiens anzufechten - und wenn möglich rückgängig zu machen.;;A la muerte de Ilyena Árpád, la reina de Croacia sin hijos, deja su reino a su hermano László, Rey de Hungría. La unión de Hungría-Croacia trae fortaleza contra los Magiares. Pero podrá László y esta nueva nación Báltica enfrentar el desafío del tiempo? En otra parte del mundo, El Sultán de Mauretania, Yusuf Almorávida, ha empezado a unir a los Musulmanes de Iberia bajo una misma bandera. Pretende desafiar y en lo posible revertir las conquistar hechas por el reino de León-Castilla en contra de los musulmanes de Iberia;;;;;;;;;x
BM_IBERIA;The Iberian Campaign;La Campagne Ibérique;Der iberische Feldzug;;La Campaña Ibérica;;;;;;;;;x
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castille, Navarra, and Aragón. To the south, the Muslims are unified under the powerful Almohad Sultanate. Is this a time of opportunity and growth for the Christians, or has the Almohad Sultan amassed enough power to finally breach Europe proper?;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castille, Navarra, and Aragón. To the south, the Muslims are unified under the powerful Almohad Sultanate. Is this a time of opportunity and growth for the Christians, or has the Almohad Sultan amassed enough power to finally breach Europe proper?;Iberien ist zwischen den Muslimen und den Christen aufgeteilt. Im Norden teilen sich die Katholiken das Land unter fünf Königreichen auf: Portugal, León, Kastilien, Navarra und Aragón. Im Süden sind die Muslime unter dem mächtigen Sultanat der Almohaden vereinigt. Ist dies eine Zeit der Chancen und des Wachstums für die Christen, oder hat der Almohaden-Sultan genug Macht angehäuft, um endgültig in Europa einzudringen?;;Iberia se balancea entre los Cristianos y los Musulmanes. En el norte los católicos dividen la tierra entre 5 reinos: Portugal, León, Castilla, Navarra y Aragón. Hacia el sur, los Musulmanes se encuentran unificados bajo el poderoso control del Sultanato Almohad. Es este un momento de oportunidad y crecimiento para los Cristianos o ha el Sultan Ahomad obtenido suficiente poder para finalmente quebrar las fronteras Europeas?;;;;;;;;;x
BM_ILKHANATE;The Ilkhanate Converts!;L'Ilkhanat se converti!;Das Ilkhanat konvertiert!;;El Ilkhanato se Convierte!;;;;;;;;;x
BM_ILKHANATE_DESC;The Ilkhanate's Khan has converted to Shia Islam!;The Ilkhanate's Khan has converted to Shia Islam!;Der Khan des Ilkhanats ist zum schiitischen Islam übergetreten!;;El Khan del Ilkhanato se convierte al Islam Shiita!;;;;;;;;;x
BM_INDIAN_AMBITION;Indian Ambition;L'ambition indienne;Indischer Ehrgeiz;;La Ambición India;;;;;;;;;x
