#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_FemRule_100;My Daughter is my Heir;;Meine Tochter ist mein Erbe;;;;;;;;;;;x
EVTOPTB_FemRule_105;I have another daughter who can take her place.;;Ich habe eine andere Tochter, die ihren Platz einnehmen kann.;;;;;;;;;;;x
EVTOPTC_FemRule_105;There is nothing to be done.;;Es gibt nichts mehr zu tun.;;;;;;;;;;;x
EVTDESC_FemRule_111;As the last hope for the continuation of his bloodline, it appears I am to be acknowledged by my father at long last.;;Als letzte Hoffnung für den Fortbestand seiner Blutlinie werde ich wohl endlich von meinem Vater anerkannt werden.;;;;;;;;;;;x
EVTOPTA_FemRule_111;It's about time!;;Das wurde auch Zeit!;;;;;;;;;;;x
EVTDESC_FemRule_113;My council advises me that my best hope for an heir is to acknowledge one of my bastards.;;Mein Rat rät mir, dass meine beste Hoffnung auf einen Erben darin besteht, einen meiner Bastarde anzuerkennen.;;;;;;;;;;;x
EVTOPTA_FemRule_113;Very well.;;Nun gut.;;;;;;;;;;;x
EVTOPTB_FemRule_113;Never!;;Niemals!;;;;;;;;;;;x
EVTDESC_FemRule_120;While some might consider it inappropriate for a [Root.Religion.GetName] woman to bear arms, my knowledge of martial affairs and training with the blade have made me the equal of any man. I must now consider whether this is a path I intend to pursue in the years to come, or whether I will put aside such things for good.;;Manche mögen es zwar für unangebracht halten, dass eine [Root.Religion.GetName] Frau Waffen trägt, doch meine Kenntnisse in kriegerischen Angelegenheiten und meine Ausbildung im Umgang mit der Klinge haben mich jedem Mann ebenbürtig gemacht. Ich muss nun abwägen, ob ich diesen Weg in den kommenden Jahren weiterverfolgen will, oder ob ich diese Dinge für immer beiseite lege.;;;;;;;;;;;x
EVTOPTA_FemRule_120;This is my path.;;Dies ist mein Weg.;;;;;;;;;;;x
EVTOPTB_FemRule_120;I will be a proper [Root.Religion.GetName] woman.;;Ich werde eine richtige [Root.Religion.GetName] Frau sein.;;;;;;;;;;;x
EVTDESC_FemRule_125;I have been taught to fight with the blade and to lead men into battle. This is an honorable pursuit for a [Root.Religion.GetName] woman, and I can devote myself to such a path knowing [Root.Religion.GetRandomGodName] smiles upon me. Some say, however, that the role of a wife and mother should be my focus instead.;;Man hat mich gelehrt, mit der Klinge zu kämpfen und Männer in die Schlacht zu führen. Das ist eine ehrenvolle Aufgabe für eine [Root.Religion.GetName] Frau, und ich kann mich einem solchen Weg widmen, weil ich weiß, dass [Root.Religion.GetRandomGodName] auf mich lächelt. Manche sagen jedoch, dass ich mich stattdessen auf die Rolle der Ehefrau und Mutter konzentrieren sollte.;;;;;;;;;;;x
EVTOPTB_FemRule_125;I shall be a wife and mother, no more.;;Ich werde eine Ehefrau und Mutter sein, nicht mehr.;;;;;;;;;;;x
EVTDESC_FemRule_135;It has come to your attention that [From.Liege.GetTitledName] is training [From.GetTitledFirstName] in the art of combat. This is highly inappropriate for a young woman of [From.Religion.GetName] faith—perhaps she needs a new tutor?;;Es ist Euch zu Ohren gekommen, dass [From.Liege.GetTitledName] [From.GetTitledFirstName] in der Kunst des Kampfes ausbildet. Das ist für eine junge Frau mit [From.Religion.GetName] Glauben höchst unpassend - vielleicht braucht sie einen neuen Lehrer?;;;;;;;;;;;x
EVTOPTA_FemRule_135;Offer the [From.Liege.GetTitle] my services;;Bietet dem [From.Liege.GetTitle] meine Dienste an;;;;;;;;;;;x
EVTDESC_FemRule_136;[From.GetTitledName] has offered [From.GetHerHis] services in tutoring [FromFrom.GetTitledFirstName], suggesting it is inappropriate for a [FromFrom.Religion.GetName] girl to spend her time training with swords.;;[From.GetTitledName] hat [From.GetHerHis] seine Dienste angeboten, um [FromFrom.GetTitledFirstName] zu unterrichten, und meint, dass es für ein Mädchen von [FromFrom.Religion.GetName] unangebracht ist, ihre Zeit mit dem Training mit Schwertern zu verbringen.;;;;;;;;;;;x
EVTOPTA_FemRule_136;Perhaps this is for the best;;Vielleicht ist es so am besten;;;;;;;;;;;x
EVTOPTB_FemRule_136;[FromFrom.GetTitledFirstName] will be raised how I see fit;;[FromFrom.GetTitledFirstName] wird so erzogen, wie ich es für richtig halte;;;;;;;;;;;x
EVTDESC_FemRule_138;My dear [This.GetTitle], your offer is deeply appreciated. I am afraid [FromFromFrom.GetTitledFirstName] will continue to be tutored by her current guardian until I see fit to do otherwise.\n[From.GetTitledFirstName];;Mein lieber [This.GetTitle], ich weiß Euer Angebot sehr zu schätzen. Ich fürchte, dass [FromFrom.GetTitledFirstName] weiterhin von ihrem derzeitigen Vormund unterrichtet werden wird, bis ich es für angebracht halte, etwas anderes zu tun.;;;;;;;;;;;x
EVTOPTA_FemRule_138;A foolish decision.;;Eine törichte Entscheidung.;;;;;;;;;;;x
EVTDESC_FemRule_140;Age and poor health are wearing on me. If I am honest, it is time I realize I cannot serve as my liege's champion any longer.;;Alter und schlechte Gesundheit zehren an mir. Wenn ich ehrlich bin, ist es an der Zeit, dass ich erkenne, dass ich nicht länger als Champion meines Lehnsherrn dienen kann.;;;;;;;;;;;x
EVTOPTA_FemRule_140;I must inform [Root.Liege.GetHerHim] of the bad news.;;Ich muss [Root.Liege.GetHerHim] über die schlechte Nachricht informieren.;;;;;;;;;;;x
EVTDESC_FemRule_141;I have received a letter from [From.GetBestName], informing me that he is no longer able to serve as my champion. Age and ill health, it seems, have gotten the best of him.;;Ich habe einen Brief von [From.GetBestName] erhalten, in dem er mir mitteilt, dass er nicht mehr in der Lage ist, als mein Champion zu dienen. Wie es scheint, haben Alter und Krankheit das Beste aus ihm herausgeholt.;;;;;;;;;;;x
EVTOPTA_FemRule_141;Sad news indeed.;;Das ist wirklich eine traurige Nachricht.;;;;;;;;;;;x
EVTDESC_FemRule_145;I believe I would be a better champion for my lady liege than the man she currently favors with the title. Perhaps I should ask it of her?;;Ich glaube, ich wäre ein besserer Meister für meine Lehnsherrin als der Mann, den sie derzeit mit dem Titel bevorzugt. Vielleicht sollte ich sie darum bitten?;;;;;;;;;;;x
EVTOPTA_FemRule_145;The honor should be mine.;;Die Ehre sollte mir gehören.;;;;;;;;;;;x
EVTOPTB_FemRule_145;I'm not interested in being champion.;;Ich bin nicht daran interessiert, Meister zu sein.;;;;;;;;;;;x
EVTDESC_FemRule_146;A letter has arrived from [From.GetBestName], saying that he is ready and eager—and more than qualified—to be my new champion.;;Es ist ein Brief von [From.GetBestName] eingetroffen, der besagt, dass er bereit und begierig - und mehr als qualifiziert - ist, mein neuer Champion zu werden.;;;;;;;;;;;x
EVTOPTA_FemRule_146;I accept [From.GetHerHis] gracious offer.;;Ich nehme [From.GetHerHis] freundliches Angebot an.;;;;;;;;;;;x
EVTOPTB_FemRule_146;I would rather keep my current champion.;;Ich würde lieber meinen derzeitigen Champion behalten.;;;;;;;;;;;x
EVTOPTC_FemRule_146;No, and do not ask me again.;;Nein, und bittet mich nicht noch einmal.;;;;;;;;;;;x
EVTOPTD_FemRule_146;I want no further petitions of this kind.;;Ich möchte keine weiteren Bitten dieser Art.;;;;;;;;;;;x
EVTDESC_FemRule_147;My liege and lady, [From.GetTitledFirstName], is evidently not entirely happy with my performance as her champion. I hear that she has considered a petition from another who claims to be a better warrior than I, and thus better able to defend her honor. So far, however, I have heard nothing on the matter.;;Meine Herrin und Lehnsherrin, [From.GetTitledFirstName], ist offenbar nicht ganz zufrieden mit meiner Leistung als ihr Champion. Ich habe gehört, dass sie eine Petition von einem anderen in Erwägung gezogen hat, der behauptet, ein besserer Krieger als ich zu sein und daher besser in der Lage, ihre Ehre zu verteidigen. Bislang habe ich jedoch noch nichts darüber gehört.;;;;;;;;;;;x
EVTOPTA_FemRule_147;I must try harder to be worthy.;;Ich muss mich mehr anstrengen, um würdig zu sein.;;;;;;;;;;;x
EVTOPTB_FemRule_147;If she chooses to replace me, then so be it.;;Wenn sie sich entscheidet, mich zu ersetzen, dann soll es so sein.;;;;;;;;;;;x
EVTDESC_FemRule_150;The day of the hunt has come! This is a wonderful chance for the court to venture to the countryside, indulge in fine weather, and allow the men to engage in their bloody sport.;;Der Tag der Jagd ist gekommen! Das ist eine wunderbare Gelegenheit für den Hof, sich bei schönem Wetter aufs Land zu begeben und den Männern zu erlauben, ihrem blutigen Sport nachzugehen.;;;;;;;;;;;x
EVTOPTA_FemRule_150;What fun!;;Was für ein Spaß!;;;;;;;;;;;x
EVTDESC_FemRule_151;We've had such a delightful time together, chasing after the men on their horses, marveling as they try their best to impress both of us. I think I may have found a new friend!;;Wir hatten eine wunderbare Zeit zusammen, als wir den Männern auf ihren Pferden hinterherjagten und staunten, wie sie ihr Bestes gaben, um uns beide zu beeindrucken. Ich glaube, ich habe einen neuen Freund gefunden!;;;;;;;;;;;x
EVTOPTA_FemRule_151;I value this new friendship.;;Ich schätze diese neue Freundschaft.;;;;;;;;;;;x
EVTOPTB_FemRule_151;It won't outlast the hunt.;;Sie wird die Jagd nicht überdauern.;;;;;;;;;;;x
EVTDESC_FemRule_152;She has been such an irritant on this hunting trip, with not a single good word to say and always taking up the attention of the hunters. Does she not know who I am?;;Sie war auf dieser Jagd so ein Ärgernis, hatte kein einziges gutes Wort zu sagen und beanspruchte ständig die Aufmerksamkeit der Jäger. Weiß sie denn nicht, wer ich bin?;;;;;;;;;;;x
EVTOPTA_FemRule_152;How dare she ruin my hunt!;;Wie kann sie es wagen, meine Jagd zu ruinieren!;;;;;;;;;;;x
EVTOPTB_FemRule_152;I will grit my teeth and hold my tongue.;;Ich werde die Zähne zusammenbeißen und den Mund halten.;;;;;;;;;;;x
EVTDESC_FemRule_200;A great tournament, the like of which is not seen every year, has been announced in our realm! You are invited to watch it.;;In unserem Reich ist ein großes Turnier angekündigt worden, wie man es nicht alle Jahre sieht! Ihr seid eingeladen, es zu sehen.;;;;;;;;;;;x
EVTOPTA_FemRule_200;Of course, I MUST be there!;;Natürlich MUSS ich dabei sein!;;;;;;;;;;;x
EVTOPTB_FemRule_200;My faithful champion will represent me;;Mein treuer Champion wird mich vertreten.;;;;;;;;;;;x
EVTOPTC_FemRule_200;Watch? I will show them my mettle!;;Zuschauen? Ich werde ihnen zeigen, was ich kann!;;;;;;;;;;;x
EVTOPTD_FemRule_200;No, I will not attend;;Nein, ich werde nicht teilnehmen.;;;;;;;;;;;x
EVTDESC_FemRule_201;As [From.GetTitledFirstName]'s champion, you are expected to defend her colours in the great tournament.;;Als [From.GetTitledFirstName]'s Champion wird von Euch erwartet, dass Ihr ihre Farben im großen Turnier verteidigt.;;;;;;;;;;;x
EVTOPTA_FemRule_201;I will bring my lady the prize!;;Ich werde meiner Herrin den Preis bringen!;;;;;;;;;;;x
EVTDESC_FemRule_202;Your champion, [From.GetTitledFirstName], died of wounds sustained during the tournament.;;Euer Champion, [From.GetTitledFirstName], ist an den Wunden gestorben, die er während des Turniers erlitten hat.;;;;;;;;;;;x
EVTDESC_FemRule_203;Your champion, [From.GetTitledFirstName], has been crippled in the tournament.;;Euer Champion, [From.GetTitledFirstName], wurde im Turnier verkrüppelt.;;;;;;;;;;;x
EVTDESC_FemRule_204;Your champion, [From.GetTitledFirstName], has been injured in the tournament.;;Euer Champion, [From.GetTitledFirstName], wurde im Turnier verletzt.;;;;;;;;;;;x
EVTDESC_FemRule_205;Your very own champion, [From.GetTitledFirstName], has won the grand tournament!;;Euer eigener Champion, [From.GetTitledFirstName], hat das große Turnier gewonnen!;;;;;;;;;;;x
EVTOPTA_FemRule_205;Celebrate with a large feast;;Feiern Sie mit einem großen Festmahl;;;;;;;;;;;x
EVTOPTB_FemRule_205;A discrete celebration will suffice;;Eine diskrete Feier wird genügen;;;;;;;;;;;x
EVTDESC_FemRule_206;Your very own champion, [From.GetTitledFirstName], has taken second place at the tournament!;;Euer eigener Champion, [From.GetTitledFirstName], hat den zweiten Platz im Turnier belegt!;;;;;;;;;;;x
EVTDESC_FemRule_207;Your very own champion, [From.GetTitledFirstName], has taken third place at the tournament!;;Euer eigener Champion, [From.GetTitledFirstName], hat den dritten Platz im Turnier belegt!;;;;;;;;;;;x
EVTDESC_FemRule_210;All the men are looking at me and all the other ladies are jealous of me! I feel justified in my pride.;;Alle Männer schauen mich an und alle anderen Damen sind neidisch auf mich! Ich fühle mich in meinem Stolz bestätigt.;;;;;;;;;;;x
EVTOPTA_FemRule_210;Mirror mirror on the wall, who's the fairest of them all?;;Spieglein, Spieglein an der Wand, wer ist die Schönste im ganzen Land?;;;;;;;;;;;x
EVTDESC_FemRule_211;I'm receiving a lot of attention, but I won't let it get to me. We all have our virtues and our vices.;;Ich erhalte viel Aufmerksamkeit, aber ich lasse das nicht an mich heran. Wir alle haben unsere Tugenden und unsere Laster.;;;;;;;;;;;x
EVTOPTA_FemRule_211;I am humble.;;Ich bin bescheiden.;;;;;;;;;;;x
EVTDESC_FemRule_212;This tournament is wonderful, there are so many people to talk to! I've met so many new friends already...;;Dieses Turnier ist wunderbar, es gibt so viele Leute, mit denen man reden kann! Ich habe schon so viele neue Freunde kennengelernt...;;;;;;;;;;;x
EVTDESC_FemRule_213;There are so many strange people here, I don't feel at ease around them. Just now, a woman I have never seen before tried to strike up a conversation...;;Es gibt hier so viele seltsame Menschen, dass ich mich in ihrer Nähe nicht wohl fühle. Gerade hat eine Frau, die ich noch nie gesehen habe, versucht, ein Gespräch anzufangen...;;;;;;;;;;;x
EVTOPTA_FemRule_213;But, my lady, we haven't even been introduced!;;Aber, meine Dame, wir sind uns noch nicht einmal vorgestellt worden!;;;;;;;;;;;x
EVTDESC_FemRule_214;Not everyone here seems to appreciate my honesty.;;Nicht jeder hier scheint meine Ehrlichkeit zu schätzen.;;;;;;;;;;;x
EVTOPTA_FemRule_214;But I'm only telling the truth!;;Aber ich sage doch nur die Wahrheit!;;;;;;;;;;;x
EVTDESC_FemRule_215;The ladies here are so easy to fool. I could tell them that in Cathay the sky is green, and they would believe me.;;Die Damen hier sind so leicht zu täuschen. Ich könnte ihnen sagen, dass in Cathay der Himmel grün ist, und sie würden mir glauben.;;;;;;;;;;;x
EVTOPTA_FemRule_215;The poor gullible fools!;;Die armen, leichtgläubigen Dummköpfe!;;;;;;;;;;;x
EVTDESC_FemRule_216;Some of the knights here are really dreamy. If one of them were to proposition me, I think I would swoon!;;Einige der Ritter hier sind wirklich verträumt. Wenn mir einer von ihnen einen Antrag machen würde, würde ich wohl in Ohnmacht fallen!;;;;;;;;;;;x
EVTOPTA_FemRule_216;Youth must have some dalliance;;Die Jugend muss eine Tändelei haben;;;;;;;;;;;x
EVTDESC_FemRule_217;Some of the ladies here let their heads be turned by a pretty face and a dashing joust, but not I.;;Einige der Damen hier lassen sich von einem hübschen Gesicht und einem schneidigen Tjost den Kopf verdrehen, aber nicht ich.;;;;;;;;;;;x
EVTOPTA_FemRule_217;My honor is safe.;;Meine Ehre ist sicher.;;;;;;;;;;;x
EVTDESC_FemRule_218;I may have been admitted into the tournament, but I keep hearing jeering whispers behind me. It seems some of the men here think I'm unworthy of competing in their martial games.;;Ich wurde zwar zum Turnier zugelassen, aber ich höre ständig höhnisches Geflüster hinter mir. Es scheint, als hielten mich einige der Männer hier für unwürdig, an ihren Kriegsspielen teilzunehmen.;;;;;;;;;;;x
EVTOPTA_FemRule_218;I can't wait to get my revenge in the melee;;Ich kann es kaum erwarten, mich im Handgemenge zu rächen.;;;;;;;;;;;x
EVTOPTB_FemRule_218;Let them talk...;;Lasst sie reden...;;;;;;;;;;;x
EVTDESC_FemRule_220;The lords and ladies assembled here have long argued over who is the fairest, but the tournament's champion has crowned me with a wreath of flowers, as the most noble, graceful, and beautiful lady present!;;Die hier versammelten Herren und Damen haben sich lange darüber gestritten, wer die Schönste ist, aber der Champion des Turniers hat mich mit einem Blumenkranz gekrönt, als die edelste, anmutigste und schönste Dame der Gegenwart!;;;;;;;;;;;x
EVTDESC_FemRule_221;The lords and ladies assembled argued over who is the fairest, but in the end it was Lady [From.GetFirstName] who was crowned with a wreath of flowers as the queen of the tournament, declaring her the most noble, graceful, and beautiful lady present.;;Die hier versammelten Herren und Damen haben lange darüber gestritten, wer die Schönste ist, aber am Ende war es Lady [From.GetFirstName], die mit einem Blumenkranz zur Königin des Turniers gekrönt wurde, indem sie zur edelsten, anmutigsten und schönsten Dame der Gegenwart erklärt wurde.;;;;;;;;;;;x
EVTOPTA_FemRule_221;How dare they! I deserved the crown!;;Wie können sie es wagen! Ich habe die Krone verdient!;;;;;;;;;;;x
EVTOPTC_FemRule_221;Of course SHE wins it. They would never pick me.;;Natürlich gewinnt SIE sie. Sie würden mich nie wählen.;;;;;;;;;;;x
EVTOPTB_FemRule_221;She deserves it.;;Sie hat sie verdient.;;;;;;;;;;;x
EVTDESC_FemRule_222;There was much discussion at the tournament about which lady had the most grace, nobility, and beauty, but finally it was decided [From.GetTitledFirstName] was the fairest.;;Beim Turnier wurde viel darüber diskutiert, welche Dame am anmutigsten, edelsten und schönsten ist, aber schließlich wurde entschieden, dass [From.GetTitledFirstName] die Schönste ist.;;;;;;;;;;;x
EVTDESC_FemRule_226;You've seen Sir [From.GetFirstName] joust and train for the tournament, and must admit he is quite an attractive fellow. Perhaps...;;Ihr habt Sir [From.GetFirstName] beim Tjost und beim Training für das Turnier gesehen und müsst zugeben, dass er ein recht attraktiver Bursche ist. Vielleicht...;;;;;;;;;;;x
EVTOPTA_FemRule_226;Give him a signal.;;Gebt ihm ein Zeichen.;;;;;;;;;;;x
EVTOPTB_FemRule_226;Nothing good could come of this.;;Das kann nichts Gutes bedeuten.;;;;;;;;;;;x
EVTDESC_FemRule_227;I always seem to bump into [From.GetTitledFirstName] and [From.GetSheHe] holds my eye for just a little too long before looking away. As if [From.GetSheHe]'s expecting something...;;Ich scheine immer mit [From.GetTitledFirstName] zusammenzustoßen, und [From.GetSheHe] hält meinen Blick ein wenig zu lange fest, bevor er wegschaut. Als ob [From.GetSheHe] etwas erwarten würde...;;;;;;;;;;;x
EVTOPTA_FemRule_227;I should speak to [From.GetHerHim].;;Ich sollte mit [From.GetHerHim] sprechen.;;;;;;;;;;;x
EVTDESC_FemRule_229;Sir [From.GetFirstName] approached me when we are a little apart from the crowd. I think I've made a catch! I'll ask him to...;;Herr [From.GetFirstName] hat mich angesprochen, als wir ein wenig abseits der Menge standen. Ich glaube, ich habe einen guten Fang gemacht! Ich werde ihn bitten, ...;;;;;;;;;;;x
EVTOPTA_FemRule_229;...joust with a token of my favor.;;...mit einem Zeichen meiner Gunst zu kämpfen.;;;;;;;;;;;x
EVTOPTB_FemRule_229;...accompany me to see the musicians and singers.;;...mich zu den Musikern und Sängern begleiten.;;;;;;;;;;;x
EVTOPTC_FemRule_229;...show me how to hit a bullseye on the archery range.;;...zeige mir, wie man auf dem Bogenschießplatz ins Schwarze trifft.;;;;;;;;;;;x
EVTOPTD_FemRule_229;...get out of my face.;;...geh mir aus den Augen.;;;;;;;;;;;x
EVTDESC_FemRule_230;I keep trying to attract [From.GetTitledFirstName]'s attention, and he keeps ignoring me.;;Ich versuche immer wieder, die Aufmerksamkeit von [From.GetTitledFirstName] auf mich zu lenken, und er ignoriert mich einfach.;;;;;;;;;;;x
EVTOPTA_FemRule_230;Sigh. So much for that.;;Seufz. So viel dazu.;;;;;;;;;;;x
EVTDESC_FemRule_231;Lady [From.GetFirstName] tied her scarf around my arm and I took to the lists to joust...;;Lady [From.GetFirstName] hat mir ihren Schal um den Arm gebunden, und ich bin auf die Listen gegangen, um zu tanzen...;;;;;;;;;;;x
EVTOPTA_FemRule_231;...unhorsing my opponent in the first pass!;;...und besiegte meinen Gegner im ersten Durchgang!;;;;;;;;;;;x
EVTOPTB_FemRule_231;...but was knocked off my horse.;;...wurde aber von meinem Pferd gestoßen.;;;;;;;;;;;x
EVTDESC_FemRule_232;Lady [From.GetFirstName] wanted to see the musicians and singers who came from afar to our tournament. I walked her to see them, and then I undertook to impress her by...;;Die Dame [From.GetFirstName] wollte die Musiker und Sänger sehen, die von weit her zu unserem Turnier gekommen waren. Ich begleitete sie zu ihnen, und dann wollte ich sie beeindrucken, indem ich...;;;;;;;;;;;x
EVTOPTA_FemRule_232;...composing a love ballad which met with general approval.;;...indem ich eine Liebesballade komponierte, die allgemein Anklang fand.;;;;;;;;;;;x
EVTOPTB_FemRule_232;...dancing, but I stepped on her foot!;;...tanzte, aber ich bin ihr auf den Fuß getreten!;;;;;;;;;;;x
EVTDESC_FemRule_233;Lady [From.GetFirstName] wanted me to teach her archery, so we headed to the tournament range and I...;;Lady [From.GetFirstName] wollte, dass ich ihr das Bogenschießen beibringe, also gingen wir zum Turnierplatz und ich...;;;;;;;;;;;x
EVTOPTA_FemRule_233;...showed her so well, she hit the bulls-eye;;...zeigte es ihr so gut, dass sie ins Schwarze traf.;;;;;;;;;;;x
EVTOPTB_FemRule_233;...couldn't hit the target myself.;;...konnte aber selbst die Scheibe nicht treffen.;;;;;;;;;;;x
EVTDESC_FemRule_234;I thought Lady [From.GetFirstName] fancied me and approached her alone, but she shooed me off laughing!;;Ich dachte, dass die Dame [From.GetFirstName] für mich schwärmt und ging allein auf sie zu, aber sie verscheuchte mich lachend!;;;;;;;;;;;x
EVTOPTA_FemRule_234;Obviously a case of female hysteria. Obviously.;;Offensichtlich ein Fall von weiblicher Hysterie. Offensichtlich.;;;;;;;;;;;x
EVTDESC_FemRule_235;[From.GetTitledFirstName] is truly fascinating, and has been nothing short of attentive and charming throughout the tournament.;;[From.GetFirstName] ist wirklich faszinierend, und sie war während des gesamten Turniers äußerst aufmerksam und charmant.;;;;;;;;;;;x
EVTOPTA_FemRule_235;We should see each other again.;;Wir sollten uns wiedersehen.;;;;;;;;;;;x
EVTOPTB_FemRule_235;I'll leave my bedroom door ajar...;;Ich lasse meine Schlafzimmertür einen Spalt offen...;;;;;;;;;;;x
EVTDESC_FemRule_236;Sir [From.GetFirstName] seemed charming, but he embarrassed himself when we were in public.;;Sir [From.GetFirstName] schien charmant zu sein, aber er blamierte sich, als wir in der Öffentlichkeit waren.;;;;;;;;;;;x
EVTOPTA_FemRule_236;I'm never speaking to him again!;;Ich werde nie wieder mit ihm sprechen!;;;;;;;;;;;x
EVTOPTB_FemRule_236;Maybe I should try and know him better before judging.;;Vielleicht sollte ich versuchen, ihn besser kennenzulernen, bevor ich urteile.;;;;;;;;;;;x
EVTOPTC_FemRule_236;I'll still leave my bedroom door ajar...;;Ich lasse trotzdem meine Schlafzimmertür einen Spalt offen...;;;;;;;;;;;x
EVTDESC_FemRule_237;Lady [From.GetFirstName] and I seemed to be getting on so well, when she told me she never wanted to see me again!;;Lady [From.GetFirstName] und ich schienen uns so gut zu verstehen, als sie mir sagte, dass sie mich nie wieder sehen will!;;;;;;;;;;;x
EVTOPTA_FemRule_237;I've been dumped? ME?;;Ich wurde abserviert? ICH?;;;;;;;;;;;x
EVTDESC_FemRule_238;[From.GetTitledFirstName] discretely led me to believe [From.GetSheHe]'d be waiting alone in [From.GetHerHis] bedroom tonight...;;[From.GetTitledFirstName] hat mich diskret glauben lassen, dass [From.GetSheHe] heute Abend allein im Schlafzimmer von [From.GetHerHis] warten würde...;;;;;;;;;;;x
EVTOPTA_FemRule_238;...and I'll go to [From.GetHerHim], of course!;;...und ich werde natürlich zu [From.GetHerHim] gehen!;;;;;;;;;;;x
EVTOPTB_FemRule_238;...that's not going to happen.;;...das wird nicht passieren.;;;;;;;;;;;x
EVTOPTC_FemRule_238;...I'll show her how courtly love is better!;;...werde ich ihr zeigen, dass höfische Liebe besser ist!;;;;;;;;;;;x
EVTDESC_FemRule_239;Lady [From.GetFirstName] suggested we continue our courtly romance after the tournament.;;Lady [From.GetFirstName] hat vorgeschlagen, dass wir unsere höfische Romanze nach dem Turnier fortsetzen.;;;;;;;;;;;x
EVTOPTA_FemRule_239;I'm already writing her a poem.;;Ich schreibe ihr bereits ein Gedicht.;;;;;;;;;;;x
EVTOPTB_FemRule_239;I don't think that's a good idea.;;Ich glaube nicht, dass das eine gute Idee ist.;;;;;;;;;;;x
EVTOPTC_FemRule_239;I'd rather stay friends.;;Ich würde lieber Freunde bleiben.;;;;;;;;;;;x
EVTDESC_FemRule_240;Sir [From.GetFirstName] has rejected any suggestion of a romance between us, the cad!;;Sir [From.GetFirstName] hat jeden Vorschlag für eine Romanze zwischen uns zurückgewiesen, dieser Schuft!;;;;;;;;;;;x
EVTOPTA_FemRule_240;I hate him!;;Ich hasse ihn!;;;;;;;;;;;x
EVTDESC_FemRule_241;As I'd expected, Sir [From.GetFirstName] discretely came to my room tonight while I was there alone.;;Wie ich erwartet hatte, kam Sir [From.GetFirstName] heute Abend diskret in mein Zimmer, als ich dort allein war.;;;;;;;;;;;x
EVTOPTA_FemRule_241;*pant* *pant*;;*hüstel* *hüstel*;;;;;;;;;;;x
EVTDESC_FemRule_242;Sir [From.GetFirstName] has sworn he'll stay true to me, though leagues may separate us, people surround us...;;Sir [From.GetFirstName] hat geschworen, mir die Treue zu halten, auch wenn uns Ligen trennen, Menschen uns umgeben...;;;;;;;;;;;x
EVTOPTA_FemRule_242;This is love!;;Das ist Liebe!;;;;;;;;;;;x
EVTDESC_FemRule_243;Sir [From.GetFirstName] is sorry, but he only wanted to be friends, he wasn't looking for love.;;Sir [From.GetFirstName] tut es leid, aber er wollte nur befreundet sein, er war nicht auf der Suche nach Liebe.;;;;;;;;;;;x
EVTOPTA_FemRule_243;Friendship is good too.;;Freundschaft ist auch gut.;;;;;;;;;;;x
