#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Decisions
# keep ANSI §§
optF_Plus.4414;Excellent!;;;;;;;;;;;;;x
desc_Plus.4415;The ancient Finnic religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [From.GetTitledName] and the most powerful priests have decided to reform their faith. With codified rites, a holy scripture and a decentralized church hierarchy, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the 'balanceless' foreign beliefs!;;;;;;;;;;;;;x
optA_Plus.4415;No, we need more to survive, we need a single spiritual leader, we'll start our own reformation!;;;;;;;;;;;;;x
optB_Plus.4415;We'll join, this sounds like a good idea.;;;;;;;;;;;;;x
optC_Plus.4415;This is wrong, only reason can save us not balance;;;;;;;;;;;;;x
optD_Plus.4415;;;;;;;;;;;;;x;
optE_Plus.4415;Reforming, bah! Old way is best way!;;;;;;;;;;;;;x
desc_Plus.4416;The ancient Finnic religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [From.GetTitledName] and the most powerful priests have decided to reform their faith. With a holy scripture and a new system based on 'rational' investigation of the spiritual world, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;;;x
optA_Plus.4416;No, we need more to survive, we need a single spiritual leader, we'll start our own reformation!;;;;;;;;;;;;;x
optB_Plus.4416;This is nonsense, there must be balance!;;;;;;;;;;;;;x
optC_Plus.4416;Sounds logical, we'll follow!;;;;;;;;;;;;;x
optD_Plus.4416;;;;;;;;;;;;;x;
optE_Plus.4416;Reforming, bah! Old way is best way!;;;;;;;;;;;;;x
desc_Plus.4417;Succes, ;;;;;;;;;;;;;x
optA_Plus.4417;Praise Ukko!;;;;;;;;;;;;;x
desc_Plus.4418;Your attempt failed, after claiming to be in contact with the devine your vassals and courtiers rediculed you (your cook even mockingly claimed to descend of Jumi). one of the few people who did believed it noted that it was so long ago that by now most persons in the room must also have blood of Ukko in them.;;;;;;;;;;;;;x
optA_Plus.4418;Bad news...;;;;;;;;;;;;;x
desc_Plus.4419;The ancient Finnic religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [From.GetTitledName] has declared himself a descendant of Ukko himself in order to give him the authority to reform their faith. With codified rites, a holy scripture and a single divine leader ([From.GetTitledName] himself), they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;;;x
optA_Plus.4419;Wait?;;;;;;;;;;;;;x
optB_Plus.4419;;;;;;;;;;;;;x;
optC_Plus.4419;Haha, such nonsense.;;;;;;;;;;;;;x
optD_Plus.4419;Ok.;;;;;;;;;;;;;x
optE_Plus.4419;Reforming, bah! Old way is best way!;;;;;;;;;;;;;x
name_Plus.4420;[From.GetTitledName] failed in his attempt to progress the Finnic religion.;;;;;;;;;;;;;x
desc_Plus.4420;We do not know what exactly happened, but during a meeting with his vassals [From.GetTitledName] claimed he could trace his lineage back to Ukko himself, and therefore being destined to lead his faith against the onslaught of monotheism. His promptly ended up ridiculed by his own vassals.;;;;;;;;;;;;;x
optA_Plus.4420;Where did idiot thought he was? In ancient Egypt?;;;;;;;;;;;;;x

# Modifiers
pantheon_unification_failure;standardization failed.;;;;;;;;;;;;;x
pantheon_unification_succes;Successfully standardized pantheon.;;;;;;;;;;;;;x
scriptures;We have Holy Book!;;;;;;;;;;;;;x
institutions;Institutionalized!;;;;;;;;;;;;;x
unreformed;Unreformed pagan;;;;;;;;;;;;

# Nicknames
nick_reformer;the Reformer;;;;;;;;;;;;;x

# Tooltip
great_priest;[Root.GetLordSpiritualName] must be genius or a great expert on religion (learning +16).;;;;;;;;;;;;;x
vassal;Your [Root.GetLordSpiritualName] gets turned into a vassalized religious head.;;;;;;;;;;;;;x
no_vassal;Your [Root.GetLordSpiritualName] gets turned into an independent religious head.;;;;;;;;;;;;;x

#Different versions (still placeholders)
finnish_pagan_papal;Valo Kirkko;;;;;;;;;;;;;x #(church of light)
finnish_pagan_papal_DESC;A religion based on Finnic paganism, they believe in a law which was brought down from heaven by their gods, and which must be interpreted by their highest priest (a position which onder pressure from secular authority evolved away from a first among equals of the shamans).;;;;;;;;;;;;;x
finnish_pagan_autocephaly;Tasapainon Pitäjät;;;;;;;;;;;;;x #(balance keepers)
finnish_pagan_autocephaly_DESC;A religion based on Finnic paganism, they believe in an everlasting war between the spirits of light and dark, warm and cold, fire and ice. Their eternal war created the current world and allowed for the existence of humanity. They seek to uphold balance in everything (which led to their decentralized organisation), fearing that otherwise one side might win the war which would lead to the end of the world in either an eternal frozen night or a fiery apacolypse.;;;;;;;;;;;;;x
finnish_pagan_headless;Lakihakijoita;;;;;;;;;;;;;x #(law seekers)
finnish_pagan_headless_DESC;A religion based on Finnic paganism, they worship their gods as different aspects of one great spirit of the world. Instead of venerating lesser spirits, they try to study nature to find the rules which govern them. They have no religious hierarchy, every follower is expected to find the truth himself.;;;;;;;;;;;;;x

#Religious heads
d_finnish_pagan_papal;Valo Kirkko;;;;;;;;;;;;;x
d_finnish_pagan_autocephaly;First;;;;;;;;;;;;;x
JOHTAJA;Johtaja;;;;;;;;;;;;;x

#Traits
child_of_ukko;Child of Ukko;;;;;;;;;;;;;x
child_of_ukko_desc;This character claims to descend from the pagan god Ukko.;;;;;;;;;;;;;x
