#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;;;;;;;;;x
LOADING_TIP_13;You must have positive prestige to be able to fabricate claims.;Vous devez avoir au moins 0 de prestige pour fabriquer des revendications;Ihr benötigt zumindest 0 Prestige, um Ansprüche fingieren zu können.;;You must have at least 0 prestige to be able to fabricate claims.;;;;;;;;;x
LOADING_TIP_14;Temple holdings increase technology growth in a province.;Les temples augmentent la croissance technologique d'une province.;Religiöse Besitztümer erhöhen das Technologiewachstum in dieser Provinz.;;Temple holdings increase technology growth in a province.;;;;;;;;;x
LOADING_TIP_15;You can right-click a received message to never appear again, change priority, or make them always appear as a pop up.;Faites un clic droit sur un message reçu pour ne plus l’afficher, changer sa priorité ou le faire apparaistre sous forme de fenestre instantanée.;Wenn Ihr auf eine erhaltene Nachricht rechtsklickt, könnt Ihr einstellen, ob Ihr diesen Nachrichtentyp nie wieder erhalten, seine Priorität ändern oder ihn immer als Popup anzeigen lassen wollt.;;Haz clic derecho en un mensaje recibido para no mostrarlo de nuevo, cambiar su prioridad o visualizarlo como ventana emergente.;;;;;;;;;x
LOADING_TIP_16;If you have free investiture, the Pope may ask you to change it.;En cas d’investiture libre, le pape peut vous demander de changer cette loi.;Wenn Ihr freie Investitur habt, könnte Euch der Papst auffordern, dies zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_17;Do not upset the Pope, he may have you excommunicated.;Ne contrariez point le pape sous peine d’excommunication.;Verärgert den Papst nicht, denn er könnte Euch exkommunizieren.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_18;If you are childless and old, your family members may demand your titles.;Si vous estes sans enfant et asgé, les membres de votre famille peuvent exiger vos titres.;Wenn Ihr kinderlos und alt seid, könnten Eure Familienmitglieder Eure Titel fordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_19;You need three Kingdom titles and 150 realm holdings to form an Empire.;Vous devez posséder trois royaumes et 150 fiefs pour former un empire.;Sie benötigen mindestens drei Königreichtitel und 150 Reichbetriebe um ein Kaiserreich zu bilden.;;You need three Kingdom titles and 150 realm holdings to form an Empire.;;;;;;;;x;
LOADING_TIP_20;The more the Authority of a religion is eroded, the more susceptible it is to heresy.;Plus l’autorité d’une religion est fragile, plus elle est encline à l’hérésie.;Je mehr die Autorität einer Religion nachlässt, desto anfälliger wird sie für Ketzerei.;;Cuanto más erosionada la autoridad de una religión, más propensos serán sus miembros a la herejía.;;;;;;;;;x
LOADING_TIP_21;Children might pick up the culture or religion of their province if their guardian shares it.;Les enfants peuvent adopter la culture ou la religion de leur province si leur tuteur la partage;Kinder nehmen wahrscheinlich die Religion und Kultur ihres Aufenthaltortes an, wenn ihr Vormund diese teilt.;;Children might pick up the culture or religion of their province if their guardian shares it.;;;;;;;;;x
LOADING_TIP_22;You can send your marshal to crush an ongoing revolt in a province using the 'Suppress Revolts' action.;Vous pouvez dépescher votre maréchal pour écraser une révolte en cours dans une province en utilisant l'action Supprimer les révoltes.;Ihr könnt Euren Marschall in eine revoltierende Provinz entsenden, um die Revolte zu unterdrücken.;;You can send your marshal to crush an ongoing revolt in a province using the 'Suppress Revolts' action.;;;;;;;;;x
LOADING_TIP_23;Agnatic Succession means only males can inherit.;Le mode de Succession Agnatique signifie que seuls les hommes peuvent hériter.;Väterliche Thronfolge bedeutet, dass nur Männer erben können.;;La sucesión agnaticia significa que solo los varones pueden heredar.;;;;;;;;;x
LOADING_TIP_24;Agnatic-Cognatic (a.k.a. Male Preference) Succession means females can inherit only if there are no valid males.;Le mode de Succession Agnatique-Cognatique (i.e. Préférence masculine) signifie que les femmes peuvent hériter seulement s'il n'y a point d'hommes valides.;Die Agnatisch-Kognatische Erbfolge (auch Männlicher Vorzug genannt) bedeutet, dass Frauen nur dann erben können, wenn kein legitimer männlicher Nachkomme vorhanden ist.;;La sucesión agnaticia-cognaticia (preferencia masculina) significa que las mujeres pueden heredar solo en caso de ausencia de varón.;;;;;;;;;x
LOADING_TIP_25;Under Seniority Succession, the oldest member of the dynasty inherits.;Sous le mode de Succession de Séniorité, c'est le membre le plus asgé de la dynastie qui hérite.;Beim Senioratserbrecht erbt das älteste Mitglied der Dynastie.;;En la sucesión jerárquica, hereda el miembro de mayor edad de la dinastía.;;;;;;;;;x
LOADING_TIP_26;Under Primogeniture Succession, the oldest legitimate child inherits.;Sous le mode de Succession de Primogéniture, c'est l'enfant légitime le plus asgé qui hérite.;Beim Primogenitur-Erbrecht ist das erstgeborene, legitime Kind erbberechtigt.;;En la sucesión por primogénitura hereda el hijo legítimo de mayor edad;;;;;;;;;x
LOADING_TIP_27;Under Gavelkind Succession, the inheritance is divided among the children.;Sous le mode de Succession de Partage Salique, l'héritage est réparti entre les enfants.;Bei Erbteilung wird das Erbe unter den Kindern aufgeteilt.;;En la sucesión equitativa la herencia se divide entre los hijos.;;;;;;;;;x
LOADING_TIP_28;Children are born with a fraction of their parents' dynasties' total Prestige.;Les enfants naissent avec une fraction du Prestige total des dynasties de leurs parents.;Kinder werden mit einem Teil des Ansehens ihrer elterlichen Dynastie geboren.;;Los niños nacen con una parte del prestigio de las dinastías de sus progenitores.;;;;;;;;;x
LOADING_TIP_29;You gain more Prestige in battle as an ally than as a primary participant.;Vous gagnez plus de prestige au cours d'une bastaille en tant qu'allié qu'en tant qu'instigateur.;Verbündete können in einer Schlacht mehr Prestige gewinnen als Haupt-Akteure;;Ganas más Prestigio en batalla como aliado que como participante primario.;;;;;;;;;x
LOADING_TIP_30;Hold down shift while giving orders to a unit to create a custom path.;Maintenez la touche Maj. appuyée lorsque vous donnez des ordres à une unité pour créer un parcours personnalisé.;Shift bei der Erteilung eines Truppenbefehls gedrückt halten, um einen angepassten Pfad zu erstellen;;Mantén pulsada la tecla Shift al dar órdenes a una unidad para crear una ruta personalizada.;;;;;;;;;x
LOADING_TIP_31;Under Gavelkind Succession Law, you suffer no Prestige penalty for having unlanded sons.;Sous le mode de Succession de Partage Salique, vous ne subissez nulle pénalité de prestige lorsque vous avez des fils sans terres.;Unter dem Nachfolgegesetz Erbteilung erleidet Ihr durch landlose Söhne keine Prestigeverluste.;;Merced a la Ley de Sucesión equitativa, no pierdes prestigio por tener hijos sin tierras.;;;;;;;;;x
LOADING_TIP_32;Gavelkind Succession Law allows you to have a larger demesne.;Le mode de Succession de Partage Salique vous permet d’avoir un domaine plus grand.;Das Nachfolgegesetz Erbteilung gestattet Euch eine größere Domäne.;;La Ley de Sucesión equitativa iguales te permite poseer una heredad mayor.;;;;;;;;;x
LOADING_TIP_33;Employed Holy Orders cost no maintenance when you are defending against heretics or infidels.;Nul frais d’entretien ne s’applique aulx Ordres Sacrés employés lorsque vous vous défendez face à des hérétiques ou des infidèles.;Glaubensorden in Euren Diensten kosten Euch keinen Unterhalt, wenn Ihr gegen Ketzer oder Ungläubige verteidigt.;;Las Órdenes Militares contratadas no te cuestan dinero cuando te defiendes contra herejes o infieles.;;;;;;;;;x
LOADING_TIP_34;Your councillors cannot both lead troops and perform missions in counties.;Vos conseillers ne peuvent point à la fois mener des troupes et effectuer leurs missions dans les comtés.;Eure Räte können nicht gleichzeitig Truppen befehligen und Aufträge in Grafschaften ausführen.;;Tus consejeros no pueden liderar tropas y realizar misiones en condados.;;;;;;;;;x
LOADING_TIP_36;If you have no Spymaster, you cannot discover plots.;Si vous n’avez point de Maistre Espion, il vous sera impossible de découvrir des complots.;Wenn Ihr keinen Hofspitzel habt, könnt Ihr keine Verschwörungen aufdecken.;;Si no tienes Jefe de espías no puedes descubrir complots.;;;;;;;;;x
LOADING_TIP_37;Councillors who dislike you will perform worse at their jobs.;Les conseillers qui ne vous aiment point travailleront mal;Hofräte, die Euch nicht mögen, werden ihre Arbeit schlechter erledigen.;;Councillors who dislike you will perform worse at their jobs.;;;;;;;;;x
LOADING_TIP_38;You'll have better results plotting against your liege if you are the Spymaster.;En cas de complot contre votre suzerain, vous obtiendrez de meilleurs résultats si vous estes son Maistre Espion.;Seid Ihr der Hofspitzel, so haben Eure Verschwörungen gegen Euren Lehnsherrn bessere Erfolgschancen.;;Lograrás mejores resultados conspirando contra tu señor si eres el Jefe de espías.;;;;;;;;;x
LOADING_TIP_39;Use your Court Chaplain to convert the religion of counties and vassals.;Utilisez le Chapelain de votre cour pour convertir les comtés et les vassaulx à une nouvelle religion.;Konvertiert Eure Grafschaften und Vasallen mit Hilfe Eures Hofkaplans;;Usa a tu Capellán de la corte para mudar la religión de condados y vasallos.;;;;;;;;;x
LOADING_TIP_40;All your children will get claims on your titles.;Tous vos enfants auront des revendications légitimes sur vos titres.;All Eure Kinder erhalten Ansprüche auf Eure Titel.;;Todos tus hijos tendrán reclamaciones sobre tus títulos.;;;;;;;;;x
LOADING_TIP_41;Delegate. A smaller group of direct vassals is easier to control.;Déléguez. Un petit groupe de vassaulx directs est plus facile à controsler.;Delegieren. Eine kleinere Gruppe direkter Vasallen ist einfacher zu kontrollieren.;;Delega. Un grupo más pequeño de vasallos directos es más fácil de controlar.;;;;;;;;;x
LOADING_TIP_42;Allies might refuse to participate in a war against someone they like more than you.;Vos alliés risquent de refuser de participer à une guerre contre quelqu’un qu’ils préfèrent à vous.;Verbündete könnten die Teilnahme an einem Krieg gegen jemand verweigern, den sie mehr mögen als Euch.;;Los aliados podrían negarse a participar en una guerra contra alguien que les guste más que tú.;;;;;;;;;x
LOADING_TIP_43;You can also build improvements in the Holdings of your barons.;Vous pouvez aussi construire des améliorations dans les domaines de vos Barons.;In den Besitztümern Eurer direkten Vasallen könnt Ihr ebenfalls Verbesserungen bauen.;;You can also build improvements in the Holdings of your barons.;;;;;;;;;x
LOADING_TIP_44;Children tend to get the same traits and skills as their assigned guardian.;Les enfants ont tendance à hériter des caractéristiques et compétences de leur tuteur.;Kinder tendieren dazu, die gleichen Fähigkeiten und Eigenschaften wie die ihnen zugeteilten Vormünder zu erlangen.;;Los niños tienden a adquirir los rasgos y habilidades de su tutor asignado.;;;;;;;;;x
LOADING_TIP_45;Just as Christians have Crusades, Muslims have Jihad.;Les Chrétiens ont les Croisades et les Musulmans le Jihad.;Was den Christen ihre Kreuzzüge sind, ist der Dschihad den Muslimen.;;Igual que los cristianos tienen cruzadas, los musulmanes tienen yihad.;;;;;;;;;x
LOADING_TIP_46;Nobles care about Prestige. Religious leaders care about Piety. Everyone cares for Gold.;Les nobles s’intéressent au prestige, les chefs religieux s’intéressent à la piété et tout le monde s’intéresse à l’or.;Edelleute finden Prestige wichtig, religiöse Oberhäupter Pietät, aber alle interessieren sich für Gold. ;;Los nobles se interesan por el prestigio. Los líderes religiosos se interesan por la piedad. Todos se interesan por el oro.;;;;;;;;;x
LOADING_TIP_47;If an Antipope dethrones the reigning pope, he becomes the new Pope.;Si un antipape détrosne le pape régnant, il devient le nouveau pape.;Wenn ein Gegenpapst den amtierenden Papst stürzt, wird er selbst der neue Papst.;;Si un antipapa derroca al papa reinante, aquel se convierte en el nuevo papa.;;;;;;;;;x
LOADING_TIP_48;Nominating someone a Bishop will disqualify him from succession;La nomination de quelqu'un comme évesque va le disqualifier de la succession;Jemanden als Bischof einzusetzen, entfernt ihn aus jeder Erblinie.;;Nombrar a alguien obispo le descalifica para la sucesión;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOADING_TIP_49;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;Vous devez avoir au moins une Autorité Moyenne de la Couronne pour fabriquer des revendications de Royaume ou d'Empire de jure;Ihr benötigt zumindest mittlere Kronautorität, um De Jure-Anspüche auf ein König- oder Kaiserreich durchzusetzen.;;You must have at least Medium Crown Authority to press Kingdom or Empire De Jure claims;;;;;;;;;x
LOADING_TIP_50;Greedy and generally indulgent characters like gifts more;Les personnages avides et généralement indulgents aiment plus les cadeaulx;Geizige und allgemein nachsichtige Charaktere mögen Geschenke mehr.;;Personajes codiciosos e indulgente generalmente les gustan más los regalos;;;;;;;;;x
LOADING_TIP_51;You may pardon someone of their crimes against you in the diplomacy menu.;You may pardon someone of their crimes against you in the diplomacy menu.;You may pardon someone of their crimes against you in the diplomacy menu.;;You may pardon someone of their crimes against you in the diplomacy menu.;;;;;;;;;x
LOADING_TIP_52;You may disinherit a child who is your heir, if they are unsuitable... but beware, as they may raise arms against you! You may only do this once.;Vous pouvez déshériter un enfant qui est votre héritier, si elles ne conviennent pas ... mais méfiez-vous, car ils peuvent lever les bras contre vous! Vous ne pouvez le faire qu'une fois.;Sie können ein Kind, das ist dein Erbe, wenn sie nicht geeignet sind enterben ... aber Vorsicht, da sie die Waffen gegen Sie zu erheben! Sie können dies nur einmal tun.;;Usted puede desheredar a un hijo que es su heredero, si son inadecuados ... pero ten cuidado, ya que pueden elevar los brazos en contra de usted! Sólo puede hacer esto una vez.;;;;;;;;;x
LOADING_TIP_53;Your Intrigue affects how easily you can be captured after a siege, as can whether you have hidden in the countryside.;Your Intrigue affects how easily you can be captured after a siege, as can whether you have hidden in the countryside.;Your Intrigue affects how easily you can be captured after a siege, as can whether you have hidden in the countryside.;;Your Intrigue affects how easily you can be captured after a siege, as can whether you have hidden in the countryside.;;;;;;;;;x
LOADING_TIP_55;If you plan an event outside of the time of year when it can occur, it will begin once that time arrives—provided you are not already busy or at war.;If you plan an event outside of the time of year when it can occur, it will begin once that time arrives—provided you are not already busy or at war.;If you plan an event outside of the time of year when it can occur, it will begin once that time arrives—provided you are not already busy or at war.;;If you plan an event outside of the time of year when it can occur, it will begin once that time arrives—provided you are not already busy or at war.;;;;;;;;;x
LOADING_TIP_56;Non-tribal kings and emperors must hold a coronation in order to have their rule fully legitimized in the eyes of their vassals.;Non-tribal kings and emperors must hold a coronation in order to have their rule fully legitimized in the eyes of their vassals.;Non-tribal kings and emperors must hold a coronation in order to have their rule fully legitimized in the eyes of their vassals.;;Non-tribal kings and emperors must hold a coronation in order to have their rule fully legitimized in the eyes of their vassals.;;;;;;;;;x
LOADING_TIP_57;Weak claims can be pressed against kings or emperors who have not yet been coronated.;Weak claims can be pressed against kings or emperors who have not yet been coronated.;Weak claims can be pressed against kings or emperors who have not yet been coronated.;;Weak claims can be pressed against kings or emperors who have not yet been coronated.;;;;;;;;;x
LOADING_TIP_58;In order to change Crown Authority, you must first be coronated.;In order to change Crown Authority, you must first be coronated.;In order to change Crown Authority, you must first be coronated.;;In order to change Crown Authority, you must first be coronated.;;;;;;;;;x
LOADING_TIP_59;You may only build one Trade Guild of any type per province.;You may only build one Trade Guild of any type per province.;You may only build one Trade Guild of any type per province.;;You may only build one Trade Guild of any type per province.;;;;;;x
LOADING_TIP_60;Guilds built in a province affect all connected trade routes, even those not directly affiliated with them normally.;Guilds built in a province affect all connected trade routes, even those not directly affiliated with them normally.;;Guilds built in a province affect all connected trade routes, even those not directly affiliated with them normally.;;;;;;x
#*;;;;;;;;;;;;;;x;
