#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTOPTA_Plus_630;We shall all be Sicilian;;Wir werden alle Sizilianer sein;;;x
EVTDESC_Plus_686;For a long time has our language been different from that of our Slavic brothers and the language of our ancestors. Perhaps it is time to embrace this new tongue so we all may communicate.;;Unsere Sprache unterscheidet sich seit langem von der Sprache unserer slawischen Brüder und der Sprache unserer Vorfahren. Vielleicht ist es an der Zeit, sich diese neue Sprache zu eigen zu machen, damit wir alle miteinander kommunizieren können.;;;x
EVTDESC_Plus_687;It seems like our [new_culture.Culture.GetName] language has now spread into [Root.GetName], a new culture born from the old.;;Es scheint, als hätte sich unsere Sprache [new_culture.Culture.GetName] nun in [Root.GetName] ausgebreitet, eine neue Kultur, die aus der alten entstanden ist.;;;x
EVTDESC_Plus_689;It seems like our new Bön religion has now spread into [Root.GetName].;;Es scheint, als hätte sich unsere neue Bön-Religion nun in [Root.GetName] ausgebreitet.;;;x
EVTDESC_Plus_663;The Germanic people have a long history going as far back as even the Romans themselves during their height of power. A language and culture most similar to each other was not entirely uncommon to see, until more recent time. It would seem these 'Germans' are beginning to identify themselves as more distinct from each other.;;Die Germanen haben eine lange Geschichte, die sogar bis zu den Römern zurückreicht, als diese auf dem Höhepunkt ihrer Macht waren. Eine einander sehr ähnliche Sprache und Kultur war bis in die jüngste Zeit nicht ganz ungewöhnlich. Es hat den Anschein, als würden sich diese "Deutschen" allmählich stärker voneinander abgrenzen.;;;x
EVTOPTA_Plus_663;We shall all be Swabian;;Wir werden alle schwäbisch sein;;;x
EVTOPTB_Plus_663;We shall all be Bavarian;;Wir werden alle Bayern sein;;;x
EVTOPTD_Plus_663;We shall all be Franconian;;Wir werden alle fränkisch sein;;;x
EVTOPTE_Plus_663;We shall all be Swiss;;Wir werden alle Schweizer sein;;;x
EVTOPTF_Plus_663;We shall all be Saxon;;Wir sollen alle sächsisch sein;;;x
EVTOPTG_Plus_663;We shall all be Thuringian;;Wir sollen alle Thüringer sein;;;x
EVTOPTA_Plus_666;We shall all be Austrian;;Wir sollen alle Österreicher sein;;;x
EVTOPTB_Plus_666;We shall all be Low Prussian;;Wir werden alle niederpreußisch sein;;;x
EVTDESC_Plus_681;For as long as we have lived as refugees we spoke the tongue of old only in secret. This has begun changing as now that we no longer need to hide ourselves from those who would persecute us based on our beliefs. As we grew up, we returned to speaking our common tongue of Hebrew. Perhaps it is time to once again embrace this tongue so that we all may communicate.;;Solange wir als Flüchtlinge lebten, sprachen wir die Sprache der Alten nur im Geheimen. Das hat sich nun geändert, da wir uns nicht mehr vor denen verstecken müssen, die uns wegen unseres Glaubens verfolgen wollen. Als wir erwachsen wurden, kehrten wir zu unserer gemeinsamen Sprache, dem Hebräischen, zurück. Vielleicht ist es an der Zeit, sich diese Sprache wieder zu eigen zu machen, damit wir alle miteinander kommunizieren können.;;;x
EVTDESC_Plus_682;It seems that the old Hebrew language has now returned to majority use in [Root.GetName], and with it a new culture born from a mix of the old and new ways.;;Es scheint, dass die alte hebräische Sprache jetzt wieder mehrheitlich in [Root.GetName] verwendet wird, und mit ihr eine neue Kultur, die aus einer Mischung aus alten und neuen Methoden entstanden ist.;;;x
EVTDESC_Plus_683;Having fled to all corners of the world the Jewish people adopted various local languages but we've always had one common tongue, Hebrew. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;;Nachdem das jüdische Volk in alle Ecken der Welt geflohen war, nahm es verschiedene lokale Sprachen an, aber wir hatten immer eine gemeinsame Sprache, Hebräisch. Ich habe daher ein Mitglied meines Hofes dazu überredet, diese Sprache für den täglichen Verwaltungsgebrauch zu übernehmen.;;;x
EVTDESC_Plus_684;For centuries has our religious identity mixed with ideas from surrounding Buddhist lands. This has resulted with our customs and beliefs changing over time, and creating something new that can no longer be called [Root.Religion.GetName].;;Über Jahrhunderte hat sich unsere religiöse Identität mit Ideen aus den umliegenden buddhistischen Ländern vermischt. Dies hat dazu geführt, dass sich unsere Bräuche und Überzeugungen im Laufe der Zeit verändert haben und etwas Neues entstanden ist, das nicht mehr als [Root.Religion.GetName] bezeichnet werden kann.;;;x
EVTOPTA_Plus_672;We shall all be Yugoslavian;;Wir werden alle jugoslawisch sein;;;x
EVTOPTA_Plus_678;We shall all be Greco-Persian;;Wir werden alle griechisch-persisch sein;;;x
EVTOPTA_Plus_681;We shall all be Israeli;;Wir werden alle Israelis sein;;;x
EVTOPTA_Plus_684;We shall all be Bön;;Wir werden alle Bön sein;;;x
EVTOPTB_Plus_684;No, I wish to remain Buddhist;;Nein, ich möchte Buddhist bleiben;;;x
EVTOPTA_Plus_686;We shall all be Carantanian;;Wir werden alle Karantanier sein;;;x
swabian_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YSwabian§!\n§Y[melting_pot_province.GetName]§! will become §YSwabian§!;;§YLandlose Dynastie-Mitglieder§! in your court will become §YSwabian§!\n§Y[melting_pot_province.GetName]§! will become §YSchwäbisch§!;;;x
bavarian_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YBavarian§!\n§Y[melting_pot_province.GetName]§! will become §YBavarian§!;;§YLandlose Dynastie-Mitglieder§! an deinem Hof werden zu §YBavarian§!\n§Y[melting_pot_province.GetName]§! werden zu §YBayerisch§!;;;x
franconian_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YFranconian§!\n§Y[melting_pot_province.GetName]§! will become §YFranconian§!;;§YLandlose Dynastie-Mitglieder§! an deinem Hof werden zu §YFranconian§!\n§Y[melting_pot_province.GetName]§! werden zu §YFränkisch§!;;;x
swiss_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YSwiss§!\n§Y[melting_pot_province.GetName]§! will become §YSwiss§!;;§YLandlose Dynastiemitglieder§! an deinem Hof werden zu §YSwiss§!\n§Y[melting_pot_province.GetName]§! werden zu §Yschweizerisch§!;;;x
old_saxon_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YSaxon§!\n§Y[melting_pot_province.GetName]§! will become §YSaxon§!;;§YLandlose Dynastie-Mitglieder§! an deinem Hof werden zu §YSaxon§!\n§Y[melting_pot_province.GetName]§! wird zu §YSächsisch§!;;;x
thuringian_cultural_shift_custom_tooltip;§YLandless dynasty members§! in your court will become §YThuringian§!\n§Y[melting_pot_province.GetName]§! will become §YThuringian§!;;§YLandlose Dynastiemitglieder§! an deinem Hof werden zu §YThüringer§!\n§Y[melting_pot_province.GetName]§! werden zu §YThüringisch§!;;;x
generic_cultural_shift;§YIrminonische, landlose Dynastiemitglieder§! in your court will §Yshift to this German culture§!\n§Y[melting_pot_province.GetName]§! shifts to this German culture.;;§YIrminonische, landlose Dynastiemitglieder§! an deinem Hof werden §Yzur deutschen Kultur übergehen§!\n§Y[melting_pot_province.GetName]§! zu dieser deutschen Kultur übergehen.;;;x
