#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
changeling_child_acts_strange;[From.GetFirstName]'s behavior concerns you sometimes.;;Das Verhalten von [From.GetFirstName] macht Ihnen manchmal Sorgen.;;;;;;;;;;;x
EVTDESC_Plus_812;[changeling_trade_druid.GetTitledName] ambushes you as you leave your personal grove and speaks to you in a pleading voice. [FromFrom.GetFirstName] has clearly been taken by the Fairies and replaced with a changeling. We must try to perform a trade, there is no other way. I won't lie - the child may not survive the ordeal. Nevertheless, we must try.;;[changeling_trade_druid.GetTitledName] lauert Euch auf, als Ihr Euren persönlichen Hain verlasst, und spricht Euch mit flehender Stimme an. [FromFrom.GetFirstName] wurde eindeutig von den Feen entführt und durch einen Wechselbalg ersetzt. Wir müssen versuchen, einen Tausch vorzunehmen, es gibt keine andere Möglichkeit. Ich werde nicht lügen - das Kind überlebt diese Tortur vielleicht nicht. Trotzdem müssen wir es versuchen.;;;;;;;;;;;x
EVTOPTA_Plus_812;Perform the ritual.;;Führt das Ritual durch.;;;;;;;;;;;x
EVTOPTB_Plus_812;If you so much as touch [changeling_child.GetFirstName]...;;Wenn Ihr [changeling_child.GetFirstName] auch nur berührt...;;;;;;;;;;;x
#The Changeling Trade
EVTDESC_Plus_813;The druidic ritual to contact the fairy court has begun. The child is brought to a raised platform in a grove where [changeling_child.GetFirstName] awaits surrounded by chanting maidens. You are not permitted to witness the sacred ritual itself, so you depart the grove and wait.;;Das druidische Ritual zur Kontaktaufnahme mit dem Feenhof hat begonnen. Das Kind wird zu einer erhöhten Plattform in einem Hain gebracht, wo [changeling_child.GetFirstName] umgeben von singenden Jungfrauen auf es wartet. Ihr dürft dem heiligen Ritual selbst nicht beiwohnen, also verlasst ihr den Hain und wartet.;;;;;;;;;;;x
EVTOPTA_Plus_813;[This.Religion.GetRandomGodNameCap] preserve us.;;[This.Religion.GetRandomGodNameCap] bewahre uns.;;;;;;;;;;;x
EVTDESCA_Plus_815;The chanting from the grove comes closer and [changeling_trade_druid.GetTitledName] appears together with [changeling_child.GetFirstName], flanked on either side by singing maidens. The child looks shaken, but otherwise unharmed. It is done, [changeling_trade_druid.GetFirstName] announces. The child has been saved.;;Der Gesang aus dem Hain kommt näher, und [changeling_trade_druid.GetTitledName] erscheint zusammen mit [changeling_child.GetFirstName], flankiert von singenden Jungfrauen auf beiden Seiten. Das Kind sieht erschüttert aus, ist aber ansonsten unversehrt. Es ist vollbracht, verkündet [changeling_trade_druid.GetFirstName]. Das Kind ist gerettet.;;;;;;;;;;;x
EVTDESCB_Plus_815;The incantations from the grove suddenly stop, and several maidens, their white gowns red with someone else's blood, run past screaming. Fearing the worst you hurry back, but when you reach the platform you find only the butchered remains of [changeling_trade_druid.GetFirstName]...and [changeling_child.GetFirstName] laying unconscious next to them.;;Die Beschwörungsformeln aus dem Hain verstummen plötzlich, und mehrere Mägde, deren weiße Gewänder rot vom Blut eines anderen sind, rennen schreiend vorbei. Du befürchtest das Schlimmste und eilst zurück, aber als du die Plattform erreichst, findest du nur die abgeschlachteten Überreste von [changeling_trade_druid.GetFirstName]... und [changeling_child.GetFirstName], der bewusstlos daneben liegt.;;;;;;;;;;;x
EVTDESCC_Plus_815;A solemn procession of maidens led by [changeling_trade_druid.GetTitledName] finally emerges from the grove, but there is no sign of [changeling_child.GetFirstName]. It is done, [changeling_trade_druid.GetFirstName] announces. The changeling has been sent back...but I fear there was no way to save the child. The Sidhe are fickle beings.;;Eine feierliche Prozession von Jungfrauen, angeführt von [changeling_trade_druid.GetTitledName], taucht schließlich aus dem Hain auf, aber von [changeling_child.GetFirstName] gibt es keine Spur. Es ist vollbracht, verkündet [changeling_trade_druid.GetTitledName]. Der Wechselbalg wurde zurückgeschickt ... aber ich fürchte, es gab keine Möglichkeit, das Kind zu retten. Die Sidhe sind wankelmütige Wesen.;;;;;;;;;;;x
EVTDESCD_Plus_815;The chanting from the grove comes closer and [changeling_trade_druid.GetTitledName] appears together with [changeling_child.GetFirstName], flanked on either side by singing maidens. The child's vacant stare hints that something is wrong. It is done, [changeling_trade_druid.GetFirstName] announces. The changeling has been sent back, but the struggle was great. I fear it has left scars on [changeling_child.GetFirstName] that may never heal...;;Der Gesang aus dem Hain kommt näher und [changeling_trade_druid.GetTitledName] erscheint zusammen mit [changeling_child.GetFirstName], flankiert von singenden Jungfrauen auf beiden Seiten. Der ausdruckslose Blick des Kindes deutet darauf hin, dass etwas nicht stimmt. Es ist vollbracht, verkündet [changeling_trade_druid.GetFirstName]. Der Wechselbalg wurde zurückgeschickt, aber es war ein harter Kampf. Ich fürchte, er hat bei [changeling_child.GetFirstName] Narben hinterlassen, die vielleicht nie verheilen...;;;;;;;;;;;x
EVTOPTA_Plus_815;Thank the gods!;;Den Göttern sei Dank!;;;;;;;;;;;x
EVTOPTB_Plus_815;[This.Religion.GetRandomGodNameCap] preserve us...;;[This.Religion.GetRandomGodNameCap] uns bewahren...;;;;;;;;;;;x
EVTOPTC_Plus_815;Then your life is forfeit as well!;;Dann ist auch Euer Leben verwirkt!;;;;;;;;;;;x
EVTOPTD_Plus_815;Leave while you still can, [changeling_trade_druid.GetFirstName], and never return.;;Geht, solange Ihr noch könnt, [changeling_trade_druid.GetFirstName], und kehrt niemals zurück.;;;;;;;;;;;x
EVTOPTE_Plus_815;You have my thanks...it had to be done.;;Ihr habt meinen Dank... es musste getan werden.;;;;;;;;;;;x
EVTDESC_Plus_816;You have known since you were a child that you were not fully...normal. The druids say that you were switched as a child and that your strange disposition is due to your otherworldly nature. You are a changeling, half human and half fairy.;;Ihr wusstet schon als Kind, dass Ihr nicht ganz ... normal seid. Die Druiden sagen, dass du als Kind vertauscht wurdest und dass deine seltsame Veranlagung auf deine jenseitige Natur zurückzuführen ist. Du bist ein Wechselbalg, halb Mensch und halb Fee.;;;;;;;;;;;x
EVTOPTA_Plus_816;It is my time now;;Jetzt ist meine Zeit gekommen;;;;;;;;;;;x
#Divination
EVTOPTC_Plus_827;I don't know why I bother;;Ich weiß nicht, warum ich mir die Mühe mache;;;;;;;;;;;x
EVTOPTC_Plus_828;What nonsense;;Was für ein Blödsinn;;;;;;;;;;;x
