#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
title_aedile;Aedile;Édile;Ädilen;;Edil;x
title_chief_qadi_nc_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;Le cadi est le juge suprême et fait figure de représentant de la loi (charia) au sein du royaume. Plus prestigieux des titres honorifiques musulmans, cette fonction n'est accessible qu'aux personnes bénéficiant d'une éducation religieuse bien spécifique.;Der Oberste Qadi ist der oberste Richter und die Autorität des Gesetzes (Scharia) im Reich. Der prestigeträchtigste aller muslimischen Ehrentitel steht nur Personen mit einer angemessenen religiösen Ausbildung offen.;;El Cadí Jefe es el juez supremo y autoridad de la ley (Sharia) en el dominio. Es el más prestigioso de los títulos honorarios musulmanes, solo disponible a personajes con la debida educación religiosa.;x
title_court_bard;Bard;Barde;Barde;;Bardo;x
title_court_bard_desc;Bards were those who sang the songs recalling the tribal warriors' deeds of bravery as well as the genealogies and family histories of the ruling strata among Celtic societies. The Celtic peoples maintain an intricate oral history committed to memory and transmitted by bards. Bards facilitated the memorization of such materials by the use of metre, rhyme and other formulaic poetic devices.;Les Bardes estoient ceulx qui chantoient les chansons commémorant les actes de bravoure des guerriers tribaulx ainsi que la généalogie et l'histoire des familles dirigeantes de la société celte. Les Celtes conservent une histoire orale complexe dédiée la souvenance et transmise par les bardes. Les Bardes facilitoient la mémorisation de cette matière par l'utilisation d'une mesure, de rimes et d'aultres techniques conventionnelles de poésie.;Barden waren diejenigen, die die tapferen Taten der Stammeskrieger sowie die Genealogien und Familiengeschichten der herrschenden Schichten der keltischen Gesellschaften in Liedern vortrugen. Die keltischen Völker bewahrten eine komplizierte mündliche Geschichte, die von den Barden überliefert wurde. Die Barden erleichterten das Auswendiglernen solcher Materialien durch die Verwendung von Metren, Reimen und anderen formelhaften poetischen Mitteln.;;Los bardos eran aquellos que cantaban las canciones que recordaban a los guerreros tribales' Hablando de actos de valentia, genealogías e historias familiares de las capas dominantes en las sociedades celtas. Los pueblos celtas transmiten sus historias orálmente, a través de los bardos. Los bardos facilitaron la memorización de estas historias con el uso de la métrica, rima y otros recursos poéticos.;x
title_court_druid;Court Druid;;Hofdruide;;Druida de la Corte;x
title_court_druid_desc;Responsible for organizing worship and sacrifices, divination, and judicial procedure in Celtic society, they are as essential to a ruler as his sword.;;Sie sind für die Organisation von Gottesdiensten und Opfern, Wahrsagerei und Gerichtsverfahren in der keltischen Gesellschaft zuständig und für einen Herrscher ebenso wichtig wie sein Schwert.;;;x
title_despot_nc;Despot;Despote;Despot;;Déspota;x
title_despot_nc_desc;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;Le despote est le plus haut titre honorifique de l'Empire byzantin, après celui d'empereur. Seuls les proches parents, traditionnellement le fils aîné, peuvent en bénéficier.;Despot ist der höchste Ehrentitel im Byzantinischen Kaiserreich und untersteht nur dem Kaiser. Er kann nur engen Verwandten verliehen werden, traditionell dem ältesten Sohn.;;El título honorífico de déspota era el más importante del Imperio Bizantino después del de emperador. Puede otorgarse a los familiares cercanos, tradicionalmente al hijo mayor.;x
title_dregvant;Dregvant;;;;;x
title_dregvant_desc;Publicly proclaim him as the Wicked one - the man who yielded to the temptation of Druj.;Le proclamer publiquement comme étant Le Mauvais - l'homme qui se rendit la tentation de Druj.;Öffentlich als der Böse verkündet - der Mann, der der Versuchung des Druj nachgegeben hat.;;;x
title_druid_circle_member;Member of the Circle of Druids;;Mitglied des Kreises der Druiden;;;x
title_female_lord_jewish_group;Leidi;;;;;x
title_flamen_dialis;Flamen Dialis;;;;;x
title_flamen_dialis_desc;The Flamen Dialis is the high priest of Jupiter.;Le Flamen Dialis est le grand prestre de Jupiter.;Der Flamen Dialis ist der Hohepriester des Jupiter.;;;x
title_flamen_martialis;Flamen Martialis;;;;;x
title_flamen_martialis_desc;The Flamen Martialis is the high priest of Mars.;Le Flamen Martialis est le grand prestre de Mars.;Der Flamen Martialis ist der Hohepriester des Mars.;;;x
title_flamen_quirinalis;Flamen Quirinalis;;;;;x
title_flamen_quirinalis_desc;The Flamen Quirinalis is the high priest of Quirinus.;Le Flamen Quirinalis est le grand prestre de Quirinus.;Das Flamen Quirinalis ist der Hohepriester des Quirinus.;;;x
title_flaminica_dialis;Flaminica Dialis;;;;;x
title_flaminica_dialis_desc;As wife of the Flamen Dialis, the Flaminica Dialis is entrusted to perform certain religious rituals.;En tant que femme du Flamen Dialis, la Flaminica Dialis a la responsabilité d'effectuer certains rites religieulx.;Als Ehefrau des Flamen Dialis ist die Flaminica Dialis mit der Durchführung bestimmter religiöser Rituale betraut.;;;x
title_flaminica_martialis;Flaminica Martialis;;;;;x
title_flaminica_martialis_desc;As wife of the Flamen Martialis, the Flaminica Martialis is entrusted to perform certain religious rituals.;En tant que femme du Flamen Martialis, la Flaminica Martialis a la responsabilité d'effectuer certains rites religieulx.;Als Gattin des Flamen Martialis ist die Flaminica Martialis mit der Durchführung bestimmter religiöser Rituale betraut.;;;x
title_flaminica_quirinalis;Flaminica Quirinalis;;;;;x
title_flaminica_quirinalis_desc;As wife of the Flamen Quirinalis, the Flaminica Quirinalis is entrusted to perform certain religious rituals.;En tant que femme du Flamen Quirinalis, la Flaminica Quirinalis a la responsabilité d'effectuer certains rites religieulx.;Als Ehefrau des Flamen Quirinalis ist die Flaminica Quirinalis mit der Durchführung bestimmter religiöser Rituale betraut.;;;x
title_hellenic_pontiff;Pontifex;;;;Pontífice;x
title_hellenic_pontiff_desc;Historically, each pontifex represented the head of one of the major Hellenic temples. With this modern incarnation, each is invested with the religious authority to elect their new Pontifex Maximus.;;In der Vergangenheit stellte jeder Pontifex das Oberhaupt eines der großen hellenischen Tempel dar. In der modernen Form ist jeder Tempel mit der religiösen Autorität ausgestattet, seinen neuen Pontifex Maximus zu wählen.;;;x
title_huntsman;Chief Huntsman;Chasseur en chef;Oberster Jagdaufseher;;Jefe Cazador;x
title_huntsman_desc;The one that leads the royal hunts;Celui qui mène les chasses royales;Derjenige, der die königlichen Jagden anführt.;;;x
title_ladys_champion;Champion;;Meister;;Campeón;x
title_ladys_champion_desc;The prestigious title of champion is bestowed on one sworn to defend his lady liege to the death.;Le prestigieux titre de champion est conféré quelqu'un ayant fait le serment de défendre sa suzeraine jusqu'au trépas.;Der prestigeträchtige Titel Champion wird demjenigen verliehen, der geschworen hat, seine Lehnsherrin bis zum Tod zu verteidigen.;;;x
title_laoch;Laoch;;;;;x
title_laoch_desc;The Teaghlach (literally meaning family) are strongly armed retainers. Known individually as laoch, these upper class warriors favor red tunics, and dress for battle in a similar style to the Frankish knights, although equipped with horses, the laoch's fight on foot.;Les Teaghlach (signifiant de manière littérale famille) sont des serviteurs lourdement armés. Appelés individuellement laoch, ces guerriers de classe supérieure arborent des tuniques vermeilles, et s'habillent pour le combat d'une manière similaire aulx chevaliers francs, bien qu'équipés de chevaulx, le laoch combat pied.;Die Teaghlach (wörtlich: Familie) sind stark bewaffnete Gefolgsleute. Diese Krieger der Oberschicht, die einzeln als Laoch bezeichnet werden, tragen rote Tuniken und kleiden sich für den Kampf ähnlich wie die fränkischen Ritter, obwohl sie mit Pferden ausgerüstet sind und zu Fuß kämpfen.;;;x
title_magister_equitum;Magister Equitum;;;;;x
title_magister_equitum_desc;Originally a very powerful office second only to the Dictator, the Magister Equitum, or Master of the Horse, is now a mostly ceremonial, but still prestigious, military function.;À l'origine une fonction très importante, inférieure seulement au Dictateur, le Magister Equitum, ou Maistre du Cheval, est présent surtout une fonction militaire honorifique, mais elle conserve son prestige.;Ursprünglich ein sehr mächtiges Amt, das nur vom Diktator übertroffen wurde, ist der Magister Equitum oder Magister des Pferdes heute eine eher zeremonielle, aber immer noch prestigeträchtige militärische Funktion.;;;x
title_manichaean_apostle;Apostle;;Apostel;;Apóstol;x
title_monk;Brother;;Bruder;;Hermano;x
title_nun;Sister;;Schwester;;Hermana;x
title_pagan_wizard;Court Wizard;Sorcier de la cour;Hofzauberer;;Hechicero de la Corte;x
title_pagan_wizard_desc;An unwashed, mysterious pagan from the countryside, his powers are unclear, but they serve to appease the more occult worries of a ruler.;Un mystérieux païen de la populace campagnarde. Ses pouvoirs ne sont point très clairs, mais ils servent appaiser les soucis de nature occulte du dirigeant.;Ein ungewaschener, geheimnisvoller Heide vom Lande, dessen Kräfte unklar sind, der aber dazu dient, die eher okkulten Sorgen eines Herrschers zu besänftigen.;;;x
title_queen_mother_egyptian_pagan;Mewet Pharaoh;Mewet Pharaon;Mewet Pharao;;Faraón Mewet;x
title_queen_mother_jewish;Malcah Ama;;;;;x
title_revoke_title;Revoke Minor Title;Révoquer Titre Honorifique;Unwichtige Titel widerrufen;;Revocar Título Menor;x
title_revoke_title_desc;Revoke any minor titles this character holds;Révoque tous les titres honorifiques détenus par ce personnage;Widerruft alle kleineren Titel, die dieser Charakter trägt;;;x
title_royal_champion;Champion;;;;;x
title_royal_champion_desc;The best warrior of the land, the title of champion is a great honor among celtic peoples, their task is to protect their king.;Le meilleur guerrier du pays. Le titre de champion est un grand honneur dans le peuple celte, leur rosle est de protéger leur roi.;Der beste Krieger des Landes, der Titel des Champions ist eine große Ehre unter den keltischen Völkern, ihre Aufgabe ist es, ihren König zu schützen.;;;x
title_royal_consort;Royal Consort;Consort Royale;Königlicher Gefolgsmann;;Consorte Real;x
title_royal_consort_desc;Prueba de Consorte Real.;;Prueba de Consorte Real.;;;x
title_ruler_consort;Consort;;Gemahlin;;Consorte;x
title_shapsheraz;Shapsheraz;;;;;x
title_shapsheraz_desc;Carrier of a ceremonial sword in the court;Porteur d'une épée de cérémonie dans la cour;Trägerin eines Zeremonienschwertes am Hof;;;x
title_sir;Knight;Adouber;Ritter;;Caballero;x
title_sir_desc;Knight this character, bestowing him a proper dynasty.;Adoube ce personnage, lui conférant une vraie dynastie.;Ritter dieser Figur, der ihm eine eigene Dynastie verleiht.;;;x
title_sraoshavarez;Sraoshavarez;;;;;x
title_sraoshavarez_desc;Master of the rituals;Maistre des Rites;Meister der Rituale;;;x
title_uchelwr;Uchelwr;;;;;x
title_uchelwr_desc;The Teulu (literally meaning family) are strongly armed and mounted retainers. Known individually as Uchelwr, these upper class warriors favor red tunics, and dress for battle in a similar style to the Frankish knights, although armed with lances, the Uchelwr's throw javelins.;Les Teulu (signifiant de manière littérale famille) sont des serviteurs lourdement armés cheval. Appelés individuellement Uchelwr, ces guerriers de classe supérieure arborent des tuniques vermeilles, et s'habillent pour le combat d'une manière similaire aulx chevaliers francs, bien qu'armés de lances, ils combattent au javelot.;Die Teulu (wörtlich: Familie) sind stark bewaffnete und berittene Gefolgsleute. Diese Krieger der Oberschicht, die einzeln als Uchelwr bekannt sind, bevorzugen rote Tuniken und kleiden sich für den Kampf ähnlich wie die fränkischen Ritter, obwohl sie mit Lanzen bewaffnet sind, werfen die Uchelwr Speere.;;;x
title_vates;Vates;;;;;x
title_vates_desc;The vates were one of three classes of Celtic priesthood, the other two being the druids and the bards. The Vates had the role of seers and performed sacrifices (in particular administering human sacrifice) under the presidence of a druid.;Les Vates estoient l'une des trois classes de prestrise celte, les deux aultres étant les druides et les bardes. Les Vates estoient des prophètes et effectuoient des sacrifices (en particulier les sacrifices humains) sous la direction d'un druide.;Die Vates waren eine von drei Klassen der keltischen Priesterschaft, die anderen beiden waren die Druiden und die Barden. Die Vates hatten die Rolle von Sehern und führten unter dem Vorsitz eines Druiden Opfer durch (insbesondere die Verabreichung von Menschenopfern).;;;x
title_vestalis;Vestalis;;;;;x
title_vestalis_desc;The College of the Vestales is the foremost order of priestesses of the Hellenic religion, each member taking a vow of chastity in order to devote themselves to the study and correct observance of religious rituals.;Le Collège des Vestales est le principal ordre des prestresses de la religion hellénique, chaque membre faisant voeu de chasteté afin de se dévouer l'étude et la juste pratique des rites religieux.;Das Kollegium der Vestalinnen ist der oberste Orden der Priesterinnen der hellenischen Religion. Jedes Mitglied legte ein Keuschheitsgelübde ab, um sich dem Studium und der korrekten Einhaltung der religiösen Rituale zu widmen.;;;x
title_vestalis_maxima;Vestalis Maxima;;;;;x
title_vestalis_maxima_desc;As the head of the College of the Vestales and the only female member of the College of Pontiffs, the Vestalis Maxima is the most important of the high priestesses of the Hellenic religion.;Présidente du Collège des Vestales et seule membre féminin du Collège des Pontiffes, la Vestalis Maxima est la plus importante des grandes prestresses de la religion hellénique.;Als Oberhaupt des Kollegiums der Vestalinnen und einziges weibliches Mitglied des Kollegiums der Päpste ist die Vestalis Maxima die wichtigste der Hohepriesterinnen der hellenischen Religion.;;;x
title_court_educator;Court Educator;;Hoflehrer;;;
title_court_educator_desc;The Court Educator has the task of providing education and advice.;;Der Hoflehrer hat die Aufgabe, Bildung und Beratung zu vermitteln.;;;
