#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
replace_pontifex;Replace Pontifex Maximum;Replace Pontifex Maximum;Ersetzen des Pontifex Maximus;;Replace Pontifex Maximum;;;;;;;;;x
EVTDESC_ancrel_2103;[From.GetTitledName] has endeavored to restore the ancient faith to the Empire, and demands that you convert.;[From.GetTitledName] s'efforce de restaurer la foi antique de l'Empire, et exige votre conversion.;[From.GetTitledName] hat sich bemüht, den alten Glauben im Reich wiederherzustellen, und verlangt, dass ihr konvertiert.;;;;;;;;;;;x
EVTOPTA_ancrel_2103;Glory to [From.Religion.GetRandomGodName] and the Empire!;Gloire à [From.Religion.GetRandomGodName] et à l'Empire !;Ruhm für [From.Religion.GetRandomGodName] und das Reich!;;;;;;;;;;;x
EVTOPTB_ancrel_2103;May [Root.Religion.GetRandomGodName] protect us.;Que [Root.Religion.GetRandomGodName] nous protège.;Möge [Root.Religion.GetRandomGodName] uns beschützen.;;;;;;;;;;;x
EVTDESC_ancrel_2152;As you are holding court, [From.GetTitledFirstName] aproaches you with a petition supported by several prominent burghers in [From.PrimaryTitle.GetName], asking for your permission to restore the rights and customs befitting citizens of a Roman city.;Tandis que vous recevez la cour, [From.GetTitledFirstName] vous approche avec une pétition signée par plusieurs citoyens éminents de [From.PrimaryTitle.GetName], demandant la permission de restaurer les droits et coutumes convenant aux citoyens d'une ville romaine.;Während Ihr Hof haltet, wendet sich [From.GetTitledFirstName] mit einer Petition an Euch, die von mehreren prominenten Bürgern in [From.PrimaryTitle.GetName] unterstützt wird, und bittet um Eure Erlaubnis, die Rechte und Bräuche wiederherzustellen, die den Bürgern einer römischen Stadt zustehen.;;;;;;;;;;;x
EVTOPTA_ancrel_2152;Of course, Roman customs are far superior to [From.Capital.Culture.GetName]!;Bien sur, les coutumes romaines sont bien meilleures que [From.Capital.Culture.GetName] !;Natürlich sind die römischen Sitten und Gebräuche denen von [From.Capital.Culture.GetName] weit überlegen!;;;;;;;;;;;x
EVTOPTB_ancrel_2152;If that is the will of the people, so be it.;Si c'est le volonté du peuple, qu'il en soit ainsi.;Wenn das der Wille des Volkes ist, dann soll es so sein.;;;;;;;;;;;x
EVTOPTC_ancrel_2152;No, [Root.Culture.GetName] customs are superior and should be maintained!;Non, les coutumes [Root.Culture.GetName] sont meilleures et doivent être conservées !;Nein, die [Root.Culture.GetName]-Bräuche sind überlegen und sollten beibehalten werden!;;;;;;;;;;;x
EVTOPTD_ancrel_2152;No, I will not have any walking relics in my realm!;Non, je ne veut pas de reliques vivantes sur mon domaine !;Nein, ich werde keine wandelnden Relikte in meinem Reich dulden!;;;;;;;;;;;x
EVTOPTA_ancrel_2153;An excelent idea, let's get started immediately!;Une excellente idée, commençons immédiatement !;Eine exzellente Idee, lasst uns sofort loslegen!;;;;;;;;;;;x
EVTOPTB_ancrel_2153;You'll have my persmission.;Vous aurez ma permission.;Ihr habt meine Erlaubnis.;;;;;;;;;;;x
EVTDESC_ancrel_2154;[From.GetTitledFirstName] has approved the petion of [From.From.GetTitledFirstName] and allowd the burghers in [From.From.PrimaryTitle.GetName] to restore the rights and customs they think befitting citizens of a Roman city.;[From.GetTitledFirstName] a approuvé la pétition de [From.From.GetTitledFirstName] et autorisé les citoyens de [From.From.PrimaryTitle.GetName] à restaurer les droits et coutumes qu'ils pensent convenables pour des citoyens d'une ville romaine.;[From.GetTitledFirstName] hat der Petition von [From.From.GetTitledFirstName] zugestimmt und den Bürgern von [From.From.PrimaryTitle.GetName] erlaubt, die Rechte und Sitten wiederherzustellen, die ihrer Meinung nach den Bürgern einer römischen Stadt zustehen.;;;;;;;;;;;x
EVTOPTA_ancrel_2154;Excelent, let's get started immediately!;Excellent, mettons nous au travail tout de suite !;Hervorragend, lasst uns sofort loslegen!;;;;;;;;;;;x
EVTOPTB_ancrel_2154;Good for them, I guess...;C'est bon pour eux, je suppose...;Gut für sie, denke ich...;;;;;;;;;;;x
EVTOPTC_ancrel_2154;Great news!;Excellente nouvelle !;Großartige Neuigkeiten!;;;;;;;;;;;x
EVTDESC_ancrel_2156;The burghers in [From.From.PrimaryTitle.GetName] has choosen to restore most customs practiced in old Roman times.;Les citoyens de [From.From.PrimaryTitle.GetName] ont choisi de restaurer la plupart des coutumes pratiquées au temps de la Rome antique.;Die Bürger in [From.From.PrimaryTitle.GetName] haben sich dafür entschieden, die meisten Bräuche aus der alten römischen Zeit wiederherzustellen.;;;;;;;;;;;x
EVTOPTA_ancrel_2156;Perhaps I should do the same;Peut être je devrais faire de même;Vielleicht sollte ich das auch tun;;;;;;;;;;;x
EVTDESC_ancrel_2158;With the restoration of Roman customs in [From.PrimaryTitle.GetName] the populace in [From.Capital.GetName] have embraced Roman culture.;Suite a la restauration de la culture romaine à [From.PrimaryTitle.GetName], la population de [From.Capital.GetName] a adopté la culture romaine.;Mit der Wiederherstellung der römischen Bräuche in [From.PrimaryTitle.GetName] hat die Bevölkerung in [From.Capital.GetName] die römische Kultur angenommen.;;;;;;;;;;;x
EVTDESC_ancrel_2110;Without the Flaminica Dialis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Dialis pour vous assister dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;Ohne die Flaminica Dialis, die Euch bei Euren Aufgaben unterstützt, müsst Ihr Euch nach den alten religiösen Gesetzen zurückziehen.;;;;;;;;;;;x
EVTDESC_ancrel_2111;Without the Flaminica Martialis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Martialis pour vous assister dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;Ohne die Flaminica Martialis, die Euch bei Euren Aufgaben unterstützt, müsst Ihr Euch nach den alten religiösen Gesetzen zurückziehen.;;;;;;;;;;;x
EVTDESC_ancrel_2112;Without the Flaminica Quirinalis to assist you in your duties, the ancient religious laws require that you retire.;Sans la Flaminica Quirinalis pour vous assister  dans vos fonctions, la loi religieuse antique exige que vous démissionniez.;Ohne die Flaminica Quirinalis, die Ihnen bei Ihren Aufgaben zur Seite steht, müssen Sie nach den alten religiösen Gesetzen in den Ruhestand treten.;;;;;;;;;;;x
EVTDESC_ancrel_2121;After 30 years of devoted service to Vesta the time has come for you to retire from public office.;Après 30 ans dévoués au service de Vesta, le moment est venu pour vous de vous retirer de votre fonction publique.;Nach 30 Jahren aufopferungsvollen Dienstes für Vesta ist für Sie die Zeit gekommen, sich von öffentlichen Ämtern zurückzuziehen.;;;;;;;;;;;x
EVTDESC_ancrel_2124;One of your vassals has nominated a child for service to Vesta.;L'un de vos vassaux a nommé un enfant au service de Vesta;Einer deiner Vasallen hat ein Kind für den Dienst an Vesta nominiert.;;;;;;;;;;;x
EVTOPTA_ancrel_2124;Appoint her as Vestalis;La nommer en tant que Vestale;Ernennt sie zur Vestalis.;;;;;;;;;;;x
EVTOPTB_ancrel_2124;I can find someone better;Vous pouvez trouver mieux.;Ich kann jemand besseren finden.;;Puedo hallar a alguien mejor;;;;;;;;;x
EVTOPTC_ancrel_2124;I'm afraid there is no opening in the College of the Vestales.;Il n'y a malheureusement pas de poste libre dans le Collège des Vestales.;Ich fürchte, es gibt keine freie Stelle im Kollegium der Vestalinnen.;;;;;;;;;;;x
###### Hellenic Flavor events;;;;;;;;;;;;;;x
EVTDESC_ancrel_2240;A local Augur has come to your court to perform a public Auguria, the ceremony is held in a plain outside the castle walls and while approaching clouds make you worrisome, the Augur will not postpone it. After observing the entrails of many sacrifices, the Augur is about to declaim the will of the gods when a bolt of lightning strikes him violently!;Un Augur locale est venu à votre cour pour effectuer une Auguria publique, la cérémonie a lieu dans une plaine à l'extérieur des murs du château et alors que les nuages ??s'approchent de vous faire préoccupante, la Augur ne sera pas le reporter. Après avoir observé les entrailles de nombreux sacrifices, l'Augure est sur ??le point de déclamer la volonté des dieux quand un coup de foudre le frappe violemment!;Ein lokaler Augur ist an deinen Hof gekommen, um eine öffentliche Auguria durchzuführen. Die Zeremonie findet in einer Ebene außerhalb der Burgmauern statt, und obwohl dich die herannahenden Wolken beunruhigen, will der Augur sie nicht verschieben. Nachdem er die Eingeweide vieler Opfer betrachtet hat, will der Augur gerade den Willen der Götter verkünden, als ihn ein Blitz heftig trifft!;;Un Augur locales ha llegado a su corte para realizar una Auguria pública, la ceremonia se llevó a cabo en una llanura fuera de los muros del castillo y mientras se acercaban nubes hacen que preocupante, el Augur no posponerlo. Después de observar las entrañas de muchos sacrificios, el Augur está a punto de declamar la voluntad de los dioses, cuando un rayo lo golpea con violencia!;;;;;;;;;x
EVTOPTA_ancrel_2240;It seems the gods spoke for themselves;Il semble que les dieux parlaient d'eux-mêmes;Es scheint, als hätten die Götter für sich selbst gesprochen;;Parece que los dioses hablaban por sí mismos;;;;;;;;;x
EVTOPTB_ancrel_2240;Am I next?;Suis-je maintenant?;Bin ich der Nächste?;;¿Soy yo el siguiente?;;;;;;;;;x
EVTDESC_ancrel_2241;While watching the latest play from a local philosopher, you notice that some of the actors are completely drunk. This is an insult to your honor and to the art of the Theatre, though the man in charge assures you they will be taken care of, it is your duty to take charge.;Tout en regardant la dernière pièce d'un philosophe local, vous remarquerez que certains des acteurs sont complètement ivre. C'est une insulte à votre honneur et à l'art du théâtre, si l'homme en charge vous assure qu'ils seront pris en charge, il est de votre devoir de prendre en charge.;Während du dir das neueste Stück eines örtlichen Philosophen ansiehst, bemerkst du, dass einige der Schauspieler völlig betrunken sind. Das ist eine Beleidigung für deine Ehre und die Kunst des Theaters. Obwohl der Verantwortliche dir versichert, dass man sich um sie kümmern wird, ist es deine Pflicht, die Verantwortung zu übernehmen.;;Mientras mira la última obra de un filósofo local, se observa que algunos de los actores son completamente borracho. Esto es un insulto a su honor y al arte del teatro, aunque el hombre a cargo le asegura que serán atendidos, es su deber de hacerse cargo.;;;;;;;;;x
EVTOPTA_ancrel_2241;Kick them out!;Coup-les!;Schmeißt sie raus!;;Echarlos a patadas!;;;;;;;;;x
EVTOPTB_ancrel_2241;Actually, this strengthens the play;En fait, ce qui renforce le jeu;Das stärkt das Stück sogar.;;En realidad, esto fortalece la obra;;;;;;;;;x
EVTDESC_ancrel_2565;We have founded the Herculeans, an order of warriors devoted to Hercules, the mightiest of the heroes. They will tirelessly seek to emulate his exploits and battle against the followers of the Judean and Arabian prophets.;Nous avons fondé les Herculéens, un ordre de guerriers consacré à Hercule, le plus puissant des héros. Ils querront sans relasche à émuler ses exploits et guerroieront les disciples des prophètes de Judée et d'Arabie.;Wir haben die Herculeaner gegründet, einen Orden von Kriegern, die Herkules, dem mächtigsten aller Helden, gewidmet sind. Sie werden unermüdlich versuchen, seine Taten nachzuahmen und gegen die Anhänger der judäischen und arabischen Propheten zu kämpfen.;;We have founded the Herculeans, an order of warriors devoted to Hercules, the mightiest of the heroes. They will tireless seek to emulate his exploits and battle against the followers of the Judean and Arabian prophets.;;;;;;;;;x
EVTDESC_ancrel_2566;The Herculeans are zealous Hellenic warriors, who emulate the greatest hero of their myths. They have vowed that no longer shall the followers of the ancient Hellenic faith bow their heads before foreign gods!;Les Herculéens sont de zélés guerriers helléniques, qui émulent le plus grand héros de leurs mythes. Ils ont fait le serment que les disciples de l'antique foi hellénique ne baissent plus jamais la teste devant des dieulx étrangers !;Die Herkulaner sind eifrige hellenische Krieger, die dem größten Helden ihrer Mythen nacheifern. Sie haben geschworen, dass die Anhänger des alten hellenischen Glaubens nicht länger ihr Haupt vor fremden Göttern beugen werden!;;The Herculeans are zealous Hellenic warriors, who emulate the greatest hero of their myths. They have vowed that no longer shall the followers of the ancient Hellenic faith bow their heads before foreign gods!;;;;;;;;;x
EVTDESC_ancrel_2567;We have founded the Sacred Band, a closed brotherhood of soldiers whose iron discipline shall defend Hellenic believers everywhere.;Nous avons fondé la Bande Sacrée, une fraternité de soldats triés sur le volet dont la discipline de fer viendra à la défense des disciples helléniques où qu'ils soient.;Wir haben die Heilige Bande gegründet, eine geschlossene Bruderschaft von Soldaten, deren eiserne Disziplin die hellenischen Gläubigen überall verteidigen soll.;;We have founded the Sacred Band, a closed brotherhood of soldiers whose iron discipline shall defend Hellenic believers everywhere.;;;;;;;;;x
EVTDESC_ancrel_2568;The Sacred Band are a brotherhood of soldiers noted for their stalwart discipline and unwavering resolution who have sworn to never rest until the Gods of Olympus are granted the respect they are due.;La Bande Sacrée est une fraternité de soldats connus pour leur discipline, leur loyauté et leur détermination sans faille, qui ont fait le serment de ne jamais trouver le repos jusqu'à ce que les Dieulx de l'Olympe reçoivent le respect qu'ils méritent.;Das Heilige Band ist eine Bruderschaft von Soldaten, die für ihre unerschütterliche Disziplin und ihre unerschütterliche Entschlossenheit bekannt sind und geschworen haben, niemals zu ruhen, bis den Göttern des Olymps der ihnen gebührende Respekt entgegengebracht wird.;;The Sacred Band are a brotherhood of soldiers noted for their stalwart discipline and unwavering resolution who have sworn to never rest until the Gods of Olympus are granted the respect they are due.;;;;;;;;;x
EVTDESC_ancrel_2573;The proud Herculeans have requested that we let them construct a fortress near Mount Olympus to use as their base.;Les fiers Herculéens nous ont demandé la permission de construire une forteresse près du Mont Olympe qui seroit leur base d'opérations.;Die stolzen Herculeaner haben uns gebeten, ihnen den Bau einer Festung in der Nähe des Olymps zu gestatten, die sie als Stützpunkt nutzen können.;;The proud Herculeans have requested that we let them construct a fortress near Mount Olympus to use as their base.;;;;;;;;;x
EVTDESC_ancrel_2574;The fortress of the Herculeans stands strong in the shade of Mount Olympus, strong as our gods. Within, the warlike Herculeans ready themselves for the wars to come against the snivelling Christians and the traitorous Mohammedans.;La forteresse des Herculéens s'élève désormais, imposante, dans les contreforts du Mont Olympe, aussi puissante que nos dieulx. À l'intérieur, les belliqueulx Herculéens se préparent pour les guerres à venir contre ces pleureurs de Chrétiens et les perfides Mahométans.;Die Festung der Herculesaner steht stark im Schatten des Olymps, stark wie unsere Götter. Darin rüsten sich die kriegerischen Herkulesaner für die kommenden Kriege gegen die wehleidigen Christen und die verräterischen Mohammedaner.;;The fortress of the Herculeans stands strong in the shade of Mount Olympus, strong as our gods. Within, the warlike Herculeans ready themselves for the wars to come against the snivelling Christians and the traitorous Mohammedans.;;;;;;;;;x
EVTNAME_ancrel_2565;The Herculeans Founded;Les Herculéens Fondés;Die Herculesaner gegründet;;The Herculeans Founded;;;;;;;;;x
EVTNAME_ancrel_2566;The Herculeans;Les Herculéens;Die Herculesaner;;The Herculeans Founded;;;;;;;;;x
EVTNAME_ancrel_2567;The Sacred Band Founded;La Bande Sacrée Fondée;Die Heilige Kapelle Gegründet;;The Sacred Band Founded;;;;;;;;;x
EVTNAME_ancrel_2568;The Sacred Band;La Bande Sacrée;Das Heilige Band;;The Sacred Band Founded;;;;;;;;;x
EVTNAME_ancrel_2573;The Herculeans ask for land;Les Herculéens demandent des terres;Die Herculeaner bitten um Land;;The Herculeans ask for land;;;;;;;;;x
EVTNAME_ancrel_2574;The Fortress is Built;La Forteresse est construite;Die Festung wird gebaut;;The Fortress is Built;;;;;;;;;x
EVTOPTA_ancrel_2563;I like it!;Ça me plaist !;Das gefällt mir!;;¡Me gusta!;;;;;;;;;x
EVTOPTA_ancrel_2565;Very good!;Fort bien !;Sehr gut!;;Very good!;;;;;;;;;x
EVTOPTA_ancrel_2566;The greatest glory shall be theirs!;La plus grande gloire leur reviendra !;Der größte Ruhm soll ihnen zuteil werden!;;The greatest glory shall be theirs!;;;;;;;;;x
EVTOPTA_ancrel_2567;Very good!;Fort bien !;Sehr gut!;;Very good!;;;;;;;;;x
EVTOPTA_ancrel_2573;Of course, they may build a fortress near the holy mountain;Bien susr, ils peuvent construire une forteresse près des monts sacrés;Natürlich dürfen sie eine Festung in der Nähe des heiligen Berges bauen;;Of course, they may build a fortress near the holy mountain;;;;;;;;;x
EVTOPTB_ancrel_2566;Curse these demon-worshippers!;Peste soit de ces adorateurs du démon !;Verflucht seien diese Dämonenanbeter!;;Curse these demon-worshippers!;;;;;;;;;x
EVTOPTB_ancrel_2570;More barbaric miscreants to be slaughtered...;Plus de mécréants barbares à massacrer...;Noch mehr barbarische Missetäter, die abgeschlachtet werden müssen...;;More barbaric miscreants to be slaughtered...;;;;;;;;;x
EVTOPTB_ancrel_2573;I shall not allow such zealots on my land;Je ne tolèreroi point de tels zélotes sur mes terres;Ich werde solche Eiferer nicht auf meinem Land dulden.;;I shall not allow such zealots on my land;;;;;;;;;x


EVTDESC_ancrel_2575;You have been approached by a group of Hellenic priests who have offered you initiation into the Orphic Mysteries, a cult dedicated to the mythical poet, Orpheus, who descended into the Underworld to retrieve Persephone through his charm. Becoming a member would be a significant honor.;;Sie sind von einer Gruppe hellenischer Priester angesprochen worden, die Ihnen die Aufnahme in die Orphischen Mysterien angeboten haben, einen Kult, der dem mythischen Dichter Orpheus gewidmet ist, der in die Unterwelt hinabgestiegen ist, um Persephone durch seinen Zauber zurückzuholen. Es wäre eine große Ehre, Mitglied zu werden.;;;;;;;;;;;x
EVTOPTA_ancrel_2575;I will gladly join;;Ich werde gerne beitreten;;;;;;;;;;;x
EVTOPTB_ancrel_2575;I'm not interested;;Ich bin nicht interessiert;;;;;;;;;;;x
EVTDESC_ancrel_2576;You have been approached by a group of Hellenic priests who have offered you initiation into the Sybilline Mysteries, a cult dedicated to the goddess Cybele—also known as the Great Mother—and her ancient oracle at Delphi. The cult is well known for its stewardship, and membership would be an honor.;;Du wurdest von einer Gruppe hellenischer Priester angesprochen, die dir die Aufnahme in die Sybillinischen Mysterien angeboten haben, einen Kult, der der Göttin Kybele - auch bekannt als die Große Mutter - und ihrem antiken Orakel in Delphi gewidmet ist. Der Kult ist bekannt für seine Verwalterschaft, und die Mitgliedschaft wäre eine Ehre.;;;;;;;;;;;x
EVTDESC_ancrel_2577;You have been approached by a group of Hellenic priests who have offered you initiation into the Mysteries of Serapis, a cult dedicated to the Greco-Egyptian god that supplanted Osiris in renown and power. The cult is well known for its martial prowess, and membership would be an honor.;;Sie sind von einer Gruppe hellenischer Priester angesprochen worden, die Ihnen die Aufnahme in die Mysterien des Serapis angeboten haben, einen Kult, der dem griechisch-ägyptischen Gott gewidmet ist, der Osiris an Ruhm und Macht abgelöst hat. Der Kult ist bekannt für seine kriegerischen Fähigkeiten, und die Mitgliedschaft wäre eine Ehre.;;;;;;;;;;;x
EVTDESC_ancrel_2578;You have been approached by a group of Hellenic priests who have offered you initiation into the Mysteries of Despoina, the unnameable goddess and part of the eternal cycle of life and death. The cult is well known for its intrigues, and membership would be a great honor.;;Sie wurden von einer Gruppe hellenischer Priester angesprochen, die Ihnen die Einweihung in die Mysterien der Despoina, der namenlosen Göttin und Teil des ewigen Kreislaufs von Leben und Tod, angeboten haben. Der Kult ist bekannt für seine Intrigen, und die Mitgliedschaft wäre eine große Ehre.;;;;;;;;;;;x
EVTDESC_ancrel_2579;You have been approached by a group of Hellenic priests who have offered you initiation into the Mysteries of Trophonis, the ancient figure from whom the saying 'those whom the gods love die young' originates, and who has come to represent wisdom. The cult is renown for its scholars, and membership would be a great honor.;;"Eine Gruppe hellenischer Priester ist an Sie herangetreten und hat Ihnen angeboten, Sie in die Mysterien der Trophonis einzuweihen, der antiken Figur, von der das Sprichwort stammt: ""Die, die die Götter lieben, sterben jung"", und die für Weisheit steht. Der Kult ist berühmt für seine Gelehrten, und die Mitgliedschaft wäre eine große Ehre.";;;;;;;;;;;x
EVTNAME_ancrel_2580;The Initiation;;Die Einweihung;;;;;;;;;;;x
EVTDESC_ancrel_2580;Three days later, you are blindfolded and brought down into a dark cavern, and there you take part in the ancient and secret rites of initiation with fellow members of the Mystery—those who are now your brothers and sisters.;;Drei Tage später werden Sie mit verbundenen Augen in eine dunkle Höhle gebracht, wo Sie mit anderen Mitgliedern des Mysteriums, die nun Ihre Brüder und Schwestern sind, an den alten und geheimen Initiationsriten teilnehmen.;;;;;;;;;;;x
EVTNAME_ancrel_2581;The Mithraic Mysteries;;Die mithraischen Mysterien;;;;;;;;;;;x
EVTDESC_ancrel_2581;You wake suddenly one evening, a bag thrown over your head, and struggle helplessly as you are dragged away. You awake in a dark cavern, surrounded by men in dark robes and a single priest standing below the statue of a great bull. They all hold wicked-looking knives.;;Eines Abends wachst du plötzlich auf, ein Sack wird dir über den Kopf geworfen, und du wehrst dich hilflos, während du weggezerrt wirst. Du erwachst in einer dunklen Höhle, umgeben von Männern in dunklen Gewändern und einem einzelnen Priester, der unter der Statue eines großen Stiers steht. Sie alle halten bösartig aussehende Messer in der Hand.;;;;;;;;;;;x
EVTOPTA_ancrel_2581;This is an outrage!;;Das ist eine Schande!;;;;;;;;;;;x
EVTDESC_ancrel_2582;The hooded priest below the bull statue addresses you. 'Know that you have been found worthy of the Mysteries of Mithras, that which is above all others. Accept and you will be initiated into the lowest rank, but can rise. Refuse...' The glint of flame on his blade indicates his deadly meaning.;;Der vermummte Priester unter der Stierstatue spricht zu dir. Wisse, dass du für würdig befunden wurdest, an den Mysterien des Mithras teilzunehmen, die über allen anderen stehen. Nimm an und du wirst in den niedrigsten Rang eingeweiht, kannst aber aufsteigen. Weigere dich...' Das Glitzern der Flamme auf seiner Klinge zeigt seine tödliche Bedeutung an.;;;;;;;;;;;x
EVTOPTA_ancrel_2582;Accept the great honor;;Nimm die große Ehre an;;;;;;;;;;;x
EVTOPTB_ancrel_2582;Run for it!;;Lauft um sie!;;;;;;;;;;;x
EVTDESC_ancrel_2583;Those who rank highest within the Mysteries gather in the mithraeum, hooded and unknowable. They listen intently as you describe the feats that you believe have earned your place among them. After a time, the high priest stands...;;Diejenigen, die in den Mysterien den höchsten Rang einnehmen, versammeln sich im Mithräum, vermummt und unwissend. Sie hören dir aufmerksam zu, wenn du ihnen die Taten schilderst, die deiner Meinung nach deinen Platz unter ihnen verdient haben. Nach einiger Zeit steht der Hohepriester auf...;;;;;;;;;;;x
EVTOPTA_ancrel_2583;...and solemnly agrees to your request!;;und stimmt feierlich deiner Bitte zu.;;;;;;;;;;;x
EVTOPTB_ancrel_2583;...and walks out without a word. Curses!;;und geht ohne ein Wort hinaus. Verflucht!;;;;;;;;;;;x
