#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
## Landed titles
c_faereyar_adj;Faroese;Féroé;Färöer;;Feroés;x
summer_fair_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;La foire d'été est l'occasion d'attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Händler, Hausierer und alle möglichen Arten von Unterhaltung in Ihre Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;x
# Event modifiers
highway_robber_band_desc;Bands of robbers are prowling the countryside of this province.;;Räuberbanden treiben ihr Unwesen in dieser Provinz.;;;x
smugglers_ring_desc;An organized ring of smugglers infests this province.;;Ein organisierter Ring von Schmugglern durchzieht diese Provinz.;;;x
thieves_guild_desc;A thieves' guild preys on the population of this province.;;Eine Diebesgilde macht Jagd auf die Bevölkerung dieser Provinz.;;;x
## Included for various inconsistencies
GLOBAL_REVOLT_RISK;National Revolt Risk;Risque national de révolte;Nationales Aufstandsrisiko;;Riesgo rebelión nacional;x
GLOBAL_TAX_MODIFIER;National Tax Modifier;Modificateur national d'impôts;Nationale Steuer Modifikator;;Mod. impuesto nacional;x
GARRISON_SIZE;§YGarrison Size§!;§YTaille de la garnison§!;§YGarnisonsgröße§!;;§YTamaño de guarnición§!;x
## Focuses
focus_ch_heritage_desc;[This.GetTitledFirstName] is tutored by various courtiers and family members, focusing on assimilating §Y[This.Educator.Culture.GetName]§! culture and the §Y[This.Educator.Religion.GetName]§! faith.\nAs no specific traits are associated with this Focus you §Rcannot§! pick it if your culture and religion are §Yidentical§! to [This.GetTitledFirstName]'s.;[This.Get_Le_TitledFirstName] reçoit son éducation de divers courtisans et membres de sa famille, avec un accent mis sur l'assimilation de la culture §Y[This.Educator.Culture.GetName]§! et de la religion §Y[This.Educator.Religion.GetName]§!. Comme aucun trait spécifique n'est associé cet intérêt, vous ne pouvez pas le choisir si votre culture et votre religion sont identiques les de [This.GetTitledFirstName].;[This.GetTitledFirstName] wird von verschiedenen Höflingen und Familienmitgliedern unterrichtet, wobei er sich darauf konzentriert, die §Y[This.Educator.Culture.GetName]§!-Kultur und den §Y[This.Educator.Religion.GetName]§!-Glauben zu assimilieren.\nDa diesem Fokus keine besonderen Eigenschaften zugeordnet sind, §Rkönnt§! ihr ihn nicht wählen, wenn eure Kultur und Religion §Yidentisch§! mit den von [This.GetTitledFirstName] sind.;;[This.GetTitledFirstName] está educado por varios cortesanos y miembros de la familia, centrándose en la asimilación de la cultura de §Y[This.Educator.Culture.GetName]§! y la fe de §Y[This.Educator.Religion.GetName]§! Como no se asocian rasgos específicos con este enfoque, no puede elegirlo si su cultura y religión son idénticas a las de [This.GetTitledFirstName].;x
## Character modifiers
# To account for different pagan religion names in Plus
follower_of_akka_desc;This [GetGirlWomanBoyMan] is a devout follower of Akka, the Finnic deity of motherhood, protection and love.;Ce personnage est un adepte d'Akka, la divinité finoise de la maternité, de la protection et de l'amour.;Dieser Charakter ist Akka, der finnische Gottheit von Mutterschaft, Schutz und Liebe, treu ergeben.;;Este personaje es un devoto seguidor de Akka, la diosa finica de la maternidad, la protección y el amor.;x
follower_of_dievas_desc;This [GetGirlWomanBoyMan] is a devout follower of Dievas, the Baltic chief deity of Peace.;Ce personnage est un adepte de Dievas, la principale divinité balte de la paix.;Dieser Charakter ist Dievas, der baltischen Obergottheit des Friedens, treu ergeben.;;Este personaje es un devoto seguidor de Dievas, la deidad jefe baltica de la paz.;x
follower_of_jarilo_desc;This [GetGirlWomanBoyMan] is a devout follower of Jarilo, the Slavic God of Fertility. He is also associated with spring and vegetation.;Ce personnage est un adepte d'Yarilo, le dieu slave de la fertilité, aussi associé au printemps et la végétation.;Dieser Charakter ist Jarilo, dem slawischen Fruchtbarkeitsgott, treu ergeben. Er wird auch mit Frühling und Vegetation in Verbindung gebracht.;;Este personaje es un devoto seguidor de Jarilo, el dios eslavo de la fertilidad. También se lo asocia a la primavera y la vegetación.;x
follower_of_lempo_desc;This [GetGirlWomanBoyMan] is a devout follower of Lempo, the Finnic deity of seduction and love.;Ce personnage est un adepte de Lempo, la divinité finoise de la séduction et de l'amour.;Dieser Charakter ist Lempo, der finnische-Gottheit von Verführung und Liebe, treu ergeben.;;Este personaje es un devoto seguidor de Lempo, la deidad finica de la seducción y el amor.;x
follower_of_morana_desc;This [GetGirlWomanBoyMan] is a devout follower of Morana, the Slavic Godess of Death and Rebirth. She is also associated with winter, magic and dreams.;Ce personnage est un adepte de Morana, la déesse slave de la mort et de la renaissance, aussi associée l'hiver, la magie et aux rêves.;Dieser Charakter ist Morana, der slawischen Göttin des Todes und der Wiedergeburt, treu ergeben. Sie wird auch mit Winter, Zauber und Träumen in Verbindung gebracht.;;Este personaje es un devoto seguidor de Morana, la diosa eslava de la muerte y la resurrección. También se la asocia con el invierno, la magia y los sueños.;x
follower_of_perkunas_desc;This [GetGirlWomanBoyMan] is a devout follower of Perkunas, the Baltic deity of Thunder.;Ce personnage est un adepte de Perkunas, la divinité balte du tonnerre.;Dieser Charakter ist Dievas, der baltischen Gottheit des Donners, treu ergeben.;;Este personaje es un devoto seguidor de Perkunas, la deidad baltica del trueno.;x
follower_of_perun_desc;This [GetGirlWomanBoyMan] is a devout follower of Perun, the Slavic God of Thunder. He is also associated with fire, mountains and war.;Ce personnage est un adepte de Péroun, le dieu slave du tonnerre, aussi associé au feu, aux montagnes et la guerre.;Dieser Charakter ist Perun, dem slawischen Donnergott, treu ergeben. Er wird auch mit Feuer, Bergen und Krieg in Verbindung gebracht.;;Este personaje es un devoto seguidor de Perún, el dios eslavo del trueno. También se lo asocia al fuego, las montañas y la guerra.;x
follower_of_taipo_and_mielikki_desc;This [GetGirlWomanBoyMan] is a devout follower of Tapio and Mielikki, the Finnic deities of forests, hunting and healing.;Ce personnage est un adepte de Tapio et Mielikki, les divinités finoises de la forêt, de la chasse et de la guérison.;Dieser Charakter ist Tapio und Mielikki, die finnischen Gottheiten des Waldes, der Jagd und des Heilens, treu ergeben.;;Este personaje es un devoto seguidor de Tapio y Mielikki, las deidades finicas de los bosques, la caza y la curación.;x
follower_of_ukko_desc;This [GetGirlWomanBoyMan] is a devout follower of Ukko, the Finnic deity of the sky and harvests.;Ce personnage est un adepte d'Ukko, la divinité finoise du ciel et de la moisson.;Dieser Charakter ist Ukko, der finnische Gottheit des Himmels und der Ernte, treu ergeben.;;Este personaje es un devoto seguidor de Ukko, el dios finico del cielo y las cosechas.;x
follower_of_veles_desc;This [GetGirlWomanBoyMan] is a devout follower of Veles, the Slavic God of the Underworld. He is also associated with water, music and trickery.;Ce personnage est un adepte de Vélès, le dieu slave des enfers, aussi associé l'eau, la musique et la ruse.;Dieser Charakter ist Veles, dem slawischen Gott der Unterwelt, treu ergeben. Er wird auch mit Wasser, Musik und List in Verbindung gebracht.;;Este personaje es un devoto seguidor de Veles, el dios eslavo del inframundo. También se lo asocia al agua, la música y el engaño.;x
follower_of_velnias_desc;This [GetGirlWomanBoyMan] is a devout follower of Velnias, the Baltic deity of Death.;Ce personnage est un adepte de Velnias, la divinité balte de la mort.;Dieser Charakter ist Velnias, der baltischen Gottheit des Todes, treu ergeben.;;Este personaje es un devoto seguidor de Velnias, la deidad baltica de la muerte.;x
follower_of_zemyna_desc;This [GetGirlWomanBoyMan] is a devout follower of Zemyna, the Baltic deity of Earth and Motherhood.;Ce personnage est un adepte de Zemyna, la divinité balte de la terre et de la maternité.;Dieser Charakter ist Zemyna, der baltischen Gottheit der Erde und der Mutterschaft, treu ergeben.;;Este personaje es un devoto seguidor de Zemyna, la deidad baltica de la tierra y la maternidad.;x
follower_of_anansi_desc;A deeply revered Sahelian deity, the spider-god Anansi is a famous trickster, considered to be the spirit of all knowledge of stories.;Une divinité sahelienne révérée, le dieu-araignée Anansi est un fameux filou, connu comme l'esprit de toute connaissance des histoires.;Der Spinnengott Anansi, eine zutiefst verehrte sahelische Gottheit, ist sehr trickreich und gilt als Geist allen Wissen über die Geschichte.;;El dios araña Anansi, una deidad saheliana sumamente venerada, es un famoso embaucador, considerado el espíritu de todo el conocimiento de las historias.;x
follower_of_ayyur_desc;This [GetGirlWomanBoyMan] is a devout follower of Ayyur, the Sahelian moon deity, the provider of wisdom and guidance.;Ce personnage est un adepte dévot d'Ayyur, la divinité de la lune sahelienne, prodiguant des conseils.;Dieser Charakter ist ein frommer Anhänger von Ayyur, der sahelische Mondgottheit und Erbringer von Führung und Weisheit.;;Este personaje es devoto seguidor de Ayyur, la deidad saheliana de la luna, proveedor de orientación y sabiduría.;x
follower_of_bida_desc;This [GetGirlWomanBoyMan] is a devout follower of Bida, the Sahelian snake deity of prosperity.;Ce personnage est un adepte dévot de Bida, la divinité sahélienne de la prospérité.;Dieser Charakter ist ein frommer Anhänger von Bida, der sahelischen Schlangengottheit des Wohlstands.;;Este personaje es devoto seguidor de Bida, el dios-serpiente saheliano de la prosperidad.;x
follower_of_dan_desc;The rainbow serpent is a mediator between spirits & the living in Vodun mythology, that maintains balance, order, peace and communication.;Dans la mythologie vodun, le serpent arc-en-ciel est un médiateur entre les esprits et les vivants qui maintient l'équilibre, l'ordre, la paix et la communication.;Die Regenbogenschlange ist ein Vermittler zwischen Geistern und Lebenden in der Vodun-Mythologie. Sie hält Balance, Ordnung und Frieden aufrecht.;;La serpiente arco iris media entre los espíritus y los vivos en la mitología vudú y mantiene equilibrio, orden, paz y comunicación.;x
follower_of_dongo_desc;This [GetGirlWomanBoyMan] is a devout follower of Dongo, the Sahelian deity of thunder and war.;Ce personnage est un adepte dévot de Dongo, la divinité sahelienne du tonnerre et de la guerre.;Dieser Charakter ist ein frommer Anhänger von Dongo, dem sahelischen Gott des Donners und Krieges. ;;Este personaje es devoto seguidor de Dongo, la deidad saheliana del trueno y la guerra.;x
follower_of_tsumburbura_desc;This [GetGirlWomanBoyMan] is a devout follower of Tsumburbura, the Sahelian deity of motherhood.;Ce personnage est un adepte dévot de Tsumburbura, la divinité sahelienne de la maternité.;Dieser Charakter ist ein frommer Anhänger von Tsumburbura, der sahelischen Göttin der Mutterschaft.;;Este personaje es devoto seguidor de Tsumburbura, la deidad saheliana de la maternidad.;x
## UI
HIDDEN_MODIFIER_DESC;(Hidden from the world at large...)\n(Congenital traits only hidden until adulthood);(Caché au reste du monde)\n(Traits congénitaux seulement cachés jusqu' l'âge adulte);(Vor der Welt verborgen...)\n(Angeborene Eigenschaften nur bis zum Erwachsenenalter verborgen);;(Oculto del mundo en general...)\n(Rasgos congénitos solo ocultos hasta la edad adulta);x
DE_JURE_LIEGE_CHANGED_LOG;After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§! the §Y$TITLE$§! is now considered a de jure part of it.;;Nach §Y$YEARS$§! Jahren unter der §Y$NEW_LIEGE$§! wird der §Y$TITLE$§! nun de jure als Teil davon betrachtet.;;;x
## Minor titles
title_teacher;Court Educator;Éducateur de la Cour;Hoflehrer;;Educador de la corte;x
title_teacher_desc;The Court Educator has the task of providing education and advice. They will serve as the default Educator for all children at court who don't have an assigned Guardian.;;Der Hoflehrer hat die Aufgabe, Aufklärung und Beratung zu leisten. Er ist der Standard-Erzieher für alle Kinder am Hof, denen kein Vormund zugewiesen ist.;;;x
## Game rules
RULE_PROVINCIAL_REVOLT_STRENGTH_VERY_POWERFUL_DESC;Provincial revolts are very powerful. Their armies are three times as numerous as at the default level.;Les révoltes provinciales sont très puissantes. Leurs armées sont tres fois plus nombreuses que le taux par défaut.;Provinzrevolten sind sehr mächtig. Ihre Armeen sind dreimal so zahlreich wie auf der Standardstufe.;;Las revueltas provinciales son muy fuertes. Sus ejércitos son tres veces más numerosos que en el nivel predeterminado.;x
RULE_PROVINCIAL_REVOLT_STRENGTH_EXTREMELY_POWERFUL_DESC;Provincial revolts are extremely powerful. Their armies are four times as numerous as at the default level.;Les révoltes provinciales sont extrêmement puissantes. Leurs armées sont quatre fois plus nombreuses que le taux par défaut.;Provinzaufstände sind extrem mächtig. Ihre Armeen sind viermal so zahlreich wie auf der Standardstufe.;;Las revueltas provinciales son extremadamente fuertes. Sus ejércitos son quatro veces más numerosos que en el nivel predeterminado.;x
## Geographical region
world_middle_east_persia;Greater Iran;Grand Iran;Groß-Iran;;Grand Irán;x
## Tooltips
openly_adopt_faith_effect_tooltip;All sympathizers of the true faith will be encouraged to openly express their beliefs.;Tous les sympathisants de la vraie foi seront encouragés exprimer ouvertement leurs croyances.;Alle Sympathisanten des wahren Glaubens werden dazu aufgerufen, ihre religiösen Überzeugungen offen zu zeigen.;;Se animará a todos los simpatizantes de la fe verdadera a que expresen libremente sus creencias.;x
## Removed mention of culturally unique retinues, because Plus doesn't have those for every culture.
DLC_dlc011_RECOMMENDATION_LOR_CULTURE;Retinues are regiments of troops that, unlike levies, don't need to be dismissed before declaring war.\n;Les escortes sont des régiments qui contrairement aux levées n'ont pas besoin d'être démobilisées avant de déclarer la guerre.\n;Das Gefolge sind Regimenter, die anders als Lehnstruppen nicht vor einer Kriegserklärung aufgelöst werden müssen.;;Los séquitos son regimientos de tropas a las que no hay que despedir antes de declarar la guerra, al contrario que las levas.\n;x
## Ambitions
# Uses [This.GetReligionAdherent] instead of [buddhist.GetName] (English only)
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;;[This.GetTitledFirstName] versucht als gläubiger [This.GetReligionAdherent] zu lernen, [This.GetHerHis] schädliche Trinkgewohnheiten abzulegen.;;;x
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject emply pleasures.;;[This.GetTitledFirstName], versucht als hingebungsvoller [This.GetReligionAdherent] zu lernen, selbstsüchtige Vergnügungen abzulehnen.;;;x
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to abstain from excesses of the flesh.;;[This.GetTitledFirstName] versucht als hingebungsvoller [This.GetReligionAdherent] zu lernen, sich von den Exzessen des Fleisches zu enthalten.;;;x
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject cruelty.;;[This.GetTitledFirstName], als ergebener [This.GetReligionAdherent], versucht zu lernen, Grausamkeit abzulehnen.;;;x
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to eat without excess.;;[This.GetTitledFirstName], als ergebener [This.GetReligionAdherent], versucht zu lernen, ohne Übermaß zu essen.;;;x
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject the poison that greed brings to the mind.;;[This.GetTitledFirstName], versucht als ergebener [This.GetReligionAdherent] zu lernen, das Gift abzulehnen, das die Gier in den Geist bringt.;;;x
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject the poison that envy brings to the mind.;;[This.GetTitledFirstName] versucht als ergebener [This.GetReligionAdherent] zu lernen, das Gift abzulehnen, das Neid in den Geist bringt.;;;x
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject the poison that hate and anger brings to the mind.;;[This.GetTitledFirstName], als hingebungsvoller [This.GetReligionAdherent], versucht zu lernen, das Gift abzulehnen, das Hass und Zorn in den Verstand bringt.;;;x
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to reject pride.;;[This.GetTitledFirstName], versucht als hingebungsvoller [This.GetReligionAdherent] zu lernen, Stolz zurückzuweisen.;;;x
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devoted [This.GetReligionAdherent], is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;;[This.GetTitledFirstName], als hingebungsvoller [This.GetReligionAdherent], versucht zu lernen, [This.GetHerHis] Furcht vor der Welt und vor den Plänen anderer zu besiegen.;;;x
## Artifacts
# Use GetShortGovernmentName (Plus-exclusive custom loc command) instead of Government.GetName, accounts for monastic, imperial and regular feudal governments
on_government_type_warfare_rename;On [Root.GetShortGovernmentName] Warfare;Sur la guerre [Root.GetGovernmentFem];Über [Root.GetShortGovernmentName] Kriegsführung;;Sobre la guerra de [Root.GetShortGovernmentName];x
on_government_type_warfare_desc;This tome dedicates chapter upon chapter to highlighting the strengths of [Root.GetShortGovernmentName] tactics of war. A subjective matter, some argue.;Ce volume contient de nombreux chapitres soulignant les qualités des tactiques de guerre d'un gouvernement de type '[Root.GetShortGovernmentName]'. Une question subjective, selon certains.;Dieser Foliant widmet sich Kapitel für Kapitel über die Stärken der Kriegsführung einer [Root.GetShortGovernmentName]. Wie einige argumentieren, eine subjektive Angelegenheit.;;Este tomo se dedica capítulo tras capítulo a destacar las virtudes de las tácticas bélicas de [Root.GetShortGovernmentName]. Un tema subjetivo, según algunos.;x
on_government_type_warfare_desc_rename;This tome contains multiple chapters highlighting the many strengths of [Root.Government.GetName] tactics of war. While educational, critics argue that it's a bit [Root.GetPublicOpinionOfWork].;Ce volume contient de nombreux chapitres soulignant les qualités des tactiques de guerre d'un gouvernement [Root.GetGovernmentMasc]. Bien qu'instructif, les critiques conviennent que c'est un peu [Root.GetPublicOpinionOfWork].;Dieses Foliant widmet sich Kapitel für Kapitel über die Stärken der Kriegsführung einer [Root.Government.GetName]. Auch wenn pädagogisch wertvoll, kritisieren es einige Kritiker als [Root.GetPublicOpinionOfWork].;;Este tomo se dedica capítulo tras capítulo a destacar las muchas virtudes de las tácticas bélicas de [Root.Government.GetName]. Aunque instructivo, los críticos afirman que es un poco [Root.GetPublicOpinionOfWork].;x
keeping_government_court_rename;Keeping [Root.GetShortGovernmentName] Court;Gérer une cour [Root.GetGovernmentFem];Das Halten eines [Root.GetShortGovernmentName]-Hofes;;Haciendo la corte de [Root.GetShortGovernmentName];x
keeping_government_court_desc_rename;A study on the practices of various [Root.GetShortGovernmentName] courts, with emphasis on the proper displays of power, servitude, and allegiance.;Une étude sur les pratiques de diverses cours d'un gouvernement '[Root.GetShortGovernmentName]', en mettant l'accent sur les démonstrations de force, d'asservissement et d'allégeance.;Eine Studie über die Praktiken der verschiedenen [Root.GetShortGovernmentName]-Höfe, mit Schwerpunkt auf die richtige Art der Machtdarstellung, Unterwürfigkeit und Treue.;;Un estudio sobre las prácticas en diferentes cortes [Root.GetShortGovernmentName], con énfasis a la debida presentación de poder, servidumbre y lealtad.;x
on_government_type_warfare;On [Root.GetShortGovernmentName] Warfare;Sur la guerre [Root.GetGovernmentFem];Kriegsführung einer [Root.GetShortGovernmentName];;Sobre la guerra [Root.GetShortGovernmentName];x
the_republic_rename;The [Root.GetShortGovernmentName] Realm;[Root.GetGovernmentLeLaCap];Die [Root.GetShortGovernmentName] als Reichsform;;El gobierno del [Root.GetShortGovernmentName];x
the_republic;The [Root.GetShortGovernmentName] Realm;[Root.GetGovernmentLeLaCap];Die [Root.GetShortGovernmentName] als Reichsform;;El gobierno del [Root.GetShortGovernmentName];x
## Casus Belli
seize_trade_post_desc;As a Patrician, §Y$CLAIMANT$§! can declare war on §Y$TARGET$§! over the §Y$TITLE$§!. This Casus Belli is not valid against weaker Patricians within the same Republic.;En tant que patricien, le §Y$CLAIMANT$§! peut déclarer la guerre §Y$TARGET$§! pour le §Y$TITLE$§!. Ce casus belli n'est pas utilisable contre les patriciens de rang inférieur de la même république.;Als ein Patrizier, §Y$CLAIMANT$§! kann §Y$TARGET$§! für §Y$TITLE$§! den Krieg erklären.      Dieser Casus Belli ist nicht gültig gegen schwächere Patrizier innerhalb der gleichen Republik.;;Como patricio, §Y$CLAIMANT$§! puede declarar la guerra a §Y$TARGET$§! por §Y$TITLE$§!;x
## Decisions
# Adjusted to refer to Ansar instead of Bektashi
donate_money_to_ansar;Donate 300¤ to the Ansar;Donner 300¤ aux Ansârs;Spendet den Ansar 300 Gold ;;Donar 300 de oro a los Ansares;
donate_money_to_ansar_desc;Donate money to the Ansar in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Ansârs en échange de [Player.Religion.GetPietyName].;Ich kann den Ansar Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Ansares. A cambio obtendré [Player.Religion.GetPietyName].;x
# Adjusted to match Plus effects of the decision
release_tributary;Release Tributary;Libérer le pays tributaire;Tributpflichtiges Reich entlassen;;Liberar tributario;x
release_tributary_desc;Remove the tributary status of §Y[Root.GetTitledFirstName]§!.;Supprimer le statut tributaire de §Y[Root.GetTitledFirstName]§!;Entferne den tributpflichtigen Status von §Y[Root.GetTitledFirstName]§!;;Eliminar el estado tributario de §Y[Root.GetTitledFirstName]§!;x
# Adjusted to match nature of Plus decision
celebrate_jashan_e_sadah;Prepare Jashn-e Sadeh Festival;Preparer la fête de Sadeh;Dschashn-e Sadeh Fest vorbereiten;;Preparar festival Jashn-e Sadeh;x
celebrate_jashan_e_sadah_desc;Sadeh shall be celebrated in mid-winter (December), provided you are not at war or otherwise engaged.;;Sadeh soll in der Mitte des Winters (Dezember) gefeiert werden, sofern ihr euch nicht im Krieg befindet oder anderweitig beschäftigt seid.;;;x
## Traits
decadent_desc;Soft living and flagrant debauchery has turned this character decadent, a living offense to all righteous Muslims. Decadent characters residing in the realm of their dynasty head will make the entire dynasty appear decadent to all Muslims.;;Der Charakter ist durch einen sanften Lebenswandel und schamlose Ausschweifungen dekadent geworden und ein lebendes Ärgernis für alle rechtschaffenen Muslime. Dekadente Charaktere, die sich im Reich ihres Dynastieoberhaupts aufhalten, lassen die gesamte Dynastie vor allen Muslimen dekadent erscheinen.;;;x
drunkard_death;from too much drinking;;von zu viel Alkoholkonsum;;;x
## Religions
aztec_pagan;Aztec;Aztèque;Aztekisch;Azteco;;x
bon_pagan;Gnyan'po Cho'ga;;;;;x
