#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_2100;Acheiropoieta;;Acheiropoieta;;;x
EVTOPTB_Plus_2102;That is not why we are losing the war;;Das ist nicht der Grund, warum wir den Krieg verlieren.;;;x
EVTOPTC_Plus_2102;This does not bode well...;;Das verheißt nichts Gutes...;;;x
EVTDESC_Plus_2103;[From.GetTitledFirstNameNoRegnal] has embraced the iconoclast heresy, demanding that all holy icons be destroyed and all subjects of the empire convert as [From.GetSheHe] has.;;[From.GetTitledFirstNameNoRegnal] hat sich der ikonoklastischen Häresie verschrieben und verlangt, dass alle heiligen Ikonen zerstört werden und alle Untertanen des Reiches konvertieren, wie es [From.GetSheHe] getan hat.;;;x
EVTOPTA_Plus_2103;Perhaps [From.GetSheHe] is right...;;Vielleicht hat [From.GetSheHe] ja recht...;;;x
EVTOPTB_Plus_2103;[From.GetSheHeCap] is a fool and a heretic!;;[From.GetSheHeCap] ist ein Narr und ein Ketzer!;;;x
EVTOPTC_Plus_2103;Finally an [From.PrimaryTitle.GetTitledName] with sense!;;Endlich ein [From.PrimaryTitle.GetTitledName] mit Verstand!;;;x
EVTOPTD_Plus_2103;This is of no concern to me;;Das ist für mich nicht von Belang;;;x
EVTNAME_Plus_2105;[Root.GetTitledFirstNameNoRegnal];;[Root.GetTitledFirstNameNoRegnal];;;x
EVTDESC_Plus_2105;While the Paulician faith has been riven by internal conflicts for the last few decades, the heresy has a new leader in [Root.GetTitledFirstNameNoRegnal], a zealous priest of [Root.Culture.GetName] origin as well as an effective converter. He has spread his sect throughout Armenian lands ruled by the Byzantine Empire, and is very quickly becoming a major problem for Orthodox rulers.;;Während der paulicianische Glaube in den letzten Jahrzehnten von internen Konflikten zerrissen wurde, hat die Ketzerei in [Root.GetTitledFirstNameNoRegnal] einen neuen Anführer, einen eifrigen Priester von [Root.Culture.GetName] Herkunft und einen effektiven Bekehrer. Er hat seine Sekte in den vom byzantinischen Reich beherrschten armenischen Gebieten verbreitet und wird sehr schnell zu einem großen Problem für die orthodoxen Herrscher.;;;x
EVTOPTA_Plus_2105;Blasted heretics!;;Verfluchte Ketzer!;;;x
EVTDESC_Plus_2106;All across the Byzantine Empire, Paulicians are being violently persecuted on the order of [Root.GetTitledName]. They are rounded up and imprisoned, their homes burned and their belongings seized. All Paulician courtiers have been ordered either executed or banished.;;Überall im Byzantinischen Reich werden die Paulizianer auf Befehl von [Root.GetTitledName] gewaltsam verfolgt. Sie werden zusammengetrieben und inhaftiert, ihre Häuser werden niedergebrannt und ihre Besitztümer beschlagnahmt. Alle paulicianischen Höflinge wurden entweder hingerichtet oder verbannt.;;;x
EVTOPTA_Plus_2106;Hopefully that will take care of it;;Hoffentlich ist damit die Sache erledigt.;;;x
EVTOPTB_Plus_2106;A rather extreme measure...;;Eine ziemlich extreme Maßnahme...;;;x
EVTOPTC_Plus_2106;This is an outrage!;;Das ist ein Skandal!;;;x
EVTNAME_Plus_2107;The Paulician Patriarch;;Der paulicianische Patriarch;;;x
EVTDESC_Plus_2107;[Root.GetTitledName] has claimed the title of Paulician Patriarch, head of all Christians who follow the teachings of Paul of Samosata. Others outside of [Root.PrimaryTitle.GetName] claim the [Root.GetManWoman] is little more than a glorified warlord, but to the Paulician faithful [Root.GetSheHe] is a symbol of their victory against attempts by their fellow Christians to suppress them. Perhaps, in time, [Root.GetTitledFirstNameNoRegnal] will lead the Paulicians to claiming a piece of history in Europe.;;[Root.GetTitledName] hat den Titel des Paulikischen Patriarchen beansprucht, das Oberhaupt aller Christen, die den Lehren des Paulus von Samosata folgen. Andere außerhalb von [Root.PrimaryTitle.GetName] behaupten, der [Root.GetManWoman] sei nicht viel mehr als ein verherrlichter Kriegsherr, aber für die paulinischen Gläubigen ist [Root.GetSheHe] ein Symbol ihres Sieges über die Versuche ihrer Mitchristen, sie zu unterdrücken. Vielleicht wird [Root.GetTitledFirstNameNoRegnal] die Paulizianer mit der Zeit dazu bringen, ein Stück Geschichte in Europa für sich zu beanspruchen.;;;x
EVTOPTA_Plus_2107;A glorious day for us all!;;Ein glorreicher Tag für uns alle!;;;x
EVTOPTB_Plus_2107;Who is this upstart heretic?;;Wer ist dieser aufmüpfige Ketzer?;;;x
EVTOPTC_Plus_2107;A self-titled warmonger? How very Christian...;;Ein selbsternannter Kriegshetzer? Wie sehr christlich...;;;x
EVTNAME_Plus_2110;Bogomilists in [Root.PrimaryTitle.GetName];;Bogomilisten in [Root.PrimaryTitle.GetName];;;x
EVTDESC_Plus_2110;A heresiarch by the name of 'Bogomil', which may not even be his true name, has appeared in the province of Tyrnovo, capitalizing on the anger of the locals following their conversion from pagan ways. His teachings of a heresy that seems to combine Christianity with a combination of Gnostic dualism and anti-church sentiment has caught on extremely quickly in both Tyrnovo and the surrounding areas, presenting a challenge to [Root.GetTitledName]'s rule as well as to the authority of the [Root.Religion.GetName] faith. Some believe that this 'Bogomil' has reached the court of [Root.GetTitledFirstNameNoRegnal], and that [Root.GetSheHe] might even be considered a conversion to these heretical beliefs.;;Ein Ketzer namens 'Bogomil', der vielleicht nicht einmal sein richtiger Name ist, ist in der Provinz Tyrnovo aufgetaucht und nutzt den Zorn der Einheimischen nach ihrer Bekehrung vom Heidentum aus. Seine Lehren einer Ketzerei, die das Christentum mit einer Kombination aus gnostischem Dualismus und kirchenfeindlicher Gesinnung zu verbinden scheint, hat sich sowohl in Tyrnovo als auch in den umliegenden Gebieten extrem schnell verbreitet und stellt eine Herausforderung für die Herrschaft von [Root.GetTitledName] sowie für die Autorität des Glaubens von [Root.Religion.GetName] dar. Einige glauben, dass dieses "Bogomil" den Hof von [Root.GetTitledFirstNameNoRegnal] erreicht hat und dass [Root.GetSheHe] sogar als Konvertit zu diesen ketzerischen Überzeugungen betrachtet werden könnte.;;;x
EVTOPTA_Plus_2110;I believe this priest has wise things to say;;Ich glaube, dieser Priester hat weise Dinge zu sagen;;;x
EVTOPTB_Plus_2110;Me, convert? To a foul heresy?!;;Ich, konvertieren? Zu einer üblen Ketzerei?!;;;x
EVTOPTC_Plus_2110;Hurrah!;;Hurrah!;;;x
EVTOPTD_Plus_2110;This does not bode well...;;Das verheißt nichts Gutes...;;;x
EVTDESC_Plus_2112;The formalization process of Bogomilism has officially begun, with [Root.GetTitledFirstNameNoRegnal] meeting with a group of perfecti leaders in [Root.Capital.GetName] and expressing [Root.GetHerHis] desire to see the faith go from a disorganized movement to one fully integrated with [Root.GetHerHis] rule. They expressed doubt, but were willing to hear [Root.GetHerHim] out, for the time being.;;Der Formalisierungsprozess des Bogomilismus hat offiziell begonnen, nachdem [Root.GetTitledFirstNameNoRegnal] sich mit einer Gruppe perfekter Anführer in [Root.Capital.GetName] getroffen und den Wunsch von [Root.GetHerHis] geäußert hat, den Glauben von einer unorganisierten Bewegung zu einer vollständig in die Herrschaft von [Root.GetHerHis] integrierten Bewegung werden zu lassen. Sie äußerten Zweifel, waren aber bereit, [Root.GetHerHim] vorerst anzuhören.;;;x
EVTOPTA_Plus_2112;We will all have to be patient;;Wir werden alle geduldig sein müssen;;;x
EVTDESC_Plus_2113_religion;All this talk of 'reforming' the Bogomilist faith in [Root.PrimaryTitle.GetName] is pointless. Perhaps the previous rulers were interested in such a thing, but since you are not a Bogomilist, you will certainly have no part in it.;;Das ganze Gerede von einer "Reform" des bogomilistischen Glaubens an [Root.PrimaryTitle.GetName] ist sinnlos. Vielleicht waren die früheren Machthaber an so etwas interessiert, aber da Ihr kein Bogomilist seid, werdet Ihr sicher nicht daran beteiligt sein.;;;x
EVTDESC_Plus_2113_rule;While you would gladly continue the process of reforming the Bogomilist faith, you no longer have the influence to do so.;;Ihr würdet den Prozess der Reform des bogomilistischen Glaubens zwar gerne fortsetzen, aber Ihr habt nicht mehr den Einfluss dazu.;;;x
EVTDESC_Plus_2114;[Root.GetTitledName]'s tireless efforts to promote the transition of the Bogomilist faith from a disorganized movement into a structured religion have been rewarded after a recent meeting of Perfecti in [Root.Capital.GetName]. They finally agreed to a common liturgy, so that ceremonies performed across [Root.PrimaryTitle.GetName] use a common set of prayers and rituals, and that this will be taught to new Perfecti going forward.;;Die unermüdlichen Bemühungen von [Root.GetTitledName], den Übergang des bogomilistischen Glaubens von einer unorganisierten Bewegung zu einer strukturierten Religion zu fördern, wurden nach einem kürzlichen Treffen der Perfecti in [Root.Capital.GetName] belohnt. Sie einigten sich schließlich auf eine gemeinsame Liturgie, so dass Zeremonien, die in [Root.PrimaryTitle.GetName] durchgeführt werden, eine gemeinsame Reihe von Gebeten und Ritualen verwenden, und dass diese neuen Perfecti in Zukunft gelehrt werden sollen.;;;x
EVTDESC_Plus_2115;Up until now, Bogomilist priests have all used different letters and gospels in their preaching, a result of the scattered and disparate beginnings of the faith. At the behest of [Root.GetTitledName], the '[Root.GetOnlyDynastyName] Bible' has been written and agred upon as canon by a council of Perfecti in [Root.Capital.GetName].;;Bislang haben die bogomilistischen Priester in ihren Predigten unterschiedliche Briefe und Evangelien verwendet, was auf die verstreuten und uneinheitlichen Anfänge des Glaubens zurückzuführen ist. Auf Geheiß von [Root.GetTitledName] wurde die '[Root.GetOnlyDynastyName]-Bibel' geschrieben und von einem Konzil der Perfecti in [Root.Capital.GetName] zum Kanon erklärt.;;;x
EVTDESC_Plus_2116;In order to continue the process of formalizing the Bogomilist faith, the scattered preachers and Perfecti will need to be gathered together in councils. They resist such efforts an organization, however, and the only way to see it done will be with coin -- for the poor, for shrines, for bribes, and for God.;;Um den Prozess der Formalisierung des bogomilistischen Glaubens fortzusetzen, müssen die verstreuten Prediger und Perfecti in Konzilen zusammengeführt werden. Sie sträuben sich jedoch gegen eine solche Organisation, und der einzige Weg, dies zu erreichen, ist der Einsatz von Münzen - für die Armen, für Schreine, für Bestechungsgelder und für Gott.;;;x
EVTOPTA_Plus_2116;If that is what it takes, so be it;;Wenn das nötig ist, dann soll es so sein.;;;x
EVTOPTB_Plus_2116;I will not bribe my faith into reform;;Ich werde meinen Glauben nicht durch Bestechung zur Reform bringen.;;;x
EVTDESC_Plus_2117;[Root.GetTitledFirstNameNoRegnal]'s tireless efforts to promote the transition of the Bogomilist faith from a disorganized movement into a structured religion have been rewarded after an unprecedented agreement from Bogomilist leaders across [Root.PrimaryTitle.GetName] to gather in permanent councils sponsored by the [Root.PrimaryTitle.GetRulerTitle].;;Die unermüdlichen Bemühungen von [Root.GetTitledFirstNameNoRegnal], den Übergang des bogomilistischen Glaubens von einer unorganisierten Bewegung zu einer strukturierten Religion voranzutreiben, wurden belohnt, nachdem sich die Führer der Bogomilisten in ganz [Root.PrimaryTitle.GetName] darauf geeinigt hatten, sich in ständigen Räten zu versammeln, die vom [Root.PrimaryTitle.GetRulerTitle] gefördert werden.;;;x
EVTOPTA_Plus_2117;A good day for all Bogomilists;;Ein guter Tag für alle Bogomilisten;;;x
EVTDESC_Plus_2118;A Bogomilist Perfecti has approached you with an idea for continuing your efforts to formalize your faith: the construction of several seminary schools across [Root.PrimaryTitle.GetName], each teaching a common and unified version of Bogomilism dogma to future preachers. It would be expensive, but the Perfecti says it would be a worthy achievement.;;Ein Bogomilisten-Perfecti ist mit einer Idee an Euch herangetreten, wie Ihr Eure Bemühungen um die Formalisierung Eures Glaubens fortsetzen könnt: der Bau mehrerer Seminarschulen in [Root.PrimaryTitle.GetName], von denen jede eine gemeinsame und einheitliche Version des Bogomilismus-Dogmas für zukünftige Prediger lehrt. Das wäre zwar teuer, aber der Perfecti sagt, es wäre eine lohnende Sache.;;;x
EVTOPTA_Plus_2118;An excellent idea;;Eine ausgezeichnete Idee;;;x
EVTOPTB_Plus_2118;Not right now;;Nicht jetzt;;;x
EVTDESC_Plus_2119;[Root.GetTitledFirstNameNoRegnal]'s tireless efforts to promote the transition of the Bogomilist faith from a disorganized movement into a structured religion have advanced, with the construction of numerous seminary schools across [Root.PrimaryTitle.GetName] that would each train new priests in a standardized form of dogma.;;Die unermüdlichen Bemühungen von [Root.GetTitledFirstNameNoRegnal], den Übergang des bogomilistischen Glaubens von einer unorganisierten Bewegung zu einer strukturierten Religion zu fördern, sind mit dem Bau zahlreicher Seminarschulen in ganz [Root.PrimaryTitle.GetName] vorangekommen, die jeweils neue Priester in einer standardisierten Form des Dogmas ausbilden würden.;;;x
EVTDESC_Plus_2120;[Root.GetTitledFirstNameNoRegnal]'s tireless efforts to promote the transition of the Bogomilist faith from a disorganized movement into a structured religion have been rewarded today after a prominent Perfecti in [Root.PrimaryTitle.GetName] issued a proclamation of support. The [Root.PrimaryTitle.GetRulerTitle] is a [Root.GetManWoman] of piety and faith, he says, and thus [Root.GetHerHis] desires should be heeded.;;Die unermüdlichen Bemühungen von [Root.GetTitledFirstNameNoRegnal], den Übergang des bogomilistischen Glaubens von einer unorganisierten Bewegung zu einer strukturierten Religion zu fördern, wurden heute belohnt, nachdem ein prominenter Perfecti in [Root.PrimaryTitle.GetName] eine Unterstützungserklärung abgegeben hat. Die [Root.PrimaryTitle.GetRulerTitle] ist eine [Root.GetManWoman] der Frömmigkeit und des Glaubens, sagt er, und daher sollten die Wünsche von [Root.GetHerHis] beherzigt werden.;;;x
EVTDESC_Plus_2121;[Root.GetTitledFirstNameNoRegnal]'s tireless efforts to promote the transition of the Bogomilist faith from a disorganized movement into a structured religion have advanced after the [Root.PrimaryTitle.GetRulerTitle] gave a speech in [Root.Capital.GetName] that has been widely-disseminated and complimented by pious scholars.;;Die unermüdlichen Bemühungen von [Root.GetTitledFirstNameNoRegnal], den Übergang des bogomilistischen Glaubens von einer unorganisierten Bewegung zu einer strukturierten Religion zu fördern, haben Fortschritte gemacht, nachdem der [Root.PrimaryTitle.GetRulerTitle] in [Root.Capital.GetName] eine Rede gehalten hat, die weit verbreitet und von frommen Gelehrten gelobt wurde.;;;x
EVTDESC_Plus_2122;A recent treatise written by [Root.GetTitledName] [Root.GetHerHim]self on the vital importance of Bogomilism's continued reforms has spread far and wide across [Root.PrimaryTitle.GetName], and received a lot of recognition from the faithful as being full of wisdom. Indeed, some are viewing the text as a new addition to Bogomilist canon.;;Eine kürzlich von [Root.GetTitledName] [Root.GetHerHim] selbst verfasste Abhandlung über die lebenswichtige Bedeutung der fortgesetzten Reformen des Bogomilismus hat sich weit und breit in [Root.PrimaryTitle.GetName] verbreitet und wurde von den Gläubigen als voller Weisheit anerkannt. Einige betrachten den Text sogar als eine neue Ergänzung des bogomilistischen Kanons.;;;x
EVTDESC_Plus_2123;Recently, a new sect of Bogomilist has been spreading in [Root.PrimaryTitle.GetName], one that advocates a radically different version of the faith. Normally this would not be an issue, as the sect is not popular, but it has proven disruptive to your efforts to formalize Bogomilism, as their presence has prompted other sects to follow suit.;;In letzter Zeit hat sich in [Root.PrimaryTitle.GetName] eine neue Sekte der Bogomilisten verbreitet, die eine radikal andere Version des Glaubens vertritt. Normalerweise wäre dies kein Problem, da die Sekte nicht populär ist, aber sie hat sich als störend für Eure Bemühungen erwiesen, den Bogomilismus zu formalisieren, da ihre Präsenz andere Sekten dazu veranlasst hat, ihrem Beispiel zu folgen.;;;x
EVTOPTA_Plus_2123;Leave them be;;Lasst sie in Ruhe;;;x
EVTOPTB_Plus_2123;Quietly get rid of them;;Werden Sie sie leise los;;;x
EVTDESC_Plus_2124;A recent revival of Bogomilist traditionalism has taken hold in [PrimaryTitle.GetName], with numerous preachers cropping up who actively deride your efforts to reform the faith as being exactly the same sort of tyrannical structure they rebelled against in the first place. Needless to say, this has not been helpful.;;In [PrimaryTitle.GetName] ist in jüngster Zeit ein Wiederaufleben des bogomilistischen Traditionalismus zu beobachten, wobei zahlreiche Prediger aufgetaucht sind, die Eure Bemühungen um eine Reform des Glaubens als genau dieselbe Art von tyrannischer Struktur verhöhnen, gegen die sie ursprünglich rebellierten. Unnötig zu sagen, dass dies nicht gerade hilfreich war.;;;x
EVTDESC_Plus_2125;A prominent Perfecti in [demand_province.GetName] has publicly begged that you slow down, if not outright stop, the process of Bogomilist reform. The common folk are confused by these contradictions, he says, and continuing down this path too quickly will only bring down God's wrath. The Perfecti is too popular to be silenced, as doing so would turn him into a martyr for his cause.;;Ein prominenter Perfecti in [demand_province.GetName] hat öffentlich darum gebettelt, dass Ihr den Prozess der bogomilistischen Reform verlangsamt, wenn nicht sogar ganz stoppt. Das gemeine Volk ist durch diese Widersprüche verwirrt, sagt er, und wenn man diesen Weg zu schnell weitergeht, wird das nur den Zorn Gottes auf sich ziehen. Der Perfecti ist zu populär, um zum Schweigen gebracht zu werden, denn das würde ihn zu einem Märtyrer für seine Sache machen.;;;x
EVTOPTA_Plus_2125;Do as he asks, for now;;Tu, was er verlangt, fürs Erste;;;x
EVTOPTB_Plus_2125;Ignore him;;Ignoriere ihn;;;x
EVTDESC_Plus_2126;A set of crop failures and other disasters that has fallen one of your provinces in recent months has stirred the ire of several fiery preaches in the area. They say that you are to blame, that your desire for reforms and general lack of piety is what has brought down God's wrath upon the people of [Root.PrimaryTitle.GetName]. Sadly, their words have taken hold amongst many.;;Eine Reihe von Missernten und anderen Katastrophen, die in den letzten Monaten eine eurer Provinzen heimgesucht haben, hat den Zorn einiger feuriger Prediger in der Region auf sich gezogen. Sie sagen, dass Ihr daran schuld seid, dass Euer Wunsch nach Reformen und Euer allgemeiner Mangel an Frömmigkeit Gottes Zorn über das Volk von [Root.PrimaryTitle.GetName] gebracht hat. Traurigerweise haben ihre Worte bei vielen Anklang gefunden.;;;x
EVTDESC_Plus_2127;A prominent Perfecti has recently taken issue with your desire to reform the Bogomilist faith, pointing out a number of flaws in your argument without ever actually saying outright that your intention is solely to grab power and force the faithful into compliance. To her, you are not a learned enough [Root.GetManWoman] to push such things forward, and there is no convincing her otherwise.;;Eine prominente Perfecti hat sich kürzlich mit Eurem Wunsch, den bogomilistischen Glauben zu reformieren, auseinandergesetzt und auf eine Reihe von Schwachstellen in Eurer Argumentation hingewiesen, ohne jemals offen zu sagen, dass es Euch nur darum geht, die Macht zu ergreifen und die Gläubigen zum Gehorsam zu zwingen. In ihren Augen seid Ihr nicht erfahren genug, um solche Dinge voranzutreiben, und sie lässt sich nicht vom Gegenteil überzeugen.;;;x
EVTDESC_Plus_2128;[Root.GetTitledName]'s recent victory against [From.GetTitledName] in [Root.Location.GetName] has been hailed as a major victory for Bogomilism, and has spread the notion that perhaps the continuing reforms of the faith have God's favor after all.;;Der jüngste Sieg von [Root.GetTitledName] gegen [From.GetTitledName] in [Root.Location.GetName] wurde als großer Sieg für den Bogomilismus gefeiert und hat die Vorstellung verbreitet, dass die fortlaufenden Reformen des Glaubens vielleicht doch Gottes Gunst haben.;;;x
EVTDESC_Plus_2129;[Root.GetTitledName]'s recent staggering loss against [From.GetTitledName] in [Root.Location.GetName] has been hailed as a sign that the ongoing reforms of the Bogomilist faith do not have God's favor after all.;;Die jüngste Niederlage von [Root.GetTitledName] gegen [From.GetTitledName] in [Root.Location.GetName] wurde als Zeichen dafür gewertet, dass die laufenden Reformen des bogomilistischen Glaubens vielleicht doch nicht in Gottes Gunst stehen.;;;x
EVTNAME_Plus_2130;Bogomilist Faith Organized;;Der bogomilistische Glaube ist organisiert;;;x
EVTDESC_Plus_2130;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- this has all changed with the leadership of [Root.GetTitledName], whose piety and status as a Perfecti has encouraged all members of [Root.GetHerHis] faith to reconsider their resistance to feudal structures. Bogomilists across the world are now more formally organized, though many still do not consider them a true religion, and they remain opposed to any kind of formal church that emulates the Orthodox priesthood. Even so, there are many that object to even these changes, saying that Bogomilism has betrayed its own roots at a powerful [Root.GetLordLady]'s behest.;;In seinen Anfängen war der bogomilistische Glaube nur lose organisiert. Er glaubte nicht an formale Kirchen und lehnte jede Art von formaler Hierarchie ab - dies hat sich mit der Führung von [Root.GetTitledName] geändert, dessen Frömmigkeit und Status als Perfecti alle Mitglieder des [Root.GetHerHis] Glaubens ermutigt hat, ihren Widerstand gegen feudale Strukturen zu überdenken. Die Bogomilisten auf der ganzen Welt sind nun förmlicher organisiert, auch wenn viele sie immer noch nicht als wahre Religion betrachten, und sie lehnen nach wie vor jede Art von formeller Kirche ab, die der orthodoxen Priesterschaft nachempfunden ist. Dennoch gibt es viele, die selbst diese Veränderungen ablehnen und behaupten, dass der Bogomilismus auf Geheiß einer mächtigen [Root.GetLordLady] seine eigenen Wurzeln verraten hat.;;;x
EVTOPTA_Plus_2130;A better day for us all;;Ein besserer Tag für uns alle;;;x
EVTNAME_Plus_2131;Bogomilist Faith Formalized;;Der bogomilistische Glaube wird formalisiert;;;x
EVTDESC_Plus_2131;Though the faithful were hardly ready for it, Bogomilism has now been formalized as a structured religion thanks to the leadership of [Root.GetTitledName]. While many see [Root.GetHerHis] leadership and piety as being worthwhile to follow, there are many who claim [Root.GetSheHe] has dragged the faith too fast into something which too much resembles the very kind of tyrannical structures they once abandoned. Preachers throughout [Root.PrimaryTitle.GetName] are questioning how far this will go, and whether the [Root.PrimaryTitle.GetRulerTitle] has not perhaps betrayed Bogomilism's principles for the sake of power. Whatever the case, Bogomilist priests are now unified under a common liturgy, a single sacred text, and operate out of temples -- far more than the disparate heretics from where they sprang.;;Obwohl die Gläubigen kaum darauf vorbereitet waren, ist der Bogomilismus dank der Führung von [Root.GetTitledName] nun als strukturierte Religion formalisiert worden. Während viele der Meinung sind, dass es sich lohnt, [Root.GetHerHis] Führung und Frömmigkeit zu folgen, gibt es viele, die behaupten, dass [Root.GetSheHe] den Glauben zu schnell in etwas hineingezogen hat, das zu sehr den tyrannischen Strukturen ähnelt, die sie einst aufgegeben haben. Prediger in ganz [Root.PrimaryTitle.GetName] fragen sich, wie weit dies gehen wird und ob der [Root.PrimaryTitle.GetRulerTitle] nicht vielleicht die Prinzipien des Bogomilismus um der Macht willen verraten hat. Wie dem auch sei, die Priester des Bogomilismus sind jetzt unter einer gemeinsamen Liturgie und einem einzigen heiligen Text vereint und operieren von Tempeln aus - weit mehr als die ungleichen Ketzer, aus denen sie hervorgegangen sind.;;;x
EVTOPTA_Plus_2131;This is how it must be;;So muss es sein;;;x
EVTOPTB_Plus_2131;Are we truly ready for this?;;Sind wir wirklich bereit dafür?;;;x
EVTDESC_Plus_2132;After a long and arduous process of reform, the Bogomilist faith can now truly be considered a formal religion. Under the considered leadership and piety of [Root.GetTitledName], Bogomilist priests are now unified under a common liturgy, a single sacred text, and operate out of temples -- far more than the disparate heretics from where they sprang. While some question whether these reforms betray the principles upon which Bogomilism was founded, far more say they were agreed to by all and with due consideration. The faith is now ready to come into its own.;;Nach einem langen und mühsamen Reformprozess kann der bogomilistische Glaube nun wirklich als offizielle Religion betrachtet werden. Unter der umsichtigen Führung und Frömmigkeit von [Root.GetTitledName] sind die bogomilistischen Priester nun unter einer gemeinsamen Liturgie und einem einzigen heiligen Text vereint und arbeiten von Tempeln aus - weit mehr als die ungleichen Ketzer, aus denen sie hervorgegangen sind. Während einige bezweifeln, dass diese Reformen die Prinzipien verraten, auf denen der Bogomilismus gegründet wurde, sagen weitaus mehr, dass sie von allen und mit gebührender Rücksichtnahme vereinbart wurden. Der Glaube ist nun bereit, zu seinem Recht zu kommen.;;;x
EVTTITLE_Plus_2134;The Bogomilist Patriarchy;;Das bogomilistische Patriarchat;;;x
EVTDESC_Plus_2134;At the behest of [Root.GetTitledName], [new_bogomilist_patriarch.GetTitledName] has been elected as the head of the newly-founded Bogomilist Church, Bogomilism having completely transformed itself from an Orthodox heresy into a fully-formed religion in its own right. Christian leaders elsewhere have been forced to recognize this new faith as a force in its own right, and its inception as a schism from standard Christianity rather than a true heresy.;;Auf Geheiß von [Root.GetTitledName] wurde [new_bogomilist_patriarch.GetTitledName] zum Oberhaupt der neu gegründeten bogomilistischen Kirche gewählt, nachdem sich der Bogomilismus von einer orthodoxen Häresie zu einer vollwertigen Religion entwickelt hat. Christliche Führer in anderen Teilen der Welt waren gezwungen, diesen neuen Glauben als eigenständige Kraft anzuerkennen und seine Gründung als eine Abspaltung vom Standardchristentum und nicht als echte Häresie zu betrachten.;;;x
EVTOPTA_Plus_2134;It appears we must accept this now;;Es scheint, dass wir dies jetzt akzeptieren müssen;;;x
EVTOPTB_Plus_2134;Heretics or not, they are still Christians;;Ketzer oder nicht, sie sind immer noch Christen;;;x
