#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
abandon_adventure;Abandon Adventure;;Abenteuer aufgeben;;;x
ai_divorce_desc;AI Divorce;;KI-Scheidung;;;x
ai_estates_income_desc;Estates Income;;Grundstücke Einkommen;;;x
ai_faction_maintenance_desc;Faction Maintenance;;Fraktionsunterhalt;;;x
ai_form_denmark;Form Denmark;;Bildung Dänemark;;;x
ai_form_england;Form England;;Bildung England;;;x
ai_form_ireland;Form Ireland;;Bildung Irland;;;x
ai_form_norway;Form Norway;;Bildung Norwegen;;;x
ai_form_sweden;Form Sweden;;Bildung Schweden;;;x
ai_form_denmark_desc;Form Denmark;;Bildung Dänemark;;;x
ai_form_england_desc;Form England;;Bildung England;;;x
ai_form_ireland_desc;Form Ireland;;Bildung Irland;;;x
ai_form_norway_desc;Form Norway;;Bildung Norwegen;;;x
ai_form_sweden_desc;Form Sweden;;Bildung Schweden;;;x
ai_maintenance;Maintenance;;Wartung;;;x
ai_monk_title_gain;Monk Title;;Mönch-Titel;;;x
ai_monk_title_lose;Remove Monk Title;;Mönchstitel entfernen;;;x
ai_monk_title_gain_desc;Monk Title;;Mönch-Titel;;;x
ai_monk_title_lose_desc;Remove Monk Title;;Mönch-Titel entfernen;;;x
ai_desert_father_title_lose;Remove Desert Father Title;;Wüstenvater-Titel entfernen;;;x
ai_desert_father_title_lose_desc;Remove Desert Father Title;;Wüstenvater Titel entfernen;;;x
ai_repay_loan;Repay Loan;;Darlehen zurückzahlen;;;x
ai_maintenance_desc;Maintenance;;Wartung;;;x
ai_repay_loan_desc;Repay Loan;;Darlehen zurückzahlen;;;x
ai_request_holy_war;Request Holy Sanction;;Heilige Sanktion beantragen;;;x
ai_request_holy_war_desc;Request Holy Sanction;;Heilige Sanktion beantragen;;;x
ai_take_loan;Take a Loan;Prendre un emprunt;Ein Darlehen aufnehmen;;;x
ai_take_loan_desc;Take a five-year loan at 25% interest;Contractez un emprunt sur cinq ans à un taux d'intérêt de 25%.;Nehmen Sie ein fünfjähriges Darlehen zu 25 % Zinsen auf;;Coge un préstamo de cinco años al 25% de interés;x
assign_bard_desc;Assign Bard;;Barde zuweisen;;;x
assign_druid_desc;Assign Druid;;Druide zuweisen;;;x
attempt_conversion;Attempt Conversion;;Bekehrung versuchen;;;x
attempt_conversion_desc;Attempt Conversion;;Versuch der Konvertierung;;;x
austro_hungarian_empire;Austrian Empire;Empire Austro-Hongrois;Österreichisches Reich;;Imperio Austro-Húngaro;x
austro_hungarian_empire_desc;This decision will give you the Austrian title.;Cette décision vous donnera le titre austro-hongrois.;Diese Entscheidung verleiht dir den österreichischen Titel.;;Esta decisión le dará el título Austro-Húngaro.;x
banish_takfir;Banish Takfir;;Takfir verbannen;;;x
banish_takfir_desc;While §Y[Root.GetBestName]§! is not a true member of your court, as a member of your dynasty and a Takfir you may still banish him from your realm. [Root.GetSheHeCap] will be forced to flee [From.PrimaryTitle.GetName] completely.;;Obwohl §Y[Root.GetBestName]§! kein echtes Mitglied Eures Hofes ist, könnt Ihr ihn als Mitglied Eurer Dynastie und Takfir dennoch aus Eurem Reich verbannen. [Root.GetSheHeCap] wird gezwungen sein, [From.PrimaryTitle.GetName] vollständig zu verlassen.;;;x
become_nomad;Become Nomad;;Nomade werden;;;x
become_nomad_desc;Become Nomad;;Nomade werden;;;x
become_king_of_poland_boleslaw;Create the Kingdom of Poland;Créer le Royaume de Pologne;Erschaffe das Königreich Polen;;;x
become_king_of_poland_boleslaw_desc;From Carpathia to Pommerania, from Bohemia to Prussia...the Polish realm is one of the greatest states of this century and it would be more than appropriate for others to treat us with respect you deserve.;Des Carpathes la Pomméranie, de la Bohème la Prusse... le royaume polonais est un des plus grands royaumes de ce siècle et il seroit plus qu'approprié que les aultres vous traitent avec le respect que vous méritez.;Von Karpaten bis Pommern, von Böhmen bis Preußen... das polnische Reich ist einer der größten Staaten dieses Jahrhunderts und es wäre mehr als angemessen, wenn andere uns mit dem Respekt behandeln würden, den wir verdienen.;;;x
become_merchant_republic;Become Merchant Republic;;Handelsrepublik werden;;;x
become_merchant_republic_desc;Become Merchant Republic;;Werden Sie Handelsrepublik;;;x
become_messalian_patriarch;Become Messalian Patriarch;;Werden Sie messalischer Patriarch;;;x
become_messalian_patriarch_desc;Become Messalian Patriarch;;Werden Sie messalischer Patriarch;;;x
become_paulician_patriarch;Become Paulician Patriarch;;Werden Sie Paulikischer Patriarch;;;x
become_paulician_patriarch_desc;Only one who possesses sufficient prestige and piety can declare themselves leader of all Paulician faithful, and that one will lead them against the rest of the heathens in this world.;;Nur jemand, der genügend Ansehen und Frömmigkeit besitzt, kann sich zum Anführer aller paulicianischen Gläubigen erklären, und dieser wird sie gegen den Rest der Heiden in dieser Welt anführen.;;;x
begin_formalize_bogomilist_church;Begin Formalization of the Bogomilist Faith;;Beginn der Formalisierung des bogomilistischen Glaubens;;;x
begin_formalize_bogomilist_church_desc;The formalization of the Bogomilist faith into a structured organization supported by the state will take a great deal of work. It can be done slowly over time, or more quickly provided you have both the respect and piety. Either way, there are likely to be repercussions from those of the faithful who resist such changes.;;Die Formalisierung des bogomilistischen Glaubens in eine strukturierte, vom Staat unterstützte Organisation wird viel Arbeit erfordern. Das kann langsam geschehen, aber auch schneller, wenn man den nötigen Respekt und die nötige Frömmigkeit besitzt. In jedem Fall werden diejenigen unter den Gläubigen, die sich solchen Veränderungen widersetzen, mit Konsequenzen zu rechnen haben.;;;x
blackmail_plotter;Blackmail Plotter;;Erpresser-Plotter;;;x
blackmail_plotter_desc;Attempt to blackmail §Y[This.GetTitledName]§!, lest you reveal [This.GetHerHis] fiendish plot to the world.;;Versuche, §Y[This.GetTitledName]§! zu erpressen, damit du [This.GetHerHis] teuflischen Plan nicht aufdeckst.;;;x
extend_claims_boleslaw;Continue the Expansion;Continuer l'Expansion;Fortsetzung der Expansion;;;x
extend_claims_boleslaw_desc;We have conquered the March of Moravia and now we should concentrate on extending our control of the region.;Nous avons conquis la Marche de Moravie et nous devrions présent nous concentrer sur l'amélioration de notre controsle sur la contrée.;Wir haben die March von Mähren erobert und sollten uns nun darauf konzentrieren, unsere Kontrolle über die Region auszuweiten.;;;x
become_braedralag;Found the Bræðralag;Fonder le Bræðralag;Den Bræðralag gefunden;;;x
become_braedralag_desc;Found the Bræðralag;Fonder le Bræðralag;Entdeckt den Bræðralag;;;x
bogomilist_quit_theocracy;Quit Theocracy;;Theokratie aufgeben;;;x
bogomilist_quit_theocracy_desc;Quit Theocracy;;Theokratie aufgeben;;;x
bogomilist_join_theocracy;Join Theocracy;;Theokratie beitreten;;;x
bogomilist_join_theocracy_desc;Join Theocracy;;Theokratie beitreten;;;x
boost_moral_authority;Boost Moral Authority;;Moralische Autorität stärken;;;x
borrow_money_ansar;Borrow 300¤ from the Ansar;Prendre un emprunt 300¤ aulx Bektachis;Leihe dir 300 Gold von den Ansar;;Pedir 300 de oro prestados a los Ansar;x
borrow_money_ansar_desc;I can borrow money from the Ansar and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;Je puis emprunter de l'argent aulx Bektachis et rembourser la mesme somme quand bon me semble. Cependant, tant que cette dette existe, le Grand Maistre peut formuler diverses requestes, par exemple demander qu'un de mes fils rejoigne leurs rangs.;Ich kann mir von den Ansar Geld leihen und die gleiche Summe jederzeit zurückzahlen. Solange ich in ihrer Schuld stehe, kann der Großmeister jedoch verschiedene Wünsche äußern, z. B. dass einer meiner Söhne in ihre Reihen aufgenommen wird.;;Puedo pedir un préstamo a los Ansar y devolverles la misma suma en cualquier momento. Sin embargo, mientras esté en deuda con ellos, el Gran Maestre podrá hacer distintas peticiones, como que uno de mis hijos se una a sus filas.;x
bring_children_to_court;Summon Children to Court;Convoquer les enfants la cour;Kinder an den Hof berufen;;;x
bring_children_to_court_desc;Some of your children are subjects of a foreign court. Bring them home to [Root.PrimaryTitle.GetName].;Certains de vos enfants sont sujets d'une cour étrangère. Ramenez-les chez eulx [Root.PrimaryTitle.GetName].;Einige Eurer Kinder sind Untertanen eines fremden Hofes. Bringt sie nach Hause zu [Root.PrimaryTitle.GetName].;;;x
bring_out_of_hiding;Call Family out of Hiding;Appeler votre Famille sortir de leur Cachette;Familie aus dem Versteck holen;;;x
bring_out_of_hiding_desc;Removes Hidden, Stalwart, or Left At Siege from any of your dynasty or spouses at your location.;Enlève Caché, Féal Partisan, ou Laissé au Siège de n'importe quel membre de votre dynastie ou votre conjointe votre emplacement.;Entfernt "Versteckt", "Unerschütterlich" oder "Bei Belagerung zurückgelassen" von allen Mitgliedern deiner Dynastie oder Ehepartnern an deinem Standort.;;;x
build_third_temple_desc;The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that holy Jerusalem is under Jewish control, perhaps the time has come to begin the construction of a Third Temple and restore the high priesthood to its former glory.;The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that holy Jerusalem is under Jewish control, perhaps the time has come to begin the construction of a Third Temple and restore the high priesthood to its former glory.;Das Amt des Kohen Gadol - des Hohepriesters des Judentums - ist seit der Zerstörung des Zweiten Tempels durch die Römer unbesetzt. Jetzt, da das heilige Jerusalem unter jüdischer Kontrolle ist, ist vielleicht die Zeit gekommen, mit dem Bau eines Dritten Tempels zu beginnen und das Hohepriestertum wieder zu seinem früheren Ruhm zu führen.;;;x
byz_suppress_paulicians;Suppress the Paulicians;;Unterdrückung der Paulizianer;;;x
byz_suppress_paulicians_desc;The Paulicians are becoming too much of a problem in the Empire. It is time to deal with them once and for all.;;Die Paulizianer werden zu einem großen Problem im Reich. Es ist an der Zeit, ein für alle Mal mit ihnen fertig zu werden.;;;x
cadet_status;Add Cadet Status;;Kadettenstatus hinzufügen;;;x
cadet_status_desc;Add Cadet Status;;Kadettenstatus hinzufügen;;;x
call_up_republic;Defend the Republic;;Die Republik verteidigen;;;x
call_up_republic_desc;A small merchant republic has one advantage against outside attackers: the patrician families can be summoned to the republic's defense, providing more than their minimum levies to their liege.;;Eine kleine Handelsrepublik hat einen Vorteil gegen Angreifer von außen: Die Patrizierfamilien können zur Verteidigung der Republik herangezogen werden und ihrem Lehnsherrn mehr als ihre Mindestabgaben zur Verfügung stellen.;;;x
capture_desc;§Y$CLAIMANT$§! can attempt to capture all malicious plotters in the realm of §Y$TARGET$§!.;§Y$CLAIMANT$§! Peut tenter de capturer tous les comploteurs malveillants dans le Royaume de §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, alle böswilligen Verschwörer im Reich von §Y$TARGET$§! gefangen zu nehmen.;;;x
cathar_adoption;Adopt an Heir;;Einen Erben adoptieren;;;x
cathar_adoption_desc;For many of the [Root.Religion.GetName] faith, heirs cannot be acquired in the normal fashion. Thus it is quite acceptable for a ruler to adopt an orphaned [Root.Religion.GetName] child and raise it as their own-an act of generosity, if you will, towards someone who in any other circumstance would have few chances at a meaningful life.;;Für viele der [Root.Religion.GetName]-Glaubensrichtungen können Erben nicht auf dem normalen Weg erworben werden. Daher ist es für einen Herrscher durchaus akzeptabel, ein verwaistes [Root.Religion.GetName]-Kind zu adoptieren und es wie sein eigenes aufzuziehen - ein Akt der Großzügigkeit, wenn man so will, gegenüber jemandem, der unter anderen Umständen kaum Chancen auf ein sinnvolles Leben hätte.;;;x
cathar_consolamentum;Consolamentum;;Consolamentum;;Consolamentum;x
cathar_consolamentum_desc;The only sacrament of the [Root.Religion.GetName] faith, the Consolamentum represented a purification of the faithful from sins gained throughout their life. Once the ritual baptism had occurred, the faithful [Root.Religion.GetName] would be considered 'Perfect' and be expected to live a life of celibacy -- as well as to spread the [Root.Religion.GetName] faith further. Most did not receive Consolamentum until their deathbeds, but the zealous would take the sacrament much earlier.;;Als einziges Sakrament des [Root.Religion.GetName]-Glaubens stellt das Consolamentum eine Reinigung der Gläubigen von den im Laufe ihres Lebens begangenen Sünden dar. Nach der rituellen Taufe galten die Gläubigen als "vollkommen" und es wurde von ihnen erwartet, dass sie ein zölibatäres Leben führten - und den Glauben weiter verbreiteten. Die meisten empfingen das Consolamentum erst auf dem Sterbebett, aber die Eifrigen empfingen das Sakrament schon viel früher.;;;x
chalcedonian_constantinople_held;Constantinople Held;;Konstantinopel gehalten;;;x
chalcedonian_constantinople_held_desc;Constantinople Held;;Konstantinopel Gehalten;;;x
chalcedonian_rome_held;Rome Held;;Rom Gehalten;;;x
chalcedonian_rome_held_desc;Rome Held;;Rom Gehalten;;;x
check_notable_persons;Check Friends and Rivals;Voir Amis et RivaulxFreunde und Rivalen prüfen;;;;x
check_notable_persons_desc;Show your friends and rivals, if you have them.;Montre vos amis et vos rivaulx, si vous en avez.;Zeigen Sie Ihre Freunde und Rivalen, wenn Sie welche haben.;;;x
check_people_tooltip;Friends, Rivals, and Lover.;Amis, Rivaulx et Amant(e).;Freunde, Rivalen und Liebhaber.;;;x
church_of_st_bogomil;Build the Church of St. Bogomil;;Baue die Kirche des Heiligen Bogomil;;;x
church_of_st_bogomil_desc;Surely a faith which has come as far as Bogomilism deserves a church to rival those of St. Peter's Basilica and the Hagia Sophia?;;Ein Glaube, der es so weit gebracht hat wie der Bogomilismus, verdient doch sicher eine Kirche, die es mit dem Petersdom und der Hagia Sophia aufnehmen kann?;;;x
claim_caliphate;Claim the [Root.Religion.GetName] Caliphate;;Das [Root.Religion.GetName] Kalifat beanspruchen;;;x
claim_caliphate_desc;It is clear that [Root.RelHead.GetTitledName] has fallen into the ways of decadence and corruption, and the rest of the [Root.RelHead.GetOnlyDynastyName] dynasty is no better. What the [Root.Religion.GetName] Caliphate requires is a new leader, one who knows the true path to [Root.Religion.GetHighGodName].;;Es ist klar, dass [Root.RelHead.GetTitledName] der Dekadenz und Korruption verfallen ist, und der Rest der [Root.RelHead.GetOnlyDynastyName]-Dynastie ist nicht besser. Das [Root.Religion.GetName]-Kalifat braucht einen neuen Anführer, einen, der den wahren Weg zu [Root.Religion.GetHighGodName] kennt.;;;x
claim_finnmark;Claim Finnmárku for Norway;;Finnmárku für Norwegen beanspruchen;;;x
claim_finnmark_desc;The tribal lands of Finnmárku should rightfully be under the de jure rule of the Norwegian crown.;;Die Stammesgebiete von Finnmárku sollten rechtmäßig unter der Herrschaft der norwegischen Krone stehen.;;;x
claim_high_king;Claim Irish Throne;;Anspruch auf den irischen Thron;;;x
claim_high_king_desc;The Irish throne is traditionally held by an Irish high king who can prove dominance over the other kings of Ireland. Perhaps the time has come to stake your claim and prove that you are that man.;;Der irische Thron wird traditionell von einem irischen Hochkönig gehalten, der seine Dominanz über die anderen Könige Irlands beweisen kann. Vielleicht ist die Zeit gekommen, Ihren Anspruch zu erheben und zu beweisen, dass Sie dieser Mann sind.;;;x
claim_imamah;Claim Imamah Title;;Anspruch auf den Imamah-Titel;;;x
claim_imamah_desc;The descendants of Fatimah, daughter of Muhammad, hold a special place amongst those of the Shi'ite faith -- the head of the dynasty is considered the Imamah, and primary claimant to the Imamah title. With no clear Imamah currently existing, it falls on the head of the Fatimid dynasty to step forward and assume the responsibility.;;Die Nachkommen von Fatimah, der Tochter Muhammads, nehmen unter den Schiiten eine besondere Stellung ein: Das Oberhaupt der Dynastie gilt als Imamah und als Hauptanwärter auf den Imamah-Titel. Da es derzeit keinen eindeutigen Imamah gibt, obliegt es dem Oberhaupt der Fatimidendynastie, vorzutreten und die Verantwortung zu übernehmen.;;;x
claim_kola;Claim Pohjanmaa for Finland;;Anspruch auf Pohjanmaa für Finnland;;;x
claim_kola_desc;The tribal lands of Pohjanmaa should rightfully be under the de jure rule of the Finnish crown.;;Die Stammesgebiete von Pohjanmaa sollten rechtmäßig unter der Herrschaft der finnischen Krone stehen.;;;x
claim_sami;Claim Lappland for Sweden;;Lappland für Schweden beanspruchen;;;x
claim_sami_desc;The tribal Sami lands in the north should rightfully be under the de jure rule of the Swedish crown.;;Die samischen Stammesgebiete im Norden sollten rechtmäßig der schwedischen Krone unterstellt werden.;;;x
claim_the_imperial_throne;Claim the Imperial Throne;Revendiquer le trône impérial;Beanspruche den Kaiserthron;;;x
claim_the_imperial_throne_desc;For too long has the Imperial seat been occupied by wastrels and corrupt idiots! It is time for a new dynasty to rise and restore the empire to greatness!;;Schon viel zu lange wird der Kaiserthron von Verschwendern und korrupten Idioten besetzt! Es ist an der Zeit, dass sich eine neue Dynastie erhebt und das Reich zu neuer Größe führt!;;;x
come_out_of_hiding_siege;Come Out of Hiding;;Komm aus deinem Versteck;;;x
come_out_of_hiding_siege_desc;With the siege finally lifted, anyone who you've sent into hiding can now be told to come out and return to public life.;;Nachdem die Belagerung endlich beendet ist, kann jeder, den du in ein Versteck geschickt hast, aufgefordert werden, herauszukommen und ins öffentliche Leben zurückzukehren.;;;x
constantinople_emperor_revoke;Imperial Revocation;;Kaiserlicher Widerruf;;;x
constantinople_emperor_revoke_named;Revoke Constantinople;;Widerrufe Konstantinopel;;;x
constantinople_emperor_revoke_desc;Constantinople is the center of Imperial worship, and you are the head of the Church. It is up to you to decide who sits in the Patriarchate, and that certainly will not be [Root.Holder.GetTitledFirstName].;;Konstantinopel ist das Zentrum der kaiserlichen Verehrung, und Sie sind das Oberhaupt der Kirche. Es liegt an Euch, zu entscheiden, wer im Patriarchat sitzt, und das wird sicherlich nicht [Root.Holder.GetTitledFirstName] sein.;;;x
convert_finnmark;Create Duchy of Nordland;;Herzogtum Nordland gründen;;;x
convert_finnmark_desc;Now that we control all of Finnmárku, it should be declared a duchy for the [Root.Culture.GetName] to rule.;;Da wir nun ganz Finnmárku kontrollieren, sollte es zum Herzogtum erklärt werden, das von [Root.Culture.GetName] regiert werden soll.;;;x
convert_sami;Create Duchy of Norrland;;Herzogtum Norrland erschaffen;;;x
convert_sami_desc;Now that we control all of Sami, it should be declared a duchy for the [Root.Culture.GetName] to rule.;;Da wir nun die Kontrolle über ganz Sami haben, sollte es zum Herzogtum erklärt werden, über das der [Root.Culture.GetName] herrschen kann.;;;x
convert_to_bulgarian;Embrace Bulgarian Culture;;Die bulgarische Kultur einbeziehen;;;x
convert_to_bulgarian_desc;More and more of our people are mixing with the local cultures, adopting Slavic customs and speech. Perhaps it is time we did the same...;;Immer mehr unserer Leute vermischen sich mit den lokalen Kulturen und nehmen slawische Bräuche und Sprache an. Vielleicht ist es an der Zeit, dass wir das auch tun...;;;x
convert_to_capital_culture;Embrace [Root.Capital.Culture.GetName] Culture;Embrasser la culture de [Root.Capital.Culture.GetName];Umarmung der [Root.Capital.Culture.GetName] Kultur;;;x
convert_to_capital_culture_desc;I am impressed with the language and customs of [Root.Capital.GetName]. I wish I were like that...;Je suis impressioné par la langue et les coutumes de [Root.Capital.GetName]. J'aimerais estre comme eulx...;Ich bin beeindruckt von der Sprache und den Bräuchen von [Root.Capital.GetName]. Ich wünschte, ich wäre so...;;;x
convert_to_capital_religion;Convert to [Root.Capital.Religion.GetName];Se convertir [Root.Capital.Religion.GetName];Konvertiere zu [Root.Capital.Religion.GetName];;;x
convert_to_capital_religion_desc;I am sure the people of [Root.Capital.GetName] would be pleased if we had the same faith...;Je suis susr que le peuple de [Root.Capital.GetName] serait heureulx si nous partagions la mesme foi...;Ich bin sicher, die Menschen in [Root.Capital.GetName] wären erfreut, wenn wir den gleichen Glauben hätten...;;;x
convert_to_celtic_pagan;Convert to Celtic;Se Convertir la Religion Celte;Konvertiere zu Keltisch;;;x
convert_to_celtic_pagan_desc;Convert to the faith of my ancestral forefathers!;Me convertir la foi de mes ancestres !;Konvertiert zum Glauben meiner Vorfahren!;;;x
convert_to_city_vassal;Found Republic;;Republik gefunden;;;x
convert_to_city_vassal_desc;Found Republic;;Gefundene Republik;;;x
convert_to_druidic;Convert to Brythonic;Se Convertir la Religion Brythonique;Konvertiere zum Brythonischen;;;x
convert_to_druidic_desc;Convert to the faith of my ancestral forefathers!;Me convertir la foi de mes ancestres !;Konvertieren Sie zum Glauben meiner Vorfahren!;;;x
convert_to_hellenic_pagan;Convert to Hellenic;Se Convertir au Hellénisme;Konvertiere zum Hellenischen;;;x
convert_to_hellenic_pagan_desc;Convert to the faith of my ancestral forefathers!;Me convertir la foi de mes ancestres !;Konvertieren Sie zum Glauben meiner Vorfahren!;;;x
convert_to_icelandic;Embrace Icelandic Culture;Embrasser la Culture Islandaise;Nehmen Sie die isländische Kultur an;;;x
convert_to_icelandic_desc;A new Icelandic culture has begun to form on our island, born from the Norse of old. Perhaps the time has come to embrace it fully.;A new Icelandic culture has begun to form on our island, born from the Norse of old. Perhaps the time has come to embrace it fully.;Auf unserer Insel hat sich eine neue isländische Kultur herausgebildet, die aus der altnordischen entstanden ist. Vielleicht ist es an der Zeit, sich diese Kultur voll und ganz zu eigen zu machen.;;;x
convert_to_liege_culture;Embrace [Root.Liege.Culture.GetName] Culture;Embrasser la culture de [Root.Liege.Culture.GetName];Umarmen Sie [Root.Liege.Culture.GetName] Kultur;;;x
convert_to_liege_culture_desc;I am impressed with the language and customs of [Root.Liege.GetTitledFirstName]. I wish I were like that...;Je suis impressioné par la langue et les coutumes de [Root.Liege.GetTitledFirstName]. J'aimerais estre comme ça...;Ich bin beeindruckt von der Sprache und den Bräuchen von [Root.Liege.GetTitledFirstName]. Ich wünschte, ich wäre so...;;;x
convert_to_liege_religion;Convert to [Root.Liege.Religion.GetName];Se convertir [Root.Liege.Religion.GetName];Zu [Root.Liege.Religion.GetName] konvertieren;;;x
convert_to_liege_religion_desc;I am sure [Root.Liege.GetTitledFirstName] would be pleased if we had the same faith...;Je suis susr que [Root.Liege.GetTitledFirstName] serait content si nous partagions la mesme foi...;Ich bin sicher, dass [Root.Liege.GetTitledFirstName] sich freuen würde, wenn wir den gleichen Glauben hätten...;;;x
convert_to_republic_vassal;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gegründet;;Fundar república mercante;x
convert_to_republic_vassal_desc;Founding a Merchant Republic will convert all my Tribal Holdings into Cities. Where this occurs - if the County is big enough - Castle and Temple Holdings will also be created if they do not already exist. Four suitable vassals will found Patrician families.;Fonder une république marchande convertira toutes mes propriétés tribales en villes. L où ce changement se produit, si le comté est assez grand, des châteaux et des temples apparaîtront également s'ils n'existent pas déj. Quatre vassaux qui remplissent les conditions fonderont des familles patriciennes.;Durch die Gründung einer Handelsrepublik werden alle meine Stammesbesitzungen in Städte umgewandelt. Wo dies geschieht - wenn die Grafschaft groß genug ist - werden auch Burg- und Tempelbesitztümer gegründet, sofern sie nicht bereits existieren. Vier geeignete Vasallen werden Patrizierfamilien gründen.;;Al fundar una república mercante, todas mis posesiones tribales se convertirán en ciudades. Donde esto ocurra (si el condado es lo bastante grande), también se crearán posesiones urbanas y templarias, si todavía no existen. Cuatro vasallos adecuados fundarán familias patricias.;x
convert_to_roman;Embrace Roman Culture;Embrasser la Culture Romaine;Umarmt die römische Kultur;;;x
convert_to_roman_desc;We have reunited the Roman Empire. It is time to become Roman once more!;Nous avons réunifié l'Empire Romain. Il est temps de redevenir Romain !;Wir haben das Römische Reich wiedervereint. Es ist an der Zeit, noch einmal römisch zu werden!;We have reunited the Roman Empire. It is time to become Roman once more!;;x
convert_to_spouse_chalcedonian;Convert to Chalcedonian;Convert to Chalcedonian;Konvertiere zum Chalzedonischen;;;x
convert_to_spouse_chalcedonian_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives. Cependant, ce Blanc-Jésus ne semble pas très belliqueux...;Das Bettgeflüster einer Ehefrau oder Konkubine kann sehr überzeugend sein. Dieser weiße Christus klingt allerdings nicht sehr kriegerisch...;;La conversación de almohada de una esposa o concubina puede ser muy persuasiva. Porque este Cristo Blanco no suena muy belicoso...;x
convert_to_spouse_miaphysite;Convert to Coptism;Convertir au miaphysisme;Zum Koptismus konvertieren;;Convertir a Miafisismo;x
