#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACTIVE_TRADE_ROUTE_MODIFIER;\nThis Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;\nThis Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;\nThis Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;;\nThis Major Trade Route gives the following effects:\n$MODIFIER$\n\nTrade posts built in this trade route's provinces increase the modifier for all provinces. If some provinces are blocked (by siege or occupation), other provinces temporarily get a higher bonus as trade is redirected.;;;;;;;;;x
adopt_celtic_rites;You re-institute old pagan traditions;Vous réinstaurez les vieilles traditions païennes;You reinstitute old pagan traditions;;You reinstitute old pagan traditions;;;;;;;;;x
adopt_druidism;You become a Celtic pagan;Vous devenez un païen celte;You become a celtic pagan;;You become a celtic pagan;;;;;;;;;x
adopted;Adopted;Adopted;Adopted;;Adopted;;;;;;;;;x
adopted_desc;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;;This character was not born into their family, but was adopted into it -- an uncommon practice, and thus making them, in the eyes of most, worse even than a bastard.;;;;;;;;;x
aghlabid_867;Aghlabid Conquest of Sicily;Conqueste Aghlabide de la Sicile;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
aghlabid_867_desc;Aghlabid Conquest of Sicily;Conqueste Aghlabide de la Sicile;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
agile;Agile;Agile;Agile;;Ágil;;;;;;;;;x
agile_desc;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;This character is nimbler and quicker than most.;;Este personaje es más rápido y escurridizo que la mayoría.;;;;;;;;;x
agreed_to_convert;Agreed to Convert;Agreed to Convert;Agreed to Convert;;Agreed to Convert;;;;;;;;;;;
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! must not marry an infidel;§Y[GetTitledFirstName]§! ne doit point espouser un infidèle.;§Y[GetTitledFirstName]§! darf einen Ungläubigen nicht heiraten;;§Y[GetTitledFirstName]§! no debe desposarse con un infiel;;;;;;;;;x
alert_adventurer_threat_delayed;The following adventurers are targeting me:\n§RNOTE: They may act sooner than the date listed,\nif they have gathered sufficient support!§!\n\n$LIST$;Ces aventuriers m'ont pris pour cible :\n$LIST$;Die folgenden Abenteurer haben mich zum Ziel auserkoren:\n$LIST$;;Los siguientes aventureros me han elegido como objetivo:\n$LIST$;;;;;;;;;x
alexandrine;Alexandrine;Alexandrine;Alexandrine;;Alexandrine;;;;;;;;;x
alexandrine_desc;This character is devoted to the Alexandrine School of Theology and its teachings.;This character is devoted to the Alexandrine School of Theology and its teachings.;This character is devoted to the Alexandrine School of Theology and its teachings.;;This character is devoted to the Alexandrine School of Theology and its teachings.;;;;;;;;;x
allowed_to_serve_empire;Allowed to Serve Empire;Allowed to Serve Empire;Allowed to Serve Empire;;Allowed to Serve Empire;;;;;;;;;x
amber_road;Amber Road;Amber Road;;Amber Road;;;;;;;;;x
ambidextrous;Ambidextrous;Ambidextrous;Ambidextrous;;Ambidiestro;;;;;;;;;x
ambidextrous_desc;This character can naturally use both hands with equal skill. As a result, they are more efficient in whatever they do, whether it is swinging swords or writing letters.;;;;Este personaje es capaz de usar ambas manos con igual destreza. Como resultado, es más eficiente en cualquier tarea manual, como manejar la espada o escribir cartas.;;;;;;;;;x
AMIRJIHAD;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;;Emir-ul-Mujahdeen;;;;;;;;;x
antiochene;Antiochian;Antiochian;Antiochian;;Antiochian;;;;;;;;;x
antiochene_desc;This character is devoted to the Antiochian School of Theology and its teachings.;This character is devoted to the Antiochian School of Theology and its teachings.;This character is devoted to the Antiochian School of Theology and its teachings.;;This character is devoted to the Antiochian School of Theology and its teachings.;;;;;;;;;x
apokopos;Self-castrations;Self-castrations;Self-castrations;;Self-castrations;;;;;;;;;x
APPOINT_REGENTS_OFF;You can no longer wage De Jure wars without a Ducal claim.\n;Vous ne pouvez plus mener de guerres De Jure sans revendication ducale.\n;De Jure-Krieg können nicht ohne Gebietsanspruch erklärt werden\n;;You can no longer wage De Jure wars without a Ducal claim.\n;;;;;;;;;x
APPOINT_REGENTS_ON;You can now wage De Jure wars without a Ducal claim.\n;Vous pouvez maintenant mener des guerres De Jure sans revendication ducale.\n;De Jure-Krieg können ohne Gebietsanspruch erklärt werden\n;;You can now wage De Jure wars without a Ducal claim.\n;;;;;;;;;x
appreciates_support;Appreciates Support;Appreciates Support;Appreciates Support;;Appreciates Support;;;;;;;;;x
arbitrary_disinheritance;Resents Arbitrary Decrees;Resents Arbitrary Decrees;Resents Arbitrary Decrees;;Resents Arbitrary Decrees;;;;;;;;;x
ARRANGE_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Comme §Y[ActorExtra.GetFirstName]§! est $RELATION$ de §Y[RecipientExtra.GetFirstName]§!, ce seroit une union sacrée, qui ploiroit aulx vassaulx.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;Arranger un eschange d'otages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Arranger un eschange d'otages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Comme §Y[ActorExtra.GetFirstName]§! est $RELATION$ de §Y[RecipientExtra.GetFirstName]§!, ce seroit une union sacrée, qui ploiroit aulx vassaulx.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;;;;;;;;x
ashkenazi;Ashkenazi;Ashkenaze;Aschkenasisch;;Ashkenazi;;;;;;;;;x
asked_holy_sanction;Requested Holy Sanction;Requested Holy Sanction;Requested Holy Sanction;;Requested Holy Sanction;;;;;;;;;x
asked_to_support_heir;Asked to Support Heir;Asked to Support Heir;Asked to Support Heir;;Asked to Support Heir;;;;;;;;;x
asks_mithras_promotion;Character requests a gathering of the cult's elders to seek promotion within the cult;Caractère demande une réunion des anciens de la secte pour obtenir une promotion au sein de la secte;Charakter fordert eine Versammlung von Ältesten des Kults um die Förderung im Rahmen des Kult suchen;;Carácter solicita una reunión de ancianos de la secta de buscar la promoción dentro del culto;;;;;;;;;x
atlantic_trade;Atlantic Trade;Atlantic Trade;Atlantic Trade;;Atlantic Trade;;;;;;;;;x
ATT_ACTIVE;§YAdditional Titular Titles§! is active\n;§YAdditional Titular Titles§! est actif\n;§YAdditional Titular Titles§! is active\n;;§YAdditional Titular Titles§! is active\n;;;;;;;;;;;
attempted_kidnapping;Attempted Kidnapping;A essayé de kidnapper;Entführung versucht;;Attempted Kidnapping;;;;;;;x
attempted_kidnapping_of_kin;Attempted Kidnapping of Kin;A essayé de kidnapper un proche;Versuchte Entführung eines Verwandten;;Attempted Kidnapping of Kin;;;;;;;x
attempted_kidnapping_of_vassal;Attempted Kidnapping of Vassal;A essayé de kidnapper un vassal;Versuchte Entführung eines Vasallen;;Attempted Kidnapping of Vassal;;;;;;;x
attempted_murder_of_close_kin;Attempted Murder of Close Kin;A tenté d'assassiner des parents proches;Sippenmörder;;Attempted Murder of Close Kin;;;;;;;;;x
attending_coronation;Attending Coronation;Attending Coronation;Attending Coronation;;Attending Coronation;;;;;;;;;x
attentive_liege;Attentive Liege;Attentive Liege;Attentive Liege;;Attentive Liege;;;;;;;;;x
attentive_liege_desc;The ruler is paying attention to their lands, ensuring that nothing goes wrong--at least for a while.;The ruler is paying attention to their lands, ensuring that nothing goes wrong--at least for a while.;The ruler is paying attention to their lands, ensuring that nothing goes wrong--at least for a while.;;The ruler is paying attention to their lands, ensuring that nothing goes wrong--at least for a while.;;;;;;;;;x
away_from_court;Away From Court;Away From Court;Away From Court;;Away From Court;;;;;;;;;x
away_from_court_desc;When someone is away from their home court leading armies, it is much more difficult for them to discover plots...and all but impossible to have more children.;When someone is away from their home court leading armies, it is much more difficult for them to discover plots...and all but impossible to have more children.;When someone is away from their home court leading armies, it is much more difficult for them to discover plots...and all but impossible to have more children.;;When someone is away from their home court leading armies, it is much more difficult for them to discover plots...and all but impossible to have more children.;;;;;;;;;x
bad_omen;Bad Omen;Bad Omen;Bad Omen;;Bad Omen;;;;;;;;;x
bad_omen_desc;This character pored through the Qur'an and saw terrible things about to happen in the future.;This character pored through the Qur'an and saw terrible things about to happen in the future.;This character pored through the Qur'an and saw terrible things about to happen in the future.;;This character pored through the Qur'an and saw terrible things about to happen in the future.;;;;;;;;;x
bad_relations;Bad Relations;Mauvaises relations;Schlechte Beziehungen;;Bad Relations;;;;;;;;;x
balkan_road;Balkan Road;Balkan Road;Balkan Road;;Balkan Road;;;;;;;;;x
baltic_sea;Baltic Sea Trade;Baltic Sea Trade;Baltic Sea Trade;;Baltic Sea Trade;;;;;;;;;x
bard_performance;Bard Performance;Bard Performance;Bard Performance;;Bard Performance;;;;;;;;;x
barren;Barren;Barren;Barren;;Barren;;;;;;;;;x
barren_desc;The character is unable to have children;The character is unable to have children;The character is unable to have children;;The character is unable to have children;;;;;;;;;x
base_levies;Vassal Levies;Levées vassales;Aushebungsrecht;;Vassal Levies;;;;;;;;;x
base_levies_desc;The base number of troops we can raise from our vassals depends on the §Ynumber of holdings§! in the realm. A larger realm can raise fewer troops per vassal.;Le nombre de base des troupes que peuvent nous fournir nos vassaulx dépend du §Ynombre de fiefs§! dans le royaume. Un royaume plus grand pourra faire lever plus de troupes à chaque vassal.;Die Anzahl der Truppen, die wir von unseren Vasallen ausheben können, hängt von der §YGröße des Besitztums§! ab. Ein größeres Reich kann pro Vasall weniger Truppen ausheben.;;The base number of troops we can raise from our vassals depends on the §Ynumber of holdings§! in the realm. A larger realm can raise fewer troops per vassal.;;;;;;;;;x
battlefield_fight;Challenged to a battlefield duel;Challenged to a battlefield duel;Challenged to a battlefield duel;;Challenged to a battlefield duel;;;;;;;;;x
beauty;Famous Beauty;Famous Beauty;Famous Beauty;;Famous Beauty;;;;;;;;;x
beauty_desc;This character is renowned for her beauty, having been recognized as such at a tournament.;This character is renowned for her beauty, having been recognized as such at a tournament.;This character is renowned for her beauty, having been recognized as such at a tournament.;;This character is renowned for her beauty, having been recognized as such at a tournament.;;;;;;;x
beauty_queen_1;Famous Beauty;Célèbre Beauté;Famous Beauty;;Famous Beauty;;;;;;;;;x
beauty_queen_2;Famous Beauty;Célèbre Beauté;Famous Beauty;;Famous Beauty;;;;;;;;;x
beauty_queen_3;Famous Beauty;Célèbre Beauté;Famous Beauty;;Famous Beauty;;;;;;;;;x
begone_sorcerer;You send the pagan away.;Vous renvoyez le païen de votre cour.;Ihr schickt die elende Kreatur fort.;;Echas a la criatura miserable.;;;;;;;;;x
bible_translated;Bible Translated;Bible Translated;Bible Translated;;Bible Translated;;;;;;;;;x
bible_translated_poor;Bible Translated;Bible Translated;Bible Translated;;Bible Translated;;;;;;;;;x
bible_translated_lollard;Bible Translated;Bible Translated;Bible Translated;;Bible Translated;;;;;;;;;x
bible_translated_poor_lollard;Bible Translated;Bible Translated;Bible Translated;;Bible Translated;;;;;;;;;x
bloodlust;Dreams of Conquest;Resves de conqueste;Träume von Eroberung;;Dreams of Conquest;;;;;;;x
bloodlust_desc;This is a special trait that encourages the AI to be more aggressive.;Il s'agit d'une caractéristique particulière qui incite l'IA à estre plus agressive.;Dies ist eine besondere Eigenschaft, das die KI aggressiver macht.;;This is a special trait that encourages the AI to be more aggressive.;;;;;;;;;x
bogomil_appears;Bogomil Appears;Bogomil Appears;Bogomil Appears;;Bogomil Appears;;;;;;;;;x
bogomilism_formalized;Bogomilism Formalized;Bogomilism Formalized;Bogomilism Formalized;;Bogomilism Formalized;;;;;;;;;x
bogomilism_organized;Bogomilism Organized;Bogomilism Organized;Bogomilism Organized;;Bogomilism Organized;;;;;;;;;x
bogomilism_spreading;Bogomilism Spreading;Bogomilism Spreading;Bogomilism Spreading;;Bogomilism Spreading;;;;;;;;;x
bogomilist_government;Bogomilist;Bogomilist;Bogomilist;;Bogomilist;;;;;;;;;x
bogomilist_government_desc;This is a form of government which is essentially feudal, and thus reliant upon the oaths between liege and vassal, but also melded with the precepts of the Bogomilist faith.;This is a form of government which is essentially feudal, and thus reliant upon the oaths between liege and vassal, but also melded with the precepts of the Bogomilist faith.;This is a form of government which is essentially feudal, and thus reliant upon the oaths between liege and vassal, but also melded with the precepts of the Bogomilist faith.;;This is a form of government which is essentially feudal, and thus reliant upon the oaths between liege and vassal, but also melded with the precepts of the Bogomilist faith.;;;;;;;;;x
british_trade;British Trade;British Trade;British Trade;;British Trade;;;;;;;;;x
brm_rebel_offer_rejected;Rebel Offer Rejected;Offre Rebelle rejetée;Rebellen Angebot abgelehnt;;Rebel Offer Rejected;;;;;;;;;x
brm_reduced_tax;Reduced Taxation;Taxes réduites;Steuern reduziert;;Reduced Taxation;;;;;;;;;x
brm_revolt;Peasant Revolt;Révolte paysanne;Massive Revolte;;Peasant Revolt;;;;;;;;;x
BUILD_PRESTIGE_TRADE_POST_DESC;Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);;Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if a Trade Route happens to pass through. (See the §YTrade Zones§! map mode.);;;;;;;;x
BUILD_TRADE_POST_DESC;Trade Posts can be built for §Y$COST$§!¤ along the coasts by Patrician families in Merchant Republics, or by any ruler that holds a county on a trade route. However, any province that also has a trade route passing through it must be owned entirely by you to be allowed to build a Trade Post there. (See the §YTrade Zones§! map mode.);;;;;;;;;;;;;x
building_new_city;New City Construction;New City Construction;New City Construction;;New City Construction;;;;;;;;;x
building_new_city_desc;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;;;;;;;;;x
building_new_temple;New Temple Construction;New Temple Construction;New Temple Construction;;New Temple Construction;;;;;;;;;x
building_new_temple_desc;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;;;;;;;;;x
building_st_bogomil;Building Church of St. Bogomil;Building Church of St. Bogomil;Building Church of St. Bogomil;;Building Church of St. Bogomil;;;;;;;;;x
building_st_bogomil_desc;The Church of St. Bogomil is being constructed here, a process that will take many years to complete.;The Church of St. Bogomil is being constructed here, a process that will take many years to complete.;The Church of St. Bogomil is being constructed here, a process that will take many years to complete.;;The Church of St. Bogomil is being constructed here, a process that will take many years to complete.;;;;;;;;;x
bureaucratic_anger;Bureaucratic Anger;Bureaucratic Anger;Bureaucratic Anger;;Bureaucratic Anger;;;;;;;;;x
bureaucratic_anger_desc;The imperial bureaucracy has a way of making its displeasure felt, even against the most powerful of rulers.;The imperial bureaucracy has a way of making its displeasure felt, even against the most powerful of rulers.;The imperial bureaucracy has a way of making its displeasure felt, even against the most powerful of rulers.;;The imperial bureaucracy has a way of making its displeasure felt, even against the most powerful of rulers.;;;;;;;;;x
bureaucratic_chaos;Bureaucratic Chaos;Bureaucratic Chaos;Bureaucratic Chaos;;Bureaucratic Chaos;;;;;;;;;x
bureaucratic_chaos_desc;Something has gone very wrong within the mechanism of the imperial bureaucracy, and its effects are currently being felt throughout the realm.;Something has gone very wrong within the mechanism of the imperial bureaucracy, and its effects are currently being felt throughout the realm.;Something has gone very wrong within the mechanism of the imperial bureaucracy, and its effects are currently being felt throughout the realm.;;Something has gone very wrong within the mechanism of the imperial bureaucracy, and its effects are currently being felt throughout the realm.;;;;;;;;;x
bureaucratic_reform_1;Bureaucratic Reform;Bureaucratic Reform;Bureaucratic Reform;;Bureaucratic Reform;;;;;;;;;x
bureaucratic_reform_1_desc;Reforms within the imperial bureaucracy have improved the way taxes are collected.;Reforms within the imperial bureaucracy have improved the way taxes are collected.;Reforms within the imperial bureaucracy have improved the way taxes are collected.;;Reforms within the imperial bureaucracy have improved the way taxes are collected.;;;;;;;;;x
bureaucratic_reform_2;Bureaucratic Reform;Bureaucratic Reform;Bureaucratic Reform;;Bureaucratic Reform;;;;;;;;;x
bureaucratic_reform_2;Reforms within the imperial bureaucracy have improved the way taxes are collected.;Reforms within the imperial bureaucracy have improved the way taxes are collected.;Reforms within the imperial bureaucracy have improved the way taxes are collected.;;Reforms within the imperial bureaucracy have improved the way taxes are collected.;;;;;;;;;x
byzantine_values;Follows a traditional religion of the Byzantine Empire\n;Follows a traditional religion of the Byzantine Empire\n;Follows a traditional religion of the Byzantine Empire\n;;Follows a traditional religion of the Byzantine Empire\n;;;;;;;;;x
byzantium_orthodox;State Church of the Roman Empire;Etat de l'Eglise de l'Empire romain;State Church of the Roman Empire;;State Church of the Roman Empire;;;;;;;;;x
c_zhmud_adj;Zhmudian;Zhmudienne;Zhmudian;;Zhmudian;;;;;;;;;x
calm_voice;Calm Voice;Calm Voice;Calm Voice;;Voz calma;;;;;;;;;x
calm_voice_desc;This character's voice is naturally soothing. While it is neither powerful nor melodious, its mildness can calm even the angriest of people, and slyly persuade even the most skeptical of men.;;;;La voz de este personaje es naturalmente tranquilizadora. Sin ser poderosa ni melodiosa, su sonido apacigua al más enfadado y tímidamente persuade al más escéptico. ;;;;;;;;;x
can_be_promoted_mithras;Can be promoted within the Cult of Mithras;Peut être promu dans le culte de Mithra;Innerhalb der Kult des Mithras gefördert werden;;Puede ser promovido dentro del culto de Mitra;;;;;;;;;x
