#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
# FACTION MAIN;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
faction_prosperity_desc;The §YProsperity Faction§! is [From.GetProsperityFactionMood].\nThe §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- No member belonging to the liege's council\n- The liege having negative Wealth or being in debt;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- No member belonging to the liege's council\n- The liege having negative Wealth or being in debt;Die §YWohlstandsfraktion§! ist [From.GetProsperityFactionMood].\nDie §YWohlstandsfraktion§! strebt nach Wohlstand und einer gesunden Wirtschaft.\n\nIhre Stimmung wird §GVerbessert§! durch:\n- Gute Beziehungen zu den Mitgliedern\n- Verleihung eines Landtitels an ein beliebiges Mitglied\n- Hohe Kronenautorität/Stammesorganisation\n- Steuerprivilegien für Vasallen\n- Ernennung eines beliebigen Mitglieds zum Ratsmitglied\n- Hoher Reichtum des Lehnsherrn\n- Fünf oder mehr Jahre Frieden in Folge\n- Abhalten von Sommerfesten\n\nIhre Stimmung wird §RVerschlechtert§! durch:\n- Schlechte Beziehungen zu den Mitgliedern\n- Geringe Autorität der Krone/Stammesorganisation\n- Hohe Steuern, insbesondere für Städte\n- Steuerprivilegien der Krone\n- Kein Mitglied im Rat des Lehnsherrn\n- Der Lehnsherr hat ein negatives Vermögen oder ist verschuldet;;The §YProsperity Faction§! strives for wealth and a healthy economy.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- High Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- The liege having high Wealth\n- Five or more consecutive years of peace\n- Holding summer fairs\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Low Crown Authority/Tribal Organization\n- High taxes, especially for cities\n- Crown Tax Privileges\n- No member belonging to the liege's council\n- The liege having negative Wealth or being in debt;;;;;;;;;x
faction_prosperity_short;Prosperity;Prosperity;Wohlstand;;Prosperity;;;;;;;;;x
faction_prosperity_title;Prosperity Faction;Prosperity Faction;Wohlstandsfraktion;;Prosperity Faction;;;;;;;;;x
faction_religious_short;[From.Religion.GetName];[From.Religion.GetName];[From.Religion.GetName];;[From.Religion.GetName];;;;;;;;;x
faction_religious_title;[From.Religion.GetName] Faction;[From.Religion.GetName] Faction;[From.Religion.GetName] Fraktion;;[From.Religion.GetName] Faction;;;;;;;;;x
faction_religious_desc;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;Die Mitglieder gehören der Religion §Y[From.Religion.GetName]§! an, und sollte die Fraktion stark genug werden, kann §Y[From.GetBestName]§! dem §Y[From.Liege.GetBestName]§! ein Ultimatum stellen, entweder zu konvertieren oder gestürzt zu werden.;;Members are part of the §Y[From.Religion.GetName]§! religion, and should the faction get sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§! to either convert or be overthrown.;;;;;;;;;x
faction_separatist_desc;Separatists are radicals that cannot be bargained with. They will settle for nothing less than complete independence.;Les séparatistes sont si radicaulx qu'on ne peult point négocier avec eulx. Ils n'accepteront rien de moins que l'indépendance complète.;Die Separatisten sind Radikale, mit denen man nicht verhandeln kann. Sie werden sich mit nichts weniger als der vollständigen Unabhängigkeit zufrieden geben.;;Separatists are radicals that cannot be bargained with. They will settle for nothing less than complete independence.;;;;;;;;;x
faction_separatist_short;Separatist;Indépendantiste;Separatist;;Separatist;;;;;;;;;x
faction_separatist_title;Separatists;Indépendantistes;Separatisten;;Separatists;;;;;;;;;x
faction_separatist_war;Declare Separatist War;Déclarer une Guerre d'Indépendance;Separatistenkrieg erklären;;Declare Separatist War;;;;;;;;;x
faction_separatist_war_desc;Declare war on [Root.Liege.GetTitledFirstName] for the independence of the Separatist movement.;Déclarer une guerre à [Root.Liege.GetTitledFirstName] pour l'indépendance du mouvement séparatiste.;Erklären Sie [Root.Liege.GetTitledFirstName] den Krieg für die Unabhängigkeit der Separatistenbewegung.;;Declare war on [Root.Liege.GetTitledFirstName] for the independence of the Separatist movement.;;;;;;;;;x
faction_tradition_desc;The §YTradition Faction§! is [From.GetTraditionFactionMood].\nThe §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Appointing any member as a councilor\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- No member belonging to the liege's council\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Appointing any member as a councilor\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- No member belonging to the liege's council\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;Die §YTraditionsfraktion§! ist [From.GetTraditionFactionMood].\nDie §YTraditionsfraktion§! strebt nach Frömmigkeit und der Vorherrschaft der Religion.\n\nIhre Stimmung wird §GVerbessert§! durch:\n- gute Beziehungen zu den Mitgliedern\n- Verleihung eines Landtitels an jedes Mitglied\n- Ernennung von Ratsmitgliedern auf Lebenszeit\n- Ernennung jedes Mitglieds zum Ratsmitglied\n- Der Lehnsherr hat eine hohe Frömmigkeit\n- Ausrufung heiliger Kriege und Kreuzzüge\n- Ablässe und Wohltätigkeit\n\nIhre Stimmung wird §RVerschlechtert§! durch:\n- Schlechte Beziehungen zu den Mitgliedern\n- Hohe Tempelsteuern\n- Hohe Dekadenz für Muslime\n- Kein Mitglied im Rat des Lehnsherrn\n- Der Lehnsherr hat eine negative Frömmigkeit\n- Verlierende Religionskriege\n- Änderung der Erbschaftsgesetze;;The §YTradition Faction§! strives for piety and the supremacy of religion.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Lifetime Appointment for councillors\n- Appointing any member as a councilor\n- The liege having high Piety\n- Declaring holy wars and crusades\n- Indulgences and charity\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High temple taxes\n- High decadence for Muslims\n- No member belonging to the liege's council\n- The liege having negative Piety\n- Losing religious wars\n- Changing succession laws;;;;;;;;;x
faction_tradition_short;Tradition;Tradition;Tradition;;Tradition;;;;;;;;;x
faction_tradition_title;Tradition Faction;Tradition Faction;Tradition Fraktion;;Tradition Faction;;;;;;;;;x
faction_court_mood_angry;Court Faction: Rebellious;Court Faction: Rebellious;Hof-Fraktion: Rebellisch;;Court Faction: Rebellious;;;;;;;;;x
faction_court_mood_angry_desc;This character is a member of the Court faction, which is openly hostile to its liege.;This character is a member of the Court faction, which is openly hostile to its liege.;Dieser Charakter gehört zur Fraktion des Hofes, die ihrem Lehnsherrn gegenüber offen feindlich eingestellt ist.;;This character is a member of the Court faction, which is openly hostile to its liege.;;;;;;;;;x
faction_court_mood_content;Court Faction: Content;Court Faction: Content;Hoffraktion: Zufrieden;;Court Faction: Content;;;;;;;;;x
faction_court_mood_content_desc;This character is a member of the Court faction, which is content with its liege.;This character is a member of the Court faction, which is content with its liege.;Dieser Charakter ist ein Mitglied der Hoffraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Court faction, which is content with its liege.;;;;;;;;;x
faction_court_mood_happy;Court Faction: Happy;Court Faction: Happy;Hoffraktion: Glücklich;;Court Faction: Happy;;;;;;;;;x
faction_court_mood_happy_desc;This character is a member of the Court faction, which is pleased with its liege.;This character is a member of the Court faction, which is pleased with its liege.;Dieser Charakter ist ein Mitglied der Hoffraktion, die mit ihrem Lehnsherrn sehr zufrieden ist.;;This character is a member of the Court faction, which is pleased with its liege.;;;;;;;;;x
faction_court_mood_unhappy;Court Faction: Unhappy;Court Faction: Unhappy;Hof-Fraktion: Unglücklich;;Court Faction: Unhappy;;;;;;;;;x
faction_court_mood_unhappy_desc;This character is a member of the Court faction, which is unhappy with its liege.;This character is a member of the Court faction, which is unhappy with its liege.;Dieser Charakter ist ein Mitglied der Hoffraktion, die mit ihrem Lehnsherrn unzufrieden ist.;;This character is a member of the Court faction, which is unhappy with its liege.;;;;;;;;;x
faction_prosperity_mood_angry;Prosperity Faction: Rebellious;Prosperity Faction: Rebellious;Wohlstandsfraktion: Rebellisch;;Prosperity Faction: Rebellious;;;;;;;;;x
faction_prosperity_mood_angry_desc;This character is a member of the Prosperity faction, which is openly hostile to its liege.;This character is a member of the Prosperity faction, which is openly hostile to its liege.;Dieser Charakter ist Mitglied der Wohlstandsfraktion, die ihrem Lehnsherrn gegenüber offen feindselig eingestellt ist.;;This character is a member of the Prosperity faction, which is openly hostile to its liege.;;;;;;;;;x
faction_prosperity_mood_content;Prosperity Faction: Content;Prosperity Faction: Content;Wohlstandsfraktion: Zufrieden;;Prosperity Faction: Content;;;;;;;;;x
faction_prosperity_mood_content_desc;This character is a member of the Prosperity faction, which is content with its liege.;This character is a member of the Prosperity faction, which is content with its liege.;Dieser Charakter ist Mitglied der Wohlstandsfraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Prosperity faction, which is content with its liege.;;;;;;;;;x
faction_prosperity_mood_happy;Prosperity Faction: Happy;Prosperity Faction: Happy;Wohlstandsfraktion: Glücklich;;Prosperity Faction: Happy;;;;;;;;;x
faction_prosperity_mood_happy_desc;This character is a member of the Prosperity faction, which is pleased with its liege.;This character is a member of the Prosperity faction, which is pleased with its liege.;Dieser Charakter ist Mitglied der Wohlstandsfraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Prosperity faction, which is pleased with its liege.;;;;;;;;;x
faction_prosperity_mood_unhappy;Prosperity Faction: Unhappy;Prosperity Faction: Unhappy;Wohlstandsfraktion: Unglücklich;;Prosperity Faction: Unhappy;;;;;;;;;x
faction_prosperity_mood_unhappy_desc;This character is a member of the Prosperity faction, which is unhappy with its liege.;This character is a member of the Prosperity faction, which is unhappy with its liege.;Dieser Charakter ist Mitglied der Wohlstandsfraktion, die mit ihrem Lehnsherrn unzufrieden ist.;;This character is a member of the Prosperity faction, which is unhappy with its liege.;;;;;;;;;x
faction_glory_mood_angry;Glory Faction: Rebellious;Glory Faction: Rebellious;Ruhm-Fraktion: Rebellisch;;Glory Faction: Rebellious;;;;;;;;;x
faction_glory_mood_angry_desc;This character is a member of the Glory faction, which is openly hostile to its liege.;This character is a member of the Glory faction, which is openly hostile to its liege.;Dieser Charakter ist Mitglied der Fraktion Ruhm, die ihrem Lehnsherrn gegenüber offen feindselig eingestellt ist.;;This character is a member of the Glory faction, which is openly hostile to its liege.;;;;;;;;;x
faction_glory_mood_content;Glory Faction: Content;Glory Faction: Content;Ruhm-Fraktion: Zufrieden;;Glory Faction: Content;;;;;;;;;x
faction_glory_mood_content_desc;This character is a member of the Glory faction, which is content with its liege.;This character is a member of the Glory faction, which is content with its liege.;Dieser Charakter ist ein Mitglied der Glory-Fraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Glory faction, which is content with its liege.;;;;;;;;;x
faction_glory_mood_happy;Glory Faction: Happy;Glory Faction: Happy;Ruhm-Fraktion: Glücklich;;Glory Faction: Happy;;;;;;;;;x
faction_glory_mood_happy_desc;This character is a member of the Glory faction, which is pleased with its liege.;This character is a member of the Glory faction, which is pleased with its liege.;Dieser Charakter ist ein Mitglied der Glory-Fraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Glory faction, which is pleased with its liege.;;;;;;;;;x
faction_glory_mood_unhappy;Glory Faction: Unhappy;Glory Faction: Unhappy;Ruhm-Fraktion: Unglücklich;;Glory Faction: Unhappy;;;;;;;;;x
faction_glory_mood_unhappy_desc;This character is a member of the Glory faction, which is unhappy with its liege.;This character is a member of the Glory faction, which is unhappy with its liege.;Dieser Charakter ist ein Mitglied der Glory-Fraktion, die mit ihrem Lehnsherrn unzufrieden ist.;;This character is a member of the Glory faction, which is unhappy with its liege.;;;;;;;;;x
faction_tradition_mood_angry;Tradition Faction: Rebellious;Tradition Faction: Rebellious;Tradition Fraktion: Rebellisch;;Tradition Faction: Rebellious;;;;;;;;;x
faction_tradition_mood_angry_desc;This character is a member of the Tradition faction, which is openly hostile to its liege.;This character is a member of the Tradition faction, which is openly hostile to its liege.;Dieser Charakter ist Mitglied der Fraktion Tradition, die ihrem Lehnsherrn gegenüber offen feindselig eingestellt ist.;;This character is a member of the Tradition faction, which is openly hostile to its liege.;;;;;;;;;x
faction_tradition_mood_content;Tradition Faction: Content;Tradition Faction: Content;Tradition Fraktion: Zufrieden;;Tradition Faction: Content;;;;;;;;;x
faction_tradition_mood_content_desc;This character is a member of the Tradition faction, which is content with its liege.;This character is a member of the Tradition faction, which is content with its liege.;Dieser Charakter ist Mitglied der Traditionsfraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Tradition faction, which is content with its liege.;;;;;;;;;x
faction_tradition_mood_happy;Tradition Faction: Happy;Tradition Faction: Happy;Tradition Fraktion: Glücklich;;Tradition Faction: Happy;;;;;;;;;x
faction_tradition_mood_happy_desc;This character is a member of the Tradition faction, which is pleased with its liege.;This character is a member of the Tradition faction, which is pleased with its liege.;Dieser Charakter ist Mitglied der Traditionsfraktion, die mit ihrem Lehnsherrn zufrieden ist.;;This character is a member of the Tradition faction, which is pleased with its liege.;;;;;;;;;x
faction_tradition_mood_unhappy;Tradition Faction: Unhappy;Tradition Faction: Unhappy;Tradition Fraktion: Unglücklich;;Tradition Faction: Unhappy;;;;;;;;;x
faction_tradition_mood_unhappy_desc;This character is a member of the Tradition faction, which is unhappy with its liege.;This character is a member of the Tradition faction, which is unhappy with its liege.;Dieser Charakter ist Mitglied der Traditionsfraktion, die mit ihrem Lehnsherrn unzufrieden ist.;;This character is a member of the Tradition faction, which is unhappy with its liege.;;;;;;;;;x
pf_loyalist;Loyalist;Loyaliste;Loyalist;;Loyalist;;;;;;;;;x
pf_loyalist_desc;This character supports the loyalist side in the civil war.;Ce personnage aide les loyalistes dans la guerre civile;Dieser Charakter unterstützt die loyalistische Seite im Bürgerkrieg.;;This character supports the loyalist side in the civil war.;;;;;;;;;x
pf_neutral;Neutral;Neutral;Neutral;;Neutral;;;;;;;;;x
pf_neutral_desc;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;Der Charakter hat sich entschieden, im Bürgerkrieg seines Lehnsherrn keine der beiden Seiten zu unterstützen und wartet ab, wie sich die Dinge entwickeln.;;The character has opted not to pledge support to either side in their liege's civil war, and is waiting to see how things turn out.;;;;;;;;;x
pf_rebel;Rebel;Rebelle;Rebell;;Rebel;;;;;;;;;x
pf_rebel_desc;This character supports the rebel side in the civil war.;Ce personnage aide les rebelles dans la guerre civile;Der Charakter unterstützt die Seite der Rebellen im Bürgerkrieg.;;This character supports the rebel side in the civil war.;;;;;;;;;x
#;;;;;;;;;;;;;;x
# FACTION MODIFIERS;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
attempted_poach_faction;Tried to Poach from my Faction;Tried to Poach from my Faction;Versucht, von meiner Fraktion abzuwerben;;Tried to Poach from my Faction;;;;;;;;;x
bad_speech;Bad Speech;Mauvais orateur;Schlechte Ansprache;;Bad Speech;;;;;;;;;x
convinced_to_support_liege;Convinced to Support Liege;Convinced to Support Liege;Überzeugt, Lehnsherr zu unterstützen;;Convinced to Support Liege;;;;;;;;;x
faction_agree_liege;Agree on Faction's Stance Towards Liege;Agree on Faction's Stance Towards Liege;Einigung über die Haltung der Fraktion gegenüber dem Lehnsherrn;;Agree on Faction's Stance Towards Liege;;;;;;;;;x
faction_approve_CA;Faction Approves of Crown Authority;Faction Approves of Crown Authority;Fraktion befürwortet die Autorität der Krone;;Faction Approves of Crown Authority;;;;;;;;;x
faction_approve_council;Faction Approves of Council;Faction Approves of Council;Fraktion befürwortet den Rat;;Faction Approves of Council;;;;;;;;;x
faction_approve_council_term;Faction Approves of Council Terms;Faction Approves of Council Terms;Fraktion billigt die Bedingungen des Rates;;Faction Approves of Council Terms;;;;;;;;;x
faction_approve_levy_privilege;Faction Approves of Levy Privilege;Faction Approves of Levy Privilege;Fraktion billigt das Abgabenprivileg;;Faction Approves of Levy Privilege;;;;;;;;;x
faction_approve_obligations;Faction Approves of Obligations;Faction Approves of Obligations;Fraktion billigt Verpflichtungen;;Faction Approves of Obligations;;;;;;;;;x
faction_approve_peace;Faction Approves of Peace;Faction Approves of Peace;Fraktion billigt den Frieden;;Faction Approves of Peace;;;;;;;;;x
faction_approve_piety;Faction Approves of Piety;Faction Approves of Piety;Fraktion befürwortet Frömmigkeit;;Faction Approves of Piety;;;;;;;;;x
faction_approve_prestige;Faction Approves of Prestige;Faction Approves of Prestige;Fraktion billigt Prestige;;Faction Approves of Prestige;;;;;;;;;x
faction_approve_tax_privilege;Faction Approves of Tax Privilege;Faction Approves of Tax Privilege;Fraktion billigt Steuerprivileg;;Faction Approves of Tax Privilege;;;;;;;;;x
faction_approve_title_grant;Faction Pleased by Title Grant;Faction Pleased by Title Grant;Fraktion erfreut über Titelverleihung;;Faction Pleased by Title Grant;;;;;;;;;x
faction_approve_TO;Faction Approves of Tribal Organization;Faction Approves of Tribal Organization;Fraktion befürwortet Stammesorganisation;;Faction Approves of Tribal Organization;;;;;;;;;x
faction_approve_wealth;Faction Approves of Wealth;Faction Approves of Wealth;Fraktion befürwortet Reichtum;;Faction Approves of Wealth;;;;;;;;;x
faction_court_bonus;Court Faction Support;Soutien de la Faction Courtisane;Unterstützung durch die Hoffraktion;;Court Faction Support;;;;;;;;;x
faction_court_bonus_desc;This liege has been rewarded by their vassals from the Court Faction.;This liege has been rewarded by their vassals from the Court Faction.;Dieser Lehnsherr wurde von seinen Vasallen aus der Hoffraktion belohnt.;;This liege has been rewarded by their vassals from the Court Faction.;;;;;;;;;x
faction_disagree_liege;Disagree on Faction's Stance Towards Liege;Disagree on Faction's Stance Towards Liege;Nicht einverstanden mit der Haltung der Fraktion gegenüber dem Lehnsherrn;;Disagree on Faction's Stance Towards Liege;;;;;;;;;x
faction_disapprove_CA;Faction Disapproves of Crown Authority;Faction Disapproves of Crown Authority;Die Fraktion missbilligt die Autorität der Krone;;Faction Disapproves of Crown Authority;;;;;;;;;x
faction_disapprove_council;Faction Disapproves of Council;Faction Disapproves of Council;Fraktion missbilligt den Rat;;Faction Disapproves of Council;;;;;;;;;x
faction_disapprove_debt;Faction Disapproves of Debt;Faction Disapproves of Debt;Fraktion lehnt Verschuldung ab;;Faction Disapproves of Debt;;;;;;;;;x
faction_disapprove_decadence;Faction Disapproves of Decadence;Faction Disapproves of Decadence;Fraktion missbilligt Dekadenz;;Faction Disapproves of Decadence;;;;;;;;;x
faction_disapprove_levy_privilege;Faction Disapproves of Levy Privilege;Faction Disapproves of Levy Privilege;Die Fraktion missbilligt das Abgabenprivileg;;Faction Disapproves of Levy Privilege;;;;;;;;;x
faction_disapprove_obligations;Faction Disapproves of Obligations;Faction Disapproves of Obligations;Fraktion missbilligt Verpflichtungen;;Faction Disapproves of Obligations;;;;;;;;;x
faction_disapprove_peace;Faction Disapproves of Peace;Faction Disapproves of Peace;Die Fraktion missbilligt den Frieden;;Faction Disapproves of Peace;;;;;;;;;x
faction_disapprove_piety;Faction Disapproves of Impiety;Faction Disapproves of Impiety;Fraktion missbilligt Anstand;;Faction Disapproves of Impiety;;;;;;;;;x
faction_disapprove_prestige;Faction Disapproves of Prestige;Faction Disapproves of Prestige;Fraktion missbilligt Prestige;;Faction Disapproves of Prestige;;;;;;;;;x
faction_disapprove_tax_privilege;Faction Disapproves of Tax Privilege;Faction Disapproves of Tax Privilege;Fraktion missbilligt das Steuerprivileg;;Faction Disapproves of Tax Privilege;;;;;;;;;x
