#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1900;Anarchy at [Root.Capital.GetName];;Anarchie in [Root.Capital.GetName];;;x
EVTDESC_Plus_1912;[From.Religion.GetName] leaders in [From.GetName] are becoming increasingly displeased at the decadence of the [Root.GetOnlyDynastyName] dynasty under [Root.GetTitledFirstNameNoRegnal]. They are stirring discontent against you, and only quick and brutal action could possibly stop their words from taking hold.;;Die Führer von [From.Religion.GetName] in [From.GetName] sind zunehmend unzufrieden mit der Dekadenz der [Root.GetOnlyDynastyName]-Dynastie unter [Root.GetTitledFirstNameNoRegnal]. Sie schüren die Unzufriedenheit gegen Euch, und nur ein schnelles und brutales Vorgehen könnte verhindern, dass ihre Worte Wirkung zeigen.;;;x
EVTOPTA_Plus_1912;Ignore it, for now;;Ignoriert sie vorerst;;;x
EVTOPTB_Plus_1912;Round up the agitators and execute them;;Trommelt die Aufwiegler zusammen und richtet sie hin;;;x
EVTDESC_Plus_1915;[Root.GetTitledFirstNameNoRegnal],\nI write you now because I can endure your sins no further. You are a [GetFromFromRootInsult] [Root.GetManWoman], and an apostate in the eyes of Allah. I hereby declare you Kafir!\n\n[FromFrom.GetTitledName];;[Root.GetTitledFirstNameNoRegnal],\nIch schreibe dir jetzt, weil ich deine Sünden nicht länger ertragen kann. Du bist ein [GetFromFromRootInsult] [Root.GetManWoman], und ein Abtrünniger in den Augen Allahs. Ich erkläre dich hiermit zum Kafir!\n\n[FromFrom.GetTitledName];;;x
EVTOPTA_Plus_1915;Oh no!;;Oh nein!;;;x
EVTDESC_Plus_1916;My liege,\nThough it pains me to say it, I can no longer watch your descent into sin. You are a [GetFromFromRootInsult] [Root.GetManWoman], and an apostate in the eyes of Allah. I hereby declare you Kafir!\n\n[FromFrom.GetTitledName];;Mein Lehnsherr,\nAuch wenn es mich schmerzt, es zu sagen, kann ich deinen Abstieg in die Sünde nicht länger mit ansehen. Ihr seid ein [GetFromFromRootInsult] [Root.GetManWoman], und ein Abtrünniger in den Augen Allahs. Ich erkläre dich hiermit zum Kafir!\n\n[FromFrom.GetTitledName];;;x
EVTDESC_Plus_1917_family;[Root.GetTitledName] is brought up from the dungeon and escorted to the plaza in [From.Capital.GetName], in front of the cheering crowds and [From.GetTitledFirstNameNoRegnal] looking on. There, as the sword is raised above [Root.GetHerHis] neck, [Root.GetSheHe] looks at [Root.GetHerHis] [GetFromRelation] with pleading eyes. 'Don't do this, [From.GetFirstName]! There has to be some other way...' Alas, there was not.;;[Root.GetTitledName] wird aus dem Kerker geholt und vor den Augen der jubelnden Menge und [From.GetTitledFirstNameNoRegnal] auf den Platz in [From.Capital.GetName] eskortiert. Dort, als das Schwert über [Root.GetHerHis] Hals erhoben wird, schaut [Root.GetSheHe] mit flehenden Augen auf [Root.GetHerHis] [GetFromRelation]. Tun Sie das nicht, [From.GetFirstName]! Es muss doch einen anderen Weg geben...' Leider gab es das nicht.;;;x
EVTOPTA_Plus_1917_family;You are family, but this is how it must be;;Ihr seid eine Familie, aber so muss es sein;;;x
EVTDESC_Plus_1917_spouse;[Root.GetTitledName], [GetHusbandWife] of [From.GetTitledName], is dragged into the central square of [From.Capital.GetName], where a huge bonfire roars. In a last, desperate effort to save [Root.GetHerselfHimself], [Root.GetSheHe] calls out to [From.GetTitledFirstNameNoRegnal]. 'I have always loved you, [Root.GetFirstName], and I always shall!' But it is not enough.;;[Root.GetTitledName], [GetHusbandWife] von [From.GetTitledName], wird auf den zentralen Platz von [From.Capital.GetName] geschleppt, wo ein riesiges Freudenfeuer lodert. In einem letzten, verzweifelten Versuch, [Root.GetHerselfHimself] zu retten, ruft [Root.GetSheHe] nach [From.GetTitledFirstNameNoRegnal]. Ich habe dich immer geliebt, [Root.GetFirstName], und ich werde dich immer lieben! Aber das ist nicht genug.;;;x
EVTOPTA_Plus_1917_spouse;Forgive me then, my love, but this is how it must be;;Verzeih mir also, meine Liebe, aber so muss es sein;;;x
EVTDESC_Plus_1917_dynasty;[Root.GetTitledName] is brought up from the dungeons and placed at the block in front of a cheering crowd in [Root.Capital.GetName]'s central square. As they raise the sword above [Root.GetHerHis] neck, [Root.GetSheHe] cries out to the watching [From.GetTitledFirstNameNoRegnal]: 'Don't do this, [From.GetFirstName]! We are family, and of the same blood!' But the sword descends even so.;;[Root.GetTitledName] wird aus dem Kerker geholt und vor einer jubelnden Menge auf dem zentralen Platz von [Root.Capital.GetName] an den Block gestellt. Als sie das Schwert über [Root.GetHerHis] Hals heben, schreit [Root.GetSheHe] den zuschauenden [From.GetTitledFirstNameNoRegnal] zu: ""Tu das nicht, [From.GetFirstName]! Wir sind eine Familie und haben das gleiche Blut!' Aber das Schwert senkt sich trotzdem.;;;x
EVTOPTA_Plus_1917_dynasty;It is not enough to save you;;Es ist nicht genug, um Euch zu retten;;;x
EVTDESC_Plus_1917_saoshyant;[From.GetTitledFirstNameNoRegnal] spits at the ragged creature curled into a ball before [From.GetHerHim]. 'King of Kings,' [From.GetSheHe] mocks, with a sharp kick to the kidneys, 'Bringer of Benefit. There is only one Bringer of Benefit, and that is Allah, whose truth and love you have rejected for idolatry.' [From.GetSheHeCap] raises a great scimitar, shining steel reflecting the screaming crowd, and beheads [Root.GetTitledFirstNameNoRegnal].;;[From.GetTitledFirstNameNoRegnal] spuckt auf die zerlumpte Kreatur, die sich vor [From.GetHerHim] zu einer Kugel zusammengerollt hat. König der Könige", spottet [From.GetSheHe] mit einem scharfen Tritt in die Nieren, "Bringer des Nutzens. Es gibt nur einen Bringer der Wohltat, und das ist Allah, dessen Wahrheit und Liebe ihr durch Götzendienst verworfen habt.' [From.GetSheHeCap] erhebt einen großen Krummsäbel, dessen glänzender Stahl die schreiende Menge reflektiert, und enthauptet [Root.GetTitledFirstNameNoRegnal].;;;x
EVTOPTA_Plus_1917_saoshyant;I hope Allah has a special jinn waiting for your soul;;Ich hoffe, Allah hat einen besonderen Dschinn, der auf deine Seele wartet;;;x
EVTDESC_Plus_1917_pope;[Root.GetTitledName] is dragged, stumbling and bloody, before a screaming crowd in [From.Capital.GetName]. [From.GetTitledFirstNameNoRegnal] regards [Root.GetHerHim] and laughs. 'This broken old [Root.GetManWoman], covered in [Root.GetHerHis] own filth, dressed in ragged, once-fine robes, is the [Root.GetManWoman] who commanded a hundred legions of infidels to invade Dar al-Islam? You are so pathetic, it is not even worth the torture. Just cut off [Root.GetHerHis] head.' The attendants rush to do just that.;;[Root.GetTitledName] wird stolpernd und blutig vor eine schreiende Menge in [From.Capital.GetName] geschleift. [From.GetTitledFirstNameNoRegnal] betrachtet [Root.GetHerHim] und lacht. Diese gebrochene alte [Root.GetManWoman], bedeckt mit [Root.GetHerHis] eigenem Dreck, gekleidet in zerlumpte, einstmals feine Gewänder, ist die [Root.GetManWoman], die hundert Legionen von Ungläubigen befahl, in Dar al-Islam einzufallen? Ihr seid so erbärmlich, dass es nicht einmal die Folter wert ist. Schlagt [From.GetHerHis] einfach den Kopf ab.' Die Diener beeilen sich, genau das zu tun.;;;x
EVTOPTA_Plus_1917_pope;Pray your carpenter comes to save you;;Bete, dass dein Zimmermann kommt, um dich zu retten;;;x
EVTDESC_Plus_1917_patriarch;[Root.GetTitledName] flinches, but does not scream, as the nails are pounded through [Root.GetHerHis] hands. The crown in [From.Capital.GetName]'s central square cheers wildly, while [From.GetTitledFirstNameNoRegnal] looks on. 'You are brave,' [From.GetSheHe] calls out, 'I will give you that. But you should thank me! I am giving you the chance to die like your false savior!';;[Root.GetTitledName] zuckt zusammen, schreit aber nicht, als die Nägel durch [Root.GetHerHis] Hände geschlagen werden. Die Krone auf dem zentralen Platz von [From.Capital.GetName] jubelt wild, während [From.GetTitledFirstNameNoRegnal] zuschaut. Ihr seid mutig", ruft [From.GetSheHe], "das muss ich Euch lassen. Aber Ihr solltet mir danken! Ich gebe Euch die Chance, wie Euer falscher Retter zu sterben!';;;x
EVTOPTA_Plus_1917_patriarch;I wonder if [Root.GetSheHe] sees [Root.GetHerHis] house from there;;Ich frage mich, ob [From.GetSheHe] von dort aus [From.GetHerHis] Haus sieht;;;x
EVTDESC_Plus_1917_caliph;The blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [Root.GetTitledFirstNameNoRegnal] walks up to him: 'Your sins are great, for there can be no peace when the Commander of the Faithful is not faithful to Allah. Pray for forgiveness now, and maybe Allah will forgive you when you meet Him.';;Der [Root.GetTitledName] wird mit verbundenen Augen aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt, wo eine schreiende Menge wartet. [Root.GetTitledFirstNameNoRegnal] geht auf ihn zu: ""Deine Sünden sind groß, denn es kann keinen Frieden geben, wenn der Befehlshaber der Gläubigen Allah nicht treu ist. Bete jetzt um Vergebung, und vielleicht wird Allah dir vergeben, wenn du Ihm begegnest.';;;x
EVTOPTA_Plus_1917_caliph;And I shall send you to Him;;Und ich werde dich zu Ihm schicken.;;;x
EVTDESC_Plus_1917_jewish_head;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [Root.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You have kept your faith, that is true. But it is now obsolete. Convert to Islam, or die.' The [Root.GetManWoman] makes no response, save to spit in the ground before the [From.PrimaryTitle.GetRulerTitle], sealing [Root.GetHerHis] fate.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt. [Root.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Du hast deinen Glauben bewahrt, das ist wahr. Aber er ist jetzt überholt. Konvertiere zum Islam, oder stirb.' Die [Root.GetManWoman] antwortet nicht, sondern spuckt vor dem [From.PrimaryTitle.GetRulerTitle] in den Boden und besiegelt damit [Root.GetHerHis] Schicksal.;;;x
EVTOPTA_Plus_1917_jewish_head;So be it;;So sei es;;;x
EVTDESC_Plus_1917_zoro_head;[Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a roaring bonfire and a wildly screaming crowd. [Root.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'All that work to restore your false religion, yet in the end it is undone once more. Your people worship fire, yes?' [From.GetSheHeCap] grins wickedly at the bonfire, radiating intense heat. 'Let us see how much it likes you.';;[Root.GetTitledName] wird aus den Kerkern auf den zentralen Platz von [From.Capital.GetName] geschleppt, vor ein loderndes Lagerfeuer und eine wild schreiende Menge. [Root.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: "All die Arbeit, um eure falsche Religion wiederherzustellen, und doch ist sie am Ende wieder zunichte gemacht worden. Euer Volk betet das Feuer an, ja?" [From.GetSheHeCap] grinst verrucht in Richtung des Lagerfeuers, das große Hitze ausstrahlt. Lasst uns sehen, wie sehr es Euch mag.;;;x
EVTOPTA_Plus_1917_zoro_head;Not that much, as it turns out;;Nicht so sehr, wie sich herausstellt;;;x
EVTDESC_Plus_1917_king_israel;[Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal]'s jailors have not been kind to this so-called '[Root.GetKingQueen] of the Jews'. Body battered, face broken and bruised, yet [Root.GetSheHe] still stands tall against the jeering crowd. [Root.GetSheHeCap] breathes a prayer as [From.GetTitledFirstNameNoRegnal] raises [From.GetHerHis] blade.;;[Root.GetTitledName] wird vor einer schreienden Menge aus den Kerkern auf den zentralen Platz von [From.Capital.GetName] gezerrt. Die Kerkermeister von [From.GetTitledFirstNameNoRegnal] waren nicht nett zu dieser so genannten '[Root.GetKingQueen] der Juden'. Mit zerschundenem Körper, zerschlagenem Gesicht und blauen Flecken steht [Root.GetSheHe] immer noch aufrecht in der johlenden Menge. [Root.GetSheHeCap] haucht ein Gebet, während [From.GetTitledFirstNameNoRegnal] die Klinge von [From.GetHerHis] hebt.;;;x
EVTOPTA_Plus_1917_king_israel;[Root.Religion.GetRandomEvilGodName] take your soul!;;[Root.Religion.GetRandomEvilGodName] nimm deine Seele!;;;x
EVTDESC_Plus_1917_emperor;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'All your worldly power, all those armies at your command. They are not but dust in the face of Allah.' The command is given, and [Root.GetTitledFirstNameNoRegnal] dies.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] gezerrt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""All Eure weltliche Macht, all die Armeen unter Eurem Befehl. Sie sind nichts als Staub im Angesicht Allahs.' Der Befehl wird erteilt, und [Root.GetTitledFirstNameNoRegnal] stirbt.;;;x
EVTOPTA_Plus_1917_emperor;Allah may show you mercy, but I shall not;;Allah mag dir Gnade erweisen, aber ich werde es nicht tun.;;;x
EVTDESC_Plus_1917_christian_head;The crowd in [From.Capital.GetName]'s central square screams wildly as the execution of [Root.GetTitledName] is carried out. [From.GetTitledFirstNameNoRegnal] looks at the corpse of the [Root.GetManWoman], hanging broken and crucified upon the cross. 'I must give [Root.GetHerHim] credit,' [From.GetSheHe] says. '[Root.GetSheHeCap] did not cry out, not even in the end.';;Die Menge auf dem zentralen Platz von [From.GetTitledName] schreit wild herum, als die Hinrichtung von [Root.GetTitledName] vollzogen wird. [From.GetTitledFirstNameNoRegnal] schaut auf den Leichnam von [Root.GetManWoman], der gebrochen und gekreuzigt am Kreuz hängt. Ich muss [Root.GetHerHim] Anerkennung zollen"", sagt [From.GetSheHe]. '[Root.GetSheHeCap] hat nicht geschrien, nicht einmal am Ende.';;;x
EVTOPTA_Plus_1917_christian_head;A pity such a brave [Root.GetManWoman] followed a false religion;;Schade, dass eine so tapfere [Root.GetManWoman] einer falschen Religion folgte;;;x
EVTDESC_Plus_1917_pagan_head;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You pagans may have the trappings of a religion, but you are no better than monkeys, imitating your betters. There is but one true faith, and that is written in the Qur'an. Pray to your false idols, but they will not save you.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Ihr Heiden mögt zwar den Anschein einer Religion haben, aber ihr seid nicht besser als Affen, die ihre Vorgesetzten imitieren. Es gibt nur einen wahren Glauben, und der steht im Koran geschrieben. Betet zu euren falschen Götzen, aber sie werden euch nicht retten.' Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_pagan_head;Goodbye, idolater;;Auf Wiedersehen, Götzendiener;;;x
EVTDESC_Plus_1917_king;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'Give me your trust said the King on his throne,' [From.GetSheHe] quotes, 'but there is no King one should trust but Allah. You have turned your back on the Highest, and now He has turned his back on you.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: "Gebt mir euer Vertrauen, sagte der König auf seinem Thron", zitiert [From.GetSheHe], ""aber es gibt keinen König, dem man vertrauen sollte, außer Allah. Ihr habt dem Höchsten den Rücken gekehrt, und nun hat Er sich von euch abgewandt.' Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_king;Let the true King show mercy upon you;;Möge der wahre König Gnade mit dir haben;;;x
EVTDESC_Plus_1917_crusader;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [Root.GetSheHeCap] is thrown before [From.GetTitledFirstNameNoRegnal], who spits on [Root.GetHerHim] in disgust. 'You pigs invade our lands, massacre our people and defile our holy lands with your false god. I tell you this - your death, no matter how agonizing, is far better than you deserve.';;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus den Kerkern auf den zentralen Platz von [From.Capital.GetName] geschleppt. [Root.GetSheHeCap] wird vor [From.GetTitledFirstNameNoRegnal] geworfen, der [Root.GetHerHim] angewidert anspuckt. Ihr Schweine seid in unser Land eingedrungen, habt unser Volk massakriert und unsere heiligen Länder mit eurem falschen Gott geschändet. Ich sage euch: Euer Tod, so qualvoll er auch sein mag, ist weit besser, als ihr es verdient habt.';;;x
EVTOPTA_Plus_1917_crusader;And I will make it quite agonizing indeed;;Und ich werde ihn in der Tat sehr qualvoll gestalten;;;x
EVTDESC_Plus_1917_sayyid;[Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You have the blood of the Prophet in you, yet you turn against Him. Death is nothing compared to the tortures that await you in the afterlife. But out of respect for the Prophet, I will not shed your blood.' [From.GetSheHeCap] points to the nearby cistern of water, where [Root.GetTitledFirstNameNoRegnal] is to be drowned...;;[Root.GetTitledName] wird vor einer schreienden Menge aus den Kerkern auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Du trägst das Blut des Propheten in dir, und doch wendest du dich gegen ihn. Der Tod ist nichts im Vergleich zu den Qualen, die dich im Jenseits erwarten. Aber aus Respekt vor dem Propheten werde ich dein Blut nicht vergießen.' [From.GetSheHeCap] zeigt auf die nahe gelegene Zisterne mit Wasser, in der [Root.GetTitledFirstNameNoRegnal] ertränkt werden soll...;;;x
EVTOPTA_Plus_1917_sayyid;It was done respectfully, I think;;Es wurde respektvoll getan, denke ich.;;;x
EVTDESC_Plus_1917_duke;The bruised and blindfolded [Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You are a wise and noble [Root.PrimaryTitle.GetRulerTitle], and I am sorry it has come to this.' Then [From.GetSheHe] smiles. 'Or, rather, I am sorry I will not receive a ransom for you.' With those words, [Root.GetTitledFirstNameNoRegnal]'s fate is sealed.;;Der geprellte und mit verbundenen Augen ausgestattete [Root.GetTitledName] wird vor einer schreienden Menge aus dem Kerker auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Ihr seid eine weise und edle [Root.PrimaryTitle.GetRulerTitle], und es tut mir leid, dass es so weit gekommen ist. Dann lächelt [From.GetSheHe]. Oder besser gesagt, es tut mir leid, dass ich kein Lösegeld für Euch erhalten werde. Mit diesen Worten ist das Schicksal von [Root.GetTitledFirstNameNoRegnal] besiegelt.;;;x
EVTOPTA_Plus_1917_duke;Faith is more important than gold;;Der Glaube ist wichtiger als Gold;;;x
EVTDESC_Plus_1917_kafir;[Root.GetTitledName] is dragged from the dungeons into [From.Capital.GetName]'s central square, before a screaming crowd. [From.GetTitledFirstNameNoRegnal] walks up to [Root.GetHerHim]: 'You have betrayed your God and his Commandments. For the sin of apostasy, I hereby sentence you to death!' The crowd cheers as [From.GetTitledFirstNameNoRegnal] raises [From.GetHerHis] sword high above the Kafir's head.;;[Root.GetTitledName] wird vor einer schreienden Menge aus den Kerkern auf den zentralen Platz von [From.Capital.GetName] geschleppt. [From.GetTitledFirstNameNoRegnal] geht auf [Root.GetHerHim] zu: ""Du hast deinen Gott und seine Gebote verraten. Für die Sünde des Glaubensabfalls verurteile ich dich hiermit zum Tode!' Die Menge jubelt, als [From.GetTitledFirstNameNoRegnal] das Schwert von [From.GetHerHis] hoch über den Kopf des Kafirs hebt.;;;x
EVTOPTA_Plus_1917_kafir;Allah may show you mercy, but I shall not;;Allah mag dir Gnade erweisen, aber ich werde es nicht tun.;;;x
