#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1152;A New Emperor;;Ein neuer Kaiser;;;x
EVTDESC_Plus_1160;To [Root.GetHerHisCap] Imperial Majesty, [Root.GetTitledName],\nI offer my congratulations on your coronation, and, as a loyal subject to [FromFromFrom.GetTitledName], I hereby offer you my devout oath of fealty. Let the [From.PrimaryTitle.GetFullName] become part of the Holy Roman Empire.\n\nSigned in faith,\n[From.GetTitledName];;Kaiserliche Majestät, [Root.GetHerHisCap], [Root.GetTitledName], ich gratuliere Euch zu Eurer Krönung, und als treuer Untertan von [FromFromFrom.GetTitledName] leiste ich Euch hiermit meinen ergebenen Lehnseid. Möge der [From.PrimaryTitle.GetFullName] Teil des Heiligen Römischen Reiches werden.\n\nIm Glauben unterzeichnet,\n[From.GetTitledName];;;x
EVTOPTA_Plus_1160;Accept [From.GetHerHis] oath of fealty;;Akzeptiere [From.GetHerHis] Lehnseid;;;x
EVTOPTB_Plus_1160;No, I don't want [From.GetHerHim] as a vassal;;Nein, ich will [From.GetHerHim] nicht als Lehnsmann;;;x
EVTNAME_Plus_1161;The Carolingian Empire;;Das Karolingische Reich;;;x
EVTDESC_Plus_1161;The throne of the Carolingian Empire is not an easy thing to hold. Its vassals are notoriously independent, and as each generation of rulers gets further from Charlemagne, their memory of what the throne stands for grows more distant. For now, at least, your rule appears to be safe.;;Der Thron des Karolingischen Reiches ist nicht leicht zu besteigen. Seine Vasallen sind notorisch unabhängig, und mit jeder Generation von Herrschern, die sich von Karl dem Großen entfernt, entfernt sich ihre Erinnerung an das, wofür der Thron steht, immer mehr. Zumindest im Moment scheint Ihre Herrschaft sicher zu sein.;;;x
EVTNAME_Plus_1162;End of the Carolingian Empire;;Das Ende des Karolingerreichs;;;x
EVTDESC_Plus_1162;Though you recently assumed the Carolingian throne, it appears it is not yours to hold. The Pope has refused to anoint you with his blessing, and indeed there are far too many who consider the throne to exist only in name. To them, you claim of the imperial title is meaningless. The once-great empire of Charlemagne has fallen to chaos.;;Obwohl Sie vor kurzem den karolingischen Thron bestiegen haben, scheint es, dass Sie ihn nicht halten können. Der Papst hat sich geweigert, Euch seinen Segen zu erteilen, und in der Tat gibt es viel zu viele, die der Meinung sind, der Thron bestehe nur dem Namen nach. Für sie ist Euer Anspruch auf den kaiserlichen Titel bedeutungslos. Das einst große Reich Karls des Großen ist ins Chaos gestürzt.;;;x
EVTOPTA_Plus_1162;No! This cannot be!;;Nein! Das kann nicht sein!;;;x
EVTNAME_Plus_1163;End of the Carolingian Empire;;Das Ende des Karolingischen Reiches;;;x
EVTDESC_Plus_1163;While [From.GetTitledFirstName] has assumed the throne of the Carolingian Empire, it appears that far too many consider [From.GetHerHis] title to exist purely in name. The Pope has refused to anoint [From.GetHerHim] with his blessing, and thus the once-great empire of Charlemagne has fallen to chaos.;;Obwohl [From.GetTitledFirstName] den Thron des Karolingischen Reiches bestiegen hat, scheinen zu viele der Ansicht zu sein, dass [From.GetHerHis] Titel nur dem Namen nach existiert. Der Papst hat sich geweigert, [From.GetHerHim] mit seinem Segen zu salben, und so ist das einst große Reich Karls des Großen ins Chaos gestürzt.;;;x
EVTOPTA_Plus_1163;This is terrible news!;;Das ist eine schreckliche Nachricht!;;;x
EVTOPTB_Plus_1163;So be it;;So sei es;;;x
EVTDESC_Plus_1164;Part of the agreement made between [From.GetTitledFirstName] and [current_pope.GetTitledFirstName] for [From.GetHerHis] coronation was the turning over of certain lands in central Italy to the Pope's control -- lands which include part of your domain.;;Teil der Vereinbarung, die zwischen [From.GetTitledFirstName] und [current_pope.GetTitledFirstName] für [From.GetHerHis] Krönung getroffen wurde, war die Übergabe bestimmter Ländereien in Mittelitalien an den Papst - Ländereien, die einen Teil Eures Reiches umfassen.;;;x
EVTOPTA_Plus_1164;What? I never agreed to this!;;Was? Dem habe ich nie zugestimmt!;;;x
EVTDESC_Plus_1170;Since you are not a subject of the Holy Roman Empire, some of your titles have become de facto kingdoms.;;Da Ihr kein Untertan des Heiligen Römischen Reiches seid, sind einige Eurer Titel de facto zu Königreichen geworden.;;;x
EVTDESC_Plus_1171;Under the laws of the Holy Roman Empire, some of your titles have been demoted to a slightly lesser rank.;;Nach den Gesetzen des Heiligen Römischen Reiches wurden einige Eurer Titel auf einen etwas geringeren Rang zurückgestuft.;;;x
EVTDESC_Plus_1175;I expressed my wishes and desires for a coronation in Rome to his holiness the Pope. Hopefully he will accept my request so that I can begin inviting my lords to attend the coronation ceremony.;;Ich habe seiner Heiligkeit, dem Papst, meine Wünsche für eine Krönung in Rom mitgeteilt. Ich hoffe, dass er meiner Bitte nachkommen wird, damit ich damit beginnen kann, meine Herren zur Krönungszeremonie einzuladen.;;;x
EVTOPTA_Plus_1175;Of course he will accept;;Natürlich wird er annehmen;;;x
EVTDESC_Plus_1176;To the most Reverend and Blessed Apostolic Pope,\n\nI would like to ask you for your blessing in my rule as Emperor-elect by holding officially holding a coronation ceremony in my honor.\n\nYour most devoted subject,\n[From.GetTitledName];;An den hochverehrten und gesegneten Apostolischen Papst,\n\n Ich möchte Euch um Euren Segen für meine Herrschaft als gewählter Kaiser bitten, indem Ihr offiziell eine Krönungszeremonie zu meinen Ehren abhaltet.\n\n Euer ergebenster Untertan,\n[From.GetTitledName];;;x
EVTOPTA_Plus_1176;[From.GetFirstName] is deserving of a crown;;[From.GetFirstName] hat eine Krönung verdient.;;;x
EVTOPTB_Plus_1176;[From.GetFirstName] is no true Emperor;;[From.GetFirstName] ist kein wahrer Kaiser.;;;x
EVTDESC_Plus_1177;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to offer you my blessing to allow your coronation in Rome, as [Root.PrimaryTitle.GetAdjective] Emperor, under my guidance.;;Im Namen des Herrn möchte ich, [From.GetTitledFirstName], Euch meinen Segen geben, um Eure Krönung in Rom als [Root.PrimaryTitle.GetAdjective] Imperator unter meiner Führung zu ermöglichen.;;;x
EVTOPTA_Plus_1177;Excellent, send out the a message to invite all my lords;;Exzellent, sendet eine Nachricht aus, um alle meine Herren einzuladen;;;x
EVTDESC_Plus_1178;To [Root.GetHerHisCap] Majesty [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], would like to inform you that I deem you are not yet worthy and just enough as a ruler to be offered my blessings to become crowned as the [Root.PrimaryTitle.GetAdjective] Emperor. The Lord surely has much faith in you as you have in him, but remember that the honor of receiving His blessing does not come easy and is only for the purest of souls.\nSigned,\n[From.GetTitledName];;An [Root.GetHerHisCap] Majestät [Root.GetTitledFirstName],\nIm Namen des Herrn möchte ich, [From.GetTitledName], Euch mitteilen, dass ich Euch noch nicht für würdig und gerecht genug als Herrscher halte, um Euch meinen Segen für die Krönung zum [Root.PrimaryTitle.GetAdjective] Imperator zu geben. Der Herr hat sicherlich großes Vertrauen in dich, so wie du in ihn, aber denke daran, dass die Ehre, seinen Segen zu erhalten, nicht einfach ist und nur den reinsten Seelen zuteil wird.\nGezeichnet,\n[From.GetTitledName];;;x
EVTOPTA_Plus_1178;Why can't he ever just say:No!;;Warum kann er nicht einfach sagen: Nein!;;;x
EVTDESC_Plus_1179;To Noble [Root.GetTitledFirstName],\nYou should be happy to know that, I, [From.GetTitledName], will hold a coronation ceremony in Rome in my honor with the blessing of his Holiness the Pope. You received the honor to be invited to attend the ceremony, which will be held soon in Rome. I await your positive reply.\n\nYour most Holy Lord and Liege,\n[From.GetTitledName];;An den Edlen [From.GetTitledFirstName],\nSie sollten sich freuen zu erfahren, dass ich, [From.GetTitledName], in Rom eine Krönungszeremonie zu meinen Ehren mit dem Segen seiner Heiligkeit des Papstes abhalten werde. Ihnen wurde die Ehre zuteil, zu dieser Zeremonie eingeladen zu werden, die bald in Rom stattfinden wird. Ich erwarte Eure positive Antwort. Euer heiligster Herr und Lehnsherr, [From.GetTitledName];;;x
EVTOPTA_Plus_1179;I will attend the ceremony;;Ich werde an der Zeremonie teilnehmen.;;;x
EVTOPTB_Plus_1179;I refuse to set foot in that pompous windbag's castle;;Ich weigere mich, einen Fuß in das Schloss dieses aufgeblasenen Windsacks zu setzen.;;;x
EVTDESC_Plus_1180;[From.GetTitledName] is sorry to inform you that [From.GetSheHe] will not be able to attend the coronation ceremony in Rome as [From.GetSheHe] has more important issues to attend to.;;[From.GetTitledName] bedauert, Euch mitteilen zu müssen, dass [From.GetSheHe] nicht an der Krönungszeremonie in Rom teilnehmen kann, da [From.GetSheHe] sich um wichtigere Angelegenheiten kümmern muss.;;;x
EVTOPTA_Plus_1180;I have no words for such dishonor;;Ich habe keine Worte für eine solche Schande;;;x
EVTDESC_Plus_1181;Today I was crowned by his Holiness the Pope and formally received the title of [Root.PrimaryTitle.GetAdjective] Emperor and the Imperial Regalia with the blessing of the Pope.;;Heute wurde ich von seiner Heiligkeit dem Papst gekrönt und erhielt offiziell den Titel [Root.PrimaryTitle.GetAdjective] Kaiser und die kaiserlichen Insignien mit dem Segen des Papstes.;;;x
EVTNAME_Plus_1181;[Root.PrimaryTitle.GetAdjective] Emperor;;[Root.PrimaryTitle.GetAdjective] Kaiser;;;x
EVTOPTA_Plus_1181;This will strengthen my rule significantly;;Dies wird meine Herrschaft erheblich stärken;;;x
EVTDESC_Plus_1182;Today [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of [From.PrimaryTitle.GetAdjective] Emperor and the Imperial Regalia with the blessing of the Pope. The ceremony was magnificent.;;Heute wurde [From.GetTitledFirstName] von seiner Heiligkeit dem Papst gekrönt und erhielt offiziell den Titel [From.PrimaryTitle.GetAdjective] Kaiser und die kaiserlichen Insignien mit dem Segen des Papstes. Die Zeremonie war großartig.;;;x
EVTOPTA_Plus_1182;Long may [From.GetTitledFirstName] live!;;Möge [From.GetTitledFirstName] lange leben!;;;x
EVTDESC_Plus_1183;[From.GetTitledFirstName] has been crowned and received the Imperial Regalia by his holiness the Pope in the St. Peter's Basilica in Rome. The divine blessings conveyed by his Holiness the Pope confirm the right of rule over all Imperial lands governed by [From.GetTitledFirstName] and his appointed vassals.;;[From.GetTitledFirstName] wurde gekrönt und erhielt die kaiserlichen Insignien von seiner Heiligkeit, dem Papst, im Petersdom in Rom. Der göttliche Segen seiner Heiligkeit des Papstes bestätigt das Recht der Herrschaft über alle kaiserlichen Länder, die von [From.GetTitledFirstName] und seinen ernannten Vasallen regiert werden.;;;x
EVTOPTA_Plus_1183;Ok;;Ok;;;x
EVTDESC_Plus_1184;'In the name of Christ, I, [Root.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.'\n\nToday [Root.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of Holy Roman Emperor and the Imperial Regalia with the blessing of the Pope.;;Im Namen Christi verspreche, versichere und garantiere ich, [From.GetTitledFirstName], vor Gott und dem gesegneten Apostel Petrus, dass ich der Beschützer und Verteidiger dieser heiligen römischen Kirche sein werde, und zwar auf jede Art und Weise, die ihr nützlich ist, wie zahlreich sie auch sein mag, sofern ich durch göttlichen Beistand nach meinem Wissen und Können unterstützt werde. Heute wurde [From.GetTitledFirstName] von seiner Heiligkeit dem Papst gekrönt und erhielt mit dem Segen des Papstes offiziell den Titel des Heiligen Römischen Kaisers und die Reichsinsignien.;;;x
EVTNAME_Plus_1184;Pope Crowns Emperor;;Papst krönt Kaiser;;;x
EVTNAME_Plus_1185;The [Root.PrimaryTitle.GetFullName] United;;Das [Root.PrimaryTitle.GetFullName] Vereinigte;;;x
EVTDESC_Plus_1185;The Kingdom of Aquitaine has been united fully under the [Root.PrimaryTitle.GetFullName] as a single kingdom, with a single crown, and a single ruler in [Root.GetTitledFirstName].;;Das Königreich Aquitanien wurde vollständig unter dem [Root.PrimaryTitle.GetFullName] als ein einziges Königreich mit einer einzigen Krone und einem einzigen Herrscher in [Root.GetTitledFirstName] vereinigt.;;;x
EVTDESC_Plus_1186;With Lotharingia and Burgundy having fallen under my domain, my relatives are crying foul. They are demanding to meet with me at Meerssen, to create a new treaty to replace the Treaty of Verdun which first split up the Frankish Empire. If I do not, there will be no peace.;;Nachdem Lotharingien und Burgund unter meine Herrschaft gefallen sind, schreien meine Verwandten Sturm. Sie verlangen, dass ich mich in Meerssen treffe, um einen neuen Vertrag zu schließen, der den Vertrag von Verdun ersetzt, der das Fränkische Reich zuerst aufspaltete. Wenn ich das nicht tue, wird es keinen Frieden geben.;;;x
EVTOPTA_Plus_1186;Agree to the new treaty;;Stimmt dem neuen Vertrag zu;;;x
EVTOPTB_Plus_1186;No, the inheritance is rightfully mine!;;Nein, das Erbe ist rechtmäßig mein!;;;x
EVTNAME_Plus_1187;The Treaty of Meerssen;;Der Vertrag von Meerssen;;;x
EVTDESC_Plus_1187;[From.GetTitledFirstName] has met with his vassals at Meerssen and come up with a new treaty following his inheritance of Lotharingia and Burgundy. This will more equitably split the lands of Lothaire among his heirs, and allow for peace-at least for a time.;;[From.GetTitledFirstName] hat sich mit seinen Vasallen in Meerssen getroffen und einen neuen Vertrag ausgearbeitet, der seine Erbschaft von Lotharingien und Burgund regelt. Dieser wird die Ländereien Lotharingiens gerechter unter seinen Erben aufteilen und für Frieden sorgen - zumindest für eine gewisse Zeit.;;;x
EVTDESC_Plus_1188;[From.GetTitledFirstName] has inherited both Lotharingia and Burgundy, lands that were intended to be spread amongst the heirs of Lothaire. [From.GetSheHeCap] has refused to even discuss the issue of inheritance, all but daring his vassals to press the issue.;;[From.GetTitledFirstName] hat sowohl Lotharingien als auch Burgund geerbt, Ländereien, die unter den Erben von Lothaire aufgeteilt werden sollten. [From.GetSheHeCap] hat sich geweigert, die Frage des Erbes auch nur zu erörtern, er hat seine Vasallen geradezu herausgefordert, das Thema anzusprechen.;;;x
EVTOPTA_Plus_1188;It is not worth fighting over;;Es ist es nicht wert, darüber zu streiten.;;;x
EVTOPTB_Plus_1188;This cannot be allowed to stand!;;Das kann nicht hingenommen werden!;;;x
GAINS_WESTERN_MIDDLE_FRANCIA;gains all vassals in Bar, Flanders, Brabant, Burgundy, and Dauphine\n;;gewinnt alle Lehnsleute in Bar, Flandern, Brabant, Burgund und Dauphine\n;;;x
GAINS_FRISIA;gains all vassals in Gelre and Holland\n;;erlangt alle Vasallen in Gelre und Holland\n;;;x
GRANTED_DUCHY_ALSACE;§Y[hugues.GetBestName]§! is granted the Duchy of Alsace\n;;§Y[hugues.GetBestName]§! erhält das Herzogtum Elsass\n;;;x
offer_to_become_vassal;Offer to become [From.GetTitledFirstName]'s vassal\n;;Angebot, Vasall von [From.GetTitledFirstName] zu werden\n;;;x
they_are_enraged;§Y[This.GetBestName]§! is enraged, and will receive claims against your titles;;§Y[This.GetBestName]§! ist erzürnt und wird Ansprüche auf Eure Titel erhalten;;;x
