#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
AI_EVENT;AI_EVENT;AI_EVENT;AI_EVENT;;AI_EVENT;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC929_COURT;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC929_PROSPERITY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC929_GLORY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC929_TRADITION;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA929;Report it to [Root.Liege.GetTitledFirstNameNoRegnal];Report it to [Root.Liege.GetTitledFirstNameNoRegnal];Report it to [Root.Liege.GetTitledFirstNameNoRegnal];;Report it to [Root.Liege.GetTitledFirstNameNoRegnal];;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB929;Ignore it;Ignore it;Ignore it;;Ignore it;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC3013;Praise the man for a fantastic feast!;Louez votre hoste pour une feste fantastique !;Praise the man for a fantastic feast!;;Praise the man for a fantastic feast!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTD3013;I don't really need to bloat his ego more.;Je n'ai point vraiment besoin de faire enfler son égo.;I don't really need to bloat his ego more.;;I don't really need to bloat his ego more.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC3026;Not much left to do but enjoy it.;Il n'y a plus grand chose à faire à part en profiter.;Not much left to do but enjoy it.;;Not much left to do but enjoy it.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC3084;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;Faire preuve de charité signifie aussi de prendre sur soi. Il y a des gens qui m'abhorrent personnellement et souhaitent ma chute, mais je leur pardonne.;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;;Upholding the virtue of Charity means to bear wrongs patiently. There are some people who dislike me personally and wish me bad luck, but I forgive them.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6117;Things are quiet in [Root.Location.GetName] at the moment, and you have taken advantage of the calm to rest and recover some of the strength sapped by your previous illness.;Things are quiet in [Root.Location.GetName] at the moment, and you have taken advantage of the calm to rest and recover some of the strength sapped by your previous illness.;Things are quiet in [Root.Location.GetName] at the moment, and you have taken advantage of the calm to rest and recover some of the strength sapped by your previous illness.;;Things are quiet in [Root.Location.GetName] at the moment, and you have taken advantage of the calm to rest and recover some of the strength sapped by your previous illness.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA6117;Good health is a blessing;Good health is a blessing;Good health is a blessing;;Good health is a blessing;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB7504;Has [From.GetSheHe] gone insane?;Est-[From.GetSheHe] devenu fou ?;Ist [From.GetSheHe] verrückt geworden?;;¿[From.GetSheHeCap] has vuelto loco?;;;;;;;;;x
EVTOPTB7511;Never! It will be war!;Never! It will be war!;Never! It will be war!;;Never! It will be war!;;;;;;;;;x
EVTDESC39254;The Holy Father has refused to lift the excommunication against me.;Le Saint Père a refusé de lever mon excommunication.;The Holy Father has refused to lift the excommunication against me.;;The Holy Father has refused to lift the excommunication against me.;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA39254;Ill news...;Mauvaises nouvelles...;Ill news...;;Ill news...;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME39651;Pagan Lord Converted;Seigneur Païen Converti;Pagan Lord Converted;;Pagan Lord Converted;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME39652;Pagan Courtier Converted;Courtisan Païen Converti;Pagan Courtier Converted;;Pagan Courtier Converted;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME39653;Rival Missionary;Missionnaire Rival;Rival Missionary;;Rival Missionary;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTG4155;I want to hear 'Steppenwolf'!;Je veulx écouter 'Steppenwolf' !;Ich will 'Steppenwolf' hören!;;I want to hear 'Steppenwolf'!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC4300;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;La foire d'été de cette année a été un grand succès! Les marchands et commerçants venus à [Root.Capital.GetName] ont revitalisé l'économie de la province.;Das diesjährige Sommerfest war ein voller Erfolg! Die Kaufleute und Händler zu [Root.Capital.GetName] haben die Wirtschaft der Provinz revitalisiert.;;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6083;Perhaps it is a miracle - my old injury is beginning to feel a little better.;Peult-estre que c'est un miracle - mon ancienne blessure commence à aller un peu mieulx.;Vielleicht ist es ein Wunder - meine alte Verletzung beginnt zu heilen und ich fühle mich ein wenig besser.;;Tal vez es un milagro - de mi vieja lesión está empezando a sentir un poco mejor.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6600;My wound has become infected and gangrenous. The surgeon says that the limb must be removed if I am to survive.;Ma blessure a commencé à s'infecter et à se gangréner. Le chirugien dit que le membre doit estre amputé si je veulx survivre.;Meine alte Wunde hat sich mit Wundbrand infiziert. Der Chirurg meint, dass er die Gliedmaße amputieren muss, wenn ich überleben will.;;My wound has become infected and gangrenous. The surgeon says that the limb must be removed if I am to survive.;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA6600;Argh, the pain!;Mortecouille, quelle douleur !;Argh, der Schmerz!;;Argh, the pain!;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC6601;The illness sent me into a deep sleep in which I spent days moaning and trashing about in my fevered delirium. When I woke, the fever had broken but the world had gone dark.;La maladie m'a plongé dans un profond sommeil et j'ai passé des journées à gémir dans mon délire fiévreulx. Lorsque je me suis réveillé, la fièvre avoit disparu, mais le monde estoit devenu sombre.;The illness sent me into a deep sleep in which I spent days moaning and trashing about in my fevered delirium. When I woke, the fever had broken but the world had gone dark.;;The illness sent me into a deep sleep in which I spent days moaning and trashing about in my fevered delirium. When I woke, the fever had broken but the world had gone dark.;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA6601;I cannot see!;Je ne vois point !;I cannot see!;;I cannot see!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTC7255;Reveal the truth to all that will listen.;Reveal the truth to all that will listen.;Reveal the truth to all that will listen.;;Reveal the truth to all that will listen.;;;;;;;;;x,,,,
EVTDESC20161;Someone has been spreading lies about me to my vassals, saying that I distrust them and am unfit to rule. Unforunately it seems my vassals are receptive to this slander, and my relations with them have been damaged.;Quelqu'un a été répandre des mensonges à mon sujet auprès de mes vassaulx, disant que je manque de confiance a leur égard et que je suis inapte à gouverner. tristeusement, il semble que mes vassaulx soient réceptifs à ces calomnies, et mes relations avec eulx ont été détériorées.;Irgendjemand hat Lügen über mich verbreitet . Meine Vasallen, glauben, dass ich sie Misstrauen und bin unfähig zu herrschen. Leider scheint es meine Vasallen sind empfänglich für diese Verleumdung, und meine Beziehungen mit ihnen sind beschädigt worden.;;Someone has been spreading lies about me to my vassals, saying that I distrust them and am unfit to rule. Unforunately it seems my vassals are receptive to this slander, and my relations with them have been damaged.;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA20161;Who could have done this?;Qui auroit pu faire ça?;Wer könnte das getan haben?;;Who could have done this?;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC20162;My liege, I have managed to sow distrust between [From.GetTitledName] and [From.GetHerHis] vassals. I hope this pleases you.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];Mon seigneur, j'ai réussi à semer la discorde entre [From.GetTitledName] et ses vassaulx. J'espère que cela vous plaira.\n\nVotre humble Chancelier [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];Meine Herr, ich habe es geschafft, Misstrauen zwischen [From.GetTitledName] und [From.GetHerHis] Vasallen zu säen. Ich hoffe, dass das Ihnen gefällt.\n\nDeinen bescheidenen [Root.GetChancellorName]\n[Root.job_chancellor.GetTitledName];;My liege, I have managed to sow distrust between [From.GetTitledName] and [From.GetHerHis] vassals. I hope this pleases you.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC20170;It seems that the [Root.GetChancellorName] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been hard at work in [From.Location.GetName] trying to spread unrest among my vassals.;Il semble que le Chancelier [Root.GetChancellorName] de [From.Host.PrimaryTitle.GetName], [From.GetTitledName], a œuvré sans relache en [From.Location.GetName] pour y propager l'agitation parmi mes vassaulx.;Es scheint, dass der [Root.GetChancellorName] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName] sich hart an der Arbeit in [From.Location.GetName] Unruhe unter meine Vasallen zu verbreiten,;;It seems that the [Root.GetChancellorName] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been hard at work in [From.Location.GetName] trying to spread unrest among my vassals.;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB20170;It is of no concern;C'est sans intérest;Das ist nicht mein Problem;;It is of no concern;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC20172;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] tried to encourage my vassals to turn against me! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];Seigneur, Votre Chancelier [Root.GetChancellorName] [FromFrom.GetTitledName] a essayé d'encourager mes vassaulx à se retourner contre moi ! Cet acte abject ne peult rester impuni et pour empescher toute nouvelle ingérence, j'ai décidé de l'emprisonner  pour une période indéfinie. \n\nSigné,\n[From.GetTitledName];Mein Herr, dein [Root.GetChancellorName] [FromFrom.GetTitledName] versuchte, meine Vasallen gegen mich zu wenden! Diese schamlose Akt kann nicht ungestraft bleiben und um weitere Störungen zu vermeiden habe ich so entschieden, Ihren [Root.GetChancellorName] für eine unbestimmte Zeit einzusperren.\n\nGezeichnet,\n[From.GetTitledName];;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] tried to encourage my vassals to turn against me! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];;;;;;;x;;
EVTOPTC20270;Absolutely not!;Absolutely not!;Absolutely not!;;Absolutely not!;;;;;;;x;;
EVTDESC30087;New Friend;New Friend;New Friend;;New Friend;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTDESC30093;Perfect Activity;Perfect Activity;Perfect Activity;;Perfect Activity;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA30093;Friends forever!;Friends forever!;Friends forever!;;Friends forever!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB30093;Let's try again!;Let's try again!;Let's try again!;;Let's try again!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTDESC30094;Failed Activity;Failed Activity;Failed Activity;;Failed Activity;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA30094;Too bad!;Too bad!;Too bad!;;Too bad!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTOPTB30094;Let's try again!;Let's try again!;Let's try again!;;Let's try again!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,
EVTOPTE37004;I can accept this;I can accept this;I can accept this;;I can accept this;;;;;;;;;x,,,,
EVTDESC37012;[FromFrom.GetTitledFirstName] is so furious over my treatment of [FromFrom.GetHerHim] that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!;[FromFrom.GetTitledFirstName] est si en colère devant mon refus de lui accorder un titre qu'[FromFrom.GetSubjectPronoun] a quitté la cour du royaume du/de la [From.GetTitledName] en faisant savoir à tous qu'[FromFrom.GetSubjectPronoun] allait lever des troupes pour prendre par la force ce qui lui revenait ''de droit''.;[FromFrom.GetTitledFirstName] ist so wütend über meine Weigerung, [FromFrom.GetObjectPronoun] einen Titel zu gewähren, dass [FromFrom.GetSubjectPronoun] das Reich verlassen und sich dem Hof von [From.GetTitledName] angeschlossen hat. [FromFrom.GetSubjectPronoun] ließ wissen, dass [FromFrom.GetSubjectPronoun]  eine Armee aufstellt und sich mit Gewalt nehmen wird, was Recht ist. ;;[FromFrom.GetTitledFirstName] está tan furioso con mi rechazo a darle un título que [FromFrom.GetSubjectPronoun] ha abandonado el reino por la corte de [From.GetTitledName], ¡dejando claro que [FromFrom.GetSubjectPronoun] contrata tropas para conseguir lo que es [FromFrom.GetPossPronoun] 'por derecho' por la fuerza de las armas!;;;;;;;;;x;;;;;;;;;;;;
EVTDESC38002;The moneylenders are here, reminding me of that loan I took...;Les presteurs sont là pour me rappeler que j’ai un emprunt à rembourser...;Die Geldverleiher sind hier und erinnern mich an mein Darlehen ...;;Los prestamistas me recuerdan la deuda que asumí...;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTOPTA38002;I have the money right here;J'ai l'argent ici;Ich habe das Geld gerade zur Verfügung;;I have the money right here;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTOPTB38002;I do not have the full amount, but I will pay the interest;Je n'ai point la totalité, mais je vais payer les intérests;Weil ich die volle Summe momentan nicht habe, werde ich die Zinsen bezahlen.;;I do not have the full amount, but I will pay the interest;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTOPTC38002;I need more time to raise funds;J'ai besoin de plus de temps pour amasser des fonds;Ich brauche mehr Zeit, um das Geld aufzutreiben;;I need more time to raise funds;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTOPTD38002;You shall not have a single coin from me!;Vous n'aurez pas un sou de moi!;Du wirst nicht einen Pfennig von mir sehen!;;You shall not have a single coin from me!;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTTOOLTIP38002;Take a five-year loan at 25% interest;Contractez un emprunt sur cinq ans à un taulx d’intérest de 25%.;Ein Fünfjahresdarlehen zu 25% Zinsen aufnehmen;;Coge un préstamo de cinco años al 25% de interés;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTTOOLTIP38002B;The loan will be extended for two years;Le prest sera prolongé de deulx ans;Das Darlehen wird um 2 Jahre verlängert;;The loan will be extended for two years;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTTOOLTIP38002C;The debt will be due in five years;La dette sera payée en cinq ans;Die Schuldverschreibungen werden in fünf Jahren fällig.;;The debt will be due in five years;;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
EVTOPTC38230;I'm sure [From.GetSheHe] won't go too far.;Je suis susr qu'[From.GetSheHe] n'ira point trop loin.;Ich bin sicher, dass [From.GetSheHe] nicht zu weit gehen wird.;;I'm sure [From.GetSheHe] won't go too far.;;;;;;;;x;
EVTDESC39000_B;The [Root.Religion.GetName] faith has spread into the province of [Root.GetName]!;The [Root.Religion.GetName] faith has spread into the province of [Root.GetName]!;The [Root.Religion.GetName] faith has spread into the province of [Root.GetName]!;;The [Root.Religion.GetName] faith has spread into the province of [Root.GetName]!;;;;;;;;x;
EVTDESC39400_B;The [From.Religion.GetName] faith has spread into the province of [From.GetName]!;The [From.Religion.GetName] faith has spread into the province of [From.GetName]!;The [From.Religion.GetName] faith has spread into the province of [From.GetName]!;;The [From.Religion.GetName] faith has spread into the province of [From.GetName]!;;;;;;;;x;
