#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

########################
#
#	#Great Schism events"
#
########################

## Narrate Schism Prevented
# Title
PlusGreatSchism_003_title;The Patriarch Supreme;;Der Oberste Patriarch;;;;;;;;;;;x
PlusGreatSchism_042_latin;[rightful_relhead.GetTitledName] has contacted you, demanding that you switch to the Latin Rites. As [rightful_relhead.GetSheHe] has primacy within the [Root.PrimaryTitle.GetFullName], it is within [rightful_relhead.GetHerHis] right to make such a demand...but it is also your right to refuse.;;[rightful_relhead.GetTitledName] hat sich an Euch gewandt und verlangt, dass Ihr zu den lateinischen Riten wechselt. Da [rightful_relhead.GetSheHe] das Primat innerhalb der [Root.PrimaryTitle.GetFullName] hat, ist es das Recht von [rightful_relhead.GetHerHis], eine solche Forderung zu stellen ... aber es ist auch Euer Recht, sie abzulehnen.;;;;;;;;;;;x
PlusGreatSchism_042_greek;[rightful_relhead.GetTitledName] has contacted you, demanding that you switch to the Greek Rites. As [rightful_relhead.GetSheHe] has primacy within the [Root.PrimaryTitle.GetFullName], it is within [rightful_relhead.GetHerHis] right to make such a demand...but it is also your right to refuse.;;[rightful_relhead.GetTitledName] hat sich an Euch gewandt und verlangt, dass Ihr zu den griechischen Riten wechselt. Da [rightful_relhead.GetSheHe] das Primat innerhalb des [Root.PrimaryTitle.GetFullName] hat, ist es das Recht von [rightful_relhead.GetHerHis], eine solche Forderung zu stellen ... aber es ist auch Euer Recht, sie abzulehnen.;;;;;;;;;;;x

# Options
PlusGreatSchism_042_1;I will follow the traditions I always have;;Ich werde den Traditionen folgen, die ich immer hatte;;;;;;;;;;;x
PlusGreatSchism_042_2;I bow before [rightful_relhead.GetHerHis] demand;;Ich verneige mich vor der Forderung von [rightful_relhead.GetHerHis].;;;;;;;;;;;x

## Council called
# Title, also used for 062 and 063
PlusGreatSchism_061_title;The Council of [council_location.GetName];;Der Rat von [council_location.GetName];;;;;;;;;;;x

# Text, also used for 062
PlusGreatSchism_061_text_1;At the behest of [council_holder.GetTitledName], an ecumenical council is to take place at [council_location.GetName], one which many believe will end the Great Schism which has divided the western and eastern branches of Christianity once and for all. [target_religion1.GetTitledName] is said to be arriving, as is a horde of priests, patriarchs, and senior members of both the [mender_religion.Religion.GetName] and [target_religion1.Religion.GetName] faiths. Unlike previous councils, there is a feeling that the Great Schism may actually be resolved -- indeed, with the influence that [council_holder.GetTitledFirstNameNoRegnal] holds amongst the faithful, it may very well be that the [target_religion1.PrimaryTitle.GetRulerTitle] has no choice but to agree to the council's resolutions even if the result would turn [target_religion1.GetHerHim] into a virtual heretic. [target_religion1.Religion.GetName] rulers across the world are already considering whether they must submit to this new order of [mender_religion.Religion.GetName] dominance.;;Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein ökumenisches Konzil stattfinden, von dem viele glauben, dass es das Große Schisma, das den westlichen und den östlichen Zweig des Christentums gespalten hat, ein für alle Mal beenden wird. Es heißt, dass [target_religion1.GetTitledName] anreisen wird, ebenso wie eine Horde von Priestern, Patriarchen und hochrangigen Mitgliedern sowohl der [mender_religion.Religion.GetName] als auch der [target_religion1.Religion.GetName] Religion. Im Gegensatz zu früheren Konzilen besteht das Gefühl, dass das Große Schisma tatsächlich gelöst werden könnte - in der Tat könnte es bei dem Einfluss, den [council_holder.GetTitledFirstNameNoRegnal] unter den Gläubigen hat, sehr gut sein, dass der [target_religion1.PrimaryTitle.GetRulerTitle] keine andere Wahl hat, als den Beschlüssen des Konzils zuzustimmen, selbst wenn das Ergebnis [target_religion1.GetHerHim] zu einem virtuellen Häretiker machen würde. Die [target_religion1.Religion.GetName] Herrscher auf der ganzen Welt überlegen bereits, ob sie sich dieser neuen Ordnung der [mender_religion.Religion.GetName] Herrschaft unterwerfen müssen.;;;;;;;;;;;x
PlusGreatSchism_061_text_2;At the behest of [council_holder.GetTitledName], an ecumenical council is to take place at [council_location.GetName], one which seems ready to finally resolve the Council of Ephesus from the 5th Century -- that historic event which originally repudiated Nestorianism and caused the creation of the Church of the East. [target_religion1.GetTitledName] is said to be arriving, as is a large number of priests, patriarchs, and senior members of both the [mender_religion.Religion.GetName] and [target_religion1.Religion.GetName] faiths, almost too many for [council_location.GetName] to contain. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, it is believed the Nestorians will be brought into the [mender_religion.Religion.GetName] fold, something even the [target_religion1.PrimaryTitle.GetRulerTitle] will likely have no choice but to agree to even if this will turn [target_religion1.GetHerHim] into a virtual heretic. Already [target_religion1.Religion.GetName] rulers across the world are considering whether they will heed the council's wishes and convert.;;Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein ökumenisches Konzil stattfinden, das bereit zu sein scheint, das Konzil von Ephesus aus dem 5. Jahrhundert endgültig zu lösen - jenes historische Ereignis, das ursprünglich den Nestorianismus verwarf und die Entstehung der Kirche des Ostens bewirkte. Es wird gesagt, dass [target_religion1.GetTitledName] eintrifft, ebenso wie eine große Anzahl von Priestern, Patriarchen und hochrangigen Mitgliedern sowohl der [mender_religion.Religion.GetName] als auch der [target_religion1.Religion.GetName], fast zu viele, als dass [council_location.GetName] sie aufnehmen könnte. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal] im Rücken wird angenommen, dass die Nestorianer in den Schoß von [mender_religion.Religion.GetName] aufgenommen werden, etwas, dem sogar [target_religion1.PrimaryTitle.GetRulerTitle] wahrscheinlich zustimmen muss, auch wenn dies [target_religion1.GetHerHim] in einen virtuellen Ketzer verwandelt. Bereits jetzt überlegen [target_religion1.Religion.GetName] Herrscher auf der ganzen Welt, ob sie den Wünschen des Rates nachkommen und konvertieren sollen.;;;;;;;;;;;x
PlusGreatSchism_061_text_3;At the behest of [council_holder.GetTitledName], an ecumenical council is to take place at [council_location.GetName], one which seems ready to finally resolve the Council of Chalcedon from the 5th Century -- that historic event which originally repudiated 'monophysitism' and caused its believers to split from the Christian Church. Both [target_religion1.GetTitledName] [target_religion1.GetTitledName] are said to be arriving, as is a large number of priests, patriarchs, and senior members of the [mender_religion.Religion.GetName] faith. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, it is believed the miaphysites will finally be brought into the fold, something even the [target_religion1.PrimaryTitle.GetRulerTitle] and [target_religion1.PrimaryTitle.GetRulerTitle] will be powerless to oppose. Already [target_religion1.Religion.GetName] and [target_religion1.Religion.GetName] rulers across the world are considering whether they will heed the council's wishes and convert.;;"Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein ökumenisches Konzil stattfinden, das offenbar bereit ist, das Konzil von Chalkedon aus dem 5. Jahrhundert endgültig zu lösen - jenes historische Ereignis, das ursprünglich den ""Monophysitismus"" ablehnte und dessen Gläubige zur Abspaltung von der christlichen Kirche veranlasste. Beide [target_religion1.GetTitledName] [target_religion1.GetTitledName] sollen anreisen, ebenso wie eine große Anzahl von Priestern, Patriarchen und hochrangigen Mitgliedern des [mender_religion.Religion.GetName] Glaubens. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal] im Rücken wird angenommen, dass die Miaphysiten endlich in die Herde aufgenommen werden, etwas, dem selbst die [target_religion1.PrimaryTitle.GetRulerTitle] und [target_religion1.PrimaryTitle.GetRulerTitle] nichts entgegenzusetzen haben werden. Die Herrscher von [target_religion1.Religion.GetName] und [target_religion1.Religion.GetName] auf der ganzen Welt überlegen bereits, ob sie den Wünschen des Rates folgen und konvertieren werden.";;;;;;;;;;;x
PlusGreatSchism_061_text_4;At the behest of [council_holder.GetTitledName], an unprecedented ecumenical council is to take place at [council_location.GetName], one which will address the Council of Ephesus from the 5th Century -- that historic event which originally repudiated Nestorianism and caused the creation of the Church of the East. This time, however, Nestorianism is set to unite the eastern churches under its doctrine. [target_religion1.GetTitledName] is said to be arriving, as is a large number of priests, patriarchs, and senior members of both the [mender_religion.Religion.GetName] and [target_religion1.Religion.GetName] faiths. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, the [target_religion1.PrimaryTitle.GetRulerTitle] will likely have no choice but to accede to the council even if this will turn [target_religion1.GetHerHim] into a virtual heretic. Already [target_religion1.Religion.GetName] rulers across the world are considering whether to accept the inevitable and convert.;;Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein noch nie dagewesenes ökumenisches Konzil stattfinden, das sich mit dem Konzil von Ephesus aus dem 5. Jahrhundert befassen wird - jenem historischen Ereignis, das ursprünglich den Nestorianismus verwarf und die Gründung der Kirche des Ostens bewirkte. Diesmal jedoch soll der Nestorianismus die östlichen Kirchen unter seiner Lehre vereinen. Es heißt, dass [target_religion1.GetTitledName] eintrifft, ebenso wie eine große Anzahl von Priestern, Patriarchen und hochrangigen Mitgliedern sowohl der [mender_religion.Religion.GetName] als auch der [target_religion1.Religion.GetName] Glaubensgemeinschaft. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal] im Rücken wird [target_religion1.PrimaryTitle.GetRulerTitle] wahrscheinlich keine andere Wahl haben, als dem Rat beizutreten, selbst wenn dies [target_religion1.GetHerHim] in einen virtuellen Ketzer verwandeln wird. Bereits jetzt überlegen [target_religion1.Religion.GetName] Herrscher auf der ganzen Welt, ob sie das Unvermeidliche akzeptieren und konvertieren sollen.;;;;;;;;;;;x
PlusGreatSchism_061_text_5;At the behest of [council_holder.GetTitledName], an unprecedented ecumenical council is to take place at [council_location.GetName], one which will address the Council of Chalcedon from the 5th Century -- that historic event which originally repudiated 'monophysitism' and split its believers from the Christian Church. This time, however, the [mender_religion.Religion.GetName] faith is set to unite the eastern churches under its doctrine. [target_religion1.GetTitledName] is said to be arriving, as is [target_religion1.GetTitledName] -- who faces the prospect of a union of miaphysites, whether [target_religion1.GetSheHe] wishes it or no. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, neither leader will likely have any choice but to accede to its wishes even if this will turn them into virtual heretics. Already [target_religion1.Religion.GetName] and [target_religion1.Religion.GetName] rulers across the world are considering whether to accept the inevitable and convert.;;"Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein noch nie dagewesenes ökumenisches Konzil stattfinden, das sich mit dem Konzil von Chalkedon aus dem 5. Jahrhundert befasst - jenem historischen Ereignis, das ursprünglich den ""Monophysitismus"" ablehnte und dessen Gläubige von der christlichen Kirche spaltete. Diesmal jedoch will der [mender_religion.Religion.GetName] Glaube die östlichen Kirchen unter seiner Lehre vereinen. Man sagt, dass [target_religion1.GetTitledName] ankommt, ebenso wie [target_religion1.GetTitledName] - der mit der Aussicht auf eine Vereinigung der Miaphysiten konfrontiert ist, ob [target_religion1.GetSheHe] es will oder nicht. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal], der den Rat unterstützt, werden beide Anführer wahrscheinlich keine andere Wahl haben, als sich den Wünschen des Rates zu fügen, selbst wenn sie dadurch zu virtuellen Ketzern werden. Bereits jetzt überlegen [target_religion1.Religion.GetName] und [target_religion1.Religion.GetName] Herrscher auf der ganzen Welt, ob sie das Unvermeidliche akzeptieren und konvertieren sollen.";;;;;;;;;;;x
PlusGreatSchism_061_text_6;At the behest of [council_holder.GetTitledName], an unprecedented ecumenical council is to take place at [council_location.GetName], one that is expected to see the Great Schism between western and eastern Christianity ended once and for all. [target_religion1.GetTitledName] is said to be arriving, as are thousands of priests, patriarchs, and senior members of both the [mender_religion.Religion.GetName] and [target_religion1.Religion.GetName] faiths, almost too many for [council_location.GetName] to contain. With [council_holder.GetTitledFirstNameNoRegnal]'s influence backing the council, it is believed the [target_religion1.Religion.GetName] will be brought into the [mender_religion.Religion.GetName] fold, something even the [target_religion1.PrimaryTitle.GetRulerTitle] will likely have no choice but to agree to even if this will turn [target_religion1.GetHerHim] into a virtual heretic. Already [target_religion1.Religion.GetName] rulers across the world are considering whether they will heed the council's inevitable wishes and convert.;;Auf Geheiß von [council_holder.GetTitledName] soll in [council_location.GetName] ein noch nie dagewesenes ökumenisches Konzil stattfinden, von dem erwartet wird, dass es das Große Schisma zwischen dem westlichen und dem östlichen Christentum ein für alle Mal beendet. Es heißt, dass [target_religion1.GetTitledName] anreisen wird, ebenso wie Tausende von Priestern, Patriarchen und hochrangigen Mitgliedern der beiden Religionen [mender_religion.Religion.GetName] und [target_religion1.Religion.GetName], fast zu viele, als dass [council_location.GetName] sie aufnehmen könnte. Mit dem Einfluss von [council_holder.GetTitledFirstNameNoRegnal], der den Rat unterstützt, wird die [target_religion1.Religion.GetName] vermutlich in den Schoß von [mender_religion.Religion.GetName] überführt, etwas, dem selbst [target_religion1.PrimaryTitle.GetRulerTitle] wahrscheinlich nur zustimmen kann, auch wenn dies [target_religion1.GetHerHim] zu einem virtuellen Ketzer macht. Bereits jetzt überlegen [target_religion1.Religion.GetName] Herrscher auf der ganzen Welt, ob sie den unvermeidlichen Wünschen des Rates nachkommen und konvertieren sollen.;;;;;;;;;;;x

# Options
PlusGreatSchism_061_1;Let the council begin!;;Möge der Rat beginnen!;;;;;;;;;;;x

## Council called, rulers get to choose
# Title and Text taken from 061, above
# Options
PlusGreatSchism_061_1a;I will become [mender_religion.Religion.GetName];;Ich werde [mender_religion.Religion.GetName];;;;;;;;;;;x
PlusGreatSchism_061_1b;No, I am [target_religion1.Religion.GetName]!;;Nein, ich bin [target_religion1.Religion.GetName]!;;;;;;;;;;;x
PlusGreatSchism_061_1c;This is of great concern...;;Dies ist von großer Bedeutung...;;;;;;;;;;;x
PlusGreatSchism_061_1d;A truly glorious day;;Ein wahrhaft glorreicher Tag;;;;;;;;;;;x
PlusGreatSchism_061_1e;This has nothing to do with us;;Das hat nichts mit uns zu tun;;;;;;;;;;;x

## Council Ended
# Title taken from 061, above
# Text
PlusGreatSchism_063_text_1;After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has ended with the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] faith remain are now considered heretics, with most having already converted. The Great Schism is now officially ended.;;Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] eingeleitete Prozess endete mit dem triumphalen Sieg des Glaubens der [mender_religion.Religion.GetName]. Die wenigen verbliebenen Mitglieder des [target_religion1.Religion.GetName] Glaubens werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das Große Schisma ist nun offiziell beendet.;;;;;;;;;;;x
PlusGreatSchism_063_text_2;After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has ended with the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] faith remain are now considered heretics, with most having already converted. The original Council of Ephesus has been enforced, and Nestorianism is officially no more.;;Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] begonnene Prozess endete mit dem triumphalen Sieg des Glaubens von [mender_religion.Religion.GetName]. Die wenigen verbliebenen Mitglieder des [target_religion1.Religion.GetName]-Glaubens werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das ursprüngliche Konzil von Ephesus wurde durchgesetzt, und der Nestorianismus ist offiziell nicht mehr existent.;;;;;;;;;;;x
PlusGreatSchism_063_text_3;After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has ended with the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] and [target_religion1.Religion.GetName] faiths remain are now considered heretics, with most having already converted. The original Council of Chalcedon has been enforced, and miaphysitism is officially no more.;;Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] eingeleitete Prozess endete mit dem triumphalen Sieg des Glaubens von [mender_religion.Religion.GetName]. Die wenigen verbliebenen Mitglieder der [target_religion1.Religion.GetName] und [target_religion1.Religion.GetName] werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das ursprüngliche Konzil von Chalcedon wurde durchgesetzt, und der Miaphysitismus ist offiziell nicht mehr existent.;;;;;;;;;;;x
PlusGreatSchism_063_text_4;After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has ended with the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] faith remain are now considered heretics, with most having already converted. The original Council of Ephesus has been officially repudiated, the teachings of Nestorius vindicated, and [target_religion1.Religion.GetName] Christianity has been forced into submission.;;Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] eingeleitete Prozess endete mit dem triumphalen Sieg des Glaubens von [mender_religion.Religion.GetName]. Die wenigen verbliebenen Mitglieder des [target_religion1.Religion.GetName]-Glaubens werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das ursprüngliche Konzil von Ephesus wurde offiziell verworfen, die Lehren des Nestorius bestätigt und das [target_religion1.Religion.GetName]-Christentum zur Unterwerfung gezwungen.;;;;;;;;;;;x
PlusGreatSchism_063_text_5;After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has ended with the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] faith remain are now considered heretics, with most having already converted. The original Council of Chalcedon has been officially repudiated, the Miaphysite Christology accepted as supreme in the east, and [target_religion1.Religion.GetName] Christianity has been forced into submission.;;Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] begonnene Prozess endete mit dem Triumph des Glaubens von [mender_religion.Religion.GetName]. Die wenigen verbliebenen Mitglieder des [target_religion1.Religion.GetName]-Glaubens werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das ursprüngliche Konzil von Chalkedon wurde offiziell verworfen, die miaphysitische Christologie im Osten als vorherrschend akzeptiert und das [target_religion1.Religion.GetName]-Christentum zur Unterwerfung gezwungen.;;;;;;;;;;;x
PlusGreatSchism_063_text_6;It is done. After more than a month of heated deliberations, the Council of [council_location.GetName] has ended. The process began by [council_holder.GetTitledName] has resulted in the [mender_religion.Religion.GetName] faith standing triumphant. What few members of the [target_religion1.Religion.GetName] faith remain are now considered heretics, with most having already converted. Christianity is at last united under the [mender_religion.PrimaryTitle.GetRulerTitle], a single force to spread the Gospel across the known world.;;Es ist vollbracht. Nach mehr als einem Monat hitziger Beratungen ist das Konzil von [council_location.GetName] beendet. Der von [council_holder.GetTitledName] eingeleitete Prozess hat dazu geführt, dass der Glaube der [mender_religion.Religion.GetName] triumphiert hat. Die wenigen verbliebenen Mitglieder der [target_religion1.Religion.GetName] werden nun als Häretiker betrachtet, wobei die meisten bereits konvertiert sind. Das Christentum ist endlich unter dem [mender_religion.PrimaryTitle.GetRulerTitle] vereint, eine einzige Kraft, die das Evangelium in der bekannten Welt verbreitet.;;;;;;;;;;;x

# Options
PlusGreatSchism_063_1a;May God watch over us all;;Möge Gott über uns alle wachen;;;;;;;;;;;x
PlusGreatSchism_063_1b;It will break apart again, just watch;;Es wird wieder auseinanderbrechen, seht nur zu;;;;;;;;;;;x
PlusGreatSchism_063_1c;The Christians united? A frightening thought!;;Sind die Christen vereint? Ein beängstigender Gedanke!;;;;;;;;;;;x

## Pope appoints Holy Roman Emperor
# Title
PlusGreatSchism_071_title;Two Roman Emperors?;;Zwei römische Kaiser?;;;;;;;;;;;x

# Text
