#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

plot_assisted_spying;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_discredit_councillor_short;Plot to Discredit;;Verschwörung zur Diskreditierung;;;;;;;;;;;x
plot_discredit_councillor_title;Discredit [This.GetTitledFirstName];;Diskreditierung [This.GetTitledFirstName];;;;;;;;;;;x
plot_elope;Elope;;Durchbrennen;;;;;;;;;;;x
plot_elope_title;Elope with [This.GetTitledFirstName];;Durchbrennen mit [This.GetTitledFirstName];;;;;;;;;;;x
plot_elope_short;Plot to Elope;;Verschwörung zum Durchbrennen;;;;;;;;;;;x
plot_elope_desc;[From.GetTitledFirstName] has decided that eloping with [This.GetTitledFirstName] is the only way to be happily married thereby ignoring [This.GetHerHis] liege's opinion in the matter.\nThis will greatly upset [This.Liege.GetTitledFirstName] no matter the outcome.;;[From.GetTitledFirstName] hat beschlossen, dass es der einzige Weg ist, mit [This.GetTitledFirstName] durchzubrennen, um glücklich verheiratet zu sein, und dabei die Meinung des Lehnsherrn von [This.GetHerHis] in dieser Angelegenheit ignoriert.\nDas wird [This.Liege.GetTitledFirstName] sehr verärgern, egal wie es ausgeht.;;;;;;;;;;;x
plot_embezzle_from_liege_desc;[From.GetTitledFirstName] wants to help [From.GetHerHim]self to an adequate reward for [From.GetHerHis] service to [This.GetTitledFirstName].;;[From.GetTitledFirstName] möchte [From.GetHerHim]selbst zu einer angemessenen Belohnung für [This.GetTitledFirstName] verhelfen.;;;;;;;;;;;x
plot_embezzle_from_liege_title;Embezzle From [This.GetTitledFirstName];;Veruntreuung von [This.GetTitledFirstName];;;;;;;;;;;x
plot_embezzle_from_liege_short;Plot to Embezzle;;Veruntreuungsvorhaben;;;;;;;;;;;x
plot_fabricate_evidence_betrayal_desc;[From.GetTitledFirstName] wants to frame [This.GetTitledName] for trying to betray the loyalty and trust of his allies.;;[From.GetTitledFirstName] will [This.GetTitledName] für den Versuch, die Loyalität und das Vertrauen seiner Verbündeten zu verraten, verantwortlich machen.;;;;;;;;;;;x
plot_fabricate_evidence_betrayal_same_realm_desc;[From.GetTitledFirstName] wants to frame [This.GetTitledName] for trying to betray the loyalty and trust of his allies.;;[From.GetTitledFirstName] will [This.GetTitledName] für den Versuch, die Loyalität und das Vertrauen seiner Verbündeten zu verraten, verantwortlich machen.;;;;;;;;;;;x
plot_fabricate_evidence_betrayal_same_realm_title;Fabricate Evidence of Betrayal;;Beweise für den Verrat fälschen;;;;;;;;;;;x
plot_fabricate_evidence_betrayal_title;Fabricate Evidence of Betrayal;;Beweise für Verrat fälschen.;;;;;;;;;;;x
plot_fabricate_evidence_treason_desc;[From.GetTitledFirstName] wants to frame [This.GetTitledName] for treason against their liege.;;[From.GetTitledFirstName] will [This.GetTitledName] wegen Verrats an ihrem Lehnsherrn anklagen.;;;;;;;;;;;x
plot_fabricate_evidence_treason_title;Fabricate Evidence of Treason;;Beweise für Verrat fabrizieren;;;;;;;;;;;x
plot_fabricate_evidence_treason_vassal_desc;[From.GetTitledFirstName] wants to frame [From.GetHerHis] vassal, [This.GetTitledName], for treason against [From.GetHerHim] in order to strike against [This.GetHerHim] without arousing the ire of other vassals.;;[From.GetTitledFirstName] will [From.GetHerHis] Vasall, [This.GetTitledName], des Verrats gegen [From.GetHerHim] bezichtigen, um gegen [This.GetHerHim] vorzugehen, ohne den Zorn anderer Vasallen zu wecken.;;;;;;;;;;;x
plot_fabricate_evidence_treason_vassal_title;Fabricate Evidence of Treason;;Beweise für Hochverrat fabrizieren;;;;;;;;;;;x
plot_fabricate_heresy_desc;[From.GetTitledFirstName] wants to convince [This.RelHead.GetTitledFirstName] that [This.GetTitledFirstName] is a heretic.;;[From.GetTitledFirstName] will [This.RelHead.GetTitledFirstName] überzeugen, dass [This.GetTitledFirstName] ein Ketzer ist.;;;;;;;;;;;x
plot_fabricate_heresy_short;Plot to Fabricate Heresy;;Komplott zur Fabrikation von Ketzerei;;;;;;;;;;;x
plot_fabricate_heresy_title;Accuse [This.GetTitledFirstName] of Heresy;;Beschuldigen Sie [This.GetTitledFirstName] der Ketzerei;;;;;;;;;;;x
plot_fabricate_treason_desc;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;;[From.GetTitledFirstName] will das Reich davon überzeugen, dass [This.GetTitledFirstName] ein Verräter ist.;;;;;;;;;;;x
plot_fabricate_treason_short;Plot to Fabricate Treason;;Komplott zur Fabrikation von Verrat;;;;;;;;;;;x
plot_fabricate_treason_liege_short;Plot to Fabricate Treason;;Komplott zur Fabrikation von Hochverrat;;;;;;;;;;;x
plot_fabricate_treason_liege_desc;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;;[From.GetTitledFirstName] will das Reich davon überzeugen, dass [This.GetTitledFirstName] ein Verräter ist.;;;;;;;;;;;x
plot_fabricate_treason_liege_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;;Beweise für den Verrat von [This.GetTitledFirstName] fabrizieren;;;;;;;;;;;x
plot_fabricate_treason_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;;Beweise für den Verrat von [This.GetTitledFirstName] fabrizieren;;;;;;;;;;;x
plot_incapable_usurp_desc;With [From.Liege.GetTitledFirstNameNoRegnal] incapable of ruling, [From.GetTitledName] intends to formalize [From.GetHerHis] position as regent and take over the actual rule of the [From.Liege.PrimaryTitle.GetFullName].\n\n§YNOTE: This is not an easy thing to do, even for an heir, and will require both high Plot Power and at least three backers before it can even think of being successful.§!;;Da [From.Liege.GetTitledFirstNameNoRegnal] nicht regierungsfähig ist, beabsichtigt [From.GetTitledName], [From.GetHerHis] als Regent einzusetzen und die eigentliche Herrschaft über [From.Liege.PrimaryTitle.GetFullName] zu übernehmen.\n\n§YHINWEIS: Dies ist nicht einfach zu bewerkstelligen, nicht einmal für einen Erben, und erfordert sowohl eine hohe Plot-Power als auch mindestens drei Unterstützer, bevor es auch nur im Entferntesten erfolgreich sein kann.§!;;;;;;;;;;;x
plot_incapable_usurp_short;Plot to Usurp;;Verschwörung zur Usurpation;;;;;;;;;;;x
plot_incapable_usurp_title;Usurp Titles;;Titel usurpieren;;;;;;;;;;;x
plot_instigate_revolt_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] at war with [This.Liege.GetTitledFirstName].;;[From.GetTitledFirstName] will [This.GetTitledFirstName] im Krieg mit [This.Liege.GetTitledFirstName] sehen.;;;;;;;;;;;x
plot_instigate_revolt_title;Incite [This.GetTitledFirstName] to Revolt;;[This.GetTitledFirstName] zum Aufstand anstiften;;;;;;;;;;;x
plot_kidnap_character_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] brought in chains before [From.GetHerHim].;;[From.GetTitledFirstName] will [This.GetTitledFirstName] in Ketten vor [From.GetHerHim] gebracht sehen.;;;;;;;;;;;x
plot_kidnap_character_title;Kidnap [This.GetTitledFirstName];;Entführung von [This.GetTitledFirstName];;;;;;;;;;;x
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;;[From.GetTitledFirstName] hat beschlossen, dass Entführung die einzige Möglichkeit ist, [This.GetTitledFirstName] dazu zu bringen, etwas von [This.GetHerHis] Land abzugeben.;;;;;;;;;;;x
plot_kidnap_liege_short;Plot to Kidnap;;Entführungskomplott;;;;;;;;;;;x
plot_kidnap_liege_title;Abduct [This.GetTitledFirstName];;Entführe [This.GetTitledFirstName];;;;;;;;;;;x
plot_kidnapping_desc;[From.GetTitledFirstNameNoRegnal] intends to abduct [This.GetTitledName]. This would allow [From.GetHerHim] to demand a claimed or de jure non-capital county that [This.GetFirstName] holds, or a vassal that [From.GetSheHe] feels is rightly [From.GetHersHis] (these options are only available if [From.GetTitledFirstNameNoRegnal] and [This.GetFirstName] are fellow vassals in the same realm)-- or perhaps simply to let [This.GetTitledFirstNameNoRegnal] rot in [From.GetHerHis] dungeon.;;[From.GetTitledFirstNameNoRegnal] beabsichtigt, [This.GetTitledName] zu entführen. Dies würde [From.GetHerHim] erlauben, eine beanspruchte oder de jure nicht-kapitale Grafschaft zu fordern, die [This.GetFirstName] innehat, oder einen Vasallen, von dem [From.GetSheHe] glaubt, dass er zu Recht [From.GetHersHis] ist (diese Optionen sind nur verfügbar, wenn [From.GetTitledFirstNameNoRegnal] und [This.GetFirstName] gemeinsame Vasallen im selben Reich sind)-- oder vielleicht einfach [This.GetTitledFirstNameNoRegnal] im Kerker von [From.GetHerHis] verrotten lassen.;;;;;;;;;;;x
plot_kidnapping_short;Plot to Kidnap;;Verschwörung zur Entführung;;;;;;;;;;;x
plot_kidnapping_title;Kidnap [This.GetBestName];;Entführt [This.GetBestName];;;;;;;;;;;x
plot_overthrow_empire_short;Plot to Overthrow Empire;;Komplott zum Umsturz des Reiches;;;;;;;;;;;x
plot_overthrow_empire_title;Overthrow [This.GetBestName];;Umsturz [This.GetBestName];;;;;;;;;;;x
plot_overthrow_empire_desc;The halls of the imperial palace can be a dangerous place, but there are opportunities for the bold. [From.GetTitledFirstNameNoRegnal] intends to overthrow [This.GetTitledName] and install [From.GetHerHim]self as the new ruler of the [This.PrimaryTitle.GetFullName].;;Die Hallen des kaiserlichen Palastes können ein gefährlicher Ort sein, aber es gibt Möglichkeiten für die Kühnen. [From.GetTitledFirstNameNoRegnal] beabsichtigt, [This.GetTitledName] zu stürzen und [From.GetHerHim]selbst als neuen Herrscher des [This.PrimaryTitle.GetFullName] einzusetzen.;;;;;;;;;;;x
plot_replace_regent_desc;With [This.Liege.GetTitledFirstNameNoRegnal] unable to rule, [This.GetTitledName] currently acts in [This.Liege.GetHerHis] stead on matters of the [This.Liege.PrimaryTitle.GetFullName]. [From.GetTitledName] believes [From.GetSheHe] would be far better suited for the task, and plans to arrange a challenge in court.;;Da [This.Liege.GetTitledFirstNameNoRegnal] nicht regieren kann, handelt [This.GetTitledName] derzeit an [This.Liege.GetHerHis]s Stelle in Angelegenheiten des [This.Liege.PrimaryTitle.GetFullName]. [From.GetTitledName] ist der Ansicht, dass [From.GetSheHe] für diese Aufgabe weitaus besser geeignet wäre, und plant, eine Herausforderung vor Gericht zu organisieren.;;;;;;;;;;;x
plot_replace_regent_short;Plot to Replace as Regent;;Plot zum Ersetzen als Regent;;;;;;;;;;;x
plot_replace_regent_title;Replace Regent;;Regent ersetzen;;;;;;;;;;;x
plot_seduce_decision_100;[Root.GetPlot];;[Root.GetPlot];;;;;;;;;;;x
plot_seduce_decision_100_desc;Attempt to seduce target.;;Versuch, das Ziel zu verführen.;;;;;;;;;;;x
plot_seduce_short;Plot to Seduce;;Plot zur Verführung;;;;;;;;;;;x
plot_seduce_desc;[From.GetTitledFirstName] wants to bed [This.GetTitledFirstName].;;[From.GetTitledFirstName] will mit [This.GetTitledFirstName] ins Bett.;;;;;;;;;;;x
plot_seduce_title;Seduce [This.GetBestName];;Verführen [This.GetBestName];;;;;;;;;;;x
plot_stir_rebellion_desc;[From.GetTitledFirstName] is attempting to secretly stir up [From.Culture.GetName] sentiment in [From.Capital.County.GetName], hoping to provoke a nationalist revolt against [This.GetTitledName]--one that [From.GetSheHe] intends to lead. This is dangerous, and perhaps even reckless, as there is no way to control the timing of the resulting revolt nor to guarantee it would even support [From.GetHerHim].;;[From.GetTitledFirstName] versucht, heimlich die Stimmung in [From.Capital.County.GetName] zu schüren, in der Hoffnung, eine nationalistische Revolte gegen [This.GetTitledName] zu provozieren - eine Revolte, die [From.GetSheHe] anführen will. Dies ist gefährlich und vielleicht sogar leichtsinnig, da es keine Möglichkeit gibt, den Zeitpunkt der daraus resultierenden Revolte zu kontrollieren oder zu garantieren, dass sie [From.GetHerHim] überhaupt unterstützen würde.;;;;;;;;;;;x
plot_stir_rebellion_short;Plot to Stir Rebellion;;Verschwörung zur Rebellion;;;;;;;;;;;x
plot_stir_rebellion_title;Incite [From.Culture.GetName] Revolt;;Anstiftung zur Revolte von [From.Culture.GetName];;;;;;;;;;;x
plot_take_revenge_desc;[From.GetTitledFirstName] will see [This.GetTitledFirstName] dead for what they have done.;;[From.GetTitledFirstName] wird [This.GetTitledFirstName] tot sehen für das, was sie getan haben.;;;;;;;;;;;x
plot_take_revenge_short;Plot to Take Revenge;;Verschwörung zur Rache;;;;;;;;;;;x
plot_take_revenge_title;Take Revenge on [This.GetBestName];;Rache nehmen an [This.GetBestName];;;;;;;;;;;x
plot_usurp_wife_desc;[Root.Spouse.PrimaryTitle.GetFullName]'s laws of succession favor men, and thus through the power of Jure Uxoris it might be possible to usurp your wife's titles as your own—provided she is as incapable as you suspect, and you can get sufficient support from her vassals.;;Die Erbschaftsgesetze von [Root.Spouse.PrimaryTitle.GetFullName] begünstigen Männer, und so könnte es durch die Macht des Jure Uxoris möglich sein, die Titel Eurer Frau als Eure eigenen zu usurpieren - vorausgesetzt, sie ist so unfähig, wie Ihr vermutet, und Ihr könnt genügend Unterstützung von ihren Vasallen erhalten.;;;;;;;;;;;x
plot_usurp_wife_short;Plot to Usurp;;Plan zur Usurpation;;;;;;;;;;;x
plot_usurp_wife_title;Usurp [Root.Spouse.PrimaryTitle.GetFullName];;Usurpiere [Root.Spouse.PrimaryTitle.GetFullName];;;;;;;;;;;x
plot_weaken_fellow_vassal_short;Weaken Fellow Vassal;;Vasallenkollegen schwächen;;;;;;;;;;;x
plot_weaken_fellow_vassal_title;Weaken Fellow Vassal;;Vasallenkollegen schwächen;;;;;;;;;;;x


CUSTOMTOOLTIP_KNOWN_ELOPER;Must NOT be a known eloper;;Darf NICHT ein bekannter Verschwörer sein;;;;;;;;;;;x
