#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RETTYPE_CUL_Bz3;Mixed Byzantine;Byzantin Mixte;Mixed Byzantine;;Mixed Byzantine;;;;;;;;;
RETTYPE_CUL_Cp3;Coptic Helthoi;Coptic Helthoi;Coptic Helthoi;;Coptic Helthoi;;;;;;;;;
RETTYPE_CUL_D1;Pike Phalanx;Phalange de Piques;Pike Phalanx;;Pike Phalanx;;;;;;;;;
RETTYPE_CUL_D2;Pike and Archers;Piquiers et archers;Pike and Archers;;Pike and Archers;;;;;;;;;
RETTYPE_CUL_D3;City Militia;Milice Urbaine;City Militia;;City Militia;;;;;;;;;
RETTYPE_CUL_En1;Heavy Longbow;Archers longs lourds;Heavy Longbow;;Heavy Longbow;;;;;;;;x;
RETTYPE_CUL_En2;English Skirmish;Escarmouche anglaise;English Skirmish;;English Skirmish;;;;;;;;x;
RETTYPE_CUL_En3;English Infantry;Infanterie Anglaise;English Infantry;;English Infantry;;;;;;;;;
RETTYPE_CUL_Ep1;Lancer Mameluke;Lanciers Mamelouks;Lancer Mameluke;;Lancer Mameluke;;;;;;;;;
RETTYPE_CUL_Ep2;Mameluke Cavalry;Mameluke Cavalry;Mameluke Cavalry;;Mameluke Cavalry;;;;;;;;;
RETTYPE_CUL_Ep3;Mameluke Infantry;Infanterie Mamelouk;Mameluke Infantry;;Mameluke Infantry;;;;;;;;;
RETTYPE_CUL_Et1;Ethiopian Pikemen;Piquiers éthiopiens;Ethiopian Pikemen;;Ethiopian Pikemen;;;;;;;;x;
RETTYPE_CUL_Et2;Pike and Bow;Piquiers et archers;Pike and Bow;;Pike and Bow;;;;;;;;x;
RETTYPE_CUL_Et3;East African Skirmishers;Escarmouche est-africaine;East African Skirmishers;;East African Skirmishers;;;;;;;;x;
RETTYPE_CUL_Fr1;French Knights;Chevaliers Français;French Knights;;French Knights;;;;;;;;;
RETTYPE_CUL_Fr2;French Sergeants;Sergents Français;French Sergeants;;French Sergeants;;;;;;;;;
RETTYPE_CUL_Fr3;Men-at-Arms;Hommes d'Armes;Men-at-Arms;;Men-at-Arms;;;;;;;;;
RETTYPE_CUL_G1;German Knights;Chevaliers Allemands;German Knights;;German Knights;;;;;;;;;
RETTYPE_CUL_G2;Swiss Pikemen;Piquiers Suisses;Swiss Pikemen;;Swiss Pikemen;;;;;;;;;
RETTYPE_CUL_G3;Men-at-Arms;Hommes d'Armes;Men-at-Arms;;Men-at-Arms;;;;;;;;;
RETTYPE_CUL_Ge1;Noble Caucasus;Nobles Caucasiens;Noble Caucasus;;Noble Caucasus;;;;;;;;;
RETTYPE_CUL_Ge2;Heavy Caucasus Infantry;Infanterie Lourde Caucasienne;Heavy Caucasus Infantry;;Heavy Caucasus Infantry;;;;;;;;;
RETTYPE_CUL_Ge3;Caucasus Skirmishers;Tirailleurs Caucasiens;Caucasus Skirmishers;;Caucasus Skirmishers;;;;;;;;;
RETTYPE_CUL_Hu1;Magyar Horse Archers;Archers à Cheval Magyar;Magyar Horse Archers;;Magyar Horse Archers;;;;;;;;;
RETTYPE_CUL_Hu2;Hungarian Skirmishers;Tirailleurs Hongrois;Hungarian Skirmishers;;Hungarian Skirmishers;;;;;;;;;
RETTYPE_CUL_Hu3;Light Magyar;Magyar;Light Magyar;;Light Magyar;;;;;;;;;
RETTYPE_CUL_Ib1;Noble Cavalry;Cavalerie noble;Noble Cavalry;;Noble Cavalry;;;;;;;;x;
RETTYPE_CUL_Ib2;Heavy Caballero;Caballeros lourds;Heavy Caballero;;Heavy Caballero;;;;;;;;x;
RETTYPE_CUL_Ib3;Heavy Caballero;Caballeros lourds;Heavy Caballero;;Heavy Caballero;;;;;;;;x;
RETTYPE_CUL_Ir1;Gallowglass;Gallóglaigh;Gallowglass;;Gallowglass;;;;;;;;x;
RETTYPE_CUL_Ir2;Kern;Kern;Kern;;Kern;;;;;;;;x;
RETTYPE_CUL_Ir3;Levy;Levée;Levy;;Levy;;;;;;;;x;
RETTYPE_CUL_It1;Heavy City Militia;Milice urbaine lourde;Heavy City Militia;;Heavy City Militia;;;;;;;;x;
RETTYPE_CUL_It2;Light City Militia;Milice urbaine légère;Light City Militia;;Light City Militia;;;;;;;;x;
RETTYPE_CUL_It3;Pike and Crossbow Militia;Milice de Piquiers et d'Arbalétriers;Pike and Crossbow Militia;;Pike and Crossbow Militia;;;;;;;;;
RETTYPE_CUL_Lv1;Heavy Levantine;Infanterie Lourde Levantine;Heavy Levantine;;Heavy Levantine;;;;;;;;;
RETTYPE_CUL_Lv2;Skirmish Levantine;Tirailleurs Levantins;Skirmish Levantine;;Skirmish Levantine;;;;;;;;;
RETTYPE_CUL_Lv3;Light Levantine Infantry;Infanterie Légère Levantine;Light Levantine Infantry;;Light Levantine Infantry;;;;;;;;;
RETTYPE_CUL_Ma1;Pike and Cavalry;Piquiers et cavaliers;Pike and Cavalry;;Pike and Cavalry;;;;;;;;x;
RETTYPE_CUL_Ma2;Pikemen and Archers;Piquiers et archers;Pikemen and Archers;;Pikemen and Archers;;;;;;;;x;
RETTYPE_CUL_Ma3;Maghreb Skirmisher;Escarmouche maghrébine;Maghreb Skirmisher;;Maghreb Skirmisher;;;;;;;;x;
RETTYPE_CUL_N1;Heavy Housecarl;Huscarls lourds;Heavy Housecarl;;Heavy Housecarl;;;;;;;;x;
RETTYPE_CUL_N2;Light Housecarl;Huscarls légers;Light Housecarl;;Light Housecarl;;;;;;;;x;
RETTYPE_CUL_N3;Fyrd;Fyrd;Fyrd;;Fyrd;;;;;;;;x;
RETTYPE_CUL_Out1;Western Knights;Chevaliers Occidentaux;Western Knights;;Western Knights;;;;;;;;;
RETTYPE_CUL_Out2;Crusaders;Croisés;Crusaders;;Crusaders;;;;;;;;;
RETTYPE_CUL_Out3;Peasant Crusaders;Paysans Croisés;Peasant Crusaders;;Peasant Crusaders;;;;;;;;;
RETTYPE_CUL_P1;Polish Knights;Chevaliers polonais;Polish Knights;;Polish Knights;;;;;;;;x;
RETTYPE_CUL_P2;Mixed Polish;Unité polonaise mixte;Mixed Polish;;Mixed Polish;;;;;;;;x;
RETTYPE_CUL_P3;Polish Infantry;Infanterie polonaise;Polish Infantry;;Polish Infantry;;;;;;;;x;
RETTYPE_CUL_R1;Heavy Durzniha;Durzinhas lourds;Heavy Durzniha;;Heavy Durzniha;;;;;;;;x;
RETTYPE_CUL_R2;Steppe Durzniha;Durzinhas des steppes;Steppe Durzniha;;Steppe Durzniha;;;;;;;;x;
RETTYPE_CUL_R3;Light Durzniha;Durzinhas légers;Light Durzniha;;Light Durzniha;;;;;;;;x;
RETTYPE_CUL_Sc1;Heavy Schiltron;Schiltron lourd;Heavy Schiltron;;Heavy Schiltron;;;;;;;;x;
RETTYPE_CUL_Sc2;Light Schiltron;Schiltron léger;Light Schiltron;;Light Schiltron;;;;;;;;x;
RETTYPE_CUL_Sc3;Skirmish Schiltron;Schiltron d'escarmouche;Skirmish Schiltron;;Skirmish Schiltron;;;;;;;;x;
RETTYPE_CUL_Sic1;Sicilian Nobles;Nobles Siciliens;Sicilian Nobles;;Sicilian Nobles;;;;;;;;;
RETTYPE_CUL_Sic2;Sicilian Skirmishers;Tirailleurs Siciliens;Sicilian Skirmishers;;Sicilian Skirmishers;;;;;;;;;
RETTYPE_CUL_Sic3;Light Sicilian;Infanterie Légère Sicilienne;Light Sicilian;;Light Sicilian;;;;;;;;;
RETTYPE_CUL_Sl1;Gusar Cavalry;Cavalerie Gusar;Gusar Cavalry;;Gusar Cavalry;;;;;;;;x;
RETTYPE_CUL_Sl2;Gusar and Archers;Gusars et archers;Gusar and Archers;;Gusar and Archers;;;;;;;;x;
RETTYPE_CUL_Sl3;Light Serbian;Unité serbe légère;Light Serbian;;Light Serbian;;;;;;;;x;
RETTYPE_CUL_Wa1;West African Nobles;Nobles ouest-africains;West African Nobles;;West African Nobles;;;;;;;;x;
RETTYPE_CUL_Wa2;West African Bowmen;Archers ouest-africains;West African Bowmen;;West African Bowmen;;;;;;;;x;
RETTYPE_CUL_Wa3;West African Infantry;Infanterie ouest-africaine;West African Infantry;;West African Infantry;;;;;;;;x;
RETTYPE_CUL_JEWISH1;Jewish Heavy Infantry;Jewish Heavy Infantry;Jewish Heavy Infantry;;Jewish Heavy Infantry;;;;;;;;x;
RETTYPE_CUL_JEWISH2;Jewish Skirmishers;Jewish Skirmishers;Jewish Skirmishers;;Jewish Skirmishers;;;;;;;;x;
RETTYPE_CUL_JEWISH3;Jewish Infantry;Jewish Infantry;Jewish Infantry;;Jewish Infantry;;;;;;;;x;
RETTYPE_CUL_INDIAN1;Indian War Elephants;Indian War Elephants;Indian War Elephants;;Indian War Elephants;;;;;;;;x;
RETTYPE_CUL_INDIAN2;Indian Swordsmen;Indian Swordsmen;Indian Swordsmen;;Indian Swordsmen;;;;;;;;x;
RETTYPE_CUL_INDIAN3;Indian Skirmishers;Indian Skirmishers;Indian Skirmishers;;Indian Skirmishers;;;;;;;;x;
RETTYPE_CUL_NUBIAN1;Nubian Skirmishers;Nubian Skirmishers;Nubian Skirmishers;;Nubian Skirmishers;;;;;;;;x;
RETTYPE_CUL_NUBIAN2;Nubian Spearmen;Nubian Spearmen;Nubian Spearmen;;Nubian Spearmen;;;;;;;;x;
RETTYPE_CUL_NUBIAN3;Nubian Infantry;Nubian Infantry;Nubian Infantry;;Nubian Infantry;;;;;;;;x;
RETTYPE_CUL_afghan_1;Aryan Skirmishers;Afghani Skirmishers;Afghani Skirmishers;;Afghani Skirmishers;;;;;;;;x;
RETTYPE_CUL_afghan_2;Aryan Infantry;Afghani Infantry;Afghani Infantry;;Afghani Infantry;;;;;;;;x;
RETTYPE_CUL_afghan_3;Aryan Cavalry;Afghani Cavalry;Afghani Cavalry;;Afghani Cavalry;;;;;;;;x;
