#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
bogomilist_church_group;Faith Organization;;Organisation des Glaubens;;;x
bureaucratic_infighting_desc;If a ruler's court grows out of his control, the results can be devastating. It's entirely possible for the empire to fly apart at the seams. Even if it doesn't, it will become increasingly difficult for the ruler to exert influence over members of his court -- or keep them within the empire after his death.;;Wenn der Hof eines Herrschers außer Kontrolle gerät, können die Folgen verheerend sein. Es ist durchaus möglich, dass das Kaiserreich aus den Fugen gerät. Selbst wenn dies nicht der Fall ist, wird es für den Herrscher immer schwieriger, Einfluss auf die Mitglieder seines Hofes auszuüben - oder sie nach seinem Tod im Reich zu halten.;;;x
city_tax_0;Small City Taxes;Imposts des Bourgs Faibles;Steuern für kleine Städte;;;x
city_tax_0_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière de la part des Bourgeois pour le bien du Royaume.;Von den Bürgern wird erwartet, dass sie einen kleinen finanziellen Beitrag zum Allgemeinwohl des Reiches leisten.;;;x
city_tax_0_option;Small;Faibles;Klein;;;x
city_tax_1;Medium City Taxes;Imposts des Bourgs Normaulx;Mittlere Stadtsteuern;;;x
city_tax_1_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des Bourgeois pour le bien du Royaume.;Von den Bürgern wird erwartet, dass sie einen mäßigen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
city_tax_1_option;Medium;Normaulx;Mittel;;;x
city_tax_2;Large City Tax;Imposts des Bourgs Importants;Große Stadtsteuer;;;x
city_tax_2_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des Bourgeois pour le bien du Royaume.;Von den Bürgern wird erwartet, dass sie einen erheblichen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
city_tax_2_option;Large;Importants;Groß;;;x
council_privileges_0;Free Appointment;Nomination libre;Freie Ernennung;;;x
council_privileges_0_desc;Councilors are freely appointed and dismissed by the crown.;Les conseillers sont nommés et renvoyés sans contrainte par la Couronne.;Die Ratsmitglieder werden von der Krone frei ernannt und entlassen.;;;x
council_privileges_0_option;Free;Libre;Frei;;;x
council_privileges_1;Lifetime Appointment;Nomination vie;Ernennung auf Lebenszeit;;;x
council_privileges_1_desc;Councilors are appointed for life.;Les conseillers sont nommés vie.;Die Ratsmitglieder werden auf Lebenszeit ernannt.;;;x
council_privileges_1_option;Life;A vie;Leben;;;x
council_privileges_group;Council Terms;Privilèges du conseil;Amtszeiten des Rates;;;x
council_privileges_group_desc;This law determines the freedom of the ruler to dismiss councilors;Cette loi détermine la liberté de recrutement dont dispose le suzerain vis--vis de son conseil;Dieses Gesetz bestimmt die Freiheit des Herrschers, Ratsmitglieder zu entlassen.;;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;Vasallen sind ein Gesetz für sich selbst und regieren ihre Lehen wie kleine Königreiche. Ihre Verpflichtungen gegenüber ihrem Lehnsherrn sind minimal: Ansprüche des Königreichs und des Reichs de jure können auf dieser Ebene der Kronenautorität nicht durchgesetzt werden!\n;;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;Vasallen genießen ein sehr hohes Maß an Autonomie, müssen aber einen nicht unerheblichen Teil der Abgaben an ihren Lehnsherren abführen.\n\n§YHINWEIS§! Ansprüche des Königreichs und des Reichs können auf dieser Ebene der Kronenautorität nicht durchgesetzt werden!\n;;;x
demesne_laws;Demesne Laws;;Domänen-Gesetze;;;x
demesne_laws_desc;The ability and complexity of the law to support a larger personal domain for the ruler.;;Die Fähigkeit und Komplexität des Gesetzes, einen größeren persönlichen Bereich des Herrschers zu unterstützen.;;;x
demesne_laws_0;No Demesne Laws;;Keine Domänengesetze;;;x
demesne_laws_0_option;None;;Keine;;;x
demesne_laws_0_desc;There are no additional laws to support a ruler's personal demesne.;;Es gibt keine zusätzlichen Gesetze zur Unterstützung der persönlichen Domäne eines Herrschers.;;;x
demesne_laws_1;Minimal Demesne Laws;;Minimale Domänengesetze;;;x
demesne_laws_1_option;Minimal;;Minimal;;;x
demesne_laws_1_desc;The laws governing a ruler's demesne are meager, allowing it to be slightly larger.;;Die Gesetze, die die Domäne eines Herrschers regeln, sind spärlich, so dass sie etwas größer sein kann.;;;x
demesne_laws_2;Medium Demesne Laws;;Mittlere Domänengesetze;;;x
demesne_laws_2_option;Medium;;Mittel;;;x
demesne_laws_2_desc;There is sufficient bureaucracy for the ruler to maintain a larger personal demesne.;;Der Herrscher verfügt über ausreichend Bürokratie, um eine größere persönliche Domäne zu unterhalten.;;;x
demesne_laws_3;Large Demesne Laws;;Große Domänengesetze;;;x
demesne_laws_3_option;Large;;Groß;;;x
demesne_laws_3_desc;There are many rules and matters of precedent and custom which allow the ruler to maintain a much larger demesne.;;Es gibt viele Regeln, Präzedenzfälle und Gewohnheiten, die es dem Herrscher ermöglichen, eine größere Domäne zu unterhalten.;;;x
demesne_laws_4;Complex Demesne Laws;;Komplexe Domänengesetze;;;x
demesne_laws_4_option;Complex;;Kompliziert;;;x
demesne_laws_4_desc;The laws regarding the ruler's personal demesne are complex and far-reaching, and there are many bureaucrats and sub-holders who help maintain it.;;Die Gesetze, die die persönliche Herrschaft des Herrschers betreffen, sind komplex und weitreichend, und es gibt viele Bürokraten und Unterbeamte, die bei der Aufrechterhaltung der Herrschaft helfen.;;;x
female_council_law_group;Women on the Council;;Frauen im Rat;;;x
female_council_law_group_desc;Most medieval societies function under a patriarchal social structure where women are kept from positions of power and influence. This can be changed, with laws passed allowing women to serve in various capacities on the ruler's council...and, if enough of the laws change, this can alter the general attitude towards women in power as well as the realm's gender succession laws.;;Die meisten mittelalterlichen Gesellschaften funktionieren nach einer patriarchalischen Gesellschaftsstruktur, in der Frauen von Machtpositionen und Einfluss ferngehalten werden. Dies kann geändert werden, indem Gesetze erlassen werden, die es Frauen erlauben, in verschiedenen Funktionen im Rat des Herrschers zu dienen... und wenn genügend Gesetze geändert werden, kann dies die allgemeine Einstellung gegenüber Frauen an der Macht sowie die Gesetze zur Geschlechterfolge im Reich ändern.;;;x
female_council_law_0;No Women on the Council;;Keine Frauen im Rat;;;x
female_council_law_0_desc;Women are largely not permitted to serve on the ruler's council except in exceptional circumstances.;;Frauen dürfen dem Rat des Herrschers nur in Ausnahmefällen angehören.;;;x
female_council_law_0_option;None;;Keine;;;x
female_council_law_1;Limited Women on the Council;;Begrenzte Anzahl von Frauen im Rat;;;x
female_council_law_1_desc;Women have a limited ability to run things behind the scenes, such as in the role of spymaster. This is restricted to women who already hold titles, those who are considered 'holy women' (such as nuns), and those who are relatives of the ruler.;;Frauen haben nur begrenzte Möglichkeiten, hinter den Kulissen zu agieren, z. B. als Spionagebeauftragte. Dies beschränkt sich auf Frauen, die bereits einen Titel tragen, auf Frauen, die als "heilige Frauen" gelten (wie Nonnen), und auf Frauen, die mit dem Herrscher verwandt sind.;;;x
female_council_law_1_option;Limited;;Begrenzt;;;x
female_council_law_2;Expanded Women on the Council;;Erweiterter Kreis von Frauen im Rat;;;x
female_council_law_2_desc;Women are able to openly serve in several roles on the ruler's council. This includes as spymaster, chancellor, or treasurer, but is restricted to women who already hold titles, those who are considered 'holy women' (such as nuns), and those who are relatives of the ruler.;;Frauen können im Rat des Herrschers mehrere Funktionen ausüben. Dazu gehören der Posten des Spionagemeisters, des Kanzlers oder des Schatzmeisters, allerdings nur für Frauen, die bereits einen Titel tragen, für Frauen, die als "heilige Frauen" gelten (wie Nonnen), und für Frauen, die mit dem Herrscher verwandt sind.;;;x
female_council_law_2_option;Expanded;;Erweitert;;;x
female_council_law_3;Female Marshals;;Weibliche Marschälle;;;x
female_council_law_3_desc;Women are able to serve in almost all roles on the ruler's council, including that of marshal, and there is also a more widespread acceptance of women leading armies in the field. This requires them to have martial training, and is currently restricted to women who already hold titles and those who are relatives of the ruler.;;Frauen können fast alle Ämter im Rat des Herrschers bekleiden, auch das des Marschalls, und es wird auch zunehmend akzeptiert, dass Frauen Armeen im Feld anführen. Dazu müssen sie eine kriegerische Ausbildung vorweisen können und sind derzeit auf Frauen beschränkt, die bereits einen Titel tragen oder mit dem Herrscher verwandt sind.;;;x
female_council_law_3_option;Marshals;;Marschälle;;;x
female_council_law_4;Equal Council Rights;;Gleiche Rechte im Rat;;;x
female_council_law_4_desc;Women may serve in all non-religious roles on the ruler's council with the same rights as men, may lead armies so long as they possess martial training, and have access to succession laws which treat men and women equally. Things have changed enough in the realm that a female ruler or having a female heir is no longer considered a bad thing by one's vassals.;;Frauen können in allen nicht-religiösen Funktionen im Rat des Herrschers mit den gleichen Rechten wie Männer dienen, sie können Armeen anführen, sofern sie über eine kriegerische Ausbildung verfügen, und sie haben Zugang zu Erbschaftsgesetzen, die Männer und Frauen gleich behandeln. Die Dinge haben sich im Reich so weit verändert, dass eine weibliche Herrscherin oder ein weiblicher Erbe von den Vasallen nicht mehr als etwas Schlechtes angesehen wird.;;;x
female_council_law_4_option;Equal;;Gleichberechtigt;;;x
feudal_tax_0;No Feudal Taxes;Point de taxes féodales;Keine Feudalsteuern;;;x
feudal_tax_0_desc;Feudal Lords are exempt from taxation.;Les seigneurs féodaulx sont exempts de taxes.;Feudalherren sind von der Steuerpflicht befreit.;;;x
feudal_tax_0_option;None;Exempté;Keine;;;x
feudal_tax_1;Medium Feudal Taxes;Impôts féodaulx normaulx;Mittlere Feudalsteuern;;;x
feudal_tax_1_desc;Feudal Lords are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des Seigneurs féodaulx pour le bien du Royaume.;Von Feudalherren wird erwartet, dass sie einen moderaten finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
feudal_tax_1_option;Medium;Normaulx;Mittel;;;x
feudal_tax_2;Large Feudal Tax;Impôts féodaulx importants;Große Feudalsteuer;;;x
feudal_tax_2_desc;Feudal Lords are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des Seigneurs féodaulx pour le bien du Royaume.;Von Feudalherren wird ein erheblicher finanzieller Beitrag zum Allgemeinwohl des Reiches erwartet.;;;x
feudal_tax_2_option;Large;Importants;Groß;;;x
frat_priesthood;Fraticelli Priesthood;;Fraticelli-Priesterschaft;;;x
frat_priesthood_desc;While all priests are initially monastic in nature, just as within the Catholic Church, the Fraticelli belief is that it is imperative for priests to take a more active role in the spreading of the faith and the operation of government. Thus a Fraticelli ruler is able to determine whether those ideals will be enforced.;;Zwar sind alle Priester zunächst Mönche, genau wie in der katholischen Kirche, doch ist es nach dem Glauben der Fraticelli unabdingbar, dass die Priester eine aktivere Rolle bei der Verbreitung des Glaubens und dem Funktionieren der Regierung übernehmen. So kann ein fraticellischer Herrscher bestimmen, ob diese Ideale durchgesetzt werden.;;;x
frat_priest_0;Monastic Priesthood;;Monastisches Priestertum;;;x
frat_priest_0_option;Monastic;;Klösterliche;;;x
frat_priest_0_desc;The priesthood spends its time in seclusion, dedicating themselves utterly to their faith and to God.;;Die Priesterschaft verbringt ihre Zeit in der Abgeschiedenheit und widmet sich ganz ihrem Glauben und Gott.;;;x
frat_priest_1;Apostolic Priesthood;;Apostolisches Priestertum;;;x
frat_priest_1_option;Apostolic;;Apostolisch;;;x
frat_priest_1_desc;The priesthood is required to go out amongst the masses and spread the faith. Even the highest ranking bishop is expected to be a missionary, actively counseling the poor away from the confines of his church.;;Vom Priestertum wird verlangt, dass es unter die Massen geht und den Glauben verbreitet. Selbst vom ranghöchsten Bischof wird erwartet, dass er ein Missionar ist und die Armen außerhalb der Grenzen seiner Kirche aktiv berät.;;;x
frat_priest_2;Bureaucratic Priesthood;;Bürokratisches Priestertum;;;x
frat_priest_2_option;Bureaucratic;;Bürokratisch;;;x
frat_priest_2_desc;The priesthood is called upon to serve at the pleasure of their lord, taking an active part in the administration of the realm.;;Die Priesterschaft ist dazu berufen, ihrem Herrn zu dienen und sich aktiv an der Verwaltung des Reiches zu beteiligen.;;;x
infighting_0;Court in Chaos;;Hof im Chaos;;;x
infighting_0_option;Chaos;;Chaos;;;x
infighting_0_desc;The court is currently out of control, with rulers all but ignoring the throne's authority as they vie with each other for greater power and influence.;;Der Hof ist derzeit außer Kontrolle geraten. Die Herrscher ignorieren die Autorität des Throns und wetteifern untereinander um mehr Macht und Einfluss.;;;x
infighting_1;Order Restored;;Wiederhergestellte Ordnung;;;x
infighting_1_option;Order;;Ordnung;;;x
infighting_1_desc;Order has been restored in the ruler's court, with authority from the crown once again being respected.;;Am Hof des Herrschers ist die Ordnung wiederhergestellt, und die Autorität der Krone wird wieder respektiert.;;;x
institute_agnatic_succession;Agnatic;Agnatique;Agnatic;;Agnación;x
institute_agnatic_succession_desc;Only males can inherit.;Seuls les hommes peuvent hériter.;Nur männliche Personen können erben.;;Solo los hombres pueden heredar.;x
institute_cognatic_succession;Agnatic-Cognatic;Agnatico-cognatique;Agnatisch-Kognatisch;;Agnación-cognación;x
institute_cognatic_succession_desc;Women can inherit, but only if there are no eligible males.;Les femmes peuvent hériter, mais seulement en l'absence d'hommes.;Frauen können erben, aber nur, wenn es keine erbberechtigten Männer gibt.;;Las mujeres pueden heredar, pero solo si no hay varones aptos.;x
institute_enatic_cognatic_succession;Enatic-Cognatic;Enatico-cognatique;Enatisch-Kognatisch;;Enación-cognación;x
institute_enatic_cognatic_succession_desc;Men can inherit, but only if there are no eligible females.;Les hommes peuvent hériter, mais seulement en l'absence du femmes.;Männer können erben, aber nur, wenn es keine weiblichen Anspruchsberechtigten gibt.;;Los varones pueden heredar, pero solo si no hay mujeres aptas.;x
institute_enatic_succession;Enatic;Enatique;Enatisch;;Enación;x
institute_enatic_succession_desc;Only females can inherit.;Seuls les femmes peuvent hériter.;Nur weibliche Personen können erben.;;Solo las mujeres pueden heredar.;x
institute_true_cognatic_succession;Absolute Cognatic;Cognatique;Absolut Kognatisch;;Cognación absoluta;x
institute_true_cognatic_succession_desc;Women inherit on the same grounds men do.;Les femmes héritent sur un pied d'égalité avec les hommes.;Frauen erben aus denselben Gründen wie Männer.;;Las mujeres pueden heredar del mismo modo que los hombres.;x
investiture_law_desc;This law determines who appoints priests - the head of the religion or the secular liege.;;Dieses Gesetz bestimmt, wer die Priester ernennt - das religiöse Oberhaupt oder der weltliche Lehnsherr.;;;x
investiture_law_0;Religious Head Investiture;;Religiöses Oberhaupt Investitur;;Investidura papal;x
investiture_law_0_option;Head;Papale;Haupt;;Papal;x
investiture_law_0_desc;Only the head of the religion may appoint priests within the Realm. This will give the Crown a §G50%§! Piety cost discount when requesting special actions like Divorce and Excommunication.;;Nur das Oberhaupt der Religion kann Priester im Reich ernennen. Dadurch erhält die Krone einen §G50%§! Frömmigkeitskostenrabatt bei der Beantragung von Sonderaktionen wie Scheidung und Exkommunizierung.;;;x
investiture_law_1_desc;Priests within the kingdom can be appointed by their secular lieges, and will be more loyal to their liege. The head of the religion will not be pleased.;;Priester innerhalb des Königreichs können von ihren weltlichen Lehnsherren ernannt werden und werden ihrem Lehnsherren gegenüber loyaler sein. Das Oberhaupt der Religion wird darüber nicht erfreut sein.;;;x
iqta_tax_0;Small Iqta Taxes;Impôts féodaulx faibles;Kleine Iqta-Steuern;;;x
iqta_tax_0_desc;Vassal lords are expected to make a small financial contribution to the greater good of the realm.;On attend des vassaulx qu'ils apportent une faible contribution financière pour le plus grand bien du royaume.;Von Vasallenfürsten wird erwartet, dass sie einen kleinen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
iqta_tax_0_option;Small;Faibles;Klein;;;x
iqta_tax_1;Medium Iqta Taxes;Impôts féodaulx normaulx;Mittlere Iqta-Steuern;;;x
iqta_tax_1_desc;Vassal lords are expected to make a moderate financial contribution to the greater good of the realm.;On attend des vassaulx qu'ils apportent une contribution financière modérée pour le plus grand bien du royaume.;Von Vasallenfürsten wird erwartet, dass sie einen mäßigen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
iqta_tax_1_option;Medium;Normaulx;Mittel;;;x
iqta_tax_2;Large Iqta Tax;Impôts féodaulx importants;Große Iqta-Steuer;;;x
iqta_tax_2_desc;Vassal lords are expected to make a substantial financial contribution to the greater good of the realm.;On attend des vassaulx qu'ils apportent une importante contribution financière pour le plus grand bien du royaume.;Von Vasallenfürsten wird erwartet, dass sie einen erheblichen finanziellen Beitrag zum Wohl des Reiches leisten.;;;x
iqta_tax_2_option;Large;Importants;Groß;;;x
kingdom_lockout_group;Kingdom Lockout Laws;;Königreich-Sperrgesetze;;;x
kingdom_lockout_group_desc;In some lands, the titles that can be assumed by a vassal--even at the behest of their liege--are greatly restricted. While this prevents any single vassal from gaining too much power, it does have the drawback of making large realms a bit more difficult to govern.;;In einigen Ländern sind die Titel, die ein Vasall - selbst auf Geheiß seines Lehnsherrn - annehmen kann, stark eingeschränkt. Dies verhindert zwar, dass ein einzelner Vasall zu viel Macht erlangt, hat aber den Nachteil, dass große Reiche etwas schwieriger zu regieren sind.;;;x
kingdom_lockout_0;No Vassal Kings;;Keine Vasallenkönige;;;x
kingdom_lockout_0_desc;Kingdom-tier titles cannot be created in the realm, either by the liege or by the vassal, except in very specific cases.;;Titel vom Rang eines Königreichs können im Reich weder vom Lehnsherrn noch vom Vasallen geschaffen werden, außer in ganz bestimmten Fällen.;;;x
kingdom_lockout_0_option;None;;Keine;;;x
kingdom_lockout_1;Vassals and Liege;;Vasallen und Lehnsherren;;;x
kingdom_lockout_1_desc;Titles of all tiers may be created, by anyone.;;Titel aller Ränge können von jedermann geschaffen werden.;;;x
kingdom_lockout_1_option;Anyone;;Jeder;;;x
kingdom_lockout_2;Liege Only;;Nur Lehnsherr;;;x
kingdom_lockout_2_desc;Kingdom-tier titles can only be created by the top liege.;;Titel auf der Ebene des Königreichs können nur vom obersten Lehnsherrn vergeben werden.;;;x
kingdom_lockout_2_option;Liege;;Lehnsherr;;;x
kings_peace;King's Peace;;Frieden des Königs;;;x
kings_peace_desc;In some lands, the council holds no power and the king reigns supreme. In these lands it falls to the liege to keep the peace between his vassals.;;In einigen Ländern hat der Rat keine Macht, und der König herrscht über alles. In diesen Ländern ist es die Aufgabe des Lehnsherrn, den Frieden zwischen seinen Vasallen zu wahren.;;;x
kings_peace_0;No Peace;;Kein Frieden;;;x
kings_peace_0_desc;Vassals are completely unrestricted in their waging of war. Able to attack fellow vassals as well as those outside the realm.;;Die Vasallen sind in ihrer Kriegsführung völlig uneingeschränkt. Sie sind in der Lage, sowohl andere Vasallen als auch solche außerhalb des Reiches anzugreifen.;;;x
kings_peace_1;Vassal Peace;;Vasallenfrieden;;;x
kings_peace_1_desc;Vassals may no longer fight amongst each other in the realm's de jure territory.;;Vasallen dürfen auf dem Gebiet des Reiches de jure nicht mehr gegeneinander kämpfen.;;;x
kings_peace_2;Total Peace;;Totaler Frieden;;;x
kings_peace_2_desc;De jure vassals may no longer field armies on their own, relying on their liege to make all martial decisions.;;De-jure-Vasallen dürfen keine eigenen Armeen mehr aufstellen und müssen sich darauf verlassen, dass ihr Lehnsherr alle kriegerischen Entscheidungen trifft.;;;x
late_feudal_administration;Late Feudal Administration;;Späte Feudalverwaltung;;;x
late_feudal_administration_desc;Late feudal lords realize the importance of keeping the inheritance together to facilitate their dynasty's long-term increase in power and wealth. In this system, there is a tendency for vassals to grow more and more powerful with time if not kept in check.;;Späte Feudalherren sind sich bewusst, wie wichtig es ist, das Erbe zusammenzuhalten, um den langfristigen Zuwachs an Macht und Reichtum ihrer Dynastie zu fördern. In diesem System besteht die Tendenz, dass die Vasallen mit der Zeit immer mächtiger werden, wenn sie nicht in Schach gehalten werden.;;;x
late_feudal_administration_option;Late;Tardif;Später;;Tardía;x
levy_privileges_0;Crown Levy Privileges;Privilèges de levées pour la Couronne;Abgabenprivilegien der Krone;;;x
levy_privileges_0_desc;Vassals must contribute all levies reserved for the crown to wars.;Les vassaulx doivent prodiguer la Couronne l'intégralité des levées qui lui sont réservées.;Vasallen müssen alle für die Krone reservierten Abgaben für Kriege aufbringen.;;;x
levy_privileges_0_option;Crown;Couronne;Krone;;;x
levy_privileges_1;Vassal Levy Privileges;Privilèges de levées pour les vassaulx;Privilegien für Vasallenabgaben;;;x
levy_privileges_1_desc;Vassals are free to choose how large a portion of their levies they wish to contribute to wars.;Les vassaulx sont libres de choisir dans quelle mesure leurs levées participeront la guerre.;Vasallen können frei wählen, wie viel von ihren Abgaben sie in Kriege einbringen wollen.;;;x
levy_privileges_1_option;Vassal;Vassal;Lehnsmann;;;x
levy_privileges_group;Levy Privileges;Privilèges de levée;Abgabenprivilegien;;;x
levy_privileges_group_desc;This law determines the freedom of vassals to dispose over their own levies.;Cette loi détermine la liberté dont dipose les vassaulx vis--vis de leurs levées.;Dieses Gesetz bestimmt die Freiheit der Vasallen, über ihre eigenen Abgaben zu verfügen.;;;x
maz_wealth_group;Wealth Sharing;Wealth Sharing;Teilung des Reichtums;;;x
maz_wealth_group_desc;One of Mazdak's primary teachings was that the Zoroastrian priesthood oppressed its people, and hoarded its wealth. He believed that wealth should be shared, and espoused ideas of egalitarianism that were way ahead of his time. A ruler of proper faith should, by the Mazdaki faith, set aside a large share of its taxes for the people -- and force his vassals to do the same.;;Eine der wichtigsten Lehren Mazdaks war, dass die zoroastrische Priesterschaft ihr Volk unterdrückte und ihren Reichtum hortete. Er war der Meinung, dass Reichtum geteilt werden sollte, und vertrat Ideen der Gleichberechtigung, die seiner Zeit weit voraus waren. Ein gläubiger Herrscher sollte nach dem Mazdaki-Glauben einen großen Teil seiner Steuern für das Volk beiseite legen - und seine Vasallen zwingen, dasselbe zu tun.;;;x
mazdaki_wealth_0;No Wealth Sharing;;Keine Aufteilung des Reichtums;;;x
mazdaki_wealth_0_desc;There is no system of wealth sharing, just as it has always been.;;Es gibt kein System zur Aufteilung des Reichtums, so wie es schon immer war.;;;x
mazdaki_wealth_0_option;None;;Keine;;;x
mazdaki_wealth_1;Minimal Wealth Sharing;;Minimale Reichtumsteilung;;;x
mazdaki_wealth_1_desc;The Mazdaki nobility must put aside a token amount of wealth for the people -- more for show than anything substantial.;;Der mazdakische Adel muss einen symbolischen Anteil seines Reichtums für das Volk beiseite legen - mehr zur Show als zu etwas Substanziellem.;;;x
mazdaki_wealth_1_option;Minimal;;Minimal;;;x
mazdaki_wealth_2;Basic Wealth Sharing;;Grundlegende Verteilung des Reichtums;;;x
mazdaki_wealth_2_desc;The Mazdaki nobility must put aside a portion of their wealth and taxes in order to subsidize the poorest of the poor.;;Der mazdakische Adel muss einen Teil seines Reichtums und seiner Steuern zur Seite legen, um die Ärmsten der Armen zu unterstützen.;;;x
mazdaki_wealth_2_option;Basic;;Basis;;;x
mazdaki_wealth_3;High Wealth Sharing;;Hohe Reichtumsteilung;;;x
mazdaki_wealth_3_desc;A large amount of the taxes and wealth possessed by the nobility must go towards the people -- the building of shelters for the poor, the standard granting of gifts for the ill-favored, and the construction of hospitals for the sick.;;Ein großer Teil der Steuern und des Reichtums, den der Adel besitzt, muss dem Volk zugute kommen - der Bau von Unterkünften für die Armen, die übliche Gewährung von Geschenken für die Benachteiligten und der Bau von Krankenhäusern für die Kranken.;;;x
mazdaki_wealth_3_option;High;;Hoch;;;x
mazdaki_wealth_4;Maximum Wealth Sharing;;Maximale Verteilung des Reichtums;;;x
