#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_Plus_1001;[From.Siege.GetName] Besieged;;[From.Siege.GetName] Belagert;;;;;;;;;;;x
EVTDESC_Plus_1007;In the dead of night, as a low mist hung about the curtain wall, you creep out a postern door and float across the moat on an inflated sheepskin.  It's only by the ineptitude of the enemy watch that you stagger, dripping wet, through the siege lines and to the safety of a nearby wood.  Thanks be to God! ... Although any family left behind is likely angry with us...;;Mitten in der Nacht, als ein leichter Nebel die Mauer umhüllt, schleicht man sich durch eine Hintertür und lässt sich auf einem aufgeblasenen Schafsfell über den Graben treiben.  Nur der Ungeschicklichkeit der feindlichen Wache ist es zu verdanken, dass du tropfnass durch die Belagerungslinien und in die Sicherheit eines nahen Waldes taumelst.  Gott sei Dank! ... Obwohl jede zurückgelassene Familie wahrscheinlich wütend auf uns ist...;;;;;;;;;;;x
EVTDESC_Plus_1008;Your steward leads you down into the store rooms to a passage you didn't even know existed.  Beyond it, a dismal tunnel full of death and decay, and you are only too glad to reach the moat and relatively fresh water. I hope I never have to do that again!  It only now occurs to me that any family left behind is likely angry with me for leaving them in the hands of the enemy.;;Dein Verwalter führt dich hinunter in die Lagerräume zu einem Gang, von dem du nicht einmal wusstest, dass er existiert.  Dahinter liegt ein düsterer Tunnel voller Tod und Verfall, und du bist nur zu froh, den Burggraben und relativ frisches Wasser zu erreichen. Ich hoffe, dass ich das nie wieder tun muss!  Erst jetzt fällt mir ein, dass die zurückgebliebenen Angehörigen wahrscheinlich wütend auf mich sind, weil ich sie dem Feind überlassen habe.;;;;;;;;;;;x
EVTDESC_Plus_1009;They said only a lunatic would attempt climbing down the southeast wall, and certainly the enemy agreed!  A near thing, too, when my foot slipped on that patch of moss.  My brush with death over with, and safety assured, it only now occurs to me that any family left behind will see this as a desertion, not a bold deed of heroism...;;Sie sagten, nur ein Verrückter würde versuchen, die Südostmauer hinunterzuklettern, und der Feind stimmte sicher zu!  Das wäre auch fast passiert, als ich mit dem Fuß auf dem Moosfleck ausrutschte.  Ich bin dem Tod entronnen und in Sicherheit, aber erst jetzt wird mir bewusst, dass meine Familie dies als Desertion und nicht als kühne Heldentat ansehen wird...;;;;;;;;;;;x
EVTDESC_Plus_1010;My [Root.GetLordLady], we've caught [From.GetTitledFirstNameNoRegnal] while [From.GetSheHe] was trying to sneak out of the castle!;;Meine [Root.GetLordLady], wir haben [From.GetTitledFirstNameNoRegnal] gefangen, während [From.GetSheHe] versuchte, sich aus der Burg zu schleichen!;;;;;;;;;;;x
EVTOPTA_Plus_1010;Take [From.GetHerHim] back to my dungeons immediately!;;Bringt [From.GetHerHim] sofort zurück in meine Kerker!;;;;;;;;;;;x
EVTDESC_Plus_1021;My [Root.GetLordLady], we've finally taken [FromFrom.GetName]... and it appears [FromFrom.Holder.GetTitledFirstNameNoRegnal] numbers among those within. What should we do?;;Meine [Root.GetLordLady], wir haben endlich [FromFrom.GetName] geschnappt ... und es scheint, dass [FromFrom.Holder.GetTitledFirstNameNoRegnal] unter den Gefangenen ist. Was sollen wir tun?;;;;;;;;;;;x
EVTOPTA_Plus_1021;Take [siege_owner.GetHerHim] prisoner at once;;Nehmt [siege_owner.GetHerHim] sofort gefangen;;;;;;;;;;;x
EVTOPTB_Plus_1021;Imprison [siege_owner.GetHerHim] and anyone else we find;;[siege_owner.GetHerHim] und alle anderen, die wir finden, einkerkern;;;;;;;;;;;x
EVTOPTC_Plus_1021;Kill [siege_owner.GetHerHim] and anyone else within;;Tötet [siege_owner.GetHerHim] und alle anderen, die sich dort aufhalten;;;;;;;;;;;x
EVTOPTD_Plus_1021;Leave [siege_owner.GetHerHim] and [siege_owner.GetHerHis] family be;;Lasst [siege_owner.GetHerHim] und [siege_owner.GetHerHis] Familie in Ruhe;;;;;;;;;;;x
EVTDESC_Plus_1022;My [Root.GetLordLady], we've finally taken [FromFrom.GetName]... but it appears [FromFrom.Holder.GetTitledFirstNameNoRegnal] has gone into hiding. We can search for [FromFrom.Holder.GetHerHim], but [FromFrom.Holder.GetSheHe] will not be easy to find. What would you have us do?;;Meine [Root.GetLordLady], wir haben [FromFrom.GetName] endlich geschnappt ... aber es scheint, dass sich [FromFrom.Holder.GetTitledFirstNameNoRegnal] versteckt. Wir können nach [FromFrom.Holder.GetHerHim] suchen, aber [FromFrom.Holder.GetSheHe] wird nicht leicht zu finden sein. Was sollen wir Ihrer Meinung nach tun?;;;;;;;;;;;x
EVTOPTA_Plus_1022;Find [FromFrom.Holder.GetHerHim]—[FromFrom.Holder.GetSheHe]'s the only one we want;;Findet [FromFrom.Holder.GetHerHim] - [FromFrom.Holder.GetSheHe] ist der Einzige, den wir wollen.;;;;;;;;;;;x
EVTOPTB_Plus_1022;Find [FromFrom.Holder.GetHerHim] and anyone else of importance;;Findet [FromFrom.Holder.GetHerHim] und alle anderen wichtigen Personen;;;;;;;;;;;x
EVTOPTC_Plus_1022;Kill everyone you can find;;Tötet jeden, den Ihr finden könnt;;;;;;;;;;;x
EVTDESC_Plus_1023;My [Root.GetLordLady], we've finally taken [FromFrom.GetName], and it appears that [FromFrom.Holder.GetTitledFirstNameNoRegnal] may have family within... though some may have gone into hiding. If they have, they may not be very easy to find. What would you have us do?;;Meine [Root.GetLordLady], wir haben [FromFrom.GetName] endlich geschnappt, und es scheint, dass [FromFrom.Holder.GetTitledFirstNameNoRegnal] vielleicht Familie hat... obwohl sich einige davon versteckt haben könnten. Wenn das der Fall ist, sind sie vielleicht nicht so leicht zu finden. Was sollen wir Eurer Meinung nach tun?;;;;;;;;;;;x
EVTOPTA_Plus_1023;Imprison anyone of importance you can find;;Nehmt jeden in Gewahrsam, den Ihr finden könnt, der wichtig ist.;;;;;;;;;;;x
EVTOPTC_Plus_1023;Leave them be, they are unimportant;;Lasst sie in Ruhe, sie sind unbedeutend.;;;;;;;;;;;x
EVTDESC_Plus_1024;My [Root.GetLordLady], our forces report that [FromFrom.Holder.GetTitledFirstNameNoRegnal] has prisoners being held at [FromFrom.GetName].;;Meine [Root.GetLordLady], unsere Streitkräfte berichten, dass [FromFrom.Holder.GetTitledFirstNameNoRegnal] Gefangene in [FromFrom.GetName] festhält.;;;;;;;;;;;x
EVTOPTA_Plus_1024;Release all prisoners;;Lasst alle Gefangenen frei;;;;;;;;;;;x
EVTOPTB_Plus_1024;Transfer them to MY dungeon;;Bringt sie in MEINEN Kerker;;;;;;;;;;;x
EVTOPTC_Plus_1024;Release anyone with whom we have common cause.;;Lasst jeden frei, mit dem wir gemeinsame Sache gemacht haben.;;;;;;;;;;;x
EVTOPTD_Plus_1024;Release only my relatives;;Nur meine Verwandten freilassen;;;;;;;;;;;x
EVTOPTE_Plus_1024;Whoever these people are, they smell like they belong there...;;Wer auch immer diese Leute sind, sie riechen, als gehörten sie dorthin...;;;;;;;;;;;x
EVTDESC_Plus_1026;As the forces of [siege_attacker.GetTitledFirstNameNoRegnal] finally burst through the gates of [FromFromFrom.GetName], you assumed they would take you prisoner if they found you... but that was not to be. You heard the screams before they reached you, and, upon realizing they were slaughtering everyone, you tried to flee. Eventually they caught up to you and summarily put you to the sword.;;Als die Truppen von [siege_attacker.GetTitledFirstNameNoRegnal] schließlich durch die Tore von [FromFromFrom.GetName] brachen, nahmst du an, dass sie dich gefangen nehmen würden, wenn sie dich finden würden... aber das sollte nicht sein. Du hast die Schreie gehört, bevor sie dich erreichten, und als dir klar wurde, dass sie alle abschlachteten, hast du versucht zu fliehen. Schließlich holten sie dich ein und erschlugen dich kurzerhand mit dem Schwert.;;;;;;;;;;;x
EVTOPTA_Plus_1026;I will be avenged!;;Ich werde gerächt werden!;;;;;;;;;;;x
EVTDESC_Plus_1027;As the forces of [siege_attacker.GetTitledFirstNameNoRegnal] finally burst through the gates of [siege_holding.GetName], you attempted to evade them... but ultimately were unsuccessful.;;Als die Truppen von [siege_attacker.GetTitledFirstNameNoRegnal] schließlich durch die Tore von [siege_holding.GetName] brachen, habt Ihr versucht, ihnen zu entkommen ... aber letztlich ohne Erfolg.;;;;;;;;;;;x
EVTDESC_Plus_1029;After the siege, we found §Y[From.GetTitledName]§! and immediately took [From.GetHerHim] prisoner.;;Nach der Belagerung fanden wir §Y[From.GetTitledName]§! und nahmen sofort [From.GetHerHim] gefangen.;;;;;;;;;;;x
EVTDESC_Plus_1031;We have finally taken [FromFrom.GetName], and the men are already busy looting and setting fires. A glorious day! I know the men are ready to slake their bloody thirsts upon the holding. What instructions shall I give them?;;Wir haben [FromFrom.GetName] endlich eingenommen, und die Männer sind bereits damit beschäftigt, zu plündern und Brände zu legen. Ein glorreicher Tag! Ich weiß, dass die Männer bereit sind, ihren blutigen Durst auf den Betrieb zu stillen. Welche Anweisungen soll ich ihnen geben?;;;;;;;;;;;x
EVTOPTA_Plus_1031;Tell them to control themselves—I want prisoners;;Sagt ihnen, sie sollen sich beherrschen - ich will Gefangene.;;;;;;;;;;;x
EVTOPTB_Plus_1031;No, let them celebrate their victory;;Nein, lass sie ihren Sieg feiern;;;;;;;;;;;x
EVTOPTC_Plus_1031;Tonight we offer sacrifices to [Root.Religion.GetHighGodName]!;;Heute Abend bringen wir [Root.Religion.GetHighGodName] Opfer dar!;;;;;;;;;;;x
EVTDESC_Plus_1032;As the attackers finally burst through the gates of [siege_holding.GetName], you attempted to evade them... and, while you were ultimately successful in escaping, you did not do so unscathed.;;Als die Angreifer schließlich durch die Tore von [siege_holding.GetName] brachen, habt Ihr versucht, ihnen zu entkommen ... und obwohl es Euch letztendlich gelang, zu entkommen, seid Ihr nicht unversehrt geblieben.;;;;;;;;;;;x
EVTOPTA_Plus_1032;At least I got away!;;Wenigstens bin ich entkommen!;;;;;;;;;;;x
EVTDESC_Plus_1033;As the forces of [siege_attacker.GetTitledFirstName] finally burst through the gates of [siege_holding.GetName], you assumed they would take you prisoner if they found you... but that was not to be. Once you saw the daggers, and heard their horrid chanting, you realized with horror that they were going to sacrifice you to their pagan gods...;;Als die Truppen von [siege_attacker.GetTitledFirstName] schließlich durch die Tore von [siege_holding.GetName] brachen, nahmst du an, dass sie dich gefangen nehmen würden, wenn sie dich finden... aber das sollte nicht sein. Als du die Dolche sahst und ihre schrecklichen Gesänge hörtest, wurde dir mit Schrecken klar, dass sie dich ihren heidnischen Göttern opfern wollten...;;;;;;;;;;;x

dis_chance;There is a chance of contracting illness or disease.\n;;Es besteht die Möglichkeit, sich mit Krankheiten anzustecken.\n;;;;;;;;;;;x
ENEMY_REALM_HORRIFIED;Enemy realm is horrified!\n;;Das feindliche Reich ist entsetzt!\n;;;;;;;;;;;x
EVTTOOLTIPsiegecapturedenemy;§Y[Root.GetTitledFirstName]§! is imprisoned by the enemy.;;§Y[Root.GetTitledFirstName]§! wird vom Feind gefangen gehalten.;;;;;;;;;;;x
EVTTOOLTIPsiegeescaped;§Y[Root.GetTitledFirstName]§! escapes to the countryside!;;§Y[Root.GetTitledFirstName]§! flieht auf das Land!;;;;;;;;;;;x
EVTTOOLTIPsiegehide;§Y[This.GetBestName]§! will be smuggled out of [From.Siege.GetName] and into hiding\n;;§Y[This.GetBestName]§! wird aus [From.Siege.GetName] heraus und in ein Versteck geschmuggelt\n;;;;;;;;;;;x
EVTTOOLTIPsiegeremain;§Y[This.GetBestName]§! remains at [From.Siege.GetName] and could be captured\n;;§Y[This.GetBestName]§! bleibt in [From.Siege.GetName] und könnte gefangen genommen werden\n;;;;;;;;;;;x
EVTTOOLWAYfamilyhatesyou;§Y[This.GetBestName]§! is imprisoned by the enemy and any family members left behind in the castle aren't too happy about it\n;;§Y[This.GetBestName]§! wird vom Feind gefangen genommen, und die in der Burg zurückgebliebenen Familienmitglieder sind darüber nicht sehr erfreut\n;;;;;;;;;;;x
MEN_ARE_ANGERED;The [Root.Culture.GetName] warriors are angered\n;;Die [Root.Culture.GetName]-Krieger sind verärgert\n;;;;;;;;;;;x
MEN_ARE_PLEASED;The [Root.Culture.GetName] warriors are pleased\n;;Die [Root.Culture.GetName]-Krieger sind erfreut\n;;;;;;;;;;;x
MOVED_TO_MY_DUNGEON;§Y[This.GetBestName]§! is moved to your dungeon\n;;§Y[This.GetBestName]§! wird in deinen Kerker gebracht\n;;;;;;;;;;;x
siege_captured;§Y[This.GetBestName]§! is successfully captured\n;;§Y[This.GetBestName]§! wurde erfolgreich gefangen genommen\n;;;;;;;;;;;x
siege_escaped;§Y[This.GetBestName]§! escapes to the countryside\n;;§Y[This.GetBestName]§! flieht in die Landschaft\n;;;;;;;;;;;x
siege_injured;§Y[This.GetBestName]§! is injured but escapes to the countryside\n;;§Y[This.GetBestName]§! wird verletzt, entkommt aber in die Landschaft\n;;;;;;;;;;;x
siege_killed;§Y[This.GetBestName]§! found and slain\n;;§Y[This.GetBestName]§! wird gefunden und erschlagen\n;;;;;;;;;;;x
siege_sacrificed;§Y[This.GetBestName]§! is found and sacrificed\n;;§Y[This.GetBestName]§! wird gefunden und geopfert\n;;;;;;;;;;;x
